SPK_SPKC03a (excited),SPK_SPKC09a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10c (no effect)
57.994875,17.6159,7.0624,66.333525
58.6928,17.64815,7.14275,66.356825
59.3374,17.734775,7.16085,66.584425
59.590325,17.8042,7.2448,66.883275
59.690125,17.96315,7.261025,67.16435
59.734875,18.0225,7.274075,67.212975
59.756675,18.4933,7.287125,68.82375
59.76225,18.57765,7.30725,69.024575
60.20065,18.610025,7.3345,69.0716
60.646925,18.675,7.390075,69.5443
60.734425,18.716925,7.4559,70.004225
60.9162,18.8041,7.494975,70.117
60.9966,18.952575,7.53075,71.018125
61.751975,18.97795,7.618575,71.04205
62.185975,19.043475,7.666675,71.5773
62.36315,19.052725,7.773525,71.604125
62.395175,19.110425,7.8214,72.41085
62.601775,19.237625,7.911625,72.5351
62.609625,19.274625,7.969375,72.572625
63.0655,19.41605,8.0291,72.81185
63.0695,19.4466,8.05165,72.81815
63.112875,19.48395,8.07065,72.86385
63.12175,19.53235,8.095125,73.1961
64.022075,19.644325,8.13175,73.558025
64.041575,19.673425,8.149175,73.945075
64.062625,19.7191,8.176425,74.095675
64.071375,19.7531,8.22625,74.1096
64.167975,19.823575,8.29775,74.595625
64.597725,19.8704,8.3283,74.918025
64.62215,19.9534,8.393325,74.949325
64.834475,20.100225,8.419375,75.908025
65.585275,20.40155,8.43495,76.594825
65.62975,20.427975,8.46405,77.208025
66.088525,20.50065,8.47985,77.977625
66.7498,20.5204,8.5065,78.0169
67.2062,20.6107,8.520725,78.334325
67.2154,20.6887,8.544975,78.4262
67.761675,20.740375,8.594275,78.521725
67.764325,20.831025,8.60765,79.0764
67.77275,20.844975,8.689825,79.1048
67.80845,20.89185,8.7143,79.298225
67.9765,21.049825,8.74915,79.577225
68.360775,21.218775,8.76695,79.65925
68.679175,21.3369,8.787875,79.89365
68.6957,21.353925,8.810975,80.04375
69.226625,21.4591,8.830275,80.292025
70.14925,21.472075,8.8848,80.62995
70.151675,21.493725,8.907825,80.706525
70.5128,21.711425,8.92605,80.82985
70.5154,21.8733,8.962325,80.98465
70.5491,21.881725,8.9759,81.027275
72.1875,21.88775,9.027225,81.1196
72.66935,21.899975,9.05875,81.20185
73.000625,21.93305,9.135625,81.2413
73.0037,21.946975,9.165075,81.435675
73.0676,21.979925,9.2439,81.919925
73.096325,22.116125,9.31325,82.7192
73.2412,22.31845,9.335225,82.9448
73.473175,22.366575,9.358475,84.441775
73.47635,22.643875,9.3808,84.522175
75.7618,22.8007,9.413825,84.69625
76.072575,22.9539,9.436625,85.796275
76.074575,23.019425,9.5123,86.124675
76.090375,23.031075,9.538375,86.795475
76.5186,23.070575,9.554875,86.85095
77.01365,23.150275,9.598075,88.394525
77.284875,23.19645,9.62185,88.95735
77.779275,23.280675,9.637075,89.11335
77.8209,23.2977,9.705475,90.49635
78.160575,23.352125,9.764575,91.2196
78.35015,23.3829,9.82725,91.394175
78.389075,23.412125,9.863075,91.8066
78.41985,23.524475,9.882175,92.058675
78.4406,23.542225,9.919275,92.395125
78.451575,23.71305,9.947,92.446975
78.646625,23.84975,9.9687,93.22225
78.803875,23.936525,9.997975,94.485575
79.159425,23.953475,10.022025,94.7194
79.223325,23.975225,10.21875,94.881575
79.664,24.108125,10.2553,95.721
79.666775,24.124875,10.27005,95.855025
79.726275,24.148575,10.304475,97.1669
79.806675,24.239225,10.329325,97.92815
79.90635,24.262925,10.363425,98.153025
79.963625,24.504425,10.4044,98.416575
80.051275,24.697525,10.425975,98.4823
80.351875,24.733375,10.472225,98.572175
80.3549,24.806575,10.5668,99.51515
80.400825,24.89865,10.58145,99.66485
80.730525,25.047725,10.655775,99.8918
81.104175,25.069275,10.672,99.963675
82.745325,25.085625,10.702925,99.983075
83.391675,25.329625,10.755175,100.78255
84.13025,25.58675,10.7813,100.83365
84.436325,25.77175,10.8056,101.194375
84.4485,25.863325,10.83435,101.260975
84.5478,25.965975,10.8481,101.3214
84.58375,26.1968,10.87085,101.5492
84.58675,26.237275,10.900975,101.59635
84.6323,26.486575,10.954225,101.703725
84.637775,26.665925,11.01555,101.794875
84.666575,26.833825,11.030175,102.29905
84.76965,26.86935,11.055675,102.317125
85.34755,26.935975,11.068875,102.50535
85.3511,27.028875,11.0833,102.6702
85.81845,27.139525,11.0987,102.731325
85.819975,27.168325,11.12365,102.8909
85.84725,27.218125,11.16035,103.06535
86.508225,27.3809,11.1789,103.276775
86.828925,27.41685,11.192375,103.38005
86.831475,27.52545,11.208825,103.592575
86.9858,27.6246,11.22835,103.852225
87.053225,27.664675,11.244575,103.9146
87.177475,27.685975,11.258325,104.61935
87.54895,27.803275,11.2708,105.04935
87.56145,28.035075,11.27265,105.544925
87.589825,28.163825,11.286225,105.64335
87.69495,28.18925,11.303775,105.679425
87.895825,28.23635,11.333225,105.7901
88.000575,28.31775,11.361975,106.357375
88.960725,28.5764,11.37875,106.42
89.446225,28.593225,11.405325,106.80755
89.683725,28.64285,11.419325,106.87325
89.8329,28.71075,11.4361,106.93105
89.853775,28.85885,11.45055,107.011975
92.34985,28.89145,11.501475,107.2072
92.716875,28.985625,11.52865,107.5325
92.8032,29.0072,11.5422,108.245625
93.046575,29.0315,11.556425,108.9107
93.5551,29.245775,11.605475,109.32535
93.661325,29.37595,11.63935,109.353
93.938825,29.5452,11.66355,109.440825
95.282725,29.86155,11.67265,109.539975
95.286775,29.993825,11.734575,109.90265
95.288575,30.2023,11.75135,111.120025
95.31,30.252025,11.769375,111.2888
95.40705,30.266225,11.784175,111.38415
95.409775,30.341,11.81015,111.412275
95.419825,30.427475,11.84705,111.5275
95.460775,30.462325,11.9001,111.5433
98.364975,30.526575,11.909625,111.697225
98.5928,30.59265,11.9237,111.705
98.72745,30.72025,11.9477,111.896375
98.732475,30.759425,11.967025,112.30045
98.976475,30.9227,11.980375,112.47575
99.00325,31.030775,11.9966,112.896925
99.269525,31.1763,12.006925,112.953075
99.275075,31.258725,12.017625,113.136575
99.3022,31.41865,12.033275,113.28805
99.744625,31.935425,12.051825,113.307725
99.764075,32.041025,12.079475,113.84055
100.23215,32.173925,12.1037,114.026225
100.63845,32.219275,12.11455,114.221
100.683525,32.27205,12.124025,114.328925
100.819975,32.327125,12.1452,114.454425
101.008625,32.416225,12.185525,114.588275
101.38745,32.47655,12.1975,115.081225
101.404525,32.506175,12.23055,115.104325
101.4809,32.607575,12.243925,115.304175
101.8788,32.83125,12.2454,115.368775
101.881325,32.85505,12.258725,115.475825
102.0677,32.952075,12.2667,115.896125
102.204425,32.982875,12.2893,115.932925
102.3706,33.08335,12.3068,115.993875
102.4135,33.097825,12.3699,116.114925
102.5259,33.2536,12.3849,116.1699
103.2998,33.277525,12.40045,116.613
103.41125,33.295375,12.411925,117.207675
103.4488,33.3651,12.457,117.49505
103.626175,33.3817,12.505125,117.524875
104.19,33.383675,12.512975,117.62195
104.433925,33.431125,12.52615,117.834625
104.6812,33.473075,12.55145,118.1104
104.700525,33.497725,12.56425,118.6163
104.769925,33.527725,12.57925,118.6368
104.793425,33.6171,12.6405,118.770275
105.0436,33.633825,12.647175,118.83245
105.28875,33.674625,12.65145,118.886775
105.290625,33.69385,12.664275,119.12245
105.5797,33.9048,12.675275,119.904875
105.75825,33.9372,12.7181,120.2299
106.856625,34.0403,12.72685,120.30665
107.38875,34.1531,12.737425,120.98345
108.26445,34.2655,12.756575,121.2338
108.3854,34.283625,12.77815,122.0472
108.834025,34.39505,12.78525,122.13915
108.88995,34.4501,12.8055,122.229425
109.0464,34.473675,12.85985,122.346925
109.24435,34.493,12.8726,122.4216
109.3988,34.64565,12.884275,122.618175
109.707225,34.684475,12.892425,123.016775
109.822,34.718425,12.922925,123.312775
109.8237,34.949025,12.932125,123.4686
110.005375,35.03875,12.953725,124.028225
110.076575,35.078925,12.973175,124.04185
110.1966,35.0958,12.983775,124.65765
110.242275,35.1129,13.0362,124.924725
110.30005,35.1689,13.056,125.392775
110.3823,35.248575,13.07505,125.72155
110.941775,35.33605,13.100225,126.0016
110.94455,35.461475,13.106525,126.0092
110.97595,35.5186,13.120275,126.127075
110.998575,35.7568,13.175775,126.376625
111.14065,36.00735,13.1872,126.532075
111.59865,36.077575,13.203925,126.63795
111.65285,36.17945,13.21285,126.72615
111.689425,36.28035,13.235975,126.88065
111.7044,36.303125,13.255475,127.29735
112.066775,36.600325,13.292525,127.339175
112.271925,36.669525,13.30615,127.437625
112.274575,36.6949,13.395425,127.698375
112.30695,36.75565,13.419125,128.132475
112.4181,36.7788,13.4297,128.322
112.496475,37.001025,13.44725,128.728875
113.195725,37.037,13.45355,128.7532
113.397,37.0413,13.475325,128.7802
113.53115,37.1385,13.487825,128.933925
113.605475,37.1811,13.497675,129.04345
114.002625,37.297225,13.52335,129.131
114.10535,37.409375,13.53215,129.384575
114.7026,37.454925,13.541475,129.728775
114.79445,37.5011,13.560225,129.79495
115.4252,37.537175,13.567925,129.9124
115.44115,37.680525,13.576475,130.084525
116.3912,37.71225,13.58375,130.276
117.20935,37.75955,13.5964,130.3146
117.66735,37.84055,13.63345,130.581825
118.174175,37.945625,13.65695,130.59695
118.4582,38.0166,13.66475,130.863575
118.797625,38.08345,13.681825,130.913425
118.7994,38.125275,13.708975,131.598475
118.8381,38.1375,13.7223,131.6962
118.925475,38.241625,13.747625,132.027575
119.073675,38.2751,13.76825,132.1391
119.1918,38.342225,13.78975,132.2271
119.308575,38.475325,13.797775,132.415
119.488725,38.605325,13.8073,132.93335
119.495775,38.652625,13.82035,133.268175
119.702025,38.704575,13.836825,133.971425
119.7101,38.73765,13.8474,134.130025
119.721975,38.82635,13.856925,134.353975
119.75545,38.82985,13.866625,134.4952
119.804725,38.912775,13.881725,134.5059
119.817325,38.953025,13.888375,134.811125
119.858825,38.981375,13.90095,134.8893
119.9347,39.19225,13.928375,134.994575
119.96935,39.25965,13.983425,136.26605
120.02485,39.328025,14.004975,136.37375
120.126425,39.349775,14.051025,136.44065
120.36525,39.373575,14.06165,136.60175
120.3721,39.42675,14.070875,137.369675
120.3848,39.450325,14.082275,137.379675
120.57675,39.45985,14.099975,137.654725
121.02025,39.61185,14.13485,137.7645
121.04305,39.736775,14.14925,138.05045
121.06265,39.865975,14.169775,138.185325
121.6289,39.932025,14.1932,138.22845
122.6587,39.978,14.205925,138.458175
123.019525,40.03085,14.214675,138.772775
123.022625,40.0356,14.282675,138.8862
123.03135,40.059525,14.2917,139.205025
123.061525,40.14735,14.3091,139.5592
123.067125,40.539525,14.3291,139.667
124.633,40.601575,14.36355,139.97675
125.769825,40.664825,14.3959,140.0391
125.81325,40.68595,14.404225,140.09405
126.976275,40.70845,14.417275,140.10355
128.082875,40.869,14.42905,140.244175
128.652575,40.949625,14.442925,140.5233
128.72795,41.033225,14.466275,140.908625
128.872725,41.111475,14.479925,140.91615
129.241925,41.181,14.48595,141.24335
129.288325,41.222475,14.506125,141.2694
129.515925,41.308325,14.5551,141.34455
129.518825,41.33395,14.560175,141.456525
129.5339,41.39115,14.567275,141.487625
129.58965,41.509825,14.58765,141.577425
129.6234,41.5729,14.596775,141.655775
129.671725,41.744625,14.610175,141.9077
129.6797,41.86765,14.6453,141.938875
129.697825,41.89815,14.655775,141.99965
129.79675,41.904425,14.690175,142.26505
129.85535,41.94565,14.706525,142.43255
130.107225,41.948925,14.7152,142.503675
130.133725,41.977775,14.729375,142.52715
130.16535,41.981625,14.754925,142.5489
130.1887,42.004725,14.7906,142.607725
130.350625,42.05575,14.813775,142.655525
130.78015,42.08555,14.8199,142.869425
130.796075,42.1644,14.82595,142.879575
130.8532,42.195925,14.832725,142.926875
130.856425,42.265925,14.873525,143.364
130.9505,42.291975,14.9,143.459025
131.01645,42.331975,14.908325,143.732925
131.148625,42.46615,14.915675,143.774725
131.1655,42.52915,14.928675,143.81405
131.20445,42.54675,14.9297,143.915775
131.605775,42.6753,14.935,143.990875
131.671325,42.7242,14.9507,143.99805
131.674175,42.7627,14.9565,144.140225
131.6821,42.844025,14.96585,144.305375
131.7028,42.8837,14.971275,144.5755
132.078125,42.919375,14.97685,144.611875
132.230325,42.9545,14.988425,145.10385
132.326325,43.0334,14.996475,145.110825
132.3434,43.06385,15.00725,145.133375
132.447225,43.1135,15.017525,145.237875
132.4509,43.31445,15.03695,145.292275
132.4551,43.378325,15.054025,145.375
132.477525,43.597825,15.0716,145.640375
132.490675,43.649275,15.081175,145.76505
132.4983,43.695975,15.088475,145.935575
132.5273,43.7861,15.115225,145.941925
132.615825,43.934075,15.124375,145.9846
133.101875,43.96535,15.151625,146.324725
133.356975,44.007225,15.16575,146.372725
133.38275,44.2458,15.17595,146.398075
133.5031,44.31515,15.1911,146.6867
133.558475,44.367675,15.2255,146.86555
133.9359,44.4163,15.245725,146.979375
134.65795,44.452875,15.2682,147.01345
135.024875,44.51365,15.276225,147.047725
135.37555,44.57775,15.29415,147.2266
135.4086,44.72425,15.30605,147.6252
135.542,44.7457,15.33565,147.658575
135.59245,44.90315,15.362875,148.0269
135.5986,45.13325,15.37525,148.056125
135.648925,45.1819,15.382075,148.12885
135.72525,45.25945,15.4104,148.26075
136.061,45.428275,15.417875,148.3583
136.35385,45.470025,15.427875,148.619225
136.53375,45.476825,15.436825,148.653575
136.73835,45.551675,15.459475,148.80675
136.74185,45.557,15.471575,148.816825
136.752725,45.687,15.476,148.842725
137.4509,45.718325,15.49795,148.959325
138.789825,45.98565,15.58725,149.08805
139.38905,46.01755,15.602475,149.10385
139.3921,46.054825,15.62045,149.10915
139.3952,46.3388,15.637725,149.232175
139.420325,46.39115,15.653225,149.422825
139.43715,46.42955,15.667325,149.810175
139.50095,46.6198,15.6916,149.95335
139.54765,46.639025,15.70225,150.2391
139.801925,46.759375,15.7231,150.24835
140.06735,46.779275,15.732925,150.38445
140.08085,46.819525,15.75675,150.56535
141.441375,46.91945,15.787,150.63305
142.788975,46.996825,15.79835,150.97545
142.809575,47.2217,15.811625,151.07855
142.955575,47.2422,15.84275,151.2025
143.804625,47.4322,15.8696,151.29965
143.9521,47.651725,15.8777,151.342125
144.10965,47.765925,15.8956,151.365575
144.6727,47.79515,15.95145,151.4607
144.795475,47.851775,15.9896,151.5261
145.424975,48.0236,16.015325,151.75565
145.4515,48.094425,16.03155,152.15665
146.362025,48.146975,16.065475,152.17
147.43175,48.330225,16.07515,152.335825
147.437625,48.3815,16.088425,152.358025
148.6043,48.409025,16.10365,152.709825
148.852575,48.4397,16.113275,152.7568
148.867125,48.553075,16.114625,152.8877
149.044625,48.58435,16.15215,152.9707
149.059875,48.73195,16.1634,153.089475
150.06305,48.8474,16.219,153.1146
150.71395,48.9825,16.23065,153.237025
150.7265,49.015275,16.2467,153.264575
151.562375,49.05965,16.262575,153.479675
151.611225,49.086775,16.277775,153.9618
151.654125,49.1961,16.2893,154.070175
151.948025,49.25035,16.296625,154.209825
152.55675,49.37395,16.313225,154.692275
154.808175,49.402925,16.3297,154.803775
155.361675,49.441475,16.358975,154.812425
155.38855,49.6155,16.374325,154.849725
155.5441,49.972575,16.38605,154.906125
156.553575,49.98155,16.417225,155.04205
156.86725,49.997925,16.426475,155.121975
159.27385,50.024775,16.43465,155.329275
159.5208,50.069425,16.472875,155.5133
159.73595,50.3064,16.4873,155.6032
160.225,50.6111,16.54885,155.951525
161.31195,50.627275,16.582375,155.994425
161.810525,50.73205,16.5976,156.148625
161.948225,50.825875,16.6249,156.183775
161.9523,50.8612,16.723375,156.2506
161.986775,51.0396,16.739275,156.2684
162.010925,51.041325,16.801075,156.592775
162.18895,51.077775,16.829375,156.59955
162.328275,51.13515,16.8506,156.830475
162.464425,51.1567,16.872525,156.959075
162.476375,51.212875,16.907375,157.6632
162.634375,51.26475,16.936275,157.836575
162.679575,51.411825,16.948525,158.1536
162.88355,51.417025,17.014375,158.256525
163.121925,51.5227,17.03125,158.3457
163.54315,51.568,17.06985,158.35905
163.898,51.624675,17.09645,158.952525
163.9209,51.6859,17.159675,159.379375
164.4402,51.8227,17.2001,159.419
164.7684,51.86885,17.21665,159.442375
165.7345,51.93955,17.245675,159.47635
166.393825,51.981425,17.280325,159.5738
166.762975,52.019175,17.30285,159.65195
168.232525,52.0745,17.312475,159.767275
168.8223,52.11685,17.341725,159.94425
168.827125,52.199175,17.367575,160.467175
168.838475,52.56465,17.395475,160.505875
169.31175,52.591325,17.41525,160.538525
169.33685,52.641525,17.42545,160.58845
169.386475,52.781275,17.445825,160.6563
169.515525,52.8003,17.4623,160.8936
169.896325,52.843,17.519875,161.03485
170.0801,52.915875,17.538925,161.0571
171.350025,52.94575,17.5504,161.074175
173.359725,52.969,17.580425,161.19585
174.0055,53.302925,17.6174,161.203875
174.01205,53.422225,17.648325,161.212075
174.062975,53.4884,17.66345,161.2952
174.0962,53.51605,17.673475,161.42035
174.131975,53.70435,17.68695,161.46395
174.39155,53.768175,17.697775,161.54615
174.475925,53.894675,17.748025,161.567125
174.621275,53.99795,17.768675,161.624625
175.007975,54.1671,17.790725,161.701475
176.23075,54.18325,17.810325,162.202725
176.2481,54.19065,17.844225,162.345175
177.794575,54.225625,17.8754,162.41065
177.837875,54.2523,17.91725,162.433725
177.848575,54.292775,17.938325,162.892975
178.30635,54.369425,17.9696,162.9684
178.4549,54.371025,17.998125,163.43585
181.163,54.437025,18.022225,163.484475
181.165375,54.4554,18.03435,163.68735
181.197325,54.470725,18.07585,163.7331
181.773225,54.480775,18.09265,163.86985
181.78175,54.504025,18.1082,163.907675
181.824275,54.66315,18.131625,163.91305
183.178525,54.752775,18.155375,164.023875
183.200825,54.856025,18.1686,164.0518
183.3964,55.019975,18.18665,164.230925
184.4008,55.0391,18.2026,164.355675
184.4128,55.079325,18.2127,164.431775
184.423425,55.168675,18.259925,164.52195
184.43765,55.203125,18.27895,164.56855
184.51095,55.22285,18.301525,164.816475
184.5249,55.351425,18.323075,164.841475
184.592475,55.375425,18.34475,164.9049
184.664225,55.46945,18.365325,165.059475
184.684725,55.48665,18.38515,165.1732
185.16535,55.495375,18.403475,165.19515
185.73945,55.517275,18.425525,165.28285
185.754925,55.564,18.432625,165.557925
186.61225,55.6976,18.47435,165.826
186.752825,55.726975,18.490725,165.91635
186.77135,55.81705,18.51305,165.977225
186.96535,55.84575,18.587075,165.998325
187.612325,55.9068,18.610025,166.0533
187.633425,56.13715,18.67395,166.51965
187.67965,56.278325,18.712825,166.589375
187.7238,56.321825,18.73425,166.599525
187.729475,56.345675,18.75965,166.79815
187.7336,56.383775,18.78755,166.861725
