SPK_SPKC04a (inhibited),SPK_SPKC16a (short excitation)
40.864,25.753425
40.9319,25.79685
41.0808,25.84115
41.139625,25.877525
41.1799,25.90075
41.22695,25.9457
41.2603,25.96375
41.369125,26.018425
41.430275,26.030875
41.467275,26.045525
41.50175,26.057925
41.54615,26.105275
41.5541,26.206175
41.59285,26.228525
41.74675,26.25025
41.817225,26.314075
41.8501,26.4385
41.9557,26.46535
41.98305,26.485725
42.024025,26.498575
42.053825,26.51765
42.1795,26.533625
42.19955,26.545
42.235525,26.559175
42.313225,26.5916
42.3486,26.651625
42.377825,26.705275
42.4209,26.719475
42.60075,26.7392
42.6307,26.75285
42.64785,26.773
42.746375,26.813875
42.7852,26.82775
42.8631,26.848875
42.888675,26.8714
42.981,26.904575
43.0789,26.9299
43.125825,26.98945
43.17755,27.065775
43.197475,27.1276
43.212275,27.152875
43.23215,27.1799
43.26995,27.253075
43.37445,27.27145
43.467075,27.3013
43.5303,27.3429
43.542075,27.3733
43.598775,27.3893
43.653575,27.416125
43.6853,27.46095
43.708775,27.56085
43.7381,27.63995
43.76325,27.690875
43.78375,27.7475
43.825775,27.80765
43.8974,27.833
43.9481,27.86135
44.016375,27.8758
44.0491,27.90925
44.053575,27.9419
44.088125,28.02925
44.124275,28.12065
44.156225,28.171425
44.233025,28.179375
44.274175,28.1977
44.309375,28.22085
44.390225,28.246425
44.4306,28.278425
44.454475,28.310775
44.482325,28.327225
44.509375,28.35555
44.61145,28.389925
44.667375,28.427875
44.69185,28.486375
44.70245,28.532225
44.758025,28.5768
44.89275,28.606375
44.92375,28.631075
44.975775,28.6926
45.012425,28.763525
45.033675,28.90605
45.0463,28.924275
45.105575,29.03635
45.226875,29.104725
45.25095,29.1371
45.3075,29.19075
45.3206,29.21835
45.345125,29.25085
45.485825,29.376875
45.517775,29.437375
45.616025,29.462375
45.6306,29.47485
45.694625,29.511025
45.730025,29.536375
45.74725,29.5675
45.764375,29.58385
45.82835,29.633025
45.966575,29.66625
46.0104,29.687875
46.0613,29.7299
46.098325,29.765575
46.2018,29.806275
46.2414,29.830875
46.290275,29.885475
46.3272,29.911975
46.350125,29.957925
46.3844,29.98375
46.456375,30.0009
46.4752,30.020425
46.491825,30.04795
46.506425,30.062225
46.54225,30.100675
46.56955,30.159475
46.5899,30.173625
46.597125,30.197825
46.6546,30.228225
46.7028,30.268975
46.720075,30.302875
46.73825,30.3167
46.763125,30.353
46.800275,30.39005
46.822025,30.40955
46.85285,30.42335
46.8825,30.426575
46.917675,30.452825
47.029075,30.4712
47.0724,30.496
47.0948,30.516725
47.1282,30.55175
47.13995,30.600825
47.154375,30.658075
47.1733,30.74495
47.185525,30.7522
47.205825,30.766875
47.238875,30.784575
47.246275,30.80725
47.254425,30.830575
47.28575,30.855825
47.329475,30.898525
47.3677,30.928475
47.427425,31.118025
47.4602,31.177375
47.525425,31.209975
47.589275,31.465675
47.633225,31.486875
47.6629,31.50995
47.68015,31.539875
47.79335,31.5686
47.8649,31.5713
47.893575,31.58995
47.957725,31.6017
47.984275,31.61985
48.11195,31.643925
48.141325,31.6453
48.2807,31.670325
48.330125,31.691925
48.401375,31.715525
48.435825,31.7282
48.467925,31.737375
48.501375,31.7703
48.533575,31.797075
48.555475,31.812975
48.6394,31.8817
48.674225,31.94295
48.7083,31.97085
48.7533,31.99465
48.81725,32.01935
48.843225,32.042175
48.86455,32.081525
48.91675,32.195675
48.938825,32.25145
49.024275,32.287025
49.133,32.331475
49.19655,32.4148
49.24355,32.464925
49.3027,32.4677
49.35875,32.5139
49.377175,32.55745
49.40435,32.598175
49.44495,32.6814
49.542125,32.70765
49.58785,32.71265
49.665,32.730025
49.7019,32.735775
49.75355,32.73885
49.81375,32.749725
49.84065,32.7543
49.86805,32.758575
49.919125,32.782525
49.989125,32.80535
50.023575,32.86485
50.08795,32.901025
50.11495,32.934275
50.13905,32.970875
50.1864,33.015125
50.224125,33.054075
50.265975,33.084125
50.2933,33.111775
50.322775,33.1544
50.3471,33.1925
50.389975,33.25495
50.45725,33.282225
50.52935,33.308375
50.5724,33.332025
50.626725,33.3494
50.700725,33.387725
50.7615,33.4995
50.7976,33.5189
50.838275,33.5395
50.876075,33.574325
50.90315,33.613025
50.983325,33.6458
51.0216,33.66495
51.054375,33.7229
51.0989,33.742475
51.1274,33.777975
51.1615,33.811125
51.205325,33.83445
51.263175,33.84865
51.2936,33.867125
51.3167,33.87755
51.504625,33.921775
51.537625,33.970775
51.5664,33.991825
51.611475,34.084625
51.6703,34.1039
51.703625,34.116025
51.7574,34.1464
51.788075,34.168375
51.829875,34.2216
51.88345,34.2656
51.91765,34.292075
51.945125,34.3167
51.973325,34.359375
51.99265,34.387125
52.08125,34.4042
52.15535,34.428875
52.18785,34.451825
52.221175,34.46395
52.261575,34.492275
52.299725,34.50885
52.3361,34.5374
52.358725,34.5516
52.416725,34.58985
52.44685,34.614175
52.605675,34.679775
52.658175,34.716725
52.714875,34.74025
52.740875,34.772125
52.774225,34.802325
52.801575,34.8428
52.844325,34.950825
52.92115,34.990925
52.957325,35.016975
53.02055,35.04435
53.041275,35.06625
53.067825,35.101675
53.2329,35.175075
53.441625,35.21885
53.47415,35.25845
53.49755,35.325775
53.52665,35.3436
53.60225,35.3597
53.65275,35.38465
53.684675,35.4165
53.71975,35.446025
53.752425,35.48615
53.779125,35.521025
53.81155,35.7058
53.879625,35.719475
53.923475,35.74365
53.991225,35.7601
54.0523,35.777
54.08655,35.79895
54.118,35.816575
54.19725,35.8274
54.240975,35.838675
54.274125,35.857675
54.2939,35.878325
54.385675,35.9998
54.419775,36.053175
54.44605,36.0689
54.486375,36.09515
54.531125,36.1312
54.63055,36.15305
54.644925,36.195125
54.666425,36.216
54.690875,36.2484
54.796275,36.262075
54.842125,36.29105
54.86185,36.334875
54.920525,36.3559
54.9459,36.40175
54.976375,36.418725
55.087,36.438325
55.108725,36.477025
55.20125,36.538075
55.33715,36.556725
55.3612,36.593
55.391525,36.628075
55.429675,36.64855
55.45645,36.691375
55.490075,36.71225
55.510225,36.74095
55.529075,36.79045
55.554,36.8064
55.6132,36.841325
55.641025,36.8654
55.71335,36.899425
55.7978,37.068425
55.81155,37.127875
55.834275,37.1432
55.880425,37.1727
55.9318,37.185725
55.9961,37.218725
56.053,37.418325
56.101675,37.44275
56.1302,37.450775
56.1618,37.46925
56.1926,37.490925
56.2137,37.527025
56.23865,37.5591
56.273125,37.598675
56.306025,37.636725
56.313325,37.660175
56.33915,37.673275
56.50095,37.696825
56.520125,37.714675
56.537475,37.776975
56.57175,37.80325
56.589575,37.8411
56.61775,37.864125
56.6794,37.891175
56.7063,37.940225
56.731125,37.944275
56.759225,38.01865
56.792475,38.037175
56.84805,38.09635
56.969175,38.120725
57.007175,38.1624
57.09425,38.191
57.141475,38.2272
57.162425,38.2374
57.2418,38.257925
57.286275,38.278825
57.3042,38.303275
57.36745,38.315475
57.403275,38.3548
57.44725,38.38575
57.47555,38.405225
57.51055,38.454825
57.53255,38.48745
57.5674,38.5198
57.604625,38.57595
