SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC04b,SPK_SPKC05a
37.458275,10.6664,18.90835,15.822625,19.4324
37.652225,10.700825,19.01275,15.906725,19.440425
37.69375,10.76235,19.05885,15.9454,19.4888
37.911,10.79365,19.085575,16.004525,19.5975
37.92175,10.82085,19.100875,16.08535,19.623875
38.0185,10.84385,19.1394,16.277275,19.63925
38.058225,10.883525,19.195125,16.342675,19.72185
38.154625,10.894875,19.2666,16.3991,19.797175
38.47445,10.93865,19.337925,16.4601,19.886725
38.633425,10.9759,19.510175,16.584275,19.90725
38.737575,11.048725,19.5458,16.6808,19.960325
38.77005,11.078175,19.599325,16.745275,19.99565
38.810875,11.091525,19.68215,16.7929,20.025925
38.9177,11.1082,19.781175,16.8739,20.09515
38.987675,11.148275,19.8628,16.947975,20.309825
39.034325,11.198,19.875025,16.99345,20.364625
39.071875,11.1997,19.91075,17.0766,20.4902
39.18845,11.291225,19.988325,17.1662,20.5742
39.3749,11.29365,20.073,17.21975,20.581225
39.585025,11.3279,20.215125,17.26745,20.6748
39.714275,11.3482,20.32235,17.32045,20.8515
39.830325,11.390625,20.467425,17.40415,20.8628
40.191575,11.45595,20.545325,17.5066,20.887175
40.372275,11.463875,20.57725,17.599475,20.92945
40.3759,11.5285,20.590625,17.6532,21.028825
40.44465,11.5554,20.617175,17.701025,21.220775
40.522,11.570325,20.634675,17.7598,21.24535
40.6481,11.5911,20.650125,17.81545,21.325125
40.672325,11.6222,20.6915,17.879925,21.330475
40.68055,11.84585,20.7192,17.998475,21.379275
40.73445,11.85445,20.7458,18.027725,21.438075
40.98105,11.88345,20.764975,18.070425,21.442875
41.179375,11.926625,20.85135,18.1072,21.562575
41.412425,11.9339,20.88105,18.1452,21.598775
41.609875,11.940875,20.91645,18.191175,21.63845
41.726425,11.9746,20.962775,18.2124,21.855825
41.91835,11.99675,20.976425,18.25465,21.941075
42.30265,12.170375,20.998925,18.28815,21.975625
42.37535,12.194575,21.03855,18.31925,21.9928
42.581575,12.240025,21.076375,18.38525,22.111275
42.830325,12.26255,21.1147,18.42055,22.138325
42.994125,12.279975,21.144775,18.479775,22.249175
43.036725,12.420025,21.18375,18.51185,22.366625
43.1217,12.597625,21.2419,18.642975,22.408075
43.151275,12.640225,21.297375,18.730325,22.4867
43.220975,12.657525,21.363225,18.874375,22.541975
43.5715,12.693975,21.4114,18.9517,22.608775
43.645875,12.730825,21.472975,19.014625,22.671625
43.812025,12.8285,21.529775,19.03845,22.678475
43.841575,12.86865,21.57655,19.06445,22.75095
44.358775,12.889625,21.647925,19.081425,22.853275
44.656275,12.891325,21.7552,19.095425,22.91785
44.821525,12.959575,21.824475,19.145675,22.959875
44.9168,12.9862,21.930175,19.2399,22.99275
45.0143,13.005075,22.0154,19.381925,22.99455
45.132825,13.037375,22.1073,19.419375,23.000575
45.586225,13.102925,22.20145,19.43475,23.0487
45.58725,13.157425,22.29985,19.479,23.077075
45.70565,13.173775,22.401175,19.519425,23.100775
45.817225,13.176575,22.50155,19.5386,23.121725
45.9756,13.204725,22.591875,19.579,23.14365
46.565875,13.262525,22.651425,19.62185,23.1477
46.606,13.2764,22.68245,19.771425,23.200825
46.62645,13.373725,22.810775,19.802775,23.2245
46.839775,13.501975,23.01015,19.8584,23.272625
47.0463,13.538275,23.091375,19.8797,23.36435
47.770325,13.5435,23.126125,19.89455,23.384375
47.9193,13.5639,23.16055,19.9478,23.421925
48.057,13.74875,23.264025,20.0401,23.49365
48.09535,13.7623,23.302525,20.120375,23.521925
48.1976,13.8218,23.50825,20.204725,23.585525
48.49675,13.8844,23.56525,20.279825,23.605775
48.547475,14.020875,23.609175,20.4012,23.691075
48.55115,14.024525,23.678825,20.479975,23.7439
48.76395,14.038175,23.723375,20.532575,23.77625
48.81665,14.073125,23.774375,20.562725,24.0023
49.4939,14.15785,23.8067,20.645075,24.006
49.496575,14.2079,23.98695,20.7232,24.133075
49.587075,14.22905,24.051,20.747125,24.175175
49.66155,14.2882,24.126125,20.785625,24.240975
50.2842,14.34,24.216075,20.800525,24.2588
50.408175,14.37715,24.373775,20.833825,24.294925
50.495375,14.396175,24.440725,20.848875,24.2968
50.539625,14.44425,24.645825,20.95045,24.373075
50.59065,14.51795,24.687225,21.043925,24.376875
50.6711,14.54715,24.716075,21.096825,24.44155
50.725425,14.654375,24.76045,21.117775,24.445
50.768725,14.75225,24.821275,21.132675,24.482175
50.8228,14.786225,25.090525,21.223475,24.523475
50.90915,14.881725,25.1767,21.2862,24.6022
51.0364,14.916275,25.2672,21.315175,24.69245
51.2094,14.971525,25.372325,21.356825,24.720175
51.402,14.984675,25.51745,21.513825,24.7539
51.4387,15.020925,25.59025,21.6178,24.7779
51.522325,15.04665,25.723375,21.67775,24.79175
51.74085,15.1173,25.79385,21.725075,24.98995
51.817575,15.17815,25.84565,21.7534,25.037175
51.854675,15.183625,25.8726,21.934225,25.084125
51.88855,15.24015,25.9229,21.970175,25.156875
51.97675,15.269375,25.9652,22.05415,25.1649
52.352125,15.363025,26.130225,22.235725,25.19665
52.391175,15.3767,26.19455,22.33665,25.23215
52.477825,15.38515,26.258325,22.5518,25.242375
52.6149,15.459975,26.371925,22.630775,25.25685
52.736375,15.478025,26.477375,22.7516,25.275275
52.98525,15.479625,26.6221,22.88,25.278525
53.09265,15.509075,26.699825,22.977225,25.326975
53.13915,15.55725,26.75255,23.05955,25.401975
53.292525,15.57745,26.78265,23.108075,25.44105
53.533025,15.645375,26.81995,23.1554,25.517
53.6031,15.706025,26.88125,23.198625,25.6293
53.688775,15.8034,26.970675,23.2165,25.658825
53.73575,15.806575,27.19245,23.2708,25.6753
53.814875,15.825075,27.332625,23.30825,25.835775
53.889575,15.8624,27.4689,23.374775,25.861775
53.95965,15.923725,27.56585,23.404925,25.888375
54.043925,15.9657,27.6054,23.44615,25.90415
54.134525,16.00655,27.747625,23.454,25.924975
54.177775,16.053425,27.8261,23.49785,25.9493
54.601825,16.1086,27.901375,23.53725,25.985425
54.7558,16.152325,28.157225,23.579325,26.037475
54.980875,16.170575,28.23955,23.608175,26.183975
55.185125,16.22965,28.34205,23.682475,26.233975
55.37885,16.2435,28.485975,23.71425,26.330975
55.41355,16.306525,28.802475,23.758875,26.357675
56.01275,16.345425,28.867425,23.7957,26.412525
56.09375,16.3933,28.9135,23.8284,26.593375
56.16845,16.4345,29.004875,23.89905,26.653825
56.207375,16.45425,29.0608,24.1023,26.72745
56.246525,16.46935,29.1119,24.16695,26.73145
56.444875,16.50495,29.193275,24.2627,26.7585
56.538125,16.522875,29.256475,24.3376,26.8098
56.573525,16.529075,29.328925,24.419875,26.824625
56.695125,16.59575,29.406625,24.45375,26.8869
56.737475,16.626425,29.479525,24.5444,27.085925
57.22515,16.7364,29.5396,24.62325,27.158525
57.261825,16.789475,29.604475,24.67335,27.236325
57.33625,16.794125,29.61795,24.69855,27.27615
57.372925,16.80655,29.7,24.727625,27.304625
57.48125,16.835975,29.769775,24.7815,27.511675
57.77355,16.87115,29.80985,24.848,27.52585
