SPK_SPKC03a (exci),SPK_SPKC09a (exc),SPK_SPKC12a (inhi),SPK_SPKC15a (inhi)
16.3062,54.10605,20.77095,23.710725
16.3438,54.1237,20.8196,23.73595
16.3748,54.13505,20.843475,23.79305
16.403775,54.1448,20.859825,23.8913
16.431275,54.15485,20.879225,23.923625
16.46565,54.174175,20.90425,23.956575
16.507425,54.189375,20.9186,24.003275
16.5614,54.20175,20.9401,24.0654
16.56935,54.21635,21.016225,24.095425
16.616075,54.231175,21.036675,24.29835
16.683025,54.274625,21.06705,24.337025
16.7225,54.308425,21.09205,24.3737
16.739,54.364125,21.11015,24.4278
16.749175,54.3931,21.137175,24.45785
16.757325,54.5278,21.184925,24.49045
16.766725,54.633775,21.228575,24.530425
16.777325,54.682975,21.2953,24.658325
16.783675,54.746825,21.334025,24.71835
16.799825,54.77825,21.3468,24.775275
16.818075,54.79665,21.36445,24.800875
16.841275,54.809475,21.389325,24.81075
16.8601,54.823725,21.407575,24.851875
16.879675,54.854325,21.43045,24.9317
16.8995,54.87595,21.4349,24.932725
16.919475,54.91115,21.458025,24.9647
16.941025,54.94445,21.47715,24.99555
16.95655,54.969525,21.497175,25.10415
16.98445,54.997475,21.50435,25.108725
17.015125,55.11235,21.529,25.146475
17.049625,55.12635,21.546275,25.196175
17.082525,55.138,21.5795,25.259925
17.104525,55.153475,21.601075,25.28815
17.159725,55.1607,21.61595,25.3226
17.19355,55.168275,21.64595,25.36075
17.223375,55.1772,21.6831,25.412325
17.236825,55.186075,21.712775,25.532275
17.25635,55.19365,21.73075,25.610625
17.2766,55.199675,21.745675,25.642975
17.292525,55.21165,21.767075,25.671375
17.32595,55.2333,21.7829,25.725075
17.340025,55.2478,21.839625,25.734
17.404375,55.267,21.89165,25.76835
17.446325,55.2888,21.92385,25.79925
17.493525,55.35555,21.94585,25.839475
17.56535,55.41615,21.976025,25.878975
17.5826,55.4428,21.9975,25.94155
17.592625,55.47175,22.0136,25.9686
17.600975,55.521675,22.035325,26.114
17.611175,55.590375,22.061725,26.2658
17.6194,55.61925,22.0863,26.331475
17.6583,55.683125,22.134875,26.3375
17.67255,55.725375,22.1811,26.3596
17.687,55.77675,22.21505,26.418125
17.71255,55.814475,22.2498,26.496525
17.737,55.837175,22.26965,26.564375
17.770825,55.875275,22.302175,26.619175
17.795125,55.894225,22.3195,26.686775
17.81115,55.903575,22.339125,26.79125
17.8505,55.9084,22.36305,26.827225
17.930825,55.913175,22.388925,26.86005
17.954175,55.919025,22.422275,26.9001
17.98735,55.929425,22.4579,27.0469
18.018425,55.935425,22.4858,27.076725
18.041225,55.94005,22.51335,27.1286
18.0662,55.951675,22.528925,27.146925
18.0804,55.9695,22.568,27.22885
18.109075,56.0081,22.597875,27.296075
18.14135,56.061025,22.625475,27.3235
18.16215,56.09085,22.6314,27.400075
18.195175,56.131625,22.7081,27.4652
18.212475,56.162125,22.74275,27.53035
18.2297,56.19865,22.760275,27.5544
18.244275,56.2957,22.79015,27.61005
18.25535,56.412075,22.818375,27.64195
18.265825,56.4283,22.881575,27.678275
18.28435,56.438375,22.895575,27.7138
18.292875,56.443925,22.92115,27.7409
18.31985,56.452625,22.9468,27.76165
18.33985,56.464075,22.97395,27.792775
18.3696,56.472325,23.0092,27.79845
18.39385,56.482675,23.03455,27.824975
18.43175,56.5212,23.064325,27.857225
18.453675,56.543575,23.111375,27.893825
18.48115,56.605625,23.1425,27.9271
18.522525,56.63465,23.184775,28.04755
18.5482,56.685675,23.20155,28.07905
18.58275,56.708025,23.222025,28.105775
18.615775,56.74515,23.256225,28.125725
18.661625,56.788525,23.276875,28.183675
18.69035,56.814025,23.3026,28.199325
18.7108,56.8479,23.3519,28.2359
18.724775,56.87075,23.3892,28.25745
18.732725,56.911075,23.434025,28.3177
18.74505,56.943825,23.46555,28.37095
18.75525,56.97505,23.483,28.407575
18.767475,56.996575,23.536925,28.44975
18.774,57.034825,23.582975,28.4914
18.7903,57.052675,23.6043,28.559025
18.804075,57.084975,23.629575,28.60285
18.819125,57.1191,23.687525,28.63255
18.8344,57.164275,23.71875,28.69045
18.86565,57.200675,23.745525,28.71015
18.906675,57.227925,23.762475,28.771525
18.925025,57.32555,23.807825,28.806875
18.9442,57.3537,23.8337,28.85015
18.965525,57.390325,23.879775,28.8702
18.983975,57.43305,23.9181,28.877825
19.002575,57.450925,23.97845,28.98855
19.02705,57.467,24.02715,29.07755
19.044175,57.48685,24.05435,29.113475
