SPK_SPKC01a (late excitation),SPK_SPKC01b (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC08b (inhibited),SPK_SPKC09a (excited)
6.430125,139.13415,138.24305,35.68465,99.7872,32.545325
6.44675,139.17025,139.011475,35.799975,99.8314,32.846025
6.454825,140.0487,139.659525,35.810125,99.876925,33.020025
6.4604,140.503825,139.893875,35.84415,99.946225,33.02845
6.46325,140.5817,139.91815,35.929275,100.1051,33.3892
6.468675,141.261025,140.12885,35.9865,100.149,33.418425
6.47165,141.81175,140.779125,36.0369,100.424,33.579125
6.4945,142.157375,141.121075,36.0669,100.467525,33.772025
6.504975,142.5075,141.15125,36.0842,100.51225,33.82855
6.5132,144.399475,141.7396,36.08725,100.680725,34.130975
6.5437,145.61825,142.042625,36.1038,100.745875,34.233125
6.54515,145.6323,142.06215,36.115325,100.954525,34.43065
6.613175,145.73095,142.07555,36.143425,101.29355,34.459975
6.618775,145.81675,143.57935,36.16405,101.395475,34.5067
6.679975,146.416475,145.21295,36.184025,101.44875,34.70095
6.702075,147.0725,147.537125,36.186875,101.855425,34.75515
6.704725,148.465125,147.578525,36.208675,101.8985,34.771675
6.72155,149.1987,148.191425,36.277375,101.937325,34.814425
6.727425,149.53185,148.5479,36.278925,102.058525,35.099675
6.7382,149.547975,148.578725,36.3398,102.14945,35.321425
6.826925,149.954225,149.057875,36.374125,102.204725,35.39915
6.851825,150.383675,150.026925,36.38415,102.238325,35.66895
6.871475,150.392925,150.28525,36.409625,102.268975,35.6914
6.87955,150.461975,150.38475,36.434625,102.32,35.813575
6.896375,150.526575,150.43905,36.8471,102.493075,35.840525
6.92145,150.54795,150.444225,36.972025,102.515025,35.8745
6.9267,151.05225,150.45445,37.069725,102.6013,35.99725
6.9353,151.408625,150.6886,37.10635,102.68955,36.134575
6.94655,151.779575,150.8068,37.147075,102.844125,36.1521
6.951975,153.2921,151.11855,37.172025,102.853675,36.17975
6.9548,154.718475,151.128075,37.587275,103.283,36.18825
6.99035,156.324775,151.770975,37.819575,103.3402,36.221
6.99635,157.80705,151.82305,37.87975,103.459375,36.471225
7.00475,158.5111,151.938675,38.07375,103.492975,36.540675
7.010375,159.245225,151.97515,38.2485,103.55135,36.679525
7.0214,159.3785,152.49635,38.282275,104.0378,36.70555
7.046175,160.028775,152.535225,38.328325,104.189225,36.727275
7.0803,160.3151,153.364475,38.3667,104.338725,37.0667
7.0949,160.811475,153.637925,38.66935,104.412975,37.1857
7.1296,161.0853,153.7301,38.778925,104.735725,37.504925
7.146275,161.9299,153.76025,38.92055,104.83775,37.525025
7.212925,162.728,154.0808,38.93375,104.903475,37.621475
7.26005,162.986475,154.179875,38.97745,104.963625,37.6962
7.262875,163.189725,154.387125,39.052825,105.1068,37.9205
7.2713,164.239675,154.4147,39.10375,105.389175,38.049125
7.2878,164.644675,154.8896,39.1568,105.56345,38.131925
7.2964,164.661775,155.114925,39.2061,105.6251,38.13705
7.313275,164.796125,155.39715,39.2974,105.9242,38.270325
7.3351,167.3944,155.783275,39.351875,105.981925,38.39585
7.337925,169.196,156.1276,39.507625,106.075925,38.47705
7.379675,169.45125,156.7958,39.5651,106.083225,38.853
7.4046,170.14185,157.3229,39.724,106.18105,39.623225
7.476625,170.5594,157.484025,39.727825,106.30385,39.6336
7.496275,170.617775,157.7454,39.7745,106.6265,39.65135
7.501725,171.4828,157.75675,39.80985,106.6691,39.98575
7.5114,171.5952,157.9391,40.145675,106.70585,40.00915
7.543475,171.7389,157.996475,40.196575,106.81835,40.27325
7.604475,174.841125,158.5694,40.358975,106.94795,40.3597
7.643225,175.4576,158.760775,40.3868,107.227225,40.43045
7.646225,175.56365,159.713825,40.70175,107.274325,40.495725
7.662725,176.037825,159.836675,40.793375,107.3934,40.687575
7.6683,176.362325,160.0587,40.913375,107.426775,40.813225
7.685425,176.9878,160.2448,41.0492,107.4722,40.870525
7.686775,178.139675,160.6825,41.1041,107.562,41.1175
7.69605,178.3494,160.974725,41.193375,107.6665,41.125725
7.712875,179.723575,161.311325,41.264675,107.749825,41.380325
7.7208,179.820125,161.5943,41.43275,107.778875,41.913975
7.73495,181.2306,162.006225,41.5056,107.90195,41.9876
7.7516,181.397,162.333875,41.673325,108.06735,42.160525
7.762675,182.08555,162.55735,41.72865,108.1604,42.391925
7.776525,183.012175,163.25985,41.763725,108.235475,42.397175
7.784925,184.843975,163.265375,41.941925,108.286475,42.4125
7.80485,185.449925,163.416025,41.9936,108.3525,42.450025
7.809825,185.646075,163.79025,42.0473,108.532875,42.68445
7.829525,185.99575,163.8992,42.101125,108.61065,43.0314
7.8628,186.77415,163.9419,42.169825,108.63045,43.497875
7.87105,186.884825,165.199725,42.18945,108.713875,43.6267
7.904175,187.166625,165.891525,42.223075,108.74685,43.665275
7.909625,187.215325,166.00255,42.28365,108.771425,43.9279
7.929275,187.343075,166.3375,42.33775,108.842125,44.093675
7.93485,187.5049,166.407,42.4874,108.911375,44.275375
7.959575,187.67225,166.749425,42.80425,108.99525,44.96825
7.962575,187.68745,167.696925,42.938825,109.075875,45.0365
7.967975,187.940425,167.82105,42.9992,109.232,45.72135
7.99305,188.432075,168.028925,43.13175,109.293225,45.732475
8.00435,189.043475,168.3582,43.307625,109.3252,45.774
8.012575,189.1354,168.4439,43.383,109.402275,45.794175
8.0264,189.310475,168.4691,43.623975,109.431125,46.233425
8.037475,189.789675,169.5396,43.79075,109.549375,46.315075
8.051475,190.075425,169.83535,43.932425,109.730625,46.5638
8.068125,190.187975,169.887175,44.049275,109.78995,46.635875
8.1262,192.05655,170.51785,44.120125,109.9133,46.80555
8.1597,195.442025,170.688825,44.25615,110.0062,46.896575
8.218075,195.991925,170.785025,44.383625,110.084975,47.088725
8.234725,196.017825,170.792225,44.555525,110.18105,47.221975
8.2374,196.2352,171.384,44.674725,110.41085,47.688425
8.25425,196.576625,172.15715,44.82015,110.5271,47.8929
8.279125,196.647825,172.885175,44.937575,110.556925,48.07175
8.29295,196.884125,173.09995,45.197475,110.686375,48.495
8.304175,198.27,174.223025,45.261975,110.81675,48.616875
8.30945,199.869275,174.775175,45.327375,110.9996,48.909
8.34575,200.44085,175.7823,45.442975,111.0123,48.936475
8.347125,200.46705,175.975575,45.5085,111.0299,49.19945
8.40135,201.61585,176.332,45.5655,111.103975,49.368875
8.404175,203.01535,176.344675,45.629225,111.181675,49.532
8.426075,204.418825,176.5725,45.70235,111.324925,49.8511
8.42905,204.527325,177.844375,45.82935,111.4136,49.97655
8.437475,204.746425,178.7294,45.883375,111.49275,50.375175
8.4459,205.045,178.84155,45.9763,111.57025,50.620475
8.46375,205.49545,179.18385,46.0352,111.70235,50.884375
8.4778,206.058425,179.405425,46.144275,111.734225,50.902625
8.5122,206.455725,180.449225,46.303375,111.7941,51.187175
8.5492,206.63795,180.9649,46.3144,111.95345,51.21925
8.551225,206.7423,181.6866,46.3451,112.00065,51.303225
8.559325,206.995775,182.52415,46.46765,112.0646,51.5445
8.56215,207.167575,182.53745,46.5164,112.2687,51.571925
8.57615,207.19785,182.57445,46.715325,112.31375,51.64645
8.58725,207.359925,182.7281,46.788325,112.44485,51.74695
8.601225,207.77125,182.806825,46.9235,112.496925,51.819275
8.620575,207.8313,183.150975,47.0498,112.63095,52.525375
8.67895,208.7495,183.172575,47.157075,112.6687,52.777125
8.762275,209.811275,183.206925,47.21525,112.699525,52.8043
8.81205,209.92365,183.233025,47.28135,112.747425,52.912025
8.83445,210.0643,183.749225,47.3636,112.786125,53.093475
8.8622,211.10215,184.233,47.455375,112.820625,53.3542
8.90935,212.384725,185.00225,47.577,112.885075,54.13775
8.9455,215.921625,185.745425,47.630325,112.9048,54.1451
8.959325,216.052775,185.780525,47.703725,112.9363,54.2124
8.994075,216.156025,186.13835,47.759375,113.020725,54.22515
9.01775,216.7758,187.34945,47.8557,113.261475,54.41595
9.042625,216.845775,187.52985,47.9131,113.292075,54.49995
9.048875,217.1093,187.888525,47.9856,113.501825,54.645175
9.0621,217.28655,188.086975,48.05835,113.653475,54.86815
9.112275,217.64975,188.1371,48.12275,113.7096,55.017075
9.142425,218.55475,188.78835,48.178675,113.741025,55.32045
9.1454,219.050375,188.881775,48.36155,113.864875,55.34735
9.162075,219.38805,189.457525,48.578275,113.9814,55.388725
