SPK_SPKC03a (inhibited),SPK_SPKC07b (inhibited),SPK_SPKC08b (no effect),SPK_SPKC08c (excited),SPK_SPKC10a (weak inhibition)
3.6156,84.5615,10.469975,14.308025,4.179875
3.6395,85.0871,10.488325,14.3273,4.208575
3.646675,85.151575,10.513825,14.3462,4.2327
3.667775,85.295325,10.53575,14.58225,4.2548
3.68705,85.59265,10.5601,14.67895,4.2685
3.70345,85.714975,10.584175,14.729525,4.311025
3.721675,85.75835,10.61715,14.83245,4.3356
3.733475,86.19535,10.643475,14.941025,4.3632
3.75205,86.538425,10.6618,14.980275,4.391375
3.765425,87.22135,10.752225,14.998025,4.4195
3.792675,87.2917,10.8091,15.07845,4.45105
3.801325,87.359475,10.850275,15.11735,4.46895
3.8169,87.767775,10.904925,15.1389,4.4951
3.82965,87.877175,10.943525,15.174725,4.516775
3.859675,87.93815,10.971475,15.198625,4.533725
3.8695,89.063025,11.00275,15.22025,4.54935
3.875075,89.64665,11.026625,15.254575,4.562725
3.895425,90.072775,11.051875,15.44805,4.576175
3.916525,90.511775,11.0776,15.488675,4.595
3.92245,90.6255,11.098475,15.500425,4.6142
3.940775,90.71515,11.1088,15.844025,4.630675
3.95485,91.253925,11.1221,15.864525,4.650825
3.9745,91.315125,11.140725,15.983875,4.6845
3.981875,91.377275,11.15995,16.012575,4.708125
4.005675,91.9177,11.191975,16.03625,4.72475
4.022125,91.9319,11.242875,16.089,4.737225
4.04495,92.034025,11.27485,16.10785,4.755225
4.065875,92.671025,11.295725,16.15435,4.772425
4.083,92.7666,11.31665,16.191075,4.7945
4.0868,92.8906,11.329825,16.248225,4.822525
4.107825,93.524475,11.339425,16.262775,4.8466
4.11555,93.528425,11.3762,16.281825,4.868175
4.141675,93.674975,11.4397,16.393025,4.885875
4.159075,94.035725,11.513875,16.4054,4.908725
4.17345,94.146175,11.576975,16.619775,4.93215
4.1999,94.202075,11.65995,16.636825,4.953475
4.206775,94.408475,11.696025,16.65085,4.969375
4.221225,94.50355,11.728025,16.664325,4.994475
4.2456,94.6485,11.746625,16.884175,5.015325
4.257875,94.705475,11.773725,16.920075,5.043125
4.283225,94.84035,11.894275,17.05735,5.061325
4.30025,95.130375,11.960075,17.082375,5.0837
4.325875,95.165225,12.02315,17.097275,5.1045
4.337125,95.351725,12.05525,17.356875,5.1291
4.35225,95.613975,12.07765,17.429775,5.1573
4.3656,96.39975,12.1206,17.556025,5.177075
4.37995,96.671775,12.214875,17.58695,5.20655
4.400025,97.270625,12.3635,17.62595,5.235225
4.416975,97.371475,12.395975,17.640875,5.24305
4.4323,97.587475,12.416025,17.686075,5.25955
4.4628,97.663675,12.4346,17.7074,5.28255
4.491225,97.921125,12.45235,17.782675,5.2948
4.511325,98.08415,12.51725,17.8566,5.310475
4.521775,98.092525,12.57135,17.87855,5.326125
4.5317,98.223775,12.65325,17.9942,5.3385
4.547125,98.241775,12.725225,18.118975,5.3513
4.558825,98.430225,12.776025,18.185175,5.361225
4.57465,98.695675,12.831975,18.300775,5.372675
4.59565,98.9197,12.85465,18.4742,5.388475
4.601625,99.00985,12.878125,18.5353,5.403225
4.614975,99.074675,12.893875,18.556275,5.4214
4.637875,99.1036,12.93435,18.725025,5.432475
4.64805,99.19435,12.9649,18.745675,5.45075
4.66185,99.493975,13.0395,18.7902,5.461975
4.674825,99.54655,13.091675,18.808225,5.47105
4.691175,99.89365,13.18035,18.8667,5.48705
4.710725,99.997625,13.20475,18.969225,5.513075
4.726625,100.15695,13.23205,18.99555,5.55355
4.744925,100.261775,13.2656,19.011575,5.568575
4.7578,100.30285,13.332025,19.0409,5.593725
4.781325,100.3203,13.428875,19.156275,5.619125
4.7899,100.49765,13.472725,19.1877,5.646025
4.80975,100.540075,13.5238,19.20575,5.671825
4.829225,100.558625,13.54985,19.2247,5.68875
4.839875,100.770875,13.5789,19.3082,5.7095
4.854325,100.798675,13.672375,19.334525,5.74305
4.86105,101.094175,13.716225,19.3583,5.760575
4.8838,101.123275,13.736075,19.399075,5.786375
4.9076,101.295775,13.7689,19.49445,5.818625
4.919175,101.573725,13.77135,19.52055,5.836175
4.93055,101.717225,13.863,19.713175,5.84745
4.95095,101.844875,14.000325,19.7386,5.8625
4.960825,101.9184,14.096225,19.8721,5.882725
4.975225,102.275725,14.130225,19.8938,5.904125
4.9824,102.424975,14.1917,19.946,5.928325
4.990375,102.4876,14.25805,19.9889,5.95175
5.005875,102.5628,14.3353,20.029625,5.971925
5.020825,102.818625,14.39915,20.04935,5.98795
5.028725,103.038725,14.433775,20.14385,6.0044
5.053225,103.1735,14.46125,20.213175,6.021675
5.0743,103.7831,14.5174,20.238475,6.039375
5.092475,103.960475,14.54725,20.26735,6.057025
5.11015,104.07915,14.5643,20.355675,6.087625
5.130025,104.27665,14.5781,20.427375,6.161975
5.15825,104.575475,14.6195,20.49645,6.189775
5.1735,104.764525,14.6435,20.586975,6.214625
5.183225,105.0727,14.697775,20.678975,6.231
5.200775,105.48195,14.746325,20.735925,6.246125
5.231575,105.8634,14.7709,20.775325,6.271525
5.242875,106.298925,14.788975,20.8447,6.2974
5.25445,106.329925,14.8031,20.880075,6.321125
5.27415,106.648775,14.819575,20.968875,6.34155
5.2785,106.757825,14.868075,21.016375,6.37725
5.298025,107.257825,14.9102,21.0497,6.40455
5.308725,107.63535,14.936275,21.1738,6.425775
5.318325,108.145875,14.9844,21.3794,6.446425
5.3287,108.217725,15.0323,21.45455,6.461475
5.33945,108.318475,15.063525,21.575875,6.4771
5.3633,108.851225,15.094675,21.6019,6.518175
5.3828,108.88585,15.211775,21.76805,6.534225
5.3891,109.09875,15.25655,21.793075,6.55465
5.4147,109.156125,15.317975,21.82725,6.5786
5.423575,109.249125,15.33855,21.845975,6.607375
5.4411,109.5219,15.369425,21.8772,6.6114
5.4562,109.64375,15.38315,21.914475,6.64785
5.463975,109.67095,15.397325,21.956175,6.6778
5.47955,109.745475,15.410075,21.981725,6.7008
5.5006,109.89935,15.42485,21.999725,6.73345
5.528075,109.94105,15.44485,22.01005,6.75
5.54855,110.029875,15.47255,22.0144,6.803075
5.55975,110.3064,15.58645,22.1946,6.825025
5.567075,110.376625,15.618275,22.2149,6.851475
5.59645,110.40865,15.70965,22.221025,6.8778
5.61195,110.6635,15.74265,22.2744,6.886425
5.63185,110.71885,15.76555,22.3075,6.894975
5.64385,110.83765,15.816075,22.458525,6.90265
5.6679,111.007375,15.882575,22.498875,6.911825
5.6909,111.392325,15.965575,22.5127,6.9213
5.70575,111.513225,16.007125,22.618975,6.9327
5.725125,111.667275,16.06275,22.768075,6.94505
5.741125,111.714,16.16495,22.809075,6.956575
5.74445,111.8446,16.22175,22.87885,6.9767
5.779825,111.9906,16.2676,22.930425,7.0345
5.7885,112.29595,16.315325,22.966225,7.063875
5.809025,112.32905,16.352375,22.9808,7.088075
5.826475,112.5034,16.385725,23.029875,7.10575
5.84815,112.659225,16.43805,23.102925,7.1452
5.868925,112.6956,16.4807,23.15975,7.19755
5.875925,112.738275,16.53115,23.1832,7.22295
5.8956,112.764275,16.571575,23.206075,7.24015
5.9108,113.2086,16.599,23.22315,7.271125
5.918725,113.26775,16.68595,23.243975,7.2962
5.9388,113.7056,16.749875,23.2696,7.320425
5.955525,113.880175,16.936825,23.2904,7.3444
5.9721,113.9846,16.982775,23.3156,7.34685
5.98305,114.4728,17.0087,23.4312,7.383475
6.000375,114.67335,17.023175,23.49425,7.3992
6.021875,114.868,17.036975,23.6476,7.4115
6.041275,114.90605,17.069875,23.871375,7.4224
6.06055,115.021475,17.095575,23.953175,7.43385
6.07965,115.230125,17.1223,24.086725,7.4444
6.089975,115.279825,17.203975,24.13135,7.45915
6.115625,115.319025,17.262525,24.1391,7.473975
6.12735,115.345325,17.343025,24.1536,7.48795
6.1414,115.53275,17.382825,24.1875,7.502475
6.16045,115.615525,17.419475,24.292275,7.5166
6.175175,115.6367,17.441775,24.32175,7.531325
6.19005,115.6468,17.479325,24.3282,7.563275
6.2041,115.657025,17.4955,24.3743,7.5824
6.214425,115.773,17.5162,24.49005,7.604475
6.2185,115.950075,17.539475,24.63525,7.62075
6.2317,116.192575,17.554475,24.6565,7.643025
6.247525,116.2304,17.604725,24.694475,7.66475
6.263925,116.40855,17.637025,24.745175,7.693375
6.281825,116.525175,17.66475,24.812375,7.716825
