SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC13a,SPK_SPKC13b,SPK_SPKC15a
402.758225,403.623675,409.673825,403.51725,421.56715
402.791775,403.633575,409.73405,403.532375,421.593625
402.8167,403.6405,409.761325,403.552125,421.6181
402.842675,403.651675,409.81375,403.57695,421.658425
402.855925,403.6719,409.846325,403.59185,421.6949
402.8788,403.69305,409.8942,403.6093,421.76285
402.91095,403.728425,409.918725,403.6212,422.02905
402.937675,403.754375,410.07365,403.635275,422.066325
402.96375,403.763225,410.1049,403.650325,422.359225
402.986975,403.768625,410.23845,403.667075,422.417025
403.012825,403.775275,410.337675,403.6864,422.442375
403.03735,403.8007,410.4058,403.6973,422.4747
403.061075,403.8061,410.6506,403.71225,422.49595
403.0824,403.81335,410.67625,403.739675,422.50685
403.10065,403.827475,410.72385,403.751,422.535175
403.13575,403.85405,410.83895,403.758425,422.5802
403.1656,403.86345,410.9197,403.773475,422.862025
403.19035,403.86955,411.017575,403.781525,422.87305
403.2056,403.878825,411.0415,403.799325,422.902725
403.225525,403.887425,411.117475,403.8112,422.9255
403.238325,403.898725,411.177675,403.82115,422.94935
403.2634,403.909025,411.203225,403.82895,424.05585
403.290625,403.91575,411.2702,403.835575,424.08935
403.302875,403.9361,411.3158,403.843525,424.10655
403.33335,403.9639,411.349125,403.84985,424.1186
403.356925,403.978825,411.3685,403.862275,424.141125
403.3807,403.9886,411.397925,403.893825,424.192325
403.425675,403.998925,411.4219,403.91425,424.4593
403.442575,404.0041,411.4438,403.94045,424.5292
403.4561,404.010225,411.4633,403.950275,424.57055
403.4663,404.02005,411.507375,403.965775,424.609575
403.491075,404.102275,411.580125,403.979625,424.634475
403.50955,404.112475,411.7842,403.988725,424.721775
403.525925,404.130375,411.817275,404.00485,424.7398
403.548875,404.174775,411.86425,404.011975,424.76115
403.57175,404.180825,411.9593,404.018325,425.10985
403.5839,404.207825,412.053775,404.027325,425.146375
403.6114,404.213075,412.080125,404.0383,425.1723
403.62875,404.23525,412.101675,404.051775,425.19
403.657075,404.2365,412.142775,404.067,425.210875
403.67215,404.261525,412.2038,404.080625,425.220425
403.684875,404.2752,412.20925,404.0948,425.247875
403.69135,404.285625,412.235975,404.110375,425.2739
403.69725,404.306075,412.30485,404.127625,425.2941
403.70635,404.3195,412.332575,404.144225,425.705575
403.7118,404.335575,412.34905,404.169075,425.7393
403.738875,404.35225,412.377875,404.1772,426.04505
403.749625,404.356975,412.410425,404.1862,426.14095
403.75615,404.366225,412.4663,404.1939,426.214925
403.760125,404.39135,412.4882,404.2022,426.46485
403.7718,404.408625,412.5829,404.21265,426.555275
403.7839,404.4285,412.6173,404.224575,426.6251
403.79405,404.434575,412.66075,404.2331,426.788125
403.800275,404.447575,412.743875,404.2485,427.012
403.80805,404.46725,412.78565,404.26045,427.0446
403.81235,404.482125,412.826625,404.27695,427.112075
403.816575,404.5026,412.84355,404.291925,427.31245
403.827125,404.531625,412.854,404.301425,427.35
403.83265,404.564875,412.897075,404.313525,427.36295
403.850925,404.579175,412.91,404.32425,427.37905
403.8978,404.616775,412.9373,404.338225,427.39895
403.925625,404.65265,412.95655,404.3492,427.404775
403.9516,404.703375,413.00825,404.356925,427.419775
403.9687,404.715275,413.02535,404.3663,427.442175
403.979975,404.74505,413.118275,404.373275,427.4567
403.984325,404.7724,413.17115,404.393,428.089225
403.99355,404.789775,413.192175,404.40845,428.11045
404.0012,404.812875,413.21985,404.4266,428.114625
404.00575,404.821925,413.2527,404.44085,428.149675
404.012625,404.8298,413.327925,404.450725,428.205225
404.0219,404.83895,413.35155,404.458025,428.278
404.028075,404.84765,413.3679,404.4721,428.3102
404.036975,404.856375,413.43445,404.493,428.344075
404.0434,404.86195,413.51095,404.5211,428.366475
404.051575,404.874475,413.58785,404.53155,428.395275
404.056575,404.882225,413.7176,404.544025,428.483275
404.064975,404.91815,413.742775,404.552,428.565325
404.0758,404.937075,413.750725,404.559675,428.599825
404.08155,404.9431,413.84805,404.574475,428.806625
404.088975,404.95105,413.8883,404.588725,428.857725
404.09485,405.0009,413.9343,404.609525,428.879875
404.111875,405.010825,413.9613,404.62475,428.89525
404.1307,405.0193,414.0541,404.6465,428.9459
404.140125,405.06725,414.12485,404.66725,428.98105
404.153325,405.112775,414.170425,404.696425,429.2891
404.16575,405.14805,414.18475,404.70715,429.3275
404.176425,405.1641,414.2036,404.73865,429.350825
404.181025,405.186225,414.5925,404.770325,429.373925
404.185525,405.198775,414.662275,404.79015,429.393875
404.1903,405.223125,414.687075,404.823725,429.4191
404.193775,405.23185,414.721225,404.8528,429.453625
404.198575,405.2419,414.801875,404.8652,429.464525
404.2016,405.25585,414.848775,404.884225,429.47965
404.207875,405.262,414.876475,404.9281,429.48615
404.2125,405.271025,414.91425,404.942325,429.890375
404.216225,405.280125,414.954,404.957425,429.953075
404.22595,405.297175,415.0907,404.970575,430.025475
404.238575,405.3097,415.1548,404.9794,430.074325
404.242275,405.3203,415.16165,405.002575,430.405725
404.248725,405.36505,415.1753,405.016575,430.444675
404.25235,405.37265,415.201825,405.033275,430.462375
404.256125,405.385175,415.217675,405.052975,430.497875
404.26125,405.4203,415.25705,405.066375,430.86125
404.272625,405.43055,415.27745,405.0844,430.8874
404.2795,405.4465,415.315275,405.105225,430.91765
404.300925,405.45205,415.375975,405.1305,430.93535
404.30445,405.471825,415.40635,405.159125,430.96395
404.323925,405.513425,415.441425,405.198175,430.988375
404.329125,405.55285,415.492125,405.223225,430.99945
404.340125,405.57325,415.56995,405.26185,431.3052
404.3645,405.586625,415.607575,405.28665,431.342525
404.370375,405.614825,415.624625,405.30415,431.357775
404.373625,405.6468,415.6375,405.3178,431.374825
404.391025,405.68685,415.671025,405.3321,431.388775
404.3939,405.701625,415.722225,405.349575,431.7881
404.397525,405.70955,415.756225,405.38485,431.861075
404.405575,405.71985,415.777775,405.40605,431.905025
404.411875,405.74635,415.9317,405.43035,432.61895
404.419975,405.784925,415.962225,405.4492,432.680925
404.4321,405.797175,416.103,405.472025,432.92485
404.4421,405.81875,416.12935,405.495875,432.9542
404.456,405.893625,416.1526,405.51195,432.987525
404.47055,405.9261,416.18865,405.53275,433.034025
404.489025,405.9841,416.2051,405.5573,433.385575
404.49665,406.009925,416.229125,405.5908,433.4584
404.500175,406.043125,416.316275,405.61855,433.61475
404.507225,406.0844,416.3808,405.6386,433.781025
404.531125,406.0973,416.462025,405.661725,433.816925
404.55685,406.111725,416.689575,405.6754,433.839325
404.5891,406.117075,416.7516,405.692475,433.8671
404.593225,406.12855,416.9988,405.7054,434.1338
404.603125,406.136375,417.06025,405.720275,434.197375
404.613575,406.15405,417.0771,405.733675,434.256875
404.635725,406.159625,417.0974,405.746075,435.366
404.64785,406.170475,417.150875,405.7554,435.378225
404.7279,406.2096,417.1609,405.771625,435.51375
404.76335,406.218975,417.310875,405.786625,435.5382
404.79965,406.23195,417.339225,405.8103,435.61995
404.824625,406.25085,417.3643,405.832425,436.14985
404.8504,406.28075,417.407525,405.880475,436.178625
404.851675,406.362175,417.443075,405.8978,436.201
404.8734,406.3798,417.48285,405.90035,436.21515
404.888375,406.4027,417.515,405.91175,436.229325
404.908025,406.456875,417.647475,405.928375,436.449325
404.9214,406.463275,417.69145,405.942525,436.47855
404.926525,406.469775,417.7602,405.96,436.488025
404.9346,406.484825,417.891825,405.973725,436.5644
404.95125,406.49215,417.9062,405.987375,436.5787
404.977125,406.50145,417.9571,406.0025,437.06185
404.99715,406.50705,417.989775,406.02,437.10725
405.04135,406.5154,418.06095,406.043425,437.145725
405.0782,406.5316,418.11425,406.061525,437.24615
405.139775,406.5407,418.170225,406.09705,437.327375
405.170525,406.5432,418.193225,406.120025,437.3502
405.198575,406.581,418.22885,406.167,437.368775
405.2192,406.599425,418.29595,406.1797,437.38635
405.23825,406.6419,418.380925,406.193075,437.399525
405.248025,406.677325,418.402675,406.224625,437.416075
405.249425,406.691875,418.4267,406.238925,437.4233
405.255475,406.7168,418.46195,406.25355,437.451775
405.25915,406.724525,418.52005,406.267425,437.463425
405.264575,406.748525,418.552125,406.28105,437.484575
405.27155,406.765075,418.58185,406.297025,437.51745
405.276925,406.778075,418.67345,406.3236,437.794725
405.2799,406.7911,418.839,406.35235,437.833425
405.286925,406.803825,418.910375,406.38815,437.89085
405.291,406.81905,419.064075,406.4404,438.41225
405.30495,406.837325,419.224925,406.48275,438.472025
405.396725,406.84465,419.3593,406.50275,438.499425
405.4321,406.858575,419.418625,406.52055,438.52565
405.4523,406.878975,419.4663,406.541975,438.547625
405.486925,406.89015,419.51045,406.558425,438.561375
405.538625,406.91105,419.527525,406.57475,438.60205
405.554275,406.9422,419.5575,406.5938,438.617625
405.56375,406.9578,419.5834,406.609075,438.647075
405.570425,406.978775,419.604825,406.6389,438.666225
405.577325,407.008875,419.7,406.676125,438.67585
405.5818,407.0296,419.73065,406.70695,438.693625
405.5875,407.0407,419.815675,406.75415,439.4709
405.59055,407.0521,419.884025,406.787375,439.539075
405.5937,407.081825,419.926175,406.80495,439.556025
405.5983,407.1058,420.044075,406.82105,439.627825
405.60145,407.112075,420.135425,406.830825,439.657575
405.636725,407.12425,420.1654,406.8545,439.8389
405.675725,407.140325,420.272275,406.8633,439.865425
405.7111,407.1912,420.316875,406.87565,439.910975
405.734625,407.210725,420.3518,406.894025,439.93375
405.75815,407.231125,420.3911,406.9133,439.966275
405.8061,407.2576,420.416675,406.936425,439.993775
405.8218,407.285425,420.46105,406.962325,440.0205
405.848,407.294725,420.48495,407.0092,440.0378
405.85665,407.328175,420.506775,407.029375,440.386025
405.8718,407.35515,420.6323,407.043875,440.44605
405.87745,407.368025,420.6545,407.0587,440.462075
405.88455,407.374525,420.768525,407.0779,440.505125
405.8905,407.3773,420.80045,407.0922,440.525925
