SPK_SPKC03a (inhibited),SPK_SPKC08a (no effect),SPK_SPKC11a (inhibited)
19.57445,61.71005,16.14495
19.635075,61.809825,16.152775
19.709725,61.937425,16.1863
19.754325,62.479425,16.227525
19.7732,62.574725,16.245225
19.784025,62.7952,16.27175
19.793275,62.826925,16.39745
19.821475,62.879725,16.4297
19.916625,63.191225,16.467
19.96575,63.37115,16.5528
20.075,63.807525,16.581425
20.109875,63.8664,16.658725
20.2845,64.06265,16.70475
20.303375,64.20235,16.738225
20.381125,64.469275,16.76645
20.419775,64.7727,16.813825
20.689225,64.807375,16.842675
20.71665,65.0628,16.870275
20.736825,65.125525,16.92425
20.75255,65.2677,16.978
20.76645,65.765525,17.0091
20.8119,65.987825,17.038425
20.82795,66.000025,17.101475
20.859725,66.007825,17.185225
20.9071,66.412775,17.21495
20.9149,66.6482,17.25345
20.93225,66.799625,17.287675
21.018925,66.85305,17.296125
21.10835,66.9519,17.3269
21.25985,67.250475,17.359175
21.285025,67.395425,17.3744
21.3349,67.546575,17.42615
21.35755,67.615325,17.4821
21.380025,67.9526,17.5355
21.3974,68.012475,17.60205
21.42445,68.148725,17.636625
21.4493,68.23185,17.70175
21.484125,68.270375,17.72275
21.516425,68.307025,17.752425
21.537725,68.3634,17.801825
21.578675,68.464225,17.871725
21.5971,68.6461,17.9084
21.67385,68.91815,18.013925
21.701675,68.96425,18.2198
21.727625,68.986575,18.233525
21.7534,69.03865,18.26565
21.775575,69.17205,18.321925
21.969625,69.1765,18.325675
22.03265,69.1983,18.39625
22.0442,69.5837,18.4276
22.069075,69.629425,18.467525
22.08005,69.74935,18.510775
22.09115,69.894,18.5463
22.10295,70.204675,18.58775
22.125575,70.3258,18.69965
22.154225,70.370775,18.72575
22.2155,70.397075,18.769175
22.3445,70.501725,18.804875
22.418475,70.533375,18.82675
22.43585,70.57395,18.8409
22.4611,70.71115,18.962275
22.489975,70.758725,19.1469
22.56285,70.950975,19.17025
22.5837,71.162025,19.179575
22.60215,71.234975,19.1927
22.6565,71.2871,19.35875
22.691175,71.540225,19.3789
22.73365,72.473225,19.417975
22.968075,72.6793,19.467425
23.011025,72.71715,19.493375
23.06105,72.8943,19.552475
23.08765,72.919175,19.573675
23.184225,73.32075,19.68645
23.35935,73.422975,19.7182
23.39445,73.50105,19.755425
23.4152,73.56705,19.76775
23.4368,74.0754,19.821025
23.452675,74.316625,19.849175
23.462025,74.36225,19.87005
23.482475,74.384275,19.99695
23.511125,74.39785,20.026425
23.6285,75.102975,20.070975
23.705675,75.138375,20.10105
23.723125,75.7975,20.1476
23.74025,75.893075,20.1755
23.762975,75.9652,20.19935
23.810175,76.22945,20.316125
23.858125,76.2439,20.392075
23.886575,76.248275,20.422925
23.9699,76.9124,20.45185
24.09775,76.952025,20.486325
24.149475,77.02225,20.527525
24.1814,77.211575,20.566525
24.2463,77.5699,20.6202
24.31705,77.69665,20.723225
24.378325,78.070625,20.7479
24.40455,78.092125,20.809575
24.422125,78.12845,20.833925
24.465,78.58555,20.87595
24.5529,78.649,20.8835
24.7867,79.0016,20.928025
24.79855,79.0218,20.94485
24.809,79.139525,20.984125
24.832675,79.17515,21.007875
24.89945,79.25545,21.068575
24.934975,79.5135,21.166825
25.051275,79.615225,21.251925
25.1056,79.705675,21.378775
25.12575,79.76865,21.3879
25.147025,79.90695,21.44365
25.18435,80.13005,21.563975
25.215075,80.286225,21.5836
25.23625,80.5213,21.636475
25.259475,80.588075,21.645975
25.291625,80.69605,21.7484
25.417,80.8047,21.874125
25.4753,81.168825,21.899825
25.549925,81.17025,21.945825
25.582375,81.236175,21.9715
25.6016,81.2864,22.003475
25.62675,81.30465,22.036625
25.6575,81.365475,22.07395
25.682175,81.47585,22.091575
25.74945,81.78305,22.110175
25.81425,81.8093,22.189325
25.890325,81.831425,22.274775
26.0225,82.1271,22.328525
26.10025,82.162275,22.4269
26.113925,82.186,22.456325
26.1737,82.2159,22.494925
26.268225,82.515225,22.54035
26.28975,82.553425,22.564525
26.305725,82.592975,22.588175
26.323975,82.946,22.629275
26.400275,83.015025,22.6541
26.47605,83.057425,22.6637
26.50745,83.3687,22.707275
26.549975,83.4523,22.746775
26.57745,83.756175,22.780375
26.6195,83.79055,22.830625
26.634925,84.1068,22.918225
26.653325,84.117875,22.939125
26.684375,84.1548,22.980375
26.713975,84.257325,23.032725
26.7336,84.2822,23.082025
26.80435,84.319075,23.13005
26.8472,84.62875,23.14305
26.877325,84.69895,23.155525
26.935725,84.788375,23.292175
26.96905,84.82355,23.40605
26.989625,85.16425,23.474025
27.008575,85.437425,23.51775
27.036125,85.544225,23.7189
27.054025,85.74415,23.7386
27.0747,85.95905,23.790075
27.1022,86.020725,23.82185
27.120225,86.165525,24.04165
27.1336,86.603975,24.074825
27.1668,86.69745,24.093175
27.2885,86.760425,24.198125
27.380675,86.860075,24.407575
27.3984,87.082375,24.47705
27.410725,87.2608,24.5037
27.423,87.297425,24.512
27.470125,87.36635,24.608125
27.606625,87.3899,24.650575
27.64685,87.7025,24.7311
27.698,88.0357,24.77
27.94665,88.09405,24.8008
27.966025,88.246775,24.84115
27.97395,88.420275,24.8703
27.9884,88.4631,24.912225
27.9978,88.67205,25.0211
28.05045,88.72265,25.100225
28.114625,88.754325,25.245125
28.12545,88.868225,25.2757
28.18245,88.927525,25.29235
28.261525,89.072925,25.333375
28.306575,89.18855,25.403
28.346825,89.343475,25.55425
28.441175,89.368275,25.605575
28.4509,89.481975,25.634375
28.481725,89.8267,25.660125
28.503,89.893875,25.7008
28.613775,90.054875,25.739
28.6658,90.27355,25.8002
28.70385,90.4556,25.895975
28.752975,90.6654,25.9859
28.78115,90.756225,26.0043
28.7921,90.8358,26.045275
28.819225,90.87685,26.12335
28.95025,90.903625,26.17985
28.9877,90.9134,26.28955
29.0469,91.250775,26.315075
29.075625,91.491,26.33165
29.09915,91.541125,26.363175
29.138375,91.57505,26.422325
29.178275,91.66,26.445525
29.197825,91.698325,26.509825
29.22115,92.80505,26.6151
29.2395,92.836375,26.644475
29.28985,92.93895,26.6575
29.336275,93.41625,26.6857
29.421375,93.538425,26.73055
29.464125,93.926025,26.7826
29.56245,94.49165,26.84125
29.6369,94.931475,26.88135
29.65785,95.521375,26.94475
29.6806,95.63,27.040925
29.74615,95.8895,27.070775
29.79545,96.261375,27.092575
29.836125,96.374675,27.176975
29.868275,96.388025,27.239625
29.8887,97.016175,27.31615
29.965575,97.0866,27.351475
30.010675,97.391875,27.376725
30.033425,97.6281,27.402925
30.055675,97.81685,27.437075
30.1394,97.93115,27.4633
30.1699,98.038475,27.494775
30.188675,98.234675,27.509675
30.2277,98.4979,27.566025
30.29845,98.770775,27.621075
30.320725,98.950825,27.6931
30.34645,99.07195,27.72455
30.382625,99.414825,27.741625
30.4049,99.574725,27.769775
30.436175,99.68925,27.831475
30.450675,100.140325,27.8761
30.524125,100.663225,27.95445
30.6117,100.727175,27.964325
30.659225,100.83355,27.9726
30.75375,100.872475,28.030975
30.789475,100.940875,28.0464
30.8285,101.029975,28.115925
30.844525,101.194925,28.177175
30.86245,101.2388,28.21495
30.883425,101.3899,28.2915
30.9477,101.6198,28.3199
30.976125,101.654175,28.381125
30.99465,101.934625,28.40755
31.0162,101.9913,28.461775
31.090625,102.162675,28.47685
31.18225,102.203825,28.50615
31.266075,102.243675,28.569625
31.29535,102.3972,28.6473
31.400725,102.84265,28.687575
31.433925,103.1183,28.77375
31.451,103.237,28.8214
31.4621,103.617525,28.861025
31.512325,103.643025,28.91375
31.54405,103.671825,28.95675
31.66905,103.77715,28.980175
31.708225,103.93305,28.991675
31.7243,104.2486,29.032175
31.729375,104.280325,29.084025
31.76215,104.319575,29.1001
31.7817,104.56055,29.1396
31.8173,105.089475,29.20575
31.8349,105.14135,29.29045
31.856725,105.4775,29.359025
31.89025,105.575875,29.38905
31.959,105.59825,29.411575
31.978325,105.786075,29.439875
32.01285,105.962625,29.4707
32.13965,106.42425,29.485375
32.224,106.4596,29.514725
32.239525,106.62115,29.63495
32.252225,107.059925,29.66985
32.27615,107.247675,29.679525
32.352425,107.3101,29.6974
32.3759,107.464975,29.75175
32.4005,107.717975,29.785725
32.429725,107.808625,29.80625
32.5437,107.950475,29.86175
32.62265,107.99015,29.89015
32.664525,108.396525,29.93155
32.677525,108.464275,30.0441
32.693125,108.8322,30.096825
32.72755,108.928375,30.1761
32.79715,108.959625,30.2842
32.837975,109.152225,30.318475
32.86135,109.8648,30.391075
32.891475,109.95685,30.4694
33.072075,109.983275,30.498475
33.104025,110.5688,30.511
33.12175,110.646375,30.527825
33.162475,110.898025,30.54525
33.18655,111.0476,30.5865
33.223675,111.579025,30.62485
33.25475,111.78085,30.6438
33.27905,112.18035,30.68995
33.345425,112.38465,30.716725
33.395975,112.69955,30.81105
33.4238,112.82015,30.851825
33.4996,113.116875,30.917
33.567375,113.155775,30.954975
33.6003,113.7184,31.00365
33.62315,113.815675,31.0225
33.738625,113.872775,31.10985
33.81155,113.95775,31.211925
33.9068,114.22565,31.24285
33.9319,114.252675,31.295075
33.953825,114.32065,31.328625
33.97575,114.549825,31.4041
33.99495,114.601175,31.42005
34.0093,114.656125,31.457075
34.027825,115.0516,31.475775
34.049625,115.129675,31.526225
34.1206,115.220975,31.5665
34.2179,115.4636,31.6425
34.260675,116.0577,31.729
34.2836,116.234725,31.760175
34.2957,116.517025,31.804425
34.313375,116.916175,31.97085
34.39155,117.30425,31.9916
34.414525,117.856125,32.017975
34.45745,118.011025,32.099175
34.498525,118.0552,32.17875
34.507925,118.735175,32.219975
34.575175,119.0249,32.234175
34.596025,119.17265,32.270925
34.61985,119.254425,32.2863
34.638325,119.283275,32.319675
34.666275,119.289075,32.371975
34.692075,119.34625,32.48385
34.72175,120.009675,32.504375
34.759375,120.351525,32.535525
34.801075,120.5412,32.563325
34.829275,121.203875,32.69155
34.908825,121.253625,32.742125
35.018375,121.77945,32.762675
35.116925,121.898825,32.814175
35.126575,121.9604,32.873875
35.1517,122.203075,32.92495
35.1691,122.3234,32.9401
35.22695,122.352575,33.064575
35.334475,122.454825,33.12155
35.4508,122.518025,33.183075
35.4827,122.5238,33.20705
35.558225,122.90085,33.26475
35.58875,123.134175,33.29245
35.676325,123.2193,33.318775
35.739625,123.432525,33.324125
35.8127,124.32105,33.39765
35.837125,124.55435,33.43595
35.848175,124.697575,33.4961
35.880325,124.80385,33.615825
35.903425,125.219275,33.643375
35.92805,125.273075,33.663875
35.991825,125.6638,33.7019
36.021525,126.13865,33.709025
36.128675,126.1644,33.7446
36.14785,126.236575,33.814075
36.17505,126.2971,33.913175
36.2279,126.32925,33.9243
36.27,126.390125,33.958125
36.28325,126.81215,34.0154
36.2908,126.85755,34.10065
36.31585,126.9052,34.119475
36.326,127.295175,34.130225
36.3586,127.7236,34.172375
36.467525,127.7756,34.33785
36.592025,127.848625,34.3589
36.607725,128.0046,34.433975
36.651025,128.07355,34.4675
36.66355,128.212125,34.4944
36.72555,128.396175,34.527525
36.7349,128.56475,34.6506
36.775575,128.906,34.7342
36.834525,128.966475,34.78295
36.978825,129.006625,34.82715
37.0508,129.453775,34.863375
37.0778,129.9293,34.906325
37.11425,130.25845,34.938225
37.1267,130.290975,34.97645
37.1698,130.336275,35.020975
37.190975,130.432,35.060925
37.2157,130.94165,35.103825
37.285225,131.01055,35.25685
37.318375,131.17235,35.333575
37.340175,131.340225,35.37445
37.3921,131.474225,35.4192
37.439125,131.57025,35.44235
37.457675,131.622975,35.468075
37.498875,131.72255,35.5122
37.51895,131.88735,35.550175
37.535275,131.904525,35.575675
37.59355,131.9261,35.6409
37.6428,132.5385,35.687225
37.69445,132.625225,35.736575
37.7592,132.678075,35.77295
37.764525,133.26625,35.874325
37.84005,133.342125,35.883675
38.007875,133.573625,35.906375
38.065025,133.866975,35.92395
