SPK_SPKC01a (no response),SPK_SPKC03a (late inhi?),SPK_SPKC10a (inhi),SPK_SPKC12a (inhi)
437.287575,411.426875,417.938125,434.85005
437.30205,411.45175,417.96895,434.942475
437.40965,411.468175,418.221525,434.96185
437.8444,411.49015,418.270525,434.979925
438.56495,411.51585,418.30745,435.07045
438.8024,411.54045,418.343475,435.11495
439.250975,411.57445,418.414925,435.158875
440.205575,411.608425,418.452625,435.19705
440.236975,411.65075,418.5134,435.21585
440.738825,411.691225,418.546275,435.355675
440.757875,411.740425,418.58395,435.423875
441.00015,411.7889,418.6585,435.4679
441.00765,411.833575,418.735675,435.510925
441.555075,411.8738,418.78465,435.582375
442.241175,411.935475,418.821475,435.6024
442.83495,411.98595,418.888225,435.6663
442.876875,412.0328,418.9322,435.76795
442.895325,412.071475,418.95985,435.825775
442.908075,412.115575,419.01095,435.865125
442.919175,412.1386,419.0856,436.0619
442.931675,412.173375,419.119825,436.080975
442.9555,412.21705,419.162125,436.137
442.97415,412.251875,419.1943,436.2481
442.9832,412.281025,419.227225,436.284475
443.0078,412.3188,419.2633,436.32155
443.10745,412.366925,419.34425,436.47085
443.971775,412.417625,419.368975,436.553175
444.6473,412.4614,419.462375,436.655625
444.738575,412.5071,419.50305,436.7491
444.753075,412.577,419.545975,436.8407
444.77125,412.62655,419.591775,436.8782
444.786625,412.677375,419.62085,437.085825
444.79475,412.7009,419.6711,437.29385
444.80915,412.729975,419.694275,437.442725
444.8262,412.791575,419.7388,437.473725
445.442425,412.851675,419.78555,437.594325
445.45285,412.897625,419.8135,437.79445
445.46415,412.942875,419.85785,437.81685
446.00765,412.976025,419.908125,437.9161
446.12485,413.0107,419.934025,437.938575
446.148925,413.0345,419.979675,438.16435
446.1588,413.060325,420.030525,438.298775
446.162575,413.0767,420.06395,438.3641
446.186775,413.096375,420.203175,438.558025
446.194075,413.13085,420.2691,438.6043
446.2078,413.169375,420.287825,438.739575
446.221525,413.210075,420.290525,438.774975
446.24805,413.25,420.32705,438.849625
446.696175,413.275575,420.387625,439.096925
446.8801,413.32685,420.41135,439.2982
446.906825,413.343475,420.51575,439.481825
446.950175,413.365775,420.552975,439.517075
446.964425,413.3927,420.57545,439.661575
446.98135,413.4401,420.607775,439.691625
447.0097,413.4796,420.609125,440.0867
447.020625,413.5114,420.639775,440.15075
447.032175,413.557275,420.863875,440.281175
447.03435,413.594825,420.888175,440.3031
447.045475,413.63935,420.9703,440.477175
447.079675,413.6999,421.02945,440.500875
447.09335,413.7413,421.140975,440.527825
447.1036,413.7744,421.168125,441.11925
447.1463,413.8282,421.239175,441.16425
447.22845,413.851575,421.249675,441.17125
447.24955,413.87105,421.28315,441.270225
447.26135,413.9038,421.32545,441.28565
447.30865,413.945475,421.3546,441.410525
447.31995,413.977875,421.41825,441.4366
447.33,414.013875,421.46835,441.70575
447.338225,414.055075,421.53295,442.0747
447.40125,414.1133,421.5696,442.125825
447.416225,414.16135,421.5897,442.21875
447.8491,414.192275,421.614625,442.28675
447.873275,414.2239,421.6546,442.31775
447.914825,414.255375,421.685325,442.436075
447.9316,414.29125,421.76445,442.48075
447.942475,414.3288,421.7931,442.5114
447.979525,414.36865,421.831125,442.54045
447.992875,414.420025,421.86,442.575275
448.02545,414.496025,421.973675,442.68865
448.048075,414.53065,422.00945,442.7687
448.06315,414.56875,422.032625,442.8283
448.076475,414.6277,422.112275,442.874375
448.090925,414.691275,422.141075,442.990275
448.110625,414.7315,422.24045,443.110775
448.131275,414.776525,422.27565,443.2253
448.146975,414.7947,422.3459,443.247975
448.170875,414.81985,422.389675,443.2889
448.2085,414.914425,422.423775,443.5539
448.320675,414.94275,422.462175,443.600375
448.352825,414.962875,422.4968,443.6327
448.365075,414.974,422.5467,443.700975
448.4394,414.98465,422.6862,443.724975
448.4521,414.9964,422.718425,443.7683
448.474975,415.011975,422.766875,443.90375
448.4862,415.03335,422.78995,444.0049
448.498125,415.045525,422.87695,444.10485
449.045325,415.06495,422.89915,444.147875
449.2004,415.097625,422.96885,444.340725
449.868925,415.10935,422.999525,444.371225
450.05205,415.13395,423.087325,444.391625
451.183825,415.150875,423.152175,444.43
451.2055,415.170225,423.2148,444.5671
451.337125,415.1823,423.265325,444.668125
451.372375,415.20695,423.293625,444.794575
451.38955,415.223275,423.369025,444.896875
451.511075,415.24505,423.488225,444.932225
451.54175,415.28195,423.52375,445.028625
451.583675,415.302125,423.62745,445.2153
451.6007,415.325025,423.650325,445.291775
451.6444,415.354025,423.67495,445.3181
451.6986,415.383975,423.707925,445.48895
451.741125,415.4078,423.729975,445.517
451.788125,415.4406,423.754375,445.841725
451.7991,415.48425,423.77095,445.94295
451.8094,415.516575,423.8069,445.9895
452.747075,415.551875,423.827375,446.147375
452.78425,415.57335,423.8553,446.225375
452.820625,415.59905,423.876275,446.355375
452.852625,415.6425,423.9421,446.6545
452.890075,415.664725,423.974675,446.881875
452.926975,415.70165,424.00505,447.4927
452.9377,415.73125,424.02165,447.52905
452.9779,415.766525,424.057175,447.884375
453.012275,415.816175,424.08705,447.9765
453.128375,415.8524,424.13185,448.232
453.142925,415.889575,424.1489,448.3994
453.1585,415.946925,424.18125,448.65395
453.18865,415.995075,424.274575,448.716825
453.393125,416.0216,424.395425,448.92295
453.62295,416.0727,424.426,448.964025
453.6853,416.094025,424.4605,449.1306
453.7099,416.11285,424.4978,449.253575
453.744475,416.12305,424.52905,449.451925
453.767125,416.139625,424.53815,449.65395
453.7839,416.171375,424.60075,449.776825
453.8221,416.207725,424.673875,449.822475
453.880625,416.229475,424.714775,449.88535
454.19665,416.2614,424.78695,449.94815
454.240875,416.292425,424.814475,449.978
454.31055,416.327975,424.855675,450.008175
454.373325,416.350825,424.928025,450.111075
454.408925,416.373,424.965625,450.15285
454.440425,416.39585,425.0021,450.3325
454.479925,416.426175,425.054025,450.463725
454.4929,416.4569,425.091225,450.5809
454.509325,416.492225,425.18915,450.638075
454.563275,416.52695,425.22945,450.776175
455.4032,416.584975,425.27645,450.800225
455.43375,416.6178,425.38575,450.873175
455.43865,416.642,425.43285,450.910925
455.50025,416.660925,425.4854,451.0657
455.534575,416.673925,425.528675,451.1105
455.548275,416.688175,425.61905,451.159025
