SPK_SPKC03a (no effect),SPK_SPKC10a (inhibited)
177.396,55.28565
177.423925,55.291475
177.4969,55.365875
177.626025,55.40025
177.7379,55.50845
177.7548,55.517
177.8092,55.752375
177.832025,55.771125
178.01245,55.777375
178.025725,55.783025
178.02715,55.791225
178.18795,55.803625
178.232375,55.81895
178.428475,55.84255
178.440225,55.92105
178.506525,56.04625
178.523,56.36565
178.575875,57.314225
178.602025,57.910175
178.678575,58.149075
178.736125,58.737225
178.763875,59.868025
178.858975,59.8696
178.884325,59.882375
178.8941,59.884025
178.89845,59.93705
178.907725,60.28195
178.942575,60.36355
179.016775,60.376875
179.157875,60.44145
179.1943,60.460725
179.229975,60.48395
179.32095,60.498275
179.38155,60.842275
179.386225,60.86075
179.400125,60.883075
179.41615,60.89625
179.4378,60.911325
179.450225,60.927625
179.47325,60.961875
179.5545,60.9883
179.566775,61.02235
179.596375,61.441125
179.6069,61.466875
179.636475,62.22115
179.659975,62.346425
179.669875,62.3729
179.7463,62.83295
179.77145,62.8417
179.781275,62.84735
179.836775,62.85035
179.86965,62.8519
180.0329,62.8621
180.123525,62.8725
180.236175,62.887425
180.29465,62.892275
180.333775,62.899475
180.352125,62.915675
180.40065,62.9244
180.4159,62.934075
180.453425,63.13355
180.460325,63.3511
180.50005,63.369175
180.5035,63.928575
180.524625,64.44215
180.532475,65.147
180.5373,65.16365
180.639075,65.17525
180.6814,65.182675
180.758575,65.188
180.761325,65.20585
180.762825,65.232125
180.777425,65.2703
180.803575,65.2778
180.8195,65.3664
180.979375,66.407175
181.023275,66.491125
181.044175,66.495125
181.060225,66.4988
181.074775,66.50925
181.131175,66.52455
181.1886,66.536925
181.233925,66.556925
181.274475,66.584175
181.297025,67.13365
181.3011,67.137725
181.344075,67.15515
181.431225,67.161675
181.4382,67.184
181.465175,67.20265
181.49355,67.212075
181.53535,67.2272
181.544075,67.24525
181.559725,67.62365
181.630925,67.682975
181.680775,67.696725
181.70765,67.7026
181.783475,67.71615
181.920825,67.732825
181.951025,67.7542
181.96535,67.779775
182.221825,67.782675
182.25845,67.825225
182.270075,67.858925
182.28365,68.23365
182.389575,68.2387
182.4027,68.259425
182.419225,68.27475
182.428175,68.30705
182.47405,68.3522
182.496325,68.3716
182.532125,68.3931
182.60475,68.4016
182.608875,68.4163
182.656425,68.429825
182.712275,68.445525
182.744575,68.4571
182.966725,68.4764
182.991775,68.484125
183.009675,68.492075
183.08685,68.533525
183.1629,68.549825
183.41595,68.590425
183.437175,68.623975
183.51975,68.63075
183.5394,68.651625
183.574975,68.72505
183.667375,68.745225
183.7029,68.761
183.716975,68.783275
183.841425,68.825075
184.09765,68.85045
184.17725,68.867125
184.183725,68.885625
184.19525,68.907075
184.29355,68.925125
184.3018,68.949575
184.395525,68.974775
184.43055,68.982575
184.473175,68.98905
184.531475,69.0093
184.5428,69.019125
184.619675,69.0843
184.63385,69.10315
184.706925,69.114875
184.76255,69.121525
184.775075,69.13755
184.783775,69.2916
184.809875,69.51435
184.861875,69.565225
184.93395,69.584075
184.9424,69.599125
185.085875,69.606325
185.185175,69.6172
185.241925,69.665325
185.2857,69.667275
185.35345,69.68575
185.382775,69.690375
185.52915,69.70015
185.539625,69.7161
185.5644,69.74125
185.597325,69.796925
185.640525,69.827725
185.675175,69.8549
185.709225,69.936025
185.726525,70.080525
185.764225,70.099
185.91915,70.13075
185.9335,70.1468
185.95585,70.184075
185.985375,70.2084
185.992475,70.4867
186.013275,70.55495
186.06735,70.58405
186.15665,70.61245
186.16965,70.8424
186.258375,71.87415
186.356,71.877275
186.573175,71.87865
186.7092,71.8888
186.738475,71.90645
186.949775,71.94135
186.999425,73.024725
187.099325,73.469025
187.270325,73.4943
187.315775,73.50235
187.649125,73.584225
187.664675,73.614975
187.9593,74.109625
188.09795,74.21335
188.118775,74.248675
188.17545,74.2628
188.324575,74.3577
188.450575,74.83925
188.48715,75.0992
188.48825,75.324975
188.52655,75.531475
188.608075,75.60805
188.8777,76.14005
188.895175,76.469725
188.956025,76.4805
189.24125,76.483975
189.51575,76.5706
189.544075,76.65505
189.56095,77.106625
189.646275,77.135875
189.647625,77.1681
189.6961,77.2416
189.8425,77.39835
190.165375,78.453975
190.197175,78.48125
190.205,78.488525
190.2306,78.508075
190.25745,78.52035
190.633,78.54055
190.7537,78.55345
190.772075,78.86885
190.882225,79.1808
191.211975,79.1897
191.24915,79.2042
191.270425,79.272
191.287325,79.28305
191.35775,79.302075
191.371725,79.478875
191.376225,80.106375
191.39235,80.537975
191.5733,80.54175
191.8262,80.57365
191.843775,80.59275
191.847025,80.60155
191.987675,80.630125
192.06475,80.672
192.082725,80.7265
192.3468,80.7525
192.3809,80.766325
192.88795,80.8093
192.982425,80.8363
193.006275,80.84495
193.341875,80.997025
193.39235,81.02525
193.400825,81.312
193.436,81.34485
193.498575,81.376425
193.517875,81.3958
193.673225,81.4153
193.94145,81.420525
194.620325,81.4254
194.73465,81.440175
194.759375,81.463725
194.8393,81.848325
194.9234,81.886625
195.190575,81.935825
195.52375,81.962225
195.586975,81.97125
195.599925,81.977975
195.632025,81.9863
195.7134,82.062475
195.930925,82.084625
195.942775,82.235275
196.0802,82.250275
196.218225,82.31135
196.386275,82.388125
196.9745,82.398
197.0191,82.453225
197.110325,82.4911
197.11855,82.9091
197.578075,83.043375
197.64725,83.65895
197.67015,83.6936
197.676075,83.70255
197.725375,83.718825
197.991175,83.731525
198.0093,83.745025
198.061125,83.755975
198.1444,83.791625
198.21705,84.009025
198.22045,84.3129
198.265975,84.3264
198.3441,84.438975
198.494775,84.8165
198.509475,84.8222
198.648875,84.8673
198.706975,84.88055
198.755825,84.912575
198.763225,85.06185
198.824475,85.07455
199.002925,85.296775
199.02925,85.3046
199.10635,85.3298
199.15065,85.7814
199.175575,85.802575
199.199325,85.8319
199.217425,85.8586
199.251425,85.870475
199.341225,85.91215
199.36955,85.930725
199.466375,85.98665
199.478975,86.19085
199.496725,86.783075
199.500375,86.798675
199.508625,86.8154
199.527775,86.8212
199.54865,86.82335
199.563525,86.85785
199.56515,86.881125
199.58625,86.90595
199.6021,86.90935
199.694575,87.425125
199.757475,87.487225
199.79605,87.540475
199.843275,87.56725
200.00415,87.63265
200.0666,87.855425
200.09355,87.8615
200.139125,87.863475
