SPK_SPKC01a (excited),SPK_SPKC08b (excited),SPK_SPKC09a (excited),SPK_SPKC11a (no effect)
18.657275,135.603525,9.65625,213.293025
18.6639,135.62875,9.664325,213.4617
18.67995,135.944975,9.674,213.511925
18.689425,136.968575,9.68815,213.75095
18.69435,137.49705,9.698675,213.919075
18.7139,138.00845,9.706775,214.03925
18.744925,138.238025,9.71485,214.220625
18.804875,138.3385,9.7231,215.0499
18.84755,138.515925,9.736925,215.082075
18.8662,138.5535,9.76365,215.237975
18.886125,138.685775,9.772775,215.30735
18.927725,139.14695,9.803,215.5842
19.030675,139.42865,9.81435,216.018175
19.075725,139.828175,9.8255,216.0909
19.1377,139.921825,9.843025,216.218375
19.154375,140.012375,9.862675,216.274125
19.169775,140.020575,9.87265,216.349775
19.1741,140.332825,9.87975,216.393725
19.1818,140.47805,9.898725,216.5431
19.194625,140.51475,9.918575,216.761875
19.20435,140.6552,9.930325,216.905425
19.2148,141.376675,9.940075,217.4212
19.2209,141.407775,9.955375,217.43725
19.228325,141.6576,9.967425,217.610475
19.233825,142.350275,9.980825,217.9138
19.2411,143.128325,9.9956,222.88365
19.27675,143.2157,10.009325,223.05465
19.28485,143.39335,10.0187,223.107075
19.303425,143.45665,10.028025,223.25925
19.316525,144.11255,10.052225,223.666575
19.32635,144.62035,10.085,224.065275
19.34325,145.107225,10.098775,224.4052
19.3709,145.209675,10.117175,224.52485
19.380075,145.2511,10.132375,224.954
19.39575,145.3715,10.146075,229.0332
19.417125,145.420225,10.16105,229.3411
19.438275,145.668225,10.17345,229.440625
19.47655,145.7462,10.1922,229.583225
19.57105,145.847075,10.205325,229.781975
19.6647,145.87795,10.221825,229.93035
19.74115,145.969125,10.2399,230.021
20.037,146.150975,10.259375,230.150775
20.10515,146.58275,10.27475,230.253575
20.1118,146.612875,10.292875,230.281875
20.20965,146.69455,10.315775,231.017925
20.30875,147.114225,10.329,231.0748
20.326025,147.18765,10.342175,231.2157
20.373,147.41935,10.360025,231.286025
20.56485,147.51375,10.388475,231.33855
20.6491,147.77145,10.39775,231.38475
20.808325,147.814675,10.411875,231.481425
20.844025,148.142875,10.420875,231.5254
20.9958,148.188725,10.4288,231.61435
21.066175,148.264025,10.441075,231.676
21.099275,148.339425,10.458325,231.74515
21.303825,149.143475,10.470825,231.798125
21.51795,149.489525,10.48455,231.969425
21.54485,149.72445,10.49305,232.107175
21.5595,150.130675,10.510125,232.1546
21.6038,150.412775,10.5216,232.2941
21.682675,150.874175,10.54225,232.40125
21.7775,151.3705,10.550375,232.686675
22.0003,151.69885,10.566475,232.871825
22.219925,151.808275,10.5784,232.93965
22.225775,151.84295,10.589925,232.9987
22.259675,151.998675,10.600075,233.023725
22.324625,152.001275,10.625775,233.034775
22.378675,152.32275,10.641375,233.054025
22.41055,152.509925,10.65215,233.079675
22.424075,152.729725,10.670325,233.10135
22.6514,152.78245,10.6842,233.122525
22.663625,153.633225,10.69595,233.1464
22.669525,154.7164,10.70735,233.16915
22.68655,156.5884,10.71805,233.190875
22.712075,156.75775,10.725225,233.2079
22.762275,157.25485,10.73125,233.2386
22.7806,158.700225,10.74055,233.255575
22.8918,159.14955,10.746875,233.276125
22.968675,159.3327,10.755025,233.311125
23.0939,159.3412,10.764525,233.337025
23.1167,159.4109,10.7758,233.366425
23.172625,159.746375,10.78345,233.3947
23.217875,159.76785,10.80245,233.417025
23.2531,159.91075,10.809175,233.46365
23.290225,160.21475,10.81815,233.493475
23.309075,160.281425,10.830975,233.519425
23.337775,160.47565,10.841825,233.566675
23.413425,160.650225,10.85285,233.5975
23.444725,161.40925,10.862925,233.62715
23.4607,162.8644,10.8802,233.6559
23.505375,163.0989,10.89045,233.6753
23.53015,163.381725,10.9033,233.70225
23.536975,163.43505,10.91765,233.730675
23.5427,163.802075,10.9287,233.76215
23.564825,164.236175,10.947625,233.790775
23.574175,165.164875,10.96,233.825025
23.601475,165.608075,10.967625,233.86275
23.767875,166.53135,10.974225,233.892
23.796275,166.785875,10.98235,233.919675
23.811725,166.865925,10.99055,233.950625
23.81835,167.163125,10.99755,233.976775
23.8279,167.41785,11.0054,234.011825
23.836225,167.5807,11.018775,234.039125
23.855075,168.68515,11.033,234.06835
23.886675,169.2524,11.045175,234.0949
23.9053,169.37145,11.066475,234.13515
23.93065,169.381375,11.079425,234.2018
23.9487,170.1479,11.1039,234.232725
24.0458,170.28865,11.1225,234.2601
24.137875,170.434175,11.138525,234.2976
24.190975,170.447875,11.146975,234.32745
24.211025,170.93475,11.15735,234.354525
24.230875,171.110775,11.167875,234.4508
24.250675,171.453,11.1761,234.4826
24.421025,172.981625,11.1817,234.5058
24.4925,173.420275,11.191575,234.5327
24.501375,174.503125,11.20585,234.5703
24.511025,174.682375,11.217675,234.60065
24.5484,174.689375,11.22745,234.626925
24.586825,175.36485,11.238175,234.667
24.6437,175.49845,11.256525,234.708125
24.73245,176.318675,11.276,234.7384
24.83855,176.6386,11.294775,234.7761
24.8846,177.865675,11.31145,234.823075
24.925975,178.313725,11.324825,234.868175
24.97995,178.4548,11.351825,234.897225
24.9989,178.49355,11.368925,234.95875
25.022875,179.101875,11.386625,234.997275
25.124475,179.32835,11.4014,235.057075
25.16955,180.498775,11.420175,235.1172
25.214075,180.6459,11.468025,235.1526
