SPK_SPKC09a (no effect),SPK_SPKC12a (short inhibition),SPK_SPKC14a (inhibited)
194.84385,,14.55935
196.175925,,14.573775
197.1055,,14.59135
197.461325,,14.61535
198.09685,,14.636925
198.1097,,14.66335
199.5189,,14.689325
199.9533,,14.726275
200.229775,,14.7675
201.0419,,14.823175
201.3356,,14.84365
201.629925,,14.863475
202.235375,,14.88905
202.63205,,14.9041
202.846975,,14.916975
203.805925,,14.932925
204.1122,,14.954925
204.4601,,14.9741
205.415375,,14.989725
206.143725,,15.01095
206.335675,,15.032275
206.3912,,15.050725
206.891825,,15.07815
207.617725,,15.097425
208.748825,,15.12665
209.659275,,15.146525
209.6871,,15.1678
210.207825,,15.1951
211.635525,,15.21385
211.79125,,15.244725
212.190275,,15.26335
212.233875,,15.28515
213.0793,,15.317475
213.216,,15.34705
213.69135,,15.37985
213.9945,,15.41245
214.13265,,15.44615
214.35545,,15.46965
214.66455,,15.49465
214.764575,,15.51575
215.2082,,15.537525
217.108875,,15.5522
218.0756,,15.568575
218.306075,,15.578625
218.523625,,15.59175
218.582025,,15.602725
218.59975,,15.615825
221.294075,,15.628975
223.907525,,15.644775
223.978925,,15.661025
224.3869,,15.696825
224.5057,,15.718825
224.6763,,15.732275
225.534325,,15.769425
225.61795,,15.798825
226.32295,,15.81845
226.504625,,15.8431
227.2964,,15.863
229.34755,,15.88455
229.855375,,15.9057
229.958775,,15.923575
229.9935,,15.95735
230.10505,,15.995775
230.2317,,16.014975
231.1361,,16.042275
231.515325,,16.071325
231.844275,,16.1034
232.826425,,16.160575
232.997125,,16.19255
233.524925,,16.20445
235.190075,,16.24655
235.347925,,16.253825
235.740725,,16.26265
236.03305,,16.2757
236.304325,,16.2884
236.6264,,16.302775
240.775575,,16.31805
241.544975,,16.3291
241.61035,,16.3387
242.5395,,16.348975
242.601225,,16.36115
242.9079,,16.37475
244.558175,,16.392925
245.0338,,16.407825
245.35215,,16.43015
245.524275,,16.4438
246.987775,,16.45845
247.21985,,16.47695
247.25675,,16.5062
247.573375,,16.534675
248.813675,,16.556975
249.3764,,16.5841
249.5947,,16.62315
249.884225,,16.675
250.0057,,16.69665
250.14545,,16.73635
250.46565,,16.7747
250.536025,,16.80485
251.369225,,16.851625
252.417275,,16.888075
252.715075,,16.9009
253.11665,,16.91295
253.4502,,16.925025
254.137525,,16.95745
254.608425,,16.97625
256.976475,,17.001775
258.7466,,17.0242
259.113425,,17.033225
259.845775,,17.109175
260.165475,,17.173775
261.638625,,17.2357
,,17.276825
,,17.298825
,,17.3142
,,17.32525
,,17.335975
,,17.39775
,,17.421325
,,17.436825
,,17.47255
,,17.565875
,,17.624225
,,17.757775
,,17.76715
,,17.78855
,,17.8296
,,17.8462
,,17.858775
,,17.8801
,,17.952075
,,17.987525
,,18.0228
,,18.1287
,,18.20515
,,18.2762
,,18.2842
,,18.30845
,,18.349525
,,18.36585
,,18.391275
,,18.412675
,,18.4381
,,18.481475
,,18.5038
,,18.525675
,,18.54685
,,18.5655
,,18.59765
,,18.640875
,,18.678375
,,18.710075
,,18.737075
,,18.819925
,,18.85165
,,18.92005
,,18.959975
,,18.98295
,,19.015425
,,19.0562
,,19.071875
,,19.0866
,,19.1279
,,19.19385
,,19.2604
,,19.29665
,,19.334625
,,19.34795
,,19.368225
,,19.380225
,,19.391275
,,19.405075
,,19.41865
,,19.436875
,,19.452125
,,19.476475
,,19.492675
,,19.508425
,,19.528
,,19.54785
,,19.570575
,,19.585475
,,19.603375
,,19.61775
,,19.6359
,,19.671225
,,19.69085
,,19.70935
,,19.730825
,,19.750175
,,19.7692
,,19.791775
,,19.818625
,,19.8511
,,19.8863
,,19.923025
,,19.957725
,,19.989225
,,20.002225
,,20.0139
,,20.027
,,20.0401
,,20.057325
,,20.074025
,,20.0871
,,20.101825
,,20.119275
,,20.1327
,,20.1453
,,20.15475
,,20.16615
,,20.179025
,,20.189875
,,20.20645
,,20.218425
,,20.231825
,,20.26965
,,20.285825
,,20.306825
,,20.32265
,,20.360275
,,20.39075
,,20.40545
,,20.4322
,,20.462175
,,20.482675
,,20.50295
,,20.524875
,,20.55325
,,20.5857
,,20.604525
,,20.631175
,,20.661475
,,20.700525
,,20.735575
,,20.7677
,,20.800725
,,20.8209
,,20.83225
,,20.84275
,,20.854475
,,20.875025
,,20.89575
,,20.918575
,,20.954325
,,20.992625
,,21.0223
,,21.052575
,,21.084125
,,21.104175
,,21.129225
,,21.150075
,,21.167225
,,21.181975
,,21.209425
,,21.237525
,,21.2674
,,21.302475
,,21.34465
,,21.381175
,,21.440525
,,21.469525
,,21.4853
,,21.502375
,,21.525725
,,21.54375
,,21.559275
,,21.571775
,,21.582725
,,21.6049
,,21.6209
,,21.644975
,,21.680025
,,21.7202
,,21.757775
,,21.78645
,,21.824175
,,21.86075
,,21.895675
,,21.927475
,,21.95415
,,21.9821
,,22.0091
,,22.091425
,,22.1785
,,22.21285
,,22.233725
,,22.2633
,,22.2819
,,22.298525
,,22.315025
,,22.327325
,,22.357775
,,22.373925
,,22.387075
,,22.409175
,,22.426575
,,22.448025
,,22.462375
,,22.484
,,22.520575
,,22.5476
,,22.5637
,,22.579
,,22.610925
,,22.6225
,,22.63505
,,22.6509
,,22.673875
,,22.69855
,,22.713075
,,22.7335
,,22.74905
,,22.761775
,,22.79785
,,22.815825
,,22.84165
,,22.867675
,,22.897875
,,22.929175
,,22.963425
,,22.985675
,,23.017225
,,23.038625
,,23.06175
,,23.08365
,,23.1073
,,23.125775
,,23.173675
,,23.198425
,,23.2213
,,23.26785
,,23.3043
,,23.331675
,,23.349325
,,23.376275
,,23.39425
,,23.405825
,,23.420275
,,23.4316
,,23.44515
,,23.46195
,,23.4797
,,23.50405
,,23.526475
,,23.540775
,,23.557125
,,23.58075
,,23.606025
,,23.640025
,,23.66515
,,23.703875
,,23.734625
,,23.75025
,,23.76615
,,23.78185
,,23.799675
,,23.810925
,,23.8267
,,23.84055
,,23.860275
,,23.882025
,,23.912175
,,23.9393
,,23.98115
,,24.0097
,,24.033575
,,24.059875
,,24.094375
,,24.112125
,,24.127
,,24.1386
,,24.150525
,,24.16185
,,24.1748
,,24.200525
,,24.225775
,,24.242825
,,24.261175
,,24.284425
,,24.311125
,,24.338475
,,24.358375
,,24.385275
,,24.408025
,,24.4312
,,24.461825
,,24.486975
,,24.51595
,,24.533325
,,24.548125
,,24.564575
,,24.596225
,,24.6169
,,24.6824
,,24.714875
,,24.7326
,,24.760275
,,24.778325
,,24.800225
,,24.816675
,,24.83695
,,24.849675
,,24.86815
,,24.893025
,,24.9257
,,24.963775
,,24.99065
,,25.033275
,,25.07785
,,25.113925
,,25.152125
,,25.18395
,,25.2148
,,25.23875
,,25.253225
,,25.271275
,,25.283475
,,25.299825
,,25.315475
,,25.32585
,,25.3403
,,25.352875
,,25.3655
,,25.38045
,,25.403425
,,25.425775
,,25.4487
,,25.4601
,,25.4741
,,25.4888
,,25.5099
,,25.53015
,,25.5564
,,25.5757
,,25.597175
,,25.615725
,,25.636575
,,25.66195
,,25.68775
,,25.71695
,,25.735025
,,25.753275
,,25.774775
,,25.792525
,,25.82215
,,25.841275
,,25.8687
,,25.884075
,,25.90085
,,25.919075
,,25.9424
,,25.95765
,,25.97345
,,25.989925
,,26.00515
,,26.02455
,,26.04375
,,26.06475
,,26.085525
,,26.116025
,,26.135775
,,26.15995
,,26.189975
,,26.219025
,,26.244475
,,26.267
,,26.28865
,,26.32125
,,26.355175
,,26.3967
,,26.4335
,,26.464225
,,26.4938
,,26.511475
,,26.527875
,,26.540225
,,26.558325
,,26.572425
,,26.586225
,,26.599475
,,26.6159
,,26.631175
,,26.64765
,,26.67955
,,26.689225
,,26.703925
,,26.72725
,,26.747325
,,26.762775
,,26.799975
,,26.824025
,,26.852075
,,26.877625
,,26.91205
,,26.951425
,,27.018475
,,27.0702
,,27.090975
,,27.105075
,,27.11815
,,27.13295
,,27.147675
,,27.15865
,,27.17005
,,27.1843
,,27.1948
,,27.20715
,,27.224025
,,27.247
,,27.278175
,,27.294675
,,27.3111
,,27.3267
,,27.3393
,,27.35835
,,27.3688
,,27.3857
,,27.406375
,,27.420925
,,27.432075
,,27.467425
,,27.480675
,,27.49635
,,27.51415
,,27.525425
,,27.546625
,,27.563075
,,27.58025
,,27.5963
,,27.6248
,,27.667525
,,27.689625
,,27.726575
,,27.756075
,,27.798125
,,27.851675
,,27.911775
,,27.9489
,,27.97985
,,27.99235
,,28.0172
,,28.03155
,,28.054175
,,28.072675
,,28.08445
,,28.0913
,,28.1001
,,28.107575
,,28.115975
,,28.1227
,,28.130525
,,28.136325
,,28.15305
,,28.164675
,,28.183025
,,28.202425
,,28.26775
,,28.28545
,,28.3215
,,28.34045
,,28.361175
,,28.383675
,,28.406225
,,28.424375
,,28.44685
,,28.46265
,,28.487725
,,28.5385
,,28.55775
,,28.588175
,,28.6209
,,28.642025
,,28.671375
,,28.7044
,,28.720125
,,28.750275
,,28.770075
,,28.804
,,28.853325
,,28.87405
,,28.894575
,,28.915875
,,28.935675
,,28.9483
,,28.9618
,,28.985175
,,29.0077
,,29.024875
,,29.05595
,,29.084525
,,29.181275
,,29.218375
,,29.251525
,,29.2896
,,29.316275
,,29.3285
,,29.3721
,,29.382725
,,29.422075
,,29.441525
,,29.45265
,,29.4612
,,29.47995
,,29.515375
,,29.535075
,,29.5513
,,29.567675
,,29.5945
,,29.627575
,,29.6428
,,29.680625
,,29.724475
,,29.74565
,,29.7619
,,29.77835
,,29.797275
,,29.822925
,,29.859675
,,29.889425
,,29.959125
,,29.99355
,,30.02735
,,30.070475
,,30.090925
,,30.104375
,,30.1217
,,30.143975
,,30.1608
,,30.1769
,,30.20175
,,30.246525
,,30.259675
,,30.284375
,,30.30245
,,30.319825
,,30.3404
,,30.3522
,,30.361075
,,30.37025
,,30.3795
,,30.38965
,,30.4047
,,30.416075
,,30.42765
,,30.4401
,,30.453075
,,30.50535
,,30.519325
,,30.54825
,,30.573725
,,30.61475
,,30.641225
,,30.662525
,,30.698975
,,30.7647
,,30.78475
,,30.799925
,,30.836175
,,30.860075
,,30.878075
,,30.891675
,,30.916675
,,30.931375
,,30.963475
,,31.011775
,,31.036875
,,31.06665
,,31.08825
,,31.11175
,,31.13955
,,31.1633
,,31.182525
,,31.194625
,,31.203625
,,31.2123
,,31.220975
,,31.236025
,,31.246975
,,31.269275
,,31.29775
,,31.329775
,,31.38405
,,31.411925
,,31.444175
,,31.46935
,,31.491875
,,31.52445
,,31.56225
,,31.61525
,,31.6417
,,31.660875
