SPK_SPKC02a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC15a
3703.753025,3702.37665,3721.75715,3704.580425,3702.460825
3703.798375,3702.4101,3721.99955,3704.653175,3702.492875
3703.8438,3702.4608,3722.217525,3704.721575,3702.5354
3703.914675,3702.492875,3722.990925,3704.832675,3702.579625
3704.043125,3702.535375,3723.057,3704.9104,3702.612375
3704.086625,3702.579625,3723.33915,3704.986775,3702.641125
3704.13835,3702.641125,3723.40025,3705.15575,3702.681575
3704.1946,3702.68155,3723.4917,3705.21025,3702.72575
3704.268325,3702.725725,3723.517375,3705.3781,3702.765325
3704.30925,3702.7653,3725.02435,3705.424725,3702.828475
3704.3541,3702.82845,3725.1244,3705.45765,3702.90295
3704.4148,3702.902925,3725.2167,3705.50615,3702.94665
3704.468075,3702.914725,3725.438625,3705.5422,3702.97625
3704.580425,3702.94665,3725.4707,3705.589225,3703.00785
3704.653175,3702.976225,3725.6096,3705.62555,3703.03565
3704.721575,3703.007825,3725.6531,3705.773725,3703.058925
3704.832675,3703.035625,3726.11585,3705.857,3703.103125
3704.9104,3703.058925,3726.332875,3705.91685,3703.139675
3704.950525,3703.0974,3726.9307,3705.973775,3703.196525
3704.986775,3703.1031,3727.471825,3706.016975,3703.2302
3705.15575,3703.139675,3727.751075,3706.060575,3703.281375
3705.21025,3703.1488,3727.7644,3706.28975,3703.3293
3705.32495,3703.196525,3727.816525,3706.389875,3703.375175
3705.378075,3703.2302,3727.850675,3706.465225,3703.41675
3705.4247,3703.28135,3728.224175,3706.5978,3703.4448
3705.457675,3703.329275,3729.0549,3706.65735,3703.487125
3705.50615,3703.375175,3729.068525,3706.71545,3703.536675
3705.589225,3703.41675,3729.1079,3706.887275,3703.575
3705.62555,3703.4448,3729.15975,3706.9627,3703.622175
3705.773725,3703.484175,3729.33165,3706.999875,3703.688525
3705.857,3703.4871,3729.7909,3707.07315,3703.735875
3705.91685,3703.536675,3730.46105,3707.1323,3703.75805
3705.973775,3703.574975,3731.40405,3707.17075,3703.790075
3706.016975,3703.622175,3731.656125,3707.338025,3703.8175
3706.0606,3703.688525,3731.734975,3707.458325,3703.84545
3706.1681,3703.73585,3731.762375,3707.49785,3703.89125
3706.230475,3703.75805,3731.8664,3707.5868,3703.918275
3706.28975,3703.7727,3731.9512,3707.704675,3703.99675
3706.389875,3703.79005,3733.077675,3707.7534,3704.045275
3706.465225,3703.817475,3733.187675,3707.79635,3704.0731
3706.555975,3703.8429,3733.2557,3707.82835,3704.12165
3706.597775,3703.84545,3733.263,3707.864,3704.16155
3706.657325,3703.891225,3733.591,3707.925875,3704.203525
3706.71545,3703.918275,3733.631775,3708.01795,3704.235525
3706.786675,3703.996725,3733.74495,3708.0742,3704.2767
3706.887275,3704.0731,3734.25145,3708.131625,3704.3205
3706.9627,3704.161525,3734.60645,3708.16535,3704.349125
3706.99985,3704.203525,3734.79695,3708.20095,3704.381025
3707.07315,3704.2355,3734.843625,3708.24015,3704.4126
3707.132275,3704.276675,3735.09765,3708.273625,3704.4406
3707.17075,3704.320475,3735.29045,3708.386725,3704.482475
3707.338025,3704.349125,3736.14805,3708.418775,3704.550375
3707.458325,3704.381,3736.501325,3708.460825,3704.598525
3707.49785,3704.440575,3736.728225,3708.551725,3704.6317
3707.54625,3704.482475,3736.994825,3708.596075,3704.677925
3707.5868,3704.49925,3737.162975,3708.648425,3704.726175
3707.62665,3704.55035,3737.519525,3708.7007,3704.7753
3707.704675,3704.5985,3738.04335,3708.78865,3704.80465
3707.79635,3704.631675,3738.9233,3708.845225,3704.869375
3707.82835,3704.714025,3739.0322,3708.922825,3704.9086
3707.864,3704.72615,3739.6183,3708.95925,3704.950275
3707.925875,3704.804625,3739.637625,3708.994725,3705.015025
3708.017925,3704.86935,3739.954925,3709.028825,3705.0555
3708.0742,3704.908575,3740.18155,3709.067025,3705.1167
3708.130175,3704.950275,3740.490075,3709.141475,3705.148225
3708.1316,3705.015025,3740.64225,3709.28045,3705.180475
3708.16535,3705.055475,3740.683775,3709.3259,3705.2117
3708.20095,3705.116675,3741.356925,3709.4519,3705.254625
3708.24015,3705.148225,3741.955225,3709.48565,3705.2882
3708.273625,3705.180475,3742.0059,3709.5491,3705.321325
3708.386725,3705.211675,3742.114075,3709.6149,3705.36295
3708.418775,3705.2882,3742.1912,3709.655,3705.39545
3708.460825,3705.321325,3742.284875,3709.6976,3705.42435
3708.50615,3705.36295,3742.488625,3709.85,3705.45905
3708.551725,3705.395425,3742.513325,3709.9392,3705.494775
3708.596075,3705.424325,3742.7069,3710.027125,3705.5257
3708.648425,3705.45905,3742.838425,3710.08455,3705.5499
3708.7007,3705.494775,3742.98635,3710.122675,3705.576925
3708.78865,3705.525675,3743.737025,3710.1585,3705.623825
3708.838225,3705.549875,3743.740425,3710.20135,3705.663
3708.845225,3705.555675,3743.8042,3710.248825,3705.730975
3708.922825,3705.5769,3744.1064,3710.320975,3705.77525
3708.959275,3705.6238,3744.215625,3710.361,3705.809475
3708.994725,3705.663,3744.3578,3710.416025,3705.853025
3709.028825,3705.730975,3744.386375,3710.44865,3705.885075
3709.06705,3705.77525,3744.64455,3710.509875,3705.9195
3709.141475,3705.809475,3744.7583,3710.5467,3705.9507
3709.22775,3705.853025,3744.82725,3710.62295,3705.983
3709.280425,3705.88505,3744.98745,3710.668425,3706.037325
3709.325875,3705.919475,3745.084825,3710.71265,3706.06925
3709.364925,3705.950675,3745.10805,3710.8112,3706.120525
3709.4519,3705.983,3745.40115,3710.8792,3706.1573
3709.48565,3706.037325,3745.760725,3710.92185,3706.1893
3709.5491,3706.06925,3746.139225,3710.98325,3706.2221
3709.614925,3706.120525,3746.164175,3711.025,3706.257975
3709.654975,3706.1573,3746.24865,3711.05935,3706.288
3709.697625,3706.1893,3746.407725,3711.088325,3706.327275
3709.7529,3706.2221,3746.560625,3711.119925,3706.388925
3709.812425,3706.257975,3746.6766,3711.343925,3706.4338
3709.85,3706.287975,3746.89495,3711.39655,3706.464025
3709.88165,3706.433775,3747.279775,3711.4451,3706.5018
3709.9392,3706.464,3749.227275,3711.4808,3706.53805
3710.027125,3706.5018,3749.40555,3711.61685,3706.566075
3710.08455,3706.538025,3749.86415,3711.67375,3706.603375
3710.122675,3706.566075,3750.319375,3711.781,3706.635275
3710.1585,3706.603375,3750.49845,3711.830925,3706.67225
3710.20135,3706.63525,3750.732,3711.86485,3706.711775
3710.32095,3706.66565,3750.862525,3711.9321,3706.774125
3710.361,3706.67225,3751.201525,3711.99075,3706.808075
3710.416025,3706.71175,3751.28775,3712.119725,3706.862075
3710.509875,3706.774125,3752.57505,3712.135675,3706.9087
3710.5467,3706.808075,3754.367475,3712.16915,3706.93815
3710.588625,3706.862075,3756.003175,3712.21735,3706.986125
3710.622975,3706.908675,3756.691825,3712.2591,3707.028875
3710.668425,3706.938125,3757.2348,3712.292225,3707.063675
3710.712625,3706.986125,3758.29595,3712.332025,3707.088375
3710.762,3707.0289,3758.9381,3712.3736,3707.1287
3710.8112,3707.08835,3759.950875,3712.532775,3707.1492
3710.8792,3707.1287,3762.06935,3712.6031,3707.1791
3710.921875,3707.1492,3762.41475,3712.644575,3707.202775
3710.98325,3707.161475,3762.520175,3712.681125,3707.2769
3711.025025,3707.1791,3762.9897,3712.74515,3707.3469
3711.059325,3707.202775,3763.0089,3712.781725,3707.391725
3711.088325,3707.205925,3763.1853,3712.85935,3707.45205
3711.119925,3707.276875,3763.303925,3712.9031,3707.482175
