SPK_SPKC05c (inhi),SPK_SPKC08a (no opto-tagging),SPK_SPKC09a (no response),SPK_SPKC13a (exc)
267.19545,262.331975,263.436875,260.749875
267.2143,262.350975,263.6818,260.7675
267.22215,262.3693,263.71155,260.809975
267.2457,262.3991,263.84355,260.841225
267.271525,262.45585,263.983775,260.8965
267.3072,262.4608,263.99275,260.95075
267.3981,262.52015,264.386325,261.0006
267.460775,262.531125,264.58755,261.055675
267.4828,262.634825,264.73465,261.1309
267.54375,262.65075,264.762675,261.158625
267.587175,262.6709,265.061975,261.231175
267.5936,262.683475,265.519075,261.29
267.64395,262.73825,265.578225,261.32235
267.68045,262.79355,265.6179,261.413825
267.80615,262.8772,265.6851,261.441
267.902475,262.935825,265.8223,261.4576
268.0097,262.971075,266.1143,261.662075
268.0659,263.0701,266.3737,261.711275
268.111125,263.0966,266.39805,261.74105
268.340175,263.136325,266.414775,261.775075
268.368375,263.1687,266.500625,261.80415
268.399375,263.226075,266.5257,261.838075
268.5123,263.3021,267.0171,261.8695
268.535125,263.33155,267.29595,261.909225
268.598675,263.382525,267.330225,261.9331
268.715475,263.410075,267.3368,262.004125
268.797925,263.46015,267.360225,262.06805
268.95935,263.6304,267.3675,262.0802
269.000525,263.77045,267.387825,262.22635
269.079575,263.8158,267.398425,262.26745
269.0819,263.851175,267.4211,262.303525
269.1615,263.9289,267.43655,262.3258
269.29065,263.947525,267.45,262.3494
269.3625,264.144975,267.48785,262.3813
269.46865,264.2242,267.504175,262.43595
269.53815,264.258125,267.5589,262.46175
269.621525,264.312,267.581925,262.487525
269.78115,264.31985,267.624675,262.56435
269.786425,264.6455,267.6478,262.58445
269.912525,264.665175,267.679575,262.657425
269.951975,264.692725,267.73095,262.765075
269.984025,264.72635,267.881975,262.834075
270.050725,264.992125,267.898925,262.905375
270.1219,265.0082,267.91565,262.9617
270.161675,265.099925,267.921475,263.083925
270.219575,265.248975,268.35645,263.1019
270.254975,265.3537,268.384,263.126825
270.3508,265.365375,268.586775,263.24105
270.35675,265.427825,268.713275,263.3032
270.383125,265.62345,268.73505,263.3295
270.56085,265.661,268.756725,263.35045
270.5871,265.7098,268.80005,263.3987
270.683825,265.804275,268.831125,263.5064
270.686975,265.99575,268.8523,263.576475
270.742075,266.1842,268.8729,263.593675
270.743825,266.205925,268.919325,263.695475
270.807675,266.3217,269.0254,263.7277
270.825925,266.338825,269.06265,263.7698
270.847525,266.3585,269.069025,263.813925
270.994,266.4313,269.10075,263.939175
271.148425,266.456975,269.207225,263.94185
271.350525,266.5203,269.24485,264.0838
271.380275,266.5631,269.26055,264.109925
271.42735,266.617875,269.289825,264.114175
271.4442,266.619375,269.30475,264.148475
271.473025,266.670525,269.374975,264.17895
271.537625,266.817075,269.3849,264.32775
271.612775,266.890075,269.39395,264.3935
271.648125,266.920125,269.44355,264.4223
271.697675,266.93275,269.595775,264.4829
271.7484,267.151825,269.793625,264.535825
271.8407,267.191575,269.83935,264.615575
271.878225,267.245125,269.860275,264.640975
271.927975,267.295575,269.977625,264.734125
272.0365,267.3809,269.98865,264.853875
272.139625,267.394775,270.0182,264.977075
272.1867,267.427725,270.134325,265.004
272.211825,267.45735,270.158975,265.032875
272.296775,267.484125,270.179,265.09405
272.639825,267.52195,270.211475,265.13205
272.862375,267.54895,270.218675,265.1919
272.967825,267.6114,270.228575,265.25475
273.0053,267.739325,270.501025,265.35515
273.052725,267.757575,270.576225,265.50145
273.05775,267.817025,270.59705,265.5167
273.1008,267.851,270.9398,265.607375
273.344875,267.901275,270.978925,265.66445
273.4135,268.187475,270.9925,265.726975
273.556425,268.222525,271.036275,265.744125
273.654025,268.238425,271.05475,265.7821
273.824075,268.259475,271.0764,265.8104
273.843825,268.280625,271.1061,265.838025
273.86795,268.29095,271.1491,265.8703
273.916275,268.317225,271.1675,265.9223
273.959275,268.338975,271.18605,265.9875
274.169075,268.430175,271.196,266.042875
274.1763,268.569125,271.23355,266.077375
274.1855,268.5805,271.24375,266.113025
274.238075,268.657075,271.2567,266.153025
274.25565,268.683125,271.274425,266.24295
274.59805,268.69275,271.284325,266.275675
274.614725,268.7529,271.682225,266.302275
274.617275,268.800475,271.692675,266.346675
274.713575,268.81135,271.71145,266.423125
274.77045,268.829875,271.7593,266.555775
274.819325,268.843825,271.76685,266.587725
274.863475,268.884225,271.78885,266.613875
274.867875,268.897275,271.8237,266.618175
274.87605,268.915525,271.851275,266.637375
274.9803,268.935775,271.869975,266.67305
275.00605,268.992425,271.930675,266.744425
275.06945,269.01545,271.9798,266.76565
275.16035,269.054375,272.046175,266.78405
275.1858,269.0974,272.09495,266.785725
275.2351,269.12575,272.248875,266.8629
275.34755,269.18055,272.325225,266.87565
275.51945,269.20035,272.381225,266.906625
275.5709,269.442375,272.413775,266.932125
275.68445,269.4597,272.56575,266.983275
275.76905,269.48645,272.637375,267.01295
275.817825,269.52445,272.67285,267.0236
276.223,269.54885,272.723525,267.03705
276.25935,269.593725,272.82115,267.048925
276.279925,269.644875,272.986075,267.081375
276.28985,269.687425,273.022475,267.147725
276.397425,269.8544,273.11815,267.178025
276.4461,269.871475,273.2129,267.241025
276.48205,269.90895,273.268425,267.254575
276.549225,269.9349,273.290775,267.294
276.55525,269.97655,273.333775,267.34755
276.5767,270.0524,273.35335,267.38315
276.650325,270.07555,273.39485,267.39965
276.7092,270.1076,273.406825,267.45545
276.740275,270.170825,273.415825,267.526725
276.759075,270.2055,273.421875,267.546975
276.768725,270.246875,273.4494,267.569425
276.8807,270.253725,273.462375,267.705425
276.926275,270.2604,273.502875,267.751925
276.9776,270.42785,273.5105,267.877175
277.0036,270.44325,273.525075,267.91405
277.0609,270.5712,273.544175,267.973825
277.428425,270.597225,273.56095,268.080625
277.579825,270.633875,273.567525,268.108975
277.686075,270.650275,273.587175,268.1974
277.719125,270.775175,273.661375,268.232175
277.7482,270.9079,273.6883,268.2581
277.758325,270.927325,273.704875,268.270525
277.791975,270.94415,273.72015,268.316425
277.83,270.97015,273.74,268.333725
