SPK_SPKC02a (no response),SPK_SPKC09a (no response)
113.210075,111.074975
113.21295,111.87405
113.287275,111.902875
113.3653,111.9372
113.4122,111.970625
113.424225,111.991
113.470275,112.054875
113.6041,112.877725
113.61395,113.1168
113.67935,113.169125
113.710625,113.18825
113.7436,113.210075
113.914025,113.287225
114.103225,113.3653
114.16725,113.41215
114.37245,113.424225
114.404925,113.453375
114.4527,113.459425
114.476975,113.470275
114.509975,113.60405
114.5298,113.61395
114.57435,113.679325
114.6013,113.7106
114.87585,113.743575
115.37725,113.914025
115.434475,114.1032
115.595375,114.16725
115.776325,114.180025
116.174,114.372425
116.199125,114.4049
116.209325,114.432525
116.214025,114.4527
116.227775,114.476975
116.330725,114.50995
116.33545,114.529775
117.0205,114.57435
117.536,114.6013
117.6102,114.875825
117.63245,115.377225
117.8569,115.43445
117.8846,115.7763
117.973625,116.174
119.910775,116.199125
120.122325,116.209325
122.45085,116.213975
122.83775,116.227775
122.8706,117.0205
123.455875,117.535975
123.5629,117.6102
124.166325,117.63245
125.450425,117.856875
125.4989,117.884575
125.50415,117.9736
126.006325,118.49445
126.116975,119.910775
126.813375,120.1223
126.883675,121.078525
126.9322,122.450825
126.961625,122.83775
126.969025,122.870575
126.9895,123.455825
127.02715,123.56285
127.14585,124.166325
127.154875,125.432925
127.188425,125.4504
127.306825,125.49885
127.3792,125.5352
127.422625,126.006325
127.52005,126.11695
127.561125,126.81335
127.71615,126.88365
127.72495,126.932225
127.7385,126.9573
127.754025,127.027125
127.768975,127.145825
127.790325,127.306825
127.811175,127.368225
127.8138,127.39615
127.87845,127.422575
128.071775,127.448
128.163825,127.520025
128.188575,127.5611
128.20735,127.5942
128.2309,127.71615
128.3354,127.720375
128.365175,127.724925
128.463525,127.7385
128.50355,127.753975
128.514575,127.76895
128.539625,127.790325
128.614875,127.81375
128.668125,127.963575
128.79365,128.07175
128.820025,128.1638
128.84485,128.18855
128.8684,128.207325
128.875375,128.2309
128.925175,128.335375
128.93225,128.365125
128.954175,128.463525
128.95765,128.483225
128.960525,128.503525
128.988875,128.514525
129.144175,128.5396
129.22865,128.61485
129.296475,128.668125
129.38435,128.79365
129.55725,128.820025
129.606975,128.84485
129.625725,128.868375
129.6327,128.925125
129.716525,128.932225
129.849975,128.95415
130.058875,128.9576
130.12685,128.9605
130.2206,128.988825
130.243175,129.144175
130.3644,129.2244
130.5766,129.22865
130.65365,129.29645
130.675425,129.31055
130.722725,129.384325
130.739725,129.557225
130.757975,129.606975
130.776575,129.6327
130.78535,129.716525
130.802875,129.84995
