SPK_SPKC01a (no effect),SPK_SPKC03a (no effect),SPK_SPKC12a (no effect),SPK_SPKC13a (no effect)
74.18875,13.764075,7.1152,56.067425
74.573275,13.7992,7.12445,56.699725
74.96485,14.082025,7.13475,57.007775
74.9972,14.1243,7.164675,57.055425
75.0582,14.15195,7.199475,57.081925
75.06905,14.2599,7.29295,57.17855
75.103375,14.262475,7.3161,57.30595
75.111575,14.325525,7.328625,57.451125
75.123775,14.387725,7.357775,57.48525
75.137525,14.440475,7.395,57.93125
75.87905,14.455675,7.430475,58.057725
76.757175,14.485475,7.4532,58.776075
77.089225,14.556725,7.494075,58.7981
77.191725,14.619925,7.515175,58.880075
77.204625,14.7562,7.53865,59.005375
77.210825,14.78265,7.5718,59.13975
77.271325,14.88495,7.595675,59.3472
77.358475,14.9406,7.605025,59.520175
78.0019,14.997175,7.6149,59.593775
79.112975,15.0872,7.62945,60.168575
80.09675,15.111125,7.64425,60.498325
80.821425,15.14615,7.68345,60.51175
81.052,15.265325,7.705125,60.534725
81.35665,15.29725,7.78555,60.539675
81.8157,15.324275,7.8185,60.87805
81.93445,15.367575,7.8454,60.90185
82.04915,15.5446,7.889775,60.998975
82.28425,15.560425,7.932375,61.0801
82.346975,15.5796,7.952325,61.4096
82.416525,15.5965,7.9536,61.73995
82.69985,15.640825,7.968175,61.77245
82.708825,15.6674,7.98235,61.838025
82.745375,15.692125,7.986625,62.021325
83.043225,15.805075,8.0528,62.0274
83.1377,15.834925,8.085475,62.154275
83.6943,15.864375,8.1336,62.2051
84.1235,15.88305,8.158325,62.252075
84.18375,15.900325,8.177525,62.4611
84.320925,15.917225,8.199275,62.499975
84.356375,15.956075,8.21295,62.51775
84.66785,15.973,8.2249,62.583675
86.774125,16.0431,8.246575,62.590075
86.7981,16.1054,8.32245,62.68825
87.80365,16.1552,8.3341,62.741775
87.822225,16.2026,8.38735,63.874325
87.851925,16.2345,8.411875,63.882275
88.6006,16.334975,8.423625,63.90555
88.884425,16.4261,8.43855,64.11875
88.914375,16.484025,8.45105,64.240925
89.141375,16.61835,8.460275,64.543175
89.190725,16.675025,8.464675,64.921225
89.927775,16.71285,8.472075,65.126275
90.423525,16.7295,8.48515,65.69745
90.5882,16.79315,8.50615,65.7192
91.346075,16.80535,8.55685,65.7671
91.359925,16.827,8.56465,65.8146
91.387375,16.87705,8.579625,65.977125
91.657775,16.96575,8.588475,65.97885
91.84775,17.002675,8.619425,65.98785
93.64255,17.046625,8.6503,66.018575
93.665275,17.0742,8.65665,66.09205
94.1588,17.12765,8.687275,66.479025
94.518475,17.159475,8.6954,66.511125
94.95595,17.3607,8.727725,67.1196
94.981075,17.3839,8.745375,68.10025
95.058,17.526025,8.75775,68.21495
95.592175,17.565125,8.76725,68.218925
95.6197,17.650775,8.782775,68.245675
95.650275,17.691775,8.89745,68.305425
97.648875,17.705925,8.911375,68.762575
97.6702,17.724825,8.931225,69.68405
97.870775,17.732025,8.939675,70.064075
98.101975,17.783775,8.9592,70.44775
98.401775,17.812925,9.03275,70.519025
98.44845,17.83765,9.05855,71.0866
98.7303,17.88075,9.090425,71.157175
98.733725,17.908725,9.117175,71.706175
98.75145,17.93635,9.120575,71.7897
98.757725,18.00335,9.159325,71.979525
98.823275,18.05085,9.17235,72.012025
98.89495,18.073075,9.19295,72.76265
99.32615,18.10125,9.211325,72.901175
99.61435,18.12155,9.220125,73.187175
100.3938,18.143575,9.22265,73.44805
100.690875,18.163825,9.279475,73.7334
101.2387,18.2197,9.338475,73.848125
101.258,18.231175,9.363325,74.2794
101.461475,18.239375,9.37995,74.29195
102.198975,18.25135,9.42605,74.944425
103.12905,18.261225,9.4663,75.04645
103.270775,18.344025,9.503875,75.18815
103.5927,18.399375,9.527,75.31905
104.3923,18.426575,9.567975,75.339425
104.4314,18.502375,9.5808,75.346425
104.538775,18.533625,9.5903,75.412625
104.541725,18.558775,9.60775,76.29315
104.93875,18.610425,9.6482,76.3727
105.640225,18.64895,9.694875,77.2106
105.65805,18.694925,9.722,78.43145
105.736625,18.736275,9.791025,78.433625
105.766375,18.73845,9.818625,79.2209
105.78785,18.746875,9.8313,79.244
105.9324,18.762475,9.853225,79.5166
105.977775,18.814775,9.8755,79.7599
106.026525,18.84075,9.89015,79.829125
106.3038,18.868575,9.9168,79.8495
107.234575,18.900125,9.942625,80.066225
107.70755,18.94555,9.9711,80.095425
107.851875,18.968525,9.984675,80.3338
108.0593,19.006725,10.0321,80.3732
108.112525,19.02425,10.04505,80.7306
108.138925,19.0304,10.063525,80.81735
108.14535,19.0622,10.092225,80.845
110.329025,19.0957,10.124075,80.86155
110.891475,19.139625,10.1534,80.87865
111.201525,19.1476,10.18365,81.151675
111.43905,19.184375,10.2091,81.186225
111.86325,19.251,10.226225,81.2322
111.946475,19.397925,10.346125,81.3086
112.193475,19.6503,10.3585,81.4611
113.204725,19.65775,10.3788,81.509975
114.050975,19.7124,10.39955,81.6614
114.14755,19.77315,10.411,81.976325
114.450475,19.9167,10.426325,82.2832
114.560625,19.954425,10.456575,82.466625
114.597225,20.0573,10.471175,82.640825
114.92225,20.066825,10.50385,82.660675
115.005875,20.06795,10.544625,82.919475
115.026775,20.07985,10.562575,82.9288
115.540025,20.13725,10.612325,82.932875
115.863225,20.1723,10.629,82.953225
115.95255,20.188725,10.644725,83.029525
116.147275,20.2048,10.666625,83.051625
116.178125,20.280925,10.676525,83.194125
116.31375,20.3313,10.688525,83.26755
116.7376,20.404525,10.7909,83.325575
116.9624,20.42455,10.80525,83.59775
117.7266,20.443675,10.835175,83.617025
118.796125,20.47495,10.842775,83.74035
118.9165,20.512875,10.86845,83.746775
119.4524,20.519,10.89585,83.822325
119.46565,20.557275,10.907525,83.8947
119.47625,20.609675,10.9646,84.127375
119.48545,20.66845,10.986625,84.14525
119.496525,20.6886,11.001675,84.193
119.537725,20.7437,11.017725,84.21925
119.56375,20.77435,11.03765,84.2541
119.698,20.823275,11.06155,84.26495
120.1369,20.936075,11.08075,84.277825
120.15385,20.9965,11.0945,84.355775
120.173225,21.028975,11.123075,84.43715
120.18055,21.0313,11.183275,84.5323
120.192225,21.0648,11.20545,84.551175
120.587375,21.1127,11.233975,84.64325
120.66465,21.133975,11.251225,84.72795
