SPK_SPKC05a (late exc?),SPK_SPKC06a (inhi),SPK_SPKC07a (inhi),SPK_SPKC15b (inhi)
318.169675,310.411425,316.325825,320.348775
318.236,310.4227,316.433125,320.385975
318.381825,310.435525,316.482925,320.40905
318.398325,310.44515,316.526075,320.469675
318.409275,310.450975,316.545,320.54765
318.412275,310.458275,316.572025,320.584225
318.43145,310.471875,316.58405,320.61415
318.440975,310.48095,316.645625,320.6232
318.47425,310.499575,316.6795,320.637725
318.478775,310.511725,316.6979,320.6614
318.493475,310.52995,316.717475,320.6754
318.495575,310.544825,316.744575,320.686025
318.504775,310.57115,316.771,320.7039
318.510375,310.6042,316.8082,320.73465
318.523375,310.616225,316.82705,320.774875
318.534025,310.649,316.838975,320.7894
318.5419,310.6675,316.854725,320.802275
318.54475,310.678,316.896425,320.820775
318.5771,310.7068,316.90125,320.839125
318.643375,310.72135,316.91035,320.893125
318.6572,310.7383,316.9174,320.936975
318.676275,310.75055,316.9252,320.98005
318.6886,310.767475,316.942625,320.9885
318.7301,310.7768,316.96195,321.0105
318.831375,310.79815,317.015125,321.016525
318.837425,310.809725,317.04035,321.03715
319.09875,310.819125,317.078825,321.0662
319.300275,310.8402,317.123475,321.092475
319.346525,310.848775,317.1468,321.114675
319.44555,310.872175,317.16555,321.147
319.465675,310.91265,317.2109,321.172725
319.47905,310.924925,317.241575,321.19845
319.485975,310.9462,317.254775,321.20605
319.518175,310.99,317.2733,321.2241
319.534575,310.998125,317.300375,321.238425
319.54465,311.0241,317.329775,321.250675
319.5523,311.035125,317.447875,321.26825
319.56625,311.04475,317.46725,321.29475
319.581,311.056275,317.485325,321.32865
319.61755,311.068025,317.5049,321.34505
319.83675,311.0877,317.5345,321.35505
319.891675,311.096975,317.585625,321.372925
319.90475,311.105875,317.606775,321.435125
319.923625,311.108,317.630575,321.456975
320.008,311.147625,317.7247,321.4695
320.041175,311.165625,317.750275,321.49605
320.0525,311.188275,317.770675,321.5137
320.058925,311.198075,317.807025,321.54195
320.075875,311.207875,317.836,321.56015
320.09035,311.2164,317.861575,321.573125
320.140125,311.22695,317.884125,321.603875
320.6355,311.262425,317.9054,321.6274
320.652075,311.285925,317.923225,321.6456
