SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11b
157.364075,125.1667,103.943625,115.15815,109.978
157.369925,125.1757,103.95495,115.169375,110.0123
157.378375,125.21055,103.9621,115.198025,110.0693
157.4083,125.31595,103.969875,115.22785,110.08705
157.457225,125.5819,103.983725,115.244025,110.09645
157.742075,125.694025,103.99105,115.5704,110.119175
157.946875,125.779475,103.998325,115.603725,110.136225
157.96555,125.797675,104.005625,115.826925,110.22005
158.119275,125.8184,104.01365,115.89885,110.233275
158.4501,125.853525,104.018,115.9783,110.245
158.502175,125.870975,104.023075,116.003425,110.259875
158.506125,126.163975,104.035125,116.018375,110.276975
158.52855,126.436875,104.04685,116.0335,110.303325
158.55235,126.46985,104.0535,116.075275,110.338075
158.5849,126.488375,104.0776,116.123575,110.4962
158.655325,126.555375,104.08485,116.17035,110.5254
158.819175,127.0382,104.0951,116.184375,110.544375
158.823375,127.06285,104.102875,116.51905,110.57275
158.845675,127.081525,104.109025,116.545825,110.717525
158.9142,127.1149,104.1171,116.565775,110.73595
159.192775,127.56485,104.128475,116.58055,110.74385
159.23625,127.601275,104.14605,116.591775,110.7533
159.293325,127.610175,104.15645,116.6444,110.765275
159.44065,127.640375,104.1728,116.675525,110.779475
159.571625,127.6636,104.18835,116.77395,110.7897
159.70475,127.687625,104.20905,117.07315,110.799175
159.941075,128.184475,104.231075,117.090225,110.921125
160.008225,128.20795,104.25445,117.111,110.957625
160.037025,128.23775,104.28645,117.1241,110.965375
160.28655,128.5774,104.305325,117.134675,110.972875
160.42455,128.983975,104.324775,117.1816,111.0881
160.66895,128.99205,104.3624,117.217725,111.183775
160.828225,129.0031,104.3829,117.2304,111.191925
160.8624,129.021725,104.403225,117.265125,111.198
160.889575,129.03415,104.413675,117.278975,111.2065
160.895925,129.47305,104.421175,117.30675,111.2146
160.9034,129.49145,104.438975,117.324875,111.273125
160.92805,129.537775,104.454125,118.0509,111.294575
160.948125,129.838825,104.4712,118.1879,111.3305
161.017175,129.844925,104.506225,118.192625,111.37905
161.260075,129.86505,104.52495,118.292775,111.421625
161.383975,129.873375,104.538125,118.385125,111.4393
161.4491,129.88825,104.55195,119.378125,111.472225
161.537175,129.973325,104.5821,119.898925,111.514825
161.636475,130.954325,104.60065,119.92245,111.644525
161.992725,130.987225,104.61815,119.933725,111.65415
162.024375,131.1231,104.642,120.009625,111.662875
162.055975,131.16545,104.653925,120.041025,111.67205
162.081575,131.18315,104.66715,120.07825,111.680875
162.471525,132.0879,104.681575,120.0925,111.6912
162.5134,132.111075,104.695025,120.105175,111.699975
162.563475,132.488125,104.7155,120.183075,111.75335
162.643675,132.4997,104.7326,120.190725,111.7765
162.71195,132.511075,104.748125,120.21745,111.80545
162.896925,132.52415,104.76385,120.59145,111.82105
162.9765,132.558625,104.788675,120.62245,111.83565
163.003475,132.576875,104.8052,120.635925,111.890325
163.1453,132.859225,104.822575,120.651375,111.92555
163.39305,132.894425,104.844825,120.66525,111.980125
163.452375,132.9132,104.8643,120.6972,112.013725
163.6685,132.9477,104.886525,120.715525,112.1096
164.02835,132.963325,104.905675,120.90265,112.166175
164.11815,133.3309,104.921075,120.927275,112.221225
164.134575,133.343925,104.948225,120.94965,112.3227
164.139175,133.355325,104.9811,120.9854,112.327275
164.14805,133.370125,104.992425,121.005175,112.33365
164.154775,133.5636,104.9988,121.01205,112.338175
164.165,133.619575,105.0087,121.032075,112.350375
164.204775,133.71525,105.0209,121.046,112.3584
164.25635,133.76015,105.027025,121.05205,112.3672
164.554375,133.9143,105.0342,121.0583,112.381925
164.720475,134.59265,105.04035,121.066275,112.437975
165.0397,134.598925,105.053475,121.0738,112.455575
165.0606,134.6476,105.059775,121.083825,112.4708
165.09475,134.6748,105.065775,121.1003,112.48425
165.13375,134.6981,105.074325,121.461275,112.503925
165.27895,134.730525,105.095375,121.4692,112.51445
165.308675,135.685975,105.103675,121.47715,112.5233
165.802925,135.699425,105.110975,121.48725,112.53515
165.89785,135.746925,105.11805,121.49745,112.5698
165.91395,135.76305,105.124625,121.5079,112.612725
165.977275,135.7681,105.130825,121.5163,112.635
166.333375,135.78485,105.139275,121.5388,112.68225
166.518375,135.7935,105.145275,121.588225,112.736775
166.88485,135.807225,105.1512,121.653775,112.75565
166.976225,135.815425,105.1581,121.672375,112.802175
167.359225,135.822675,105.165525,121.9199,112.8729
167.67065,135.837975,105.182275,121.935125,112.880725
167.765425,135.850375,105.189575,121.944575,112.93365
167.793975,135.856975,105.200075,121.961625,112.946
167.8523,135.881275,105.2133,121.972025,112.961575
167.99375,135.9273,105.234725,121.98115,112.969375
168.209075,136.322725,105.25505,121.9915,112.976425
168.6175,136.345175,105.2786,122.003075,112.982125
168.651975,136.367525,105.322525,122.020975,113.0011
168.80875,136.37495,105.33995,122.042975,113.0492
169.0932,136.3889,105.3634,122.05665,113.0759
169.634725,136.4396,105.396625,122.06985,113.096025
169.66495,136.4913,105.40655,122.087475,113.121425
169.837325,136.5231,105.41345,122.095925,113.168875
170.25795,136.56085,105.4235,122.105575,113.188425
170.269525,136.6494,105.43585,122.1184,113.419375
170.284125,136.903225,105.441925,122.127675,113.4328
170.64185,136.934375,105.449975,122.14825,113.4423
170.655275,136.9447,105.45465,122.157675,113.451725
170.670975,136.96665,105.458875,122.19165,113.468075
170.92555,136.991175,105.464925,122.434075,113.4811
171.089625,137.307775,105.471825,122.460925,113.4891
171.153775,137.313575,105.477175,122.48625,113.500925
171.171175,137.3291,105.503725,122.49625,113.546775
171.186725,137.33615,105.513325,122.5066,113.604375
171.216125,137.3431,105.524475,122.518575,113.799875
171.2806,137.363,105.534825,122.53345,113.82605
171.312575,137.443125,105.5446,122.5714,113.84015
171.6844,137.7233,105.553725,122.623225,113.853
171.770875,137.731525,105.5922,122.8774,113.8622
172.167925,137.739325,105.6098,122.881775,113.8758
172.213075,137.7491,105.62645,122.895125,113.8859
172.258575,137.765275,105.64555,122.906075,113.917475
172.437925,137.823875,105.6597,122.91065,113.938425
172.6844,137.929025,105.6729,122.918325,113.96435
172.716175,138.11265,105.6924,122.924275,114.010075
172.92755,138.124675,105.7183,122.9316,114.054325
173.196575,138.140025,105.762775,122.93555,114.07555
173.20815,138.15255,105.77545,122.94275,114.1265
173.230025,138.161925,105.789675,122.95565,114.262925
173.3016,138.25915,105.79965,122.96275,114.26825
173.36025,138.270175,105.81735,122.97135,114.274475
173.802975,138.338025,105.8274,122.9841,114.279975
173.872425,138.661625,105.8369,122.9913,114.286975
173.980875,138.668525,105.84355,122.9968,114.319725
174.125275,138.73,105.858825,123.012325,114.37485
174.183,138.764125,105.866675,123.025725,114.56115
174.631825,138.79495,105.876425,123.034375,114.593625
175.0316,139.056975,105.889825,123.041325,114.632775
175.05255,139.061925,105.8981,123.051875,114.703325
175.322725,139.070875,105.90825,123.063275,114.715725
175.4741,139.078675,105.920775,123.07705,114.736625
175.49535,139.095575,105.9354,123.1072,114.752825
175.5219,139.1218,105.94605,123.30925,114.914425
175.5764,139.1858,105.9563,123.328275,114.91825
175.60375,139.710075,105.970075,123.340325,114.936375
175.85545,139.72015,105.988625,123.365,114.945925
176.05865,140.26345,106.00405,123.38875,114.95505
176.1903,140.2896,106.017025,123.518075,114.9641
176.2124,140.315975,106.027625,123.660675,114.9733
176.227175,140.331575,106.046825,123.811,114.981
176.275,140.763375,106.065775,123.8264,114.990425
176.322725,140.777325,106.091075,123.8418,115.077825
176.385,140.7895,106.10605,123.917775,115.0891
176.552375,140.796975,106.128675,123.9526,115.102475
