SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b
6.6909,7.905,6.2184,13.04085
6.70245,7.914775,6.231775,13.072325
6.714675,7.9381,6.25155,13.0912
6.730125,7.957525,6.258525,13.113775
6.74335,7.974675,6.266275,13.1834
6.764675,7.9868,6.30015,13.23155
6.786525,8.00975,6.33505,13.26755
6.806325,8.025475,6.36365,13.327875
6.831225,8.0361,6.38735,13.34195
6.8513,8.04865,6.4184,13.3515
6.875,8.173625,6.4438,13.3614
6.90715,8.187225,6.460375,13.3821
6.93535,8.276775,6.494075,13.40785
6.95155,8.2958,6.530125,13.456375
6.9726,8.360725,6.54485,13.4737
6.99615,8.373575,6.552425,13.494225
7.0181,8.38815,6.56215,13.50825
7.0396,8.4102,6.5685,13.517875
7.0685,8.434625,6.587225,13.523625
7.093125,8.451125,6.5927,13.52535
7.110125,8.464175,6.601625,13.542575
7.11785,8.477025,6.6091,13.55435
7.120825,8.48865,6.639775,13.568625
7.139475,8.5661,6.667225,13.57985
7.148725,8.577775,6.68015,13.590275
7.166375,8.5952,6.691175,13.60055
7.17565,8.6071,6.70565,13.6264
7.18985,8.616375,6.732425,13.65285
7.20215,8.646725,6.769625,13.66245
7.2135,8.66425,6.77545,13.67955
7.229875,8.67625,6.7859,13.695225
7.241275,8.68495,6.79555,13.71695
7.259075,8.697075,6.837525,13.730975
7.2708,8.789825,6.85205,13.743475
7.28705,8.804925,6.8628,13.754025
7.2987,8.832225,6.897925,13.764
7.314075,8.85915,6.916775,13.784875
7.3244,8.91165,6.929675,13.79875
7.342625,8.931075,6.942525,13.81345
7.367925,8.94935,6.98825,13.8328
7.39315,8.960375,7.002375,13.857575
7.4288,8.982925,7.043,13.8928
7.451525,8.99645,7.0522,13.92005
7.467125,9.031725,7.060375,13.943275
7.490475,9.043175,7.069475,13.9636
7.508425,9.057675,7.077775,13.975825
7.51725,9.069925,7.08775,13.988025
7.52745,9.081275,7.095275,13.994875
7.535725,9.099775,7.10335,14.003
7.54265,9.1356,7.109125,14.0149
7.5507,9.1524,7.13,14.026425
7.5587,9.1645,7.1415,14.0517
7.5686,9.180375,7.145475,14.0599
7.5775,9.2172,7.1566,14.0669
7.592625,9.2606,7.179625,14.0763
7.620325,9.37345,7.18545,14.08685
7.6421,9.385025,7.194625,14.112325
7.65345,9.399375,7.205875,14.145525
7.67455,9.4154,7.229625,14.285425
7.693175,9.428525,7.305275,14.300025
7.702025,9.4388,7.3089,14.31105
7.727125,9.4507,7.3289,14.319625
7.7455,9.463225,7.334525,14.330325
7.756775,9.4816,7.344125,14.3443
7.78225,9.488475,7.3501,14.3599
7.80665,9.49335,7.37655,14.374225
7.823875,9.497875,7.388425,14.388225
7.838325,9.50325,7.411,14.39945
7.8612,9.5168,7.441825,14.408975
7.884675,9.523975,7.4677,14.422225
7.908875,9.539425,7.487425,14.511
7.9249,9.54965,7.498675,14.561825
7.970325,9.558775,7.526925,14.6388
8.000875,9.56715,7.5337,14.65625
8.024575,9.575775,7.538725,14.68545
8.05355,9.58495,7.550575,14.7027
8.07365,9.61305,7.560175,14.71315
8.105675,9.622025,7.6041,14.72605
8.1333,9.64675,7.6142,14.7427
8.159475,9.6566,7.65395,14.75465
8.177825,9.668925,7.672875,14.78025
8.19655,9.7093,7.7441,14.819775
8.2282,9.722275,7.7488,14.8325
8.258225,9.73835,7.764,14.84215
8.2839,9.75065,7.7702,14.85495
8.302075,9.771425,7.77665,14.867075
8.321925,9.785375,7.781975,14.879125
8.3419,9.800675,7.797125,14.919525
8.356975,9.812975,7.8007,14.939475
8.373375,9.825475,7.822575,14.9761
8.386425,9.834875,7.826875,15.0777
8.405425,9.851125,7.871725,15.1455
8.433025,9.87375,7.87835,15.164075
8.459,9.930025,7.9283,15.1806
8.4916,9.941375,7.9671,15.208775
8.508325,9.956725,8.0096,15.227675
8.5253,9.97345,8.0313,15.237325
8.544075,9.988175,8.06175,15.247925
8.567525,10.011825,8.067575,15.2673
8.5772,10.022475,8.087275,15.304725
8.600375,10.035825,8.1129,15.3194
8.616175,10.050675,8.127725,15.33495
8.64665,10.0663,8.133175,15.3531
8.6627,10.090025,8.13975,15.387325
8.689375,10.11925,8.146175,15.611175
8.70725,10.142475,8.17055,15.62465
8.72685,10.152575,8.18295,15.64575
8.7543,10.1701,8.19585,15.658225
8.76925,10.1824,8.21125,15.68045
8.787225,10.1946,8.2507,15.711125
8.8308,10.21025,8.26655,15.72895
8.85425,10.22365,8.28775,15.779
8.87445,10.353025,8.310275,15.94585
8.886575,10.40885,8.373575,15.95795
8.9396,10.4223,8.49705,15.974325
8.96835,10.4609,8.50765,15.9892
8.99385,10.470525,8.52465,15.998925
9.0178,10.47895,8.539775,16.020175
9.0394,10.49595,8.5911,16.041375
9.061825,10.5105,8.6353,16.0557
9.092775,10.5865,8.71165,16.07265
9.11835,10.675975,8.726725,16.085475
9.1364,10.709825,8.73345,16.106275
9.15185,10.751925,8.738425,16.1409
9.17095,10.76435,8.745725,16.1548
9.194075,10.8079,8.761075,16.170125
9.224525,10.832475,8.7671,16.191175
9.238775,10.843825,8.77165,16.204125
9.2529,10.867775,8.7768,16.221775
9.268875,10.87615,8.80305,16.4284
9.287125,10.8861,8.82105,16.4488
9.323175,10.905725,8.82805,16.459425
9.341725,10.918525,8.837425,16.4705
9.367925,10.957975,8.84695,16.48915
9.3911,11.03625,8.860275,16.52105
9.4254,11.114975,8.8686,16.555
9.45005,11.1381,8.890625,16.824225
