SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC05c,SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC14a
427.724925,414.92905,452.73305,410.297275,412.886575,417.18155
427.751,415.0076,452.900725,410.335175,412.92135,417.235225
427.962925,415.0534,453.045325,410.39815,412.96415,417.243375
427.986925,415.112925,453.0904,410.4181,413.003275,417.339575
428.001375,415.17235,453.584975,410.4834,413.04245,417.40945
428.0998,415.228275,453.674625,410.540225,413.1035,417.45935
428.107,415.3962,454.115025,410.5536,413.13745,417.52465
428.20875,415.435775,454.35085,410.6052,413.1967,417.565
428.2252,415.52485,454.85185,410.609025,413.28735,417.62805
428.2434,415.560775,454.9787,410.63395,413.317775,417.946575
428.36905,415.61685,455.239675,410.70555,413.36925,418.0003
428.4062,415.670275,455.32965,410.781725,413.472375,418.04395
428.47885,415.699975,455.431275,410.821075,413.5192,418.092125
428.5324,415.90925,455.8295,410.843825,413.544475,418.1836
428.579525,415.969425,456.0616,410.8534,413.611325,418.239825
428.610375,416.1074,456.1316,410.88495,413.660075,418.26805
428.620625,416.193325,456.2034,410.901125,413.8353,418.31675
428.675675,416.236325,456.617975,410.922075,413.867875,418.36105
428.720075,416.321625,456.84795,411.049475,413.927325,418.372825
428.757825,416.355475,457.2864,411.0763,413.977925,418.384425
428.806225,416.44145,457.36455,411.100625,414.155675,418.460775
428.868625,416.4662,457.623775,411.14935,414.1803,418.50715
428.875125,416.5109,457.99865,411.222275,414.185825,418.530725
429.2185,416.55345,458.083925,411.2416,414.222125,418.548225
429.329825,416.5934,458.368375,411.2816,414.278575,418.5622
430.1215,416.6539,458.66,411.338775,414.329925,418.635725
430.223875,416.685475,458.894,411.3775,414.400075,418.69075
430.283675,416.76825,459.072,411.553225,414.4444,418.717925
430.318625,416.822325,459.101975,411.555725,414.49,418.75715
430.3591,416.855675,459.24605,411.608525,414.5862,418.77545
430.3944,416.918275,459.399125,411.657325,414.640225,418.817125
430.4221,416.9548,459.467575,411.6848,414.68575,418.836625
430.572225,416.98475,459.54185,411.72165,414.713825,418.860275
430.601025,417.049675,459.6919,411.74425,414.861675,418.911875
430.636975,417.07135,459.9123,411.987675,414.912525,418.967975
430.6641,417.1456,459.996775,412.078375,414.927075,419.01205
430.95385,417.2125,460.159775,412.086725,414.951225,419.0363
431.062425,417.2534,460.21885,412.1135,414.9936,419.0476
431.18915,417.29955,460.31275,412.150625,415.015225,419.081325
431.514225,417.359125,460.39085,412.177,415.07455,419.1288
431.763875,417.43435,460.583275,412.3121,415.14105,419.1835
431.87615,417.474375,460.62645,412.3648,415.223375,419.23995
431.9299,417.556075,460.67055,412.4044,415.30285,419.2755
432.1191,417.633675,460.84355,412.431625,415.374525,419.293575
432.323425,417.71425,460.913175,412.443925,415.41625,419.31595
432.333175,417.74125,460.955725,412.492425,415.4487,419.3294
432.621075,417.7995,461.0099,412.54295,415.498325,419.52875
432.8099,417.8754,461.037075,412.5601,415.61575,419.55325
432.823975,417.928025,461.3329,412.606675,415.63415,419.604825
432.92855,417.96845,461.417825,412.60925,415.7494,419.691125
433.035975,417.986675,461.442075,412.680675,415.7801,419.724825
433.212475,418.077575,461.554,412.7017,415.91175,419.781725
433.234925,418.1306,461.581,412.7781,416.0512,419.814625
433.541775,418.169725,461.607625,412.80415,416.09305,419.931125
433.553225,418.22855,461.6501,412.87175,416.1475,419.968425
433.688075,418.27845,461.938525,412.900825,416.18435,419.99885
433.709075,418.32735,462.1555,412.976475,416.30345,420.188775
433.740125,418.362425,462.2613,412.993525,416.42865,420.201475
433.760925,418.399225,462.2853,413.065925,416.47245,420.237925
433.79735,418.46815,462.434325,413.1281,416.570475,420.35355
433.812925,418.529625,462.486575,413.138375,416.644625,420.3942
433.8819,418.6076,462.52795,413.23435,416.7097,420.437875
433.950725,418.655925,462.57955,413.286125,416.750475,420.48965
434.092575,418.735125,462.6184,413.30025,416.7874,420.6287
434.22,418.7792,462.683125,413.353625,416.83825,420.68155
434.3404,418.80285,462.8048,413.41335,416.880325,420.718125
434.3528,418.854925,462.8749,413.442725,416.999575,420.74135
434.357725,418.91465,462.939225,413.53535,417.057225,420.784425
434.382075,418.96715,463.027275,413.5623,417.097825,420.8411
434.43055,419.020925,463.17815,413.618225,417.134225,420.911425
434.43585,419.0607,463.21985,413.682475,417.181425,420.99135
434.495425,419.13795,463.695975,413.71675,417.220425,421.010775
434.505925,419.1749,463.83875,413.754175,417.28955,421.1259
434.598475,419.26695,464.0447,413.77255,417.32275,421.136575
434.6996,419.340725,464.53165,413.840125,417.3702,421.171275
