SPK_SPKC06a (inhi),SPK_SPKC10a (no response),SPK_SPKC15a (no response)
6.68915,7.4294,51.996225
6.7131,7.442875,52.0298
6.734175,7.461175,52.12105
6.7696,7.46365,52.356175
6.8211,7.52465,52.385025
6.8607,7.551925,52.454875
6.890325,7.553625,52.650325
6.903675,7.56465,52.660825
6.922425,7.58805,52.9342
6.940775,7.630825,52.945125
6.960675,7.63645,53.033975
7.004925,7.638625,53.432925
7.0166,7.657225,53.49645
7.0329,7.696175,53.5139
7.0548,7.718725,53.89465
7.072025,7.722175,53.929425
7.1267,7.770425,54.256025
7.161225,7.803575,54.26195
7.17715,7.854075,54.438025
7.19805,7.864975,54.461425
7.229125,7.86995,54.5481
7.293975,7.896775,54.665875
7.3146,7.9465,54.7487
7.350525,7.969625,54.77675
7.370075,7.9707,54.8968
7.3919,7.976125,55.27205
7.429175,7.994625,55.350775
7.45025,8.030775,55.391425
7.474775,8.031925,55.551075
7.482375,8.07305,55.63525
7.4887,8.11325,55.70885
7.51165,8.161175,55.889075
7.5185,8.183,56.01005
7.5369,8.18825,56.18005
7.60185,8.203525,56.254025
7.6166,8.209375,56.273975
7.64255,8.2209,56.471025
7.67205,8.25885,56.631275
7.68455,8.29685,56.661075
7.703,8.318575,56.67975
7.7252,8.344875,56.804325
7.742375,8.363,56.978775
7.769525,8.382125,57.01445
7.7866,8.389925,57.37075
7.80525,8.411875,57.39095
7.820025,8.4374,57.490175
7.8621,8.4476,57.626025
7.8792,8.453575,57.692
7.9074,8.4685,58.44795
7.94365,8.519275,58.456775
7.98505,8.522125,58.80815
8.071625,8.545025,59.037025
8.093175,8.612575,59.06895
8.127525,8.645125,59.202675
8.15255,8.6657,59.238375
8.20295,8.70675,59.3185
8.2124,8.71645,59.330375
8.23195,8.77765,59.4542
8.247775,8.789825,59.6611
8.2639,8.88925,59.703
8.27355,8.931125,59.875575
8.313325,8.950075,59.89755
8.3308,8.957225,59.96185
8.339925,8.969175,60.1733
8.3555,8.983725,60.4311
8.3824,8.995625,60.55095
8.4098,9.016175,60.733625
8.427225,9.028675,60.757125
8.47305,9.062975,60.7654
8.4859,9.096225,60.8746
8.495675,9.1078,60.969125
8.526275,9.122375,61.01875
8.547175,9.1629,61.257375
8.55675,9.1677,61.268
8.58235,9.229625,61.4416
8.60825,9.245575,61.45075
8.636575,9.2884,61.642975
8.6499,9.37915,61.650225
8.65815,9.431125,61.791675
8.67415,9.545325,61.92295
8.694575,9.54715,62.029025
8.72435,9.56025,62.317725
8.848925,9.5855,62.399675
8.914825,9.589425,62.507925
8.9637,9.598775,62.53985
8.992625,9.605525,62.60355
9.0011,9.608775,62.6189
9.0099,9.616775,62.769725
9.018625,9.6371,62.831875
9.028825,9.661775,63.031525
9.037125,9.73605,63.13275
9.0552,9.7466,63.251725
9.0843,9.760825,63.5314
9.0916,9.763825,63.648675
9.1096,9.77925,63.698175
9.12395,9.7979,63.711225
9.141675,9.8274,63.74975
9.1589,9.853275,64.0066
9.1712,9.874625,64.215875
9.19775,9.89235,64.2659
9.220275,9.927475,64.299825
9.279125,9.954125,64.35435
9.337375,9.9639,64.641825
9.354575,9.969675,64.668
9.38855,9.980825,64.70815
9.4006,10.1246,64.7369
9.432825,10.175775,65.036225
9.447975,10.183325,65.087675
9.464625,10.1893,65.144475
9.4806,10.20715,65.237725
9.54725,10.221125,65.261275
9.567025,10.23695,65.483425
9.601875,10.2683,65.4907
9.624425,10.27375,65.629225
9.6421,10.288725,65.644925
9.649625,10.332475,66.156075
9.6857,10.33925,66.17135
9.6978,10.3404,66.1913
9.7211,10.390125,66.49025
9.738375,10.399575,66.508175
9.848325,10.411925,66.790575
9.891525,10.417225,67.13565
9.9711,10.465875,67.144125
9.99405,10.50475,67.713925
10.04905,10.528075,67.72965
10.087625,10.549175,67.7358
10.117025,10.5523,68.01315
10.180775,10.593975,68.02415
10.191425,10.612775,68.320425
10.214875,10.649675,68.513
10.2264,10.65865,68.519775
10.23605,10.7164,68.6262
10.24615,10.74615,68.7919
10.25765,10.7739,68.823525
10.274725,10.80915,68.855425
10.288275,10.842575,68.956375
10.296975,10.896025,69.181575
10.319925,10.9023,69.23995
10.3483,10.908775,69.25195
10.37425,10.918175,69.31685
10.39075,10.968,69.490925
10.412475,10.986025,69.665275
10.438425,11.029925,69.684225
10.47505,11.1184,69.69085
10.500925,11.136975,70.2218
10.5311,11.155725,70.23755
10.546525,11.1867,70.637125
10.5686,11.2018,70.6506
10.59155,11.2713,70.7614
10.689125,11.283775,70.8169
10.728875,11.29785,71.090175
10.7762,11.29905,71.148525
10.804975,11.318975,71.1706
10.846875,11.333675,71.496025
10.8938,11.450075,71.50755
10.9095,11.4639,71.6166
10.9189,11.471125,71.812775
10.931425,11.4924,72.296625
10.93915,11.5129,72.39735
10.94595,11.531675,72.541125
10.962825,11.54565,72.6343
10.983775,11.590125,72.837075
11.001975,11.599975,72.842225
11.021875,11.648475,73.0104
11.0463,11.67365,73.021525
11.058,11.6954,73.25765
11.092375,11.772725,73.427375
11.126625,11.8277,73.47415
11.145775,11.892375,73.623225
11.161425,11.928875,73.62965
11.186425,11.962275,73.7453
11.231075,11.9805,73.783625
11.270575,12.015325,73.796175
11.2917,12.03565,73.9288
11.3,12.037275,73.979475
11.31065,12.05745,73.9865
11.330725,12.112225,74.150825
11.34725,12.143775,74.188675
11.3645,12.151075,74.5173
11.40825,12.17395,74.542575
11.44105,12.189425,74.610675
11.462825,12.203475,74.63905
11.4787,12.242775,74.977775
11.510875,12.258975,75.022075
11.524075,12.280925,75.310275
11.538525,12.2848,75.717825
11.568825,12.29355,76.0062
11.5778,12.2956,76.054575
11.59645,12.34375,76.301725
11.63285,12.34725,76.655775
11.6648,12.3802,76.76155
11.69265,12.4668,76.783625
11.7261,12.50155,77.100325
11.771225,12.508125,77.2989
11.824725,12.517475,77.34285
11.8685,12.550125,77.44415
11.8945,12.572225,77.65715
11.91095,12.597475,77.739025
11.9208,12.626575,77.8331
11.94105,12.6439,78.224275
11.95705,12.679825,78.445075
11.9743,12.69725,78.513925
11.99205,12.730675,78.59825
12.022125,12.748525,78.642325
12.038925,12.766625,78.7877
12.05825,12.81725,78.87185
12.07605,12.83345,78.889
12.131,12.8487,78.952875
12.1667,12.872275,79.291675
12.17535,12.89905,79.372125
12.1866,12.90945,79.473775
12.23105,12.943375,80.01915
12.251525,12.98455,80.026525
12.26415,12.98675,80.2717
12.273575,13.013125,80.328125
12.283125,13.02135,80.54855
12.300875,13.05475,80.60545
12.340025,13.079175,80.7128
12.397475,13.1199,80.7672
12.41825,13.14935,80.780775
12.436225,13.20465,80.956775
12.46255,13.2095,81.023125
12.4904,13.24355,81.0281
12.4977,13.2545,81.183675
12.506925,13.30485,81.220925
12.525625,13.312625,81.40125
12.54325,13.314325,81.4298
12.555075,13.35015,81.470925
12.5661,13.398025,81.529125
12.577575,13.399125,81.747275
12.591375,13.41855,81.993475
12.604075,13.422425,82.1429
12.62295,13.4557,82.325875
12.636625,13.466225,82.591275
12.6519,13.49195,82.596275
12.660875,13.525925,82.8737
12.679675,13.552375,82.906675
12.697525,13.610575,83.02765
12.75555,13.615875,83.14495
12.77255,13.62395,83.378475
12.7968,13.65295,83.566775
12.874725,13.65985,83.669475
12.923825,13.669175,83.6758
12.963975,13.67785,83.990025
12.997425,13.693175,84.289925
13.0204,13.742225,84.325775
13.0852,13.7464,84.34125
13.104375,13.7617,84.42995
13.123475,13.789,84.6009
13.1525,13.790275,84.608775
13.1676,13.8801,84.8568
13.181275,13.9449,84.901475
13.199525,13.9793,85.143775
13.2143,14.0559,85.156
13.22865,14.089025,85.412325
13.248475,14.144725,85.4291
13.257175,14.203875,85.59345
13.270175,14.2694,85.61495
13.277775,14.2745,85.631175
13.317025,14.34175,85.76935
13.333325,14.3618,86.100525
13.375875,14.380825,86.1069
13.41205,14.443525,86.381125
13.47285,14.466675,86.472175
13.512875,14.5425,86.726775
13.561175,14.5554,86.858775
13.616125,14.570925,87.071625
13.6275,14.5783,87.1048
13.63845,14.581125,87.154475
13.653225,14.5892,87.36875
13.66665,14.612775,87.402
13.677075,14.653275,87.802675
13.7056,14.679175,87.87825
13.7526,14.688825,87.95115
13.760975,14.69525,87.96955
13.774725,14.72015,88.1172
13.78745,14.733225,88.1622
13.8085,14.7552,88.410375
13.830425,14.756425,88.52365
13.8578,14.830575,88.529225
13.895325,14.8374,88.62895
13.951825,14.883425,89.082125
13.978825,14.959775,89.351525
14.0038,15.019775,89.439625
14.056475,15.028875,89.567825
14.07865,15.0356,89.572525
14.0904,15.06335,89.92125
14.1175,15.102725,90.10775
14.181025,15.132925,90.194975
14.203175,15.134325,90.20755
14.236275,15.179675,90.4232
14.322675,15.1847,90.43615
14.360725,15.210825,90.58045
14.400725,15.236625,90.93875
14.436825,15.2617,91.056825
14.469375,15.2733,91.1207
14.503525,15.304075,91.296425
14.5385,15.381625,91.3474
14.560825,15.38645,91.534575
14.572725,15.405725,91.63875
14.581525,15.471525,91.785575
14.591125,15.55135,91.812175
14.5976,15.5983,92.151725
14.609875,15.61585,92.241675
14.6222,15.64575,92.3303
14.682625,15.660675,92.54865
14.708675,15.725225,92.5827
14.725225,15.751725,92.59125
14.7835,15.7617,92.989525
14.8193,15.853425,93.057575
14.84545,15.856025,93.076425
14.8863,15.874825,93.214375
14.943475,16.07375,93.5284
15.0016,16.111825,93.592925
15.0292,16.158875,93.621225
15.062125,16.166325,93.690325
15.096,16.225025,93.816125
15.121225,16.23725,93.84555
15.133075,16.267825,93.99005
15.1439,16.3205,93.9965
15.1739,16.37815,94.14335
15.1905,16.3803,94.1854
15.20745,16.404525,94.551575
15.2275,16.408,94.564275
15.2428,16.4328,94.982375
15.276475,16.453,95.26275
15.33575,16.504,95.340375
15.36265,16.525075,95.3927
15.450675,16.55195,95.57625
15.4974,16.59335,95.68425
15.52,16.612275,95.843025
15.544025,16.623325,95.867675
15.558825,16.757875,96.260625
15.591125,16.77285,96.285075
15.636075,16.792525,96.637325
15.65505,16.853825,96.685625
15.703025,16.93065,96.690775
15.726475,16.94005,97.17115
15.749525,16.9466,97.34985
15.806725,16.9565,97.360875
15.83845,16.9708,97.4141
