SPK_SPKC03a (inhi),SPK_SPKC04a (no response),SPK_SPKC16a (no opto-tagging)
324.725725,333.2543,327.16885
324.758825,333.3233,327.2837
324.82155,333.400925,327.526275
324.88975,333.45065,327.546725
324.933875,333.4746,327.553325
324.973875,333.642975,327.74645
325.0434,333.680075,327.830475
325.0692,333.7247,327.980925
325.098925,333.84715,327.9848
325.130725,333.89475,328.243175
325.191725,333.91575,328.25215
325.3762,334.0056,328.258675
325.41215,334.20955,328.264525
325.454775,334.322225,328.400275
325.479125,334.40035,328.5156
325.5177,334.47765,328.597075
325.546675,334.51505,328.60245
325.636975,334.55245,328.613875
325.66635,334.5817,328.617525
325.79715,334.65925,328.628175
325.833425,334.708075,328.6322
325.88325,334.787275,328.7832
325.925175,334.8008,328.8804
325.962,334.8343,328.978775
326.052675,334.88045,329.010725
326.0881,334.917425,329.16945
326.16845,334.97415,329.206125
326.197125,334.991725,329.399575
326.29175,335.03005,329.408675
326.331425,335.078025,329.414525
326.4104,335.1094,329.438925
326.4517,335.159325,329.691075
326.504525,335.233725,329.8008
326.5764,335.313675,329.809075
326.62845,335.36275,329.883675
326.668725,335.405725,329.8892
326.71125,335.452675,329.8955
326.77435,335.506,330.020225
326.810625,335.5428,330.066975
326.8677,335.628275,330.187825
326.979525,335.693775,330.255875
327.0714,335.734,330.28725
327.115725,335.77025,330.290425
327.16935,335.870225,330.330625
327.27845,335.9491,330.457875
327.3101,335.9991,330.484475
327.3532,336.04025,330.51185
327.4083,336.082925,330.520275
327.48125,336.108325,330.859
327.541075,336.174075,330.9335
327.682475,336.198725,331.089625
327.706925,336.2355,331.1248
327.81425,336.25935,331.252825
327.851325,336.37115,331.316125
327.898875,336.4366,331.376275
327.964725,336.495175,331.438725
328.04655,336.6639,331.474525
328.0875,336.715725,331.487275
328.132425,336.75765,331.636625
328.24535,336.844825,331.688775
328.3668,336.9044,331.7523
328.41345,336.949725,331.895725
328.4473,336.992575,331.94705
328.493325,337.0144,332.1207
328.58025,337.064675,332.271775
328.622425,337.138875,332.2843
328.6843,337.309,332.766
328.742375,337.369875,332.770875
328.78645,337.4322,332.973875
328.833725,337.5212,332.983275
328.9318,337.578575,333.0279
328.9778,337.640975,333.0785
329.028325,337.680775,333.14305
329.0844,337.734175,333.2583
329.158125,337.762525,333.3264
329.2203,337.808,333.425025
329.260725,337.822075,333.617225
329.28775,337.838675,333.756125
329.377325,337.875775,333.844325
329.411875,337.91745,333.92315
329.452475,337.96475,333.931625
329.522525,338.017725,334.250525
329.6309,338.044125,334.283075
329.6804,338.067525,334.342925
329.705025,338.119025,334.35435
329.742825,338.1395,334.546275
329.77835,338.22545,334.8354
329.9021,338.25805,334.84875
329.969625,338.28515,335.2289
330.020975,338.3566,335.281525
330.075925,338.3841,335.39595
330.122775,338.440775,335.41185
330.165075,338.52245,335.49675
330.19875,338.548875,335.691425
