SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC09a
24.08955,62.09975,27.9149,44.883525
24.126775,62.311,27.928925,44.919975
24.164025,62.92385,28.026125,44.933425
24.2534,62.9521,28.0977,45.31655
24.313575,62.978275,28.305625,45.3262
24.370475,62.9982,28.315025,45.35065
24.4385,63.1375,28.658625,45.38365
24.5076,63.2458,28.697975,45.44645
24.587725,63.652325,28.769675,45.6325
24.651825,63.672,29.1481,46.118225
24.772,63.741825,29.268475,46.15255
24.8127,63.921625,29.3285,46.25
24.875125,64.300775,29.478225,46.374175
24.98215,64.655975,29.53925,46.573275
25.03755,64.7324,29.56155,46.998375
25.12715,64.79715,29.686425,47.076075
25.17625,64.944375,29.723675,47.18435
25.224925,65.1437,29.76035,47.1938
25.293675,65.221725,29.9457,47.241925
25.351025,65.280125,30.06635,47.30975
25.3889,65.4023,30.387975,47.596925
25.4761,65.591,30.4451,47.6385
25.5624,65.6865,30.47285,47.76115
25.692475,65.6935,30.554,48.016175
25.7311,65.710875,30.663175,48.04175
25.79075,65.805575,30.8106,48.132375
25.852125,65.965225,30.8318,48.24425
25.893925,66.109375,30.8482,48.28785
25.954975,66.1981,30.92675,48.42715
26.057175,66.21205,31.06675,48.62905
26.096725,66.2226,31.58195,49.129325
26.138725,66.27645,31.64475,49.3469
26.212425,66.292175,31.68745,49.4374
26.30225,66.80485,31.75415,50.080925
26.455575,67.0395,31.7843,50.109625
26.5522,67.168,31.8104,50.1151
26.574575,67.21045,31.838225,50.49865
26.6001,67.22025,31.920175,50.74505
26.629475,67.2239,32.05515,50.955875
26.66935,67.3438,32.195875,51.25
26.741025,67.635475,32.21515,51.324875
26.8264,67.754475,32.23235,51.74325
26.878825,67.91325,32.25005,51.80595
26.92855,67.933275,32.269725,51.88045
27.002825,67.9422,32.2833,52.1586
27.010725,67.954675,32.298725,52.17075
27.018875,68.0706,32.316375,52.2158
27.1096,68.11655,32.40865,52.2279
27.23855,68.12445,32.44045,52.3242
27.336225,68.131375,32.461475,52.372825
27.38925,68.27645,32.682,52.432025
27.43625,68.599125,32.692325,52.7033
27.506575,68.79295,32.718775,52.7862
27.662325,68.828925,32.7311,52.820025
27.73185,68.853975,32.78675,52.8439
27.798775,69.143275,32.884175,53.66765
27.9907,69.33385,32.91985,53.69185
28.05405,69.6724,33.0045,53.78765
28.070975,70.8526,33.030025,53.84275
28.221225,70.952975,33.0901,53.89565
28.286625,70.998925,33.11895,53.915975
28.31265,71.470875,33.430475,53.99605
28.370525,71.5114,33.442675,54.321675
28.430575,71.538675,33.507,54.43125
28.487075,71.65555,33.553175,54.4933
28.55975,71.811225,33.570025,54.777575
28.614325,71.832625,33.667475,54.943725
28.6215,71.9459,33.738525,55.230225
28.7271,71.99475,33.755175,55.339125
28.795125,72.091075,33.796225,55.584325
28.8674,72.103425,33.8139,55.665425
28.93615,72.15535,34.059575,55.69325
28.9694,72.3084,34.1001,56.37065
29.1079,72.4833,34.1102,56.465625
29.20385,73.316575,34.11885,56.756675
29.263225,73.3509,34.138175,57.5147
29.326875,73.572425,34.218825,57.87005
29.358925,73.770175,34.257475,57.944975
29.427825,73.783,34.3282,58.09275
29.4435,74.040625,34.540825,58.432275
29.5568,74.1395,34.68695,58.4394
29.6535,74.160225,34.713,58.515775
29.7396,74.192375,34.856175,58.74665
29.786525,74.3099,34.873925,58.91335
29.849225,74.3292,34.942525,58.940825
29.900525,74.416775,35.458225,59.099825
30.045125,74.42755,35.518675,59.73945
30.073,74.429925,35.62135,60.09845
30.133825,74.51565,35.636225,60.1805
30.20235,74.5293,35.708925,60.246725
30.236425,74.599575,35.734675,60.261275
30.28005,74.610675,35.7946,60.359125
30.3928,74.644125,35.82385,60.365675
30.42375,74.9312,35.836625,60.3961
30.433225,75.203625,36.016325,60.5377
30.500925,75.302075,36.574675,60.5491
30.551425,76.022,36.615025,60.605775
30.635025,76.2814,36.718225,60.816125
30.761375,76.543225,36.8011,60.898775
30.77015,76.835775,36.9131,60.973975
30.79375,76.946675,36.9666,61.47945
30.858375,76.9485,37.140575,62.00935
30.917225,77.088525,37.195025,62.01965
30.951275,77.6115,37.45975,62.0679
31.01115,77.6298,37.5208,62.1123
31.08935,77.738625,37.5969,62.204625
31.135525,77.7604,37.96045,62.241025
31.21715,77.7942,38.005,62.643525
31.416825,78.045175,38.0155,63.07155
31.449125,78.2024,38.037325,63.08355
31.495425,78.278775,38.113975,63.0907
31.6493,78.417825,38.214925,63.13135
31.753725,78.519525,38.287375,63.2261
31.7906,79.02715,38.31125,63.2763
31.8096,79.27105,38.354175,63.4764
31.853525,79.291375,38.434425,63.661575
31.89505,79.36065,38.575825,63.8566
31.938425,79.889625,38.68825,64.248475
31.9553,80.10785,38.733775,64.657725
32.1222,80.1374,39.04995,64.706125
32.12875,80.16065,39.074225,64.944375
32.190875,80.1786,39.10055,65.1142
32.218575,80.191325,39.168275,65.5393
32.257075,80.219975,39.19335,66.047825
32.294575,80.273175,39.438575,66.167925
32.332025,80.347125,39.458825,66.20485
32.59625,80.41885,39.4788,66.453375
32.6515,80.47985,39.51595,66.7905
32.681975,80.5706,39.52985,66.980625
32.74465,80.629325,39.6489,67.0559
32.78735,80.6385,39.826125,67.19525
32.888125,80.6728,39.836375,67.2238
32.976025,80.7172,39.863475,67.872875
33.076525,80.97195,39.993425,67.970475
33.333025,80.986225,40.026475,68.04125
33.418225,81.0269,40.14965,68.0884
33.42915,81.1172,40.255125,68.1218
33.4475,81.288875,40.2686,68.311775
33.47125,81.384825,40.297325,68.68925
33.493075,81.40565,40.368625,68.839
33.570525,81.41375,40.4568,69.370275
33.676775,81.446175,40.584125,69.427025
33.771275,81.5892,40.83225,69.439775
33.821925,81.5909,40.89155,70.029
33.91515,82.26575,41.027775,70.328775
33.941025,82.326375,41.043225,70.5462
34.059875,82.431475,41.054725,70.7262
34.067475,82.58055,41.0885,70.754975
34.1521,82.593625,41.174875,70.999
34.233675,82.612925,41.339625,71.518925
34.359075,82.613975,41.366525,71.88255
34.412475,82.684225,41.5146,71.904425
34.49595,82.788675,41.550325,72.0271
34.581775,82.8778,41.5702,72.157625
34.65195,83.05785,41.593525,72.1713
34.68575,83.241175,41.6823,72.349975
34.720275,83.3495,41.70095,72.427275
34.8564,83.6061,41.746625,72.455525
34.945575,83.6438,41.7797,73.0733
35.001075,83.9244,41.875275,73.16425
35.0398,83.94445,41.990625,73.25545
35.146775,83.964325,42.00915,73.339875
35.1997,84.0012,42.023775,73.349925
35.279325,84.0125,42.04685,73.889125
35.3862,84.04235,42.079825,73.93385
35.507975,84.0499,42.14045,73.988975
35.53105,84.0681,42.155875,74.173425
35.66625,84.10875,42.171675,74.214925
35.69825,84.20205,42.1927,74.319425
35.801925,84.39475,42.229,74.350175
35.871475,84.440125,42.354175,74.402
36.0079,84.466175,42.51125,74.50485
36.079725,85.418275,42.5471,74.523775
36.083425,85.43375,42.634075,74.531175
36.184875,85.6586,42.650425,74.8759
36.26885,85.851225,42.684725,74.931
36.280425,86.131825,42.726175,74.97715
36.308175,86.140975,42.774125,75.034725
36.32015,86.22475,42.847975,75.077675
36.345975,86.436875,42.888225,75.405475
36.385125,86.829125,42.99825,76.057925
36.432625,87.0858,43.09615,76.267975
36.472575,87.08985,43.3526,76.41745
36.524525,87.19325,43.374325,76.492
36.55105,87.383625,43.392825,76.52665
36.578375,87.386175,43.42055,76.562875
36.6234,87.655525,43.435925,76.698875
36.688925,87.790875,43.4564,77.113875
36.817525,87.881175,43.4717,77.59635
36.831275,87.887925,43.48655,78.09085
36.86775,87.90555,43.52235,78.2236
36.897325,88.092175,43.613125,78.2587
36.947075,88.1246,43.67295,78.417825
37.075525,88.153375,43.702575,78.537625
37.13055,88.660075,43.71785,78.610525
37.142525,88.720125,43.742875,78.8662
37.1612,88.795875,43.773025,79.37855
37.239275,88.8293,43.8491,79.41125
37.245375,88.905325,44.077475,79.51145
37.272775,89.010175,44.085025,79.604675
37.286425,89.024725,44.0991,79.70325
37.420325,89.120375,44.104,80.1911
37.476575,89.201825,44.123075,80.2133
37.515775,89.277875,44.151575,80.8295
37.57485,89.336675,44.18385,80.8461
37.646675,89.5204,44.280625,80.910825
37.69295,89.6024,44.4069,81.058775
37.7507,89.637375,44.459325,81.0876
37.774375,89.6432,44.49035,81.119475
37.784175,89.662975,44.5457,81.3029
37.8315,89.70175,44.5733,81.313475
37.90195,89.713,44.596625,81.361575
37.915575,89.981825,44.617975,81.374375
37.99355,89.987175,44.635475,81.947475
38.1149,90.043125,44.73835,82.346475
38.132475,90.2243,44.75895,82.46315
38.2281,90.2842,44.773325,82.683175
38.26645,90.3741,44.8291,82.954225
38.339825,90.38375,44.856175,83.149225
38.457425,90.5301,45.01,83.2196
38.52585,90.604875,45.036525,83.30885
38.573075,90.72545,45.058625,83.3217
38.58995,90.7391,45.099675,83.967525
38.678375,90.86895,45.1303,83.9894
38.72905,90.89955,45.33895,84.081175
38.754,91.66185,45.349025,84.10155
38.7721,91.81025,45.371875,84.1076
38.786675,91.88965,45.38095,84.170625
38.861275,91.921875,45.3888,84.42125
38.922325,92.0534,45.406625,84.612725
39.007525,92.0925,45.43995,84.716425
39.08265,92.116925,45.4611,85.06225
39.14805,92.168225,45.657125,85.7123
39.21775,92.77475,45.751675,85.72165
39.28205,92.90115,45.803425,85.72865
39.308175,92.908225,45.904725,85.74935
39.347325,92.981425,45.9502,86.071825
39.39315,92.98765,45.988625,86.45505
39.4754,93.0452,45.998,86.4806
39.531725,93.05895,46.0095,86.506725
39.58345,93.07965,46.02385,86.565425
39.6553,93.17015,46.194875,86.64535
39.744725,93.23255,46.280475,86.767075
39.843275,93.36565,46.32015,87.17085
39.865375,93.38785,46.345025,87.747175
39.9064,93.595475,46.4168,87.905525
39.95995,93.651575,46.46745,88.124575
40.057375,93.76905,46.483425,88.1362
40.085525,94.14345,46.65835,88.270175
40.147025,94.227175,46.688375,88.740275
40.267,94.2732,46.724625,88.854775
40.2969,94.449,46.7599,88.9204
40.322875,94.642125,46.806425,89.13315
40.394875,95.2965,46.87685,89.140025
40.415325,95.360875,46.935125,89.163175
40.514175,95.556225,46.9831,89.17415
40.570825,95.638975,46.996025,89.19365
40.636025,95.731425,47.061275,89.279075
40.663225,96.05665,47.277775,89.329
40.730375,96.0982,47.34745,89.45875
40.782925,96.13445,47.42275,89.566025
40.917575,96.329875,47.523125,89.623125
41.047625,96.3384,47.554875,89.749
41.1453,96.35625,47.5817,89.79925
41.196025,96.3923,47.5985,90.010825
41.32245,96.3972,47.606825,90.255525
41.459575,96.417075,47.649525,90.413225
41.464025,96.45115,47.655475,90.508725
41.580175,96.478475,47.77495,90.632675
41.604125,96.542475,48.078725,90.659375
41.646375,96.868375,48.091025,90.725275
41.70095,96.925275,48.132175,90.820775
41.728975,96.99605,48.142375,90.91705
41.823675,97.10035,48.168475,90.93705
41.943075,97.1384,48.2729,91.105175
41.964825,97.444325,48.329525,91.465175
42.11215,97.52835,48.51145,91.484975
42.184975,97.59835,48.619825,91.626
42.25535,97.7379,48.831825,92.0303
42.2712,97.993025,48.8692,92.562075
42.33675,98.1889,48.9033,92.63825
42.35735,98.216725,49.046875,92.729275
42.56405,98.562575,49.0865,92.768175
42.5934,98.654575,49.109075,92.815175
42.63215,98.6579,49.321975,93.076125
42.651425,98.684675,49.495875,93.162075
42.6993,98.795825,49.514325,93.36695
42.7427,98.84895,49.53605,93.4301
42.753125,98.9072,49.686825,93.435425
42.870525,98.90895,49.7594,93.43975
42.9407,98.920475,49.838325,93.46835
42.994625,98.92875,49.927375,93.471875
43.134825,98.936975,49.946025,93.5192
43.229575,99.051025,49.986,93.562375
43.2967,99.128275,50.0004,93.780325
43.333325,99.13525,50.013725,93.8804
43.380575,99.140575,50.0355,94.0821
43.445075,99.15305,50.09265,94.6473
43.530425,99.253025,50.2564,94.77905
43.583425,99.366475,50.4783,95.0159
43.659125,99.39035,50.487825,95.029525
43.7315,99.47245,50.496525,95.041975
43.930625,99.549425,50.5055,95.2399
44.051925,99.56165,50.512425,95.57705
44.0601,99.755575,50.52665,95.60125
44.0776,99.77205,50.557225,95.67815
44.10255,99.7831,50.59055,95.722275
44.151,99.796275,50.72235,95.8865
44.28265,99.972875,50.73305,95.94905
44.56325,100.059325,50.83035,96.10755
44.623625,100.066025,51.0838,96.18545
44.63315,100.07375,51.145825,96.282975
44.655375,100.1468,51.1747,96.29175
44.698675,100.15405,51.296125,96.31615
44.7966,100.168175,51.319225,96.319175
44.902675,100.1784,51.657,96.46595
44.979175,100.186175,51.677875,96.589875
45.0028,100.349675,51.6944,96.624925
45.038675,100.380325,51.703475,97.025775
45.171775,100.40925,51.710825,97.5977
45.288025,100.44395,51.805925,97.897025
45.3495,100.6335,51.817,97.936775
45.38385,100.731575,52.16645,97.954425
45.3966,100.8702,52.1759,97.96515
45.491,100.927475,52.20055,97.973775
45.57185,101.438825,52.23135,98.00875
45.605575,101.67165,52.24895,98.249
45.7067,101.754,52.336725,98.472875
45.7651,101.775375,52.3533,98.6555
45.82415,101.78265,52.526025,98.73705
45.860625,101.812375,52.57795,98.7641
45.946275,102.016575,52.691475,98.856425
45.978125,102.0259,52.807725,98.8765
45.991525,102.164725,52.919,99.113225
46.026925,102.3088,52.96825,99.161575
46.081,102.35465,53.044725,99.23575
46.133,102.361925,53.1338,99.416275
46.179025,102.385475,53.224475,99.4874
46.236275,102.3897,53.242425,99.4985
46.33405,102.424375,53.3714,99.618775
46.351775,102.49005,53.402,99.671175
46.3877,102.494725,53.424825,99.762125
46.4684,102.515575,53.439425,99.78465
46.52755,102.535975,53.477075,100.317825
46.58145,102.555125,53.6327,100.568875
46.6923,102.5858,53.667075,100.60765
46.770125,102.78585,53.679425,101.374275
46.873625,102.80005,53.6918,101.508
46.91455,102.810425,53.77515,101.749025
47.0295,102.833975,53.8271,101.808275
47.04,102.9182,53.842725,101.870475
47.07145,102.938825,53.926,102.23585
47.10365,102.94395,54.1635,102.398625
47.1695,103.0567,54.2144,102.6699
47.24695,103.104175,54.27955,102.674175
47.31325,103.1685,54.2977,102.823725
47.391475,103.178925,54.3187,102.86535
47.431875,103.2684,54.385525,103.075225
47.459425,103.27815,54.42095,103.16075
47.525375,103.314175,54.520575,103.24775
47.583725,103.32955,54.77955,103.304575
47.59975,103.5809,54.8803,103.3205
47.63855,103.904775,54.968175,103.3876
47.69065,104.0672,55.0005,103.573725
47.749325,104.0866,55.029175,103.8695
47.811025,104.137225,55.117475,104.049375
47.9288,104.153725,55.130875,104.08815
47.9758,104.191075,55.342225,104.17425
48.014525,104.207,55.463025,104.364
48.0683,104.274825,55.480325,104.4716
48.12525,104.291975,55.5372,105.638225
48.1315,104.367775,55.575475,105.9476
48.2142,104.455075,55.74645,106.048625
48.263275,104.537025,55.84815,106.252625
48.334875,104.735975,55.992,106.3788
48.39765,105.10285,56.13135,106.398
48.494925,105.2365,56.194925,106.52955
48.5448,105.327075,56.280975,106.568825
48.571225,105.62035,56.291125,106.6233
48.653875,105.6239,56.4577,106.674925
48.666925,105.633775,56.470625,107.21485
48.75185,105.74155,56.8002,107.3479
48.8141,105.761725,56.881375,107.37465
48.931475,105.773775,57.00885,107.6621
49,105.836125,57.107475,107.6724
49.044325,105.9214,57.1994,107.977425
49.121925,105.95085,57.212325,108.108275
49.15485,106.06285,57.235075,108.118825
49.191325,106.154125,57.25255,108.244125
49.222975,106.287575,57.275375,108.302425
49.249125,106.303475,57.288125,108.3166
49.326825,106.349525,57.298675,108.525075
49.376,106.440775,57.3547,108.90795
49.4799,106.45485,57.365,109.04745
49.495075,106.50275,57.71935,109.440675
49.596375,106.516175,57.856075,109.50365
49.626525,106.570425,57.87,109.7027
49.710725,106.63635,57.944925,109.729275
49.748775,106.674875,58.015275,109.742675
49.75255,106.776925,58.046175,109.77225
49.878475,106.8341,58.1743,109.8782
49.9029,106.87095,58.196875,110.029475
49.95945,106.91945,58.21215,110.5801
49.986175,107.06245,58.225075,110.806175
49.9931,107.134675,58.240825,111.16095
50.077,107.1516,58.2703,111.582775
50.10335,107.33545,58.288025,111.6979
50.1454,107.389425,58.3016,111.72015
50.291625,107.52955,58.494375,111.7611
50.454375,107.5372,58.658675,111.9252
50.5017,107.62665,58.70585,112.116075
50.58905,107.85335,58.864725,112.159075
50.6731,107.9022,58.93015,112.446875
50.749825,108.065375,59.01475,112.885575
50.803075,108.086775,59.03645,112.9575
50.8503,108.090975,59.22105,112.972425
50.953275,108.11295,59.312425,113.184975
51.0232,108.153475,59.36955,113.55465
51.052675,108.186075,59.41125,114.05145
51.1478,108.213325,59.4722,114.139625
