SPK_SPKC08a (inhibited),SPK_SPKC12a (inhibited),SPK_SPKC14a (short inhibition),SPK_SPKC14b (inhibited),SPK_SPKC16a (NA)
63.692825,42.5363,17.94755,17.436,12.29165
65.1462,42.56165,17.98425,17.5225,12.2981
65.24585,43.01465,18.025775,17.58665,12.356675
65.43475,43.411825,18.0479,17.65905,12.363325
65.6157,43.676525,18.0642,17.678925,12.43085
66.0723,44.134425,18.107625,17.716175,12.4537
66.212675,44.330775,18.273175,17.792625,12.489775
66.530975,44.37225,18.35945,17.81305,12.51415
66.8135,44.6929,18.5556,18.161875,12.531975
66.904175,44.758075,18.623125,18.188875,12.559725
67.303325,44.943525,18.6611,18.227025,12.5942
67.836475,45.144125,18.7537,18.294725,12.649325
67.935575,45.21115,18.866825,18.382875,12.758875
68.116775,45.234875,18.881425,18.44905,12.764825
68.4355,45.3072,18.906625,18.4719,12.8154
68.55815,45.576575,18.966425,18.50185,12.8526
68.8196,45.609575,18.9819,18.58995,12.915575
69.44905,45.7811,19.1375,18.83735,13.0039
69.92885,45.8571,19.1587,19.00965,13.043575
70.25645,46.178475,19.186475,19.23145,13.1017
70.4451,46.235375,19.268625,19.3501,13.207625
70.560025,46.281775,19.51785,19.39235,13.2745
70.945675,46.482125,19.552,19.6783,13.336575
71.112175,46.667425,19.6474,19.864675,13.340575
71.437525,46.76245,19.72405,19.91005,13.669525
71.698025,46.798825,19.7974,19.93715,13.68085
72.166725,46.8466,19.971475,20.1175,13.722525
72.6458,46.902075,20.0042,20.174575,13.732075
72.826725,47.253175,20.041575,20.273625,13.803225
72.961575,47.504025,20.14815,20.2847,14.12265
73.108775,47.552675,20.2,20.297775,14.168175
73.261725,47.678475,20.249375,20.309225,14.18355
73.5128,47.6967,20.464725,20.552175,14.19425
73.617575,47.749075,20.4792,20.608,14.302575
73.737825,47.83085,20.785925,20.6484,14.391175
73.81705,47.9329,20.794725,20.726075,14.43175
73.9674,48.2075,20.840975,20.74665,14.543275
74.336875,48.6654,20.87945,20.763125,14.621825
74.650725,48.795725,20.9431,20.90535,14.653775
74.826475,48.86765,20.9743,21.042175,14.980725
74.9031,48.919175,21.0116,21.1996,15.14415
75.082775,49.0364,21.0762,21.464975,15.1598
75.5177,49.188425,21.1535,21.51425,15.188875
75.665475,49.33665,21.27685,21.637875,15.20465
75.887875,49.5623,21.351625,21.72035,15.243025
75.98225,49.582275,21.44395,21.759875,15.2829
76.531825,49.615725,21.487025,21.782575,15.38295
76.9966,49.9406,21.61235,21.845475,15.688325
77.4936,50.125525,21.6853,21.959675,15.883725
77.78445,50.1979,21.898475,22.050475,15.89915
77.867975,50.30215,21.981,22.071975,15.96875
78.659925,50.53535,22.25245,22.115125,16.006575
78.70755,50.65075,22.297975,22.186275,16.095025
78.792675,50.69095,22.38165,22.2211,16.294825
79.0566,50.902225,22.6731,22.3498,16.305025
79.787725,51.33465,22.804525,22.6224,16.32635
80.157,51.753175,22.826725,22.7489,16.3359
80.4612,51.81075,22.86105,22.887025,16.3927
80.709,51.9378,22.923875,23.124225,16.481575
80.9096,51.9634,22.9525,23.178125,16.516275
81.077725,52.03635,22.97165,23.222925,16.609075
81.325,52.174825,22.980975,23.325475,16.6459
81.4301,52.288475,23.009825,23.46165,16.852275
81.638675,52.331075,23.0388,23.63925,16.91845
81.806975,52.36485,23.07745,23.678875,16.945725
81.90845,52.725625,23.3596,23.7882,17.09955
82.14675,52.954825,23.381225,23.805025,17.114775
82.371125,53.1405,23.408325,23.8236,17.181975
82.5289,53.561275,23.483525,23.909225,17.206575
82.629025,53.651525,23.518275,24.056225,17.222275
82.781,53.712125,23.533225,24.100325,17.274175
82.8881,53.75335,23.733875,24.1434,17.299
83.13735,53.928925,23.763825,24.17735,17.345725
83.286875,54.0893,23.838425,24.304025,17.4685
83.524975,54.230375,23.8653,24.4254,17.642875
83.67965,54.370625,24.2461,24.46955,17.645325
83.7764,54.460425,24.3449,24.485575,17.73205
84.097175,54.523,24.608225,24.523175,17.7995
84.753625,54.71205,24.82425,24.5648,17.81335
85.14485,54.82165,24.854675,24.65275,17.878575
85.868575,54.922625,24.8832,24.715625,18.01935
86.10725,54.96395,25.003525,24.758125,18.033325
86.186375,55.006275,25.12455,24.925675,18.06255
86.3031,55.3117,25.16085,24.971225,18.087225
86.455375,55.47465,25.3472,25.03285,18.131725
86.64735,55.66385,25.393825,25.076425,18.177075
86.790675,55.689075,25.44945,25.233975,18.19625
86.877775,55.993425,25.566625,25.26195,18.25285
87.1298,56.0347,25.6097,25.305475,18.420675
87.29935,56.061825,25.650025,25.417525,18.4364
87.449125,56.3876,25.732325,25.48075,18.57145
87.466325,56.42755,25.74485,25.53065,18.708575
87.6576,56.4652,25.888875,25.6907,18.77695
87.88555,56.690275,25.948775,25.7672,18.895875
87.973575,57.030375,25.9786,25.807025,18.95565
88.8841,57.050275,26.115675,25.81945,18.9722
89.2967,57.07895,26.153475,25.85875,18.99155
89.4242,57.1065,26.20115,26.233225,19.0079
89.577375,57.12715,26.271225,26.309275,19.01945
89.659525,57.26255,26.353375,26.37155,19.0563
89.7736,57.484,26.420825,26.46505,19.106425
90.009175,57.5209,26.50485,26.479375,19.1324
90.22285,57.74525,26.53115,26.56905,19.143575
91.205875,57.8123,26.552525,26.607525,19.183125
91.286775,57.880375,26.584525,26.624575,19.499575
91.37405,57.921475,26.762075,26.69725,19.529925
91.4796,58.002625,26.838175,26.723325,19.58795
91.54285,58.050175,26.8781,26.8182,19.62955
91.752325,58.13685,27.0084,26.9107,19.6698
91.95665,58.5161,27.0539,26.968975,19.7638
92.64785,58.551875,27.1314,27.034,19.766325
92.80435,58.67925,27.14635,27.082575,20.281175
93.0385,58.80945,27.17975,27.212525,20.28355
93.4001,58.8985,27.324575,27.2455,20.284675
93.73805,58.9523,27.5037,27.3489,20.325025
93.973475,58.96995,27.558525,27.5883,20.4136
94.109125,59.05355,27.649975,27.62445,20.41665
94.4796,59.328125,27.684925,27.78345,20.4722
94.7009,59.3887,27.760075,27.811575,20.5286
95.02925,59.418825,27.845425,27.9369,20.81675
95.169725,59.5742,27.884075,28.060125,20.8693
95.48345,59.70905,27.913825,28.087625,21.027825
95.7344,59.748375,27.995725,28.2951,21.0658
96.474275,59.816175,28.0334,28.35195,21.077475
96.560025,59.84705,28.10145,28.4264,21.1622
96.67665,59.890375,28.1589,28.475925,21.321325
97.5069,60.032,28.19675,28.5923,21.41655
97.654,60.153325,28.3224,28.77445,21.44395
97.78285,60.273925,28.456825,28.832125,21.450525
98.45385,60.398775,28.5071,28.840225,21.453225
98.527075,60.61475,28.52985,28.873875,21.455375
98.55285,60.651925,28.5702,28.99205,21.474425
99.1547,60.68665,28.72625,29.028675,21.484675
99.3249,60.775625,28.764475,29.041725,21.527125
99.452725,60.822975,28.82735,29.161575,21.570225
99.716,61.0172,28.857825,29.571625,21.59135
99.91645,61.41865,28.882425,29.642125,21.633825
100.23845,61.6516,28.9023,29.672375,21.710325
101.03865,61.674,29.082975,29.831025,21.74705
101.11495,62.19355,29.24515,29.9462,21.804875
101.53285,62.36855,29.327975,29.96835,21.87035
101.6552,62.48115,29.416225,29.9922,21.989875
101.78975,62.52945,29.47715,30.20825,22.075575
101.897175,62.557075,29.545375,30.27375,22.35
102.508,62.57365,29.69005,30.3743,22.3536
102.626975,62.914175,29.802075,30.4105,22.373225
103.1293,63.0985,29.886775,30.4548,22.3883
103.461575,63.3344,30.03215,30.482275,22.42235
103.85795,63.65045,30.06915,30.5358,22.435125
104.04415,63.6789,30.098775,30.55315,22.46105
104.2188,64.0598,30.1435,30.593375,22.49155
104.538525,64.0994,30.2396,30.6229,22.57885
104.704225,64.109275,30.3003,30.651675,22.609575
105.162375,64.13135,30.34075,30.77575,22.64945
105.627175,64.22425,30.467175,30.7948,22.792775
105.814725,64.43665,30.51425,30.843175,22.90975
106.3848,64.546675,30.6945,30.930875,22.93
106.521875,64.58905,30.7337,30.966375,22.94425
106.657775,64.604725,30.81995,31.06795,23.014125
106.820025,64.740725,30.992125,31.10855,23.047125
107.166475,64.99915,31.0233,31.14895,23.07565
107.718375,65.073,31.1886,31.308425,23.09685
108.458825,65.11075,31.211875,31.41315,23.126675
108.7726,65.151375,31.258375,31.521875,23.204525
108.988725,65.274925,31.2893,31.649675,23.241425
109.504025,65.521875,31.38035,31.687625,23.30615
109.63475,65.939025,31.44925,31.7142,23.317125
109.76345,66.447575,31.47515,31.78605,23.34085
110.111425,66.603325,31.556,32.009625,23.352975
110.292875,66.68655,31.59445,32.1976,23.380225
110.3836,66.693125,31.631025,32.248625,23.424425
111.185,67.242175,31.752375,32.303825,23.482875
111.32525,67.28405,31.7644,32.391175,23.520125
111.3785,67.316475,31.8403,32.516325,23.58275
111.6274,67.33445,31.872575,32.57955,23.608125
111.797,67.3508,31.905775,32.784375,23.694025
111.861825,67.650575,31.95205,32.80685,23.737575
112.189725,67.93085,32.038425,32.860375,23.829475
112.808525,68.247025,32.087925,32.9375,23.865275
112.957075,68.4069,32.11715,33.030525,23.91315
113.067975,68.549575,32.144575,33.0665,23.926975
113.4261,68.830325,32.288525,33.12385,23.96025
113.738,68.942825,32.321375,33.476025,23.969475
114.155025,69.216475,32.34675,33.493525,24.010925
114.676775,69.287775,32.42005,33.690325,24.0947
115.028475,69.310875,32.443175,33.870825,24.141875
115.33615,69.34255,32.529275,33.9042,24.2044
115.54675,69.393525,32.55245,33.9416,24.259075
115.6473,69.95945,32.617425,33.96305,24.306575
115.778175,69.9918,32.666225,34.04805,24.363725
115.911875,70.256625,32.7552,34.097925,24.41635
116.027525,70.417725,32.839525,34.123275,24.50565
116.124175,70.532775,32.88385,34.164375,24.595525
