SPK_SPKC06a (NA),SPK_SPKC12a (inhibited)
141.394125,5.779775
141.453925,5.786025
141.731725,5.798475
141.81005,5.822975
141.896475,5.83315
141.926725,5.85835
141.9731,5.869175
142.02965,5.88615
142.071125,5.899925
142.332275,5.906225
142.34495,5.927125
142.37915,5.946575
142.420575,5.957625
142.5667,5.9767
142.8424,5.986225
142.879625,5.9931
142.944525,6.0049
142.959875,6.017925
142.985075,6.030925
143.041575,6.0601
143.089175,6.066775
143.198925,6.074225
143.267775,6.083925
143.37635,6.103675
143.56215,6.10805
143.775225,6.116925
143.83075,6.131175
144.1894,6.161
144.27655,6.17805
144.285125,6.209975
144.48165,6.2119
144.632425,6.2287
145.002475,6.233125
145.0613,6.2521
145.40235,6.262125
145.574975,6.273175
145.6333,6.291325
145.759375,6.3174
145.805025,6.32575
146.090975,6.340175
146.16765,6.352125
146.20265,6.3554
146.250675,6.39135
146.268575,6.398175
146.27665,6.420075
146.34455,6.43375
146.512125,6.44895
146.624075,6.4757
146.71025,6.482575
146.92635,6.489875
147.1855,6.49525
147.44375,6.5456
147.8954,6.5882
148.10835,6.60135
148.242475,6.614825
148.27745,6.617525
148.284775,6.627125
148.57995,6.63685
148.815175,6.6765
148.87725,6.680575
148.949575,6.6958
149.36555,6.7079
149.506075,6.721625
149.707575,6.728025
149.77765,6.75235
150.390725,6.768075
150.4417,6.7762
151.073375,6.7895
151.1144,6.804125
151.19825,6.826675
151.262825,6.8448
151.386325,6.8603
151.418875,6.874075
151.540725,6.892225
151.86395,6.904975
152.007775,6.923925
152.156125,6.94125
152.168925,6.96565
152.2601,6.981375
152.36765,6.997575
152.377625,7.01625
152.389375,7.01965
152.3936,7.0411
152.398775,7.064725
152.61245,7.068825
152.7206,7.08205
153.07865,7.09425
153.118,7.0967
153.292575,7.1207
153.393725,7.133675
153.4849,7.143575
153.6321,7.16185
153.760625,7.1805
154.0015,7.19355
154.0076,7.212325
154.0719,7.217325
154.0783,7.22285
154.083875,7.257325
154.23755,7.26435
154.385925,7.268
154.48205,7.291125
154.65515,7.297675
154.7374,7.30245
154.818575,7.323475
154.8845,7.344425
155.0749,7.3584
155.217725,7.38935
155.384825,7.40225
155.4943,7.413275
155.561275,7.433325
155.667575,7.438275
155.9008,7.467225
156.691275,7.476675
156.744275,7.49105
156.796275,7.510125
157.0437,7.51505
157.050975,7.5476
157.05635,7.55315
157.283475,7.565625
157.3776,7.5829
157.678825,7.597575
157.693325,7.6062
157.807575,7.60835
157.825275,7.618525
157.85485,7.637675
157.8601,7.65295
157.86795,7.659675
157.8763,7.6826
157.896475,7.709575
158.019275,7.717625
158.146125,7.7199
158.1593,7.7393
158.222375,7.758625
158.368425,7.770375
158.53555,7.799875
158.8512,7.810425
159.25635,7.812625
159.29005,7.836225
159.320075,7.85055
159.353075,7.8556
159.718725,7.87075
159.734275,7.89365
159.8782,7.913075
159.919225,7.925725
159.9476,7.9473
160.14845,7.96105
160.23495,7.980625
160.292125,7.99985
160.5006,8.008775
160.5982,8.049475
160.871675,8.05285
160.99015,8.057825
161.039425,8.0682
161.05235,8.1081
161.2699,8.124625
161.31375,8.13045
161.384325,8.15
161.529125,8.163675
161.632625,8.1937
161.71765,8.199425
161.846875,8.218025
162.1062,8.236025
162.2092,8.2401
162.35505,8.252225
162.442925,8.266575
162.54435,8.2699
162.64525,8.272
162.69125,8.288625
162.88895,8.299125
162.9251,8.302025
162.9808,8.315675
163.121275,8.32485
163.29985,8.3304
163.405125,8.342175
163.501175,8.35135
163.854075,8.353325
163.902975,8.365525
164.0539,8.371925
164.07725,8.387125
164.306775,8.3905
164.43355,8.40255
164.56435,8.405425
164.814975,8.41075
165.113475,8.4176
165.1907,8.525025
165.207525,8.566725
165.29,8.569325
165.296775,8.623975
165.426075,8.628125
165.686325,8.6369
165.706975,8.647025
166.3204,8.654675
166.47305,8.661825
166.522275,8.670975
166.594325,8.682125
166.66695,8.68515
166.689375,8.6957
166.744925,8.7037
166.769475,8.74295
166.876375,8.74675
166.902525,8.760525
166.915175,8.766525
167.0377,8.781675
167.046225,8.79555
167.056775,8.813525
167.106725,8.82395
167.931525,8.86405
167.9769,8.900575
167.98355,8.917
168.0833,8.931425
168.2592,8.936275
168.346125,8.943225
168.399975,8.95975
168.42545,8.9751
168.5877,8.9819
168.6092,8.996325
168.8562,9.014875
168.870275,9.05685
168.943375,9.0661
169.152075,9.106725
169.25985,9.11685
169.6125,9.13495
169.6352,9.156175
169.725025,9.1955
169.77125,9.2253
169.847075,9.244875
170.19295,9.253875
170.3454,9.279075
170.3988,9.298825
170.527875,9.324425
170.72905,9.3422
170.85105,9.399875
170.950625,9.40545
171.038325,9.46445
171.177125,9.4736
171.202525,9.497775
171.242925,9.58645
171.284675,9.60705
171.31975,9.623
171.3458,9.6259
171.373575,9.6293
171.409175,9.638975
171.437775,9.65715
171.948725,9.6701
172.104575,9.68425
172.1131,9.6874
172.223025,9.68975
172.269925,9.705975
172.48595,9.71615
172.7265,9.719475
172.879775,9.721325
173.2061,9.73085
173.2469,9.743275
173.539275,9.766275
173.611875,9.76925
173.692925,9.7737
173.720075,9.800225
173.72965,9.81035
173.87075,9.812025
174.311175,9.8447
174.574675,9.856125
174.702575,9.860675
174.7927,9.8721
174.8627,9.894
174.901,9.905
175.0023,9.91385
175.075525,9.919075
175.145725,9.94685
175.1637,10.00265
175.2813,10.0307
175.29435,10.0378
175.40765,10.041575
175.4721,10.047375
175.50765,10.052075
175.528425,10.063425
175.617875,10.0767
175.75425,10.094375
175.80765,10.098775
175.884775,10.111725
176.0044,10.11525
176.036575,10.12395
176.36065,10.133775
176.42675,10.138275
176.712475,10.14995
176.735575,10.151875
176.8154,10.159625
176.8453,10.162375
176.9204,10.1691
176.9979,10.172825
177.13605,10.1758
177.16345,10.17775
177.283675,10.19825
177.3014,10.2072
177.419975,10.21435
177.834725,10.22365
177.84475,10.226275
177.862875,10.278275
178.064075,10.2872
178.32805,10.308475
178.74835,10.315
178.766425,10.3187
178.779925,10.3398
178.9358,10.34275
179.1027,10.345225
179.206325,10.363675
179.3103,10.36905
179.39325,10.388525
179.489625,10.390375
179.490775,10.408775
179.51125,10.4143
179.514525,10.429675
179.518375,10.44115
179.560175,10.44595
179.609425,10.4613
179.702225,10.467425
179.8832,10.4701
180.142125,10.473925
180.170175,10.484675
180.21515,10.49075
180.344925,10.492775
180.379525,10.496675
180.46155,10.5016
,10.5098
,10.512025
,10.515575
,10.52865
,10.53435
,10.5375
,10.542525
,10.54635
,10.554125
,10.55855
,10.5626
,10.565175
,10.5701
,10.57625
,10.579025
,10.59
,10.613
,10.61775
,10.633175
,10.6361
,10.63885
,10.651625
,10.6584
,10.671175
,10.688675
,10.708125
,10.722975
,10.726175
,10.741775
,10.7439
,10.751975
,10.7585
,10.766825
,10.78015
,10.782475
,10.803725
,10.80585
,10.815575
,10.820725
,10.831425
,10.8344
,10.84955
,10.855075
,10.86245
,10.868325
,10.8835
,10.8899
,10.894925
,10.904175
,10.91
,10.913075
,10.92535
,10.953825
,10.970425
,10.981075
,11.01655
,11.019475
,11.028975
,11.053125
,11.059925
,11.086675
,11.09125
,11.098975
,11.11715
,11.131025
,11.1389
,11.1544
,11.161275
,11.173175
,11.176125
,11.1802
,11.194225
,11.214475
,11.217325
,11.226575
,11.2367
,11.2426
,11.2567
,11.2765
,11.293475
,11.3107
,11.332125
,11.340775
,11.3491
,11.361975
,11.3681
,11.388725
,11.392175
,11.4143
,11.42555
,11.42955
,11.45255
,11.45575
,11.468975
,11.4768
,11.4867
,11.491425
,11.5086
,11.515175
,11.52
,11.5378
,11.557425
,11.5691
,11.607625
,11.613625
,11.62755
,11.639025
,11.671875
,11.67535
,11.682175
,11.689475
,11.702475
,11.70815
,11.71715
,11.7221
,11.727275
,11.7329
,11.736125
,11.747675
,11.7687
,11.778375
,11.7822
,11.798525
,11.8129
,11.82515
,11.8478
,11.8506
,11.871325
,11.94115
,11.949275
,11.96235
,11.971975
,11.99
,12.010275
,12.022525
,12.026525
,12.045325
,12.053975
,12.06485
,12.07325
,12.09225
,12.098775
,12.1108
,12.11595
,12.133275
,12.1386
,12.152875
,12.170975
,12.180025
,12.193425
,12.20455
,12.215775
,12.248625
,12.261125
,12.264725
,12.292425
,12.302825
,12.317075
,12.3381
,12.36085
,12.37625
,12.379125
,12.39535
,12.413975
,12.4405
,12.449725
,12.465125
,12.47935
,12.497
,12.509425
,12.512
,12.54105
,12.551625
,12.565825
,12.569225
,12.58075
,12.5936
,12.6074
,12.62075
,12.64835
,12.67975
,12.686425
,12.705825
,12.721675
,12.734525
,12.73735
,12.757
,12.762925
,12.776175
,12.787825
,12.815925
,12.8203
,12.847475
,12.855975
,12.871775
,12.875325
,12.888425
,12.906225
,12.921425
,12.946625
,12.95195
,12.967225
,12.974525
,12.97725
,12.992675
,13.025125
,13.03845
,13.0444
,13.052
,13.077725
,13.087475
,13.102575
,13.11315
,13.1219
,13.142725
,13.149375
,13.1596
,13.1763
,13.1975
,13.2018
,13.218625
,13.246425
,13.251975
,13.264925
,13.282625
,13.308625
,13.32645
,13.36035
,13.363275
,13.3832
,13.3944
,13.4049
,13.41205
,13.41775
,13.438025
,13.4464
,13.462025
,13.478075
,13.49525
,13.50485
,13.51565
,13.524425
,13.54535
,13.5595
,13.5825
,13.60445
,13.66145
,13.6895
,13.7113
,13.728075
,13.735025
,13.750025
,13.769275
,13.78195
,13.784225
,13.8153
,13.8275
,13.855725
,13.870825
,13.8807
,13.8871
,13.905025
,13.925875
,13.968525
,13.973525
,14.000325
,14.01235
,14.039075
,14.06485
,14.08285
,14.100875
,14.1108
,14.1265
,14.135325
,14.146825
,14.165625
,14.187875
,14.200175
,14.229925
,14.234475
,14.238425
,14.249525
,14.2755
,14.281875
,14.29815
,14.31285
,14.325275
,14.347825
,14.35515
,14.361175
,14.378875
,14.40075
,14.403125
,14.430125
,14.46675
,14.479725
,14.49555
,14.531225
,14.554925
,14.580275
,14.609875
,14.628625
,14.64085
,14.64885
,14.65075
,14.6684
,14.67405
,14.69205
,14.7005
,14.743875
,14.763775
,14.77375
,14.7805
,14.8042
,14.80775
,14.8291
,14.851
,14.862825
,14.873525
,14.89455
,14.901275
,14.919675
,14.944625
,14.9771
,14.987975
,14.9931
,15.035175
,15.057025
,15.06865
,15.0823
,15.09425
,15.1022
,15.108675
,15.150925
,15.171975
,15.17925
,15.1944
,15.205675
,15.222375
,15.230025
,15.24505
,15.26905
,15.294375
,15.318875
,15.331575
,15.344475
,15.3594
,15.368925
,15.384125
,15.403175
,15.425525
,15.444175
,15.4514
,15.469925
,15.475825
,15.480475
,15.494775
,15.504875
,15.51205
,15.52505
,15.548475
,15.56145
,15.572575
,15.59435
,15.610375
,15.6201
,15.634525
,15.6774
,15.688075
,15.69755
,15.7072
,15.713025
,15.75525
,15.768075
,15.7791
,15.78805
,15.8026
,15.82015
,15.841975
,15.858075
,15.865125
,15.88575
,15.8952
,15.901325
,15.9077
,15.927625
,15.9454
,15.9481
,15.95475
,15.97715
,16.009425
,16.0302
,16.048275
,16.083925
,16.08745
,16.108
,16.110475
,16.126075
,16.16215
,16.173575
,16.1915
,16.2108
,16.2375
,16.251975
,16.2659
,16.290575
,16.300775
,16.308025
,16.329775
,16.35945
,16.376325
,16.392125
,16.411825
,16.42455
,16.437275
,16.462
,16.495525
,16.519025
,16.522
,16.567975
,16.579125
,16.59405
,16.626075
,16.6527
,16.68785
,16.703825
,16.721675
,16.752175
,16.778725
,16.810325
,16.819575
,16.83885
,16.849275
,16.8691
,16.8853
,16.894725
,16.921325
,16.92665
,16.950275
,16.96015
,17.006475
,17.036125
,17.03815
,17.055525
