SPK_SPKC01a (inhibited),SPK_SPKC04a (excited),SPK_SPKC07a (excited),SPK_SPKC12a (NA)
5.382475,7.50655,93.135975,11.874175
5.438775,7.55,95.1447,11.883225
5.47985,7.5945,95.901275,12.309725
5.513875,7.61315,96.030775,12.34505
5.596975,7.663525,96.215225,12.382625
5.64895,7.68585,96.317825,12.38535
5.678125,7.70665,96.569825,12.38795
5.71025,7.736175,97.382475,12.39045
5.719675,7.773675,97.662475,12.3929
5.747975,7.786175,98.34175,12.395475
5.807075,7.8114,98.65995,12.3982
5.864575,7.8614,98.93925,12.400625
5.878325,7.91545,99.80625,12.403625
5.914725,7.954975,100.253275,12.406675
5.92445,7.990025,100.58085,12.4106
5.949475,8.019025,104.8906,12.4174
6.005225,8.238225,104.97255,12.420925
6.04705,8.27645,105.09795,12.445575
6.061625,8.3369,105.20815,12.454025
6.106025,8.382225,105.50045,12.4677
6.1162,8.432775,106.15745,12.473775
6.13555,8.5142,106.281325,12.48675
6.1747,8.556475,106.63915,12.501825
6.188225,8.570075,106.772675,12.50835
6.200675,8.67195,107.3766,12.51345
6.22525,8.73315,107.584175,12.5205
6.253,8.797275,108.351975,12.5372
6.2894,8.8255,108.75245,12.549825
6.5389,8.86075,108.936425,12.558675
6.543825,8.891725,109.063575,12.5643
6.584,8.92045,109.99595,12.571775
6.609175,8.94375,111.421,12.58625
6.69695,8.9966,111.896525,12.595275
6.729475,9.026025,112.402125,12.6037
6.809925,9.049625,112.46695,12.9217
6.83555,9.07585,112.679875,13.06725
6.971575,9.119725,112.791775,13.251525
6.9873,9.177825,113.374,13.2633
7.0365,9.22185,113.87745,13.266025
7.083925,9.237225,114.11705,13.2686
7.115175,9.263775,114.676525,13.271025
7.152125,9.288625,115.15615,13.273625
7.18095,9.3105,115.648825,13.27625
7.2334,9.371225,116.171425,13.284025
7.266325,9.384025,116.44465,13.286925
7.33095,9.436625,117.0435,13.301575
7.362025,9.46925,117.387475,13.3049
7.397275,9.488625,117.692725,13.318025
7.40725,9.550575,118.051925,13.330425
7.434125,9.5716,119.73555,13.347
7.44735,9.612375,120.9966,13.38415
7.46495,9.6498,121.3906,13.633925
7.479075,9.68135,121.711225,13.6368
7.50045,9.7112,121.973025,13.639875
7.535475,9.756,122.196425,13.642925
7.567825,9.782825,122.968775,13.64605
7.61625,9.81295,125.073,13.65555
7.6499,9.877825,126.07695,13.658775
7.6739,9.90025,126.886,13.66215
7.684825,9.914275,127.7008,13.66555
7.702725,9.929425,128.764825,13.69335
7.709225,9.986525,129.67735,13.708675
7.735975,10.008425,129.804675,13.72365
7.7492,10.04575,129.864025,13.731425
7.7817,10.091325,130.0409,13.739025
7.79575,10.113725,130.21375,13.752675
7.81125,10.13855,130.757775,13.76035
7.84265,10.18575,130.977725,13.7849
7.860375,10.2918,131.51855,13.815025
7.867875,10.314975,132.459175,13.820975
7.9098,10.332475,133.23775,14.55605
7.9481,10.35065,133.5502,14.56325
7.9675,10.419725,134.150525,14.5665
7.9986,10.455475,134.45565,14.569425
8.01845,10.501425,134.70795,14.572275
8.138675,10.52205,135.221475,14.575
8.15035,10.537125,135.966725,14.58065
8.2219,10.5709,136.2299,14.5837
8.254625,10.60245,136.36585,14.598125
8.290625,10.618825,136.757275,14.6088
8.300425,10.650925,137.0152,14.61235
8.320175,10.67175,137.663425,14.618575
8.328325,10.694225,138.14925,14.63015
8.3536,10.716575,138.30605,14.634675
8.38945,10.74475,138.3795,14.6526
8.404625,10.79585,138.53075,14.6561
8.431125,10.817525,138.769075,14.67085
8.44385,10.848675,139.02695,15.35275
8.450325,10.89225,139.213575,15.951975
8.482475,11.000175,139.551,15.956975
8.483725,11.029825,140.218,15.9597
8.515975,11.037875,140.5706,15.96265
8.537925,11.064475,140.7433,15.965525
8.608,11.10295,141.050275,15.968175
8.6113,11.1633,141.5851,15.973575
8.7052,11.267525,142.951825,15.97645
8.73095,11.318275,143.44435,15.987475
8.75375,11.363125,145.950375,15.991275
8.768,11.408675,146.63915,15.994925
8.784175,11.448575,146.777725,16.0005
8.815225,11.475025,148.0097,16.00445
8.8218,11.54985,148.444525,16.009125
8.8456,11.584825,149.065325,16.01375
8.85475,11.59915,149.777925,16.017475
8.8628,11.60835,150.05305,16.027
8.903375,11.6595,150.3699,16.030225
8.9484,11.6813,150.48035,16.042925
8.959875,11.7125,150.94565,16.051475
8.9827,11.740325,151.409875,16.062225
9.005275,11.77445,151.638725,16.077325
9.043425,11.802,151.876225,16.08235
9.05615,11.822075,152.3552,16.08965
9.072075,12.0097,152.513725,16.1425
9.11205,12.0555,152.8306,16.146
9.129875,12.10185,152.995525,16.178
9.146525,12.1337,153.18015,16.182925
9.154,12.152475,153.43425,16.2025
9.16215,12.19425,153.811125,16.21765
9.19355,12.228375,154.33965,16.285325
9.23385,12.24085,155.09255,16.291225
9.2778,12.2909,156.64915,16.313725
9.296525,12.314475,157.37145,16.3235
9.343575,12.40405,157.628625,16.644525
9.3476,12.4283,157.759925,16.653975
9.362525,12.441125,157.951775,16.6577
9.379375,12.522725,158.04495,16.6611
9.4033,12.56495,158.52205,16.6644
9.44825,12.63665,159.213625,16.667025
9.4804,12.669825,159.47,16.66965
9.491825,12.685375,159.66395,16.672775
9.4989,12.718225,159.83055,16.6761
9.516525,12.743225,161.63595,16.67915
9.545925,12.81085,162.80985,16.6822
9.55635,12.883775,162.91865,16.685225
9.588125,12.899125,164.074975,16.688475
9.59485,12.909575,164.5387,16.696275
9.63385,12.94545,164.653475,16.719175
9.6498,12.98405,164.80545,16.745725
9.699825,13.00865,165.176225,16.75025
9.744775,13.03665,167.357675,16.7827
9.7633,13.0626,168.3723,16.7971
9.77835,13.1209,168.70275,16.813
9.783875,13.154625,169.305,18.0361
9.792975,13.196875,169.88735,18.111075
9.835325,13.280175,170.375375,18.11345
9.872675,13.3376,170.8175,18.118725
9.890825,13.4702,171.33885,18.121375
9.915525,13.5187,171.6422,18.124125
9.932675,13.5398,171.850325,18.12665
9.944025,13.557775,172.3468,18.129325
9.95585,13.57515,172.506,18.131975
10.00885,13.6044,172.5748,18.135275
10.036,13.67225,172.65815,18.138425
10.0693,13.72005,172.66325,18.141425
10.094875,13.7405,172.758925,18.16095
10.1044,13.7509,173.010725,18.167975
