SPK_SPKC02a (short inhibition),SPK_SPKC04a (inhibited),SPK_SPKC05a (excited),SPK_SPKC07a (short excitation),SPK_SPKC10a (short excitation)
13.51855,9.143825,61.282875,5.5963,8.239125
13.5392,9.191575,61.323325,5.666925,8.2593
13.672075,9.226325,61.33845,5.692975,8.333825
13.769475,9.230275,61.4352,5.706125,8.3736
13.8523,9.234625,61.48075,5.722375,8.4312
13.90285,9.375475,61.61825,5.724925,8.4708
14.063975,9.44915,62.00665,5.76185,8.5426
14.1697,9.490625,62.1192,5.767775,8.57365
14.272775,9.52125,62.315325,5.810825,8.632475
14.32565,9.58565,62.382575,5.8347,8.70685
14.346075,9.60835,62.629375,5.836975,8.7367
14.3893,9.658025,63.132625,5.872825,8.7756
14.497375,9.693125,63.401625,5.88475,8.800375
14.54865,9.719625,64.083825,5.941975,8.8331
14.74375,9.7272,64.315875,5.9642,8.859975
14.786475,9.79035,64.465925,6.0119,8.8836
14.8107,9.8586,64.7563,6.024075,8.892675
14.8399,9.861775,65.110675,6.0517,8.9237
14.920725,9.8691,65.1668,6.069375,8.950725
15.025325,9.90435,65.3482,6.086975,8.9832
15.1064,9.987175,65.356725,6.167275,9.0275
15.1553,9.9915,65.737325,6.1691,9.08495
15.2705,10.0078,65.874975,6.20115,9.118575
15.385575,10.035975,65.930425,6.231575,9.1429
15.422875,10.0961,66.081025,6.252975,9.170525
15.4558,10.149575,66.355975,6.295275,9.176775
15.467375,10.155175,66.3652,6.3337,9.2208
15.6056,10.205275,66.36895,6.354025,9.237275
15.741325,10.242825,66.521975,6.370475,9.27795
15.75805,10.26965,66.63385,6.4429,9.38855
15.8262,10.3189,67.1166,6.473125,9.412725
15.924575,10.344325,67.13205,6.52065,9.432925
15.9972,10.375075,67.286825,6.554825,9.462375
16.04515,10.4012,67.742125,6.574175,9.483675
16.055225,10.408925,68.0911,6.587175,9.522875
16.0718,10.527775,68.097125,6.602825,9.5923
16.230275,10.571975,68.241575,6.61995,9.612225
16.31225,10.604725,68.291775,6.64465,9.6553
16.3642,10.658025,68.63455,6.681575,9.66865
16.414975,10.679975,70.439275,6.685375,9.7227
16.42695,10.694675,70.47665,6.7075,9.744625
16.447,10.7053,70.5913,6.711575,9.77085
16.496175,10.795575,70.8146,6.7412,9.81425
16.52585,10.92285,70.97305,6.7459,9.843
16.6872,10.967475,71.02595,6.804425,9.887675
16.8244,11.016525,71.059275,6.83715,9.9254
16.835225,11.055525,71.644975,6.863925,9.996325
16.8453,11.086825,71.966125,6.87545,10.033825
16.897875,11.091825,72.161075,6.88405,10.083125
16.90995,11.120375,72.4871,6.915325,10.11125
17.063325,11.1805,72.7993,6.92385,10.1335
17.09015,11.202925,72.893125,6.93255,10.1666
17.237925,11.26015,73.12965,6.962275,10.28175
17.3364,11.29155,73.3168,6.96715,10.301925
17.396475,11.351775,73.622,6.9771,10.343025
17.46355,11.481775,73.930225,7.004275,10.3927
17.5345,11.504725,74.3871,7.0215,10.4304
17.5479,11.5679,74.8728,7.03175,10.469225
17.73055,11.613075,75.789775,7.072275,10.5192
17.75375,11.6398,75.88505,7.0913,10.55785
17.772175,11.666875,76.042475,7.1182,10.650925
17.8792,11.74175,76.2289,7.1296,10.727325
17.90085,11.8025,76.2572,7.139425,10.74505
17.9127,11.818225,76.468475,7.143675,10.77175
17.925,11.88045,76.475175,7.1461,10.805875
17.960975,11.9322,76.6971,7.17355,10.8356
17.971125,11.938125,77.066775,7.179425,10.8563
18.0978,11.984025,77.34985,7.19345,10.898925
18.154175,12.009625,77.393375,7.2323,10.941575
18.18745,12.033625,77.9522,7.249875,10.96675
18.2109,12.076875,78.122825,7.27475,11.022975
18.235075,12.114525,78.1339,7.309525,11.047675
18.2581,12.1328,78.578825,7.406475,11.08655
18.31075,12.1636,78.63615,7.441825,11.1221
18.374225,12.200225,79.13015,7.488175,11.22845
18.38905,12.218425,79.211525,7.500375,11.265625
18.4025,12.26395,79.6899,7.56925,11.3307
18.475575,12.2999,79.766175,7.6511,11.3396
18.50385,12.391175,80.010225,7.673625,11.3514
18.518575,12.3981,81.435325,7.69495,11.36825
18.5374,12.4514,81.77295,7.697,11.37925
18.57785,12.505275,82.360675,7.716175,11.41595
18.594825,12.510625,82.751925,7.764175,11.4363
18.6323,12.53845,83.259725,7.780875,11.4555
18.704575,12.57495,83.50155,7.782225,11.495825
18.77415,12.604,83.57415,7.8023,11.53735
18.83115,12.6889,83.78525,7.904225,11.572925
18.850175,12.691875,84.3749,7.944475,11.61365
18.966625,12.762675,84.50855,7.979,11.64295
19.01705,12.808775,84.6245,8.029625,11.6586
19.0842,12.893575,84.7521,8.056325,11.6904
19.1415,12.938875,85.2044,8.1026,11.719975
19.1862,12.985225,85.26705,8.13665,11.75445
19.2851,13.015775,85.4102,8.204425,11.78915
19.4201,13.0427,85.5542,8.26205,11.8257
19.459625,13.110875,85.574125,8.286325,11.8817
19.582625,13.123275,85.678725,8.3062,11.916425
19.680175,13.13535,85.7557,8.389525,11.9455
19.75605,13.14995,85.76635,8.39665,11.97995
19.7696,13.265075,86.138875,8.441275,12.0888
19.80035,13.292525,86.33655,8.61725,12.161375
19.812875,13.354775,87.068325,8.63415,12.20075
19.8283,13.38405,87.100475,8.650125,12.223675
19.86375,13.409825,87.1132,8.682025,12.30945
19.87245,13.4381,87.13775,8.72035,12.35115
19.89065,13.470375,87.19875,8.7421,12.41705
19.968825,13.541625,87.34605,8.74735,12.454575
19.98845,13.563875,87.48665,8.77,12.487225
20.091725,13.58905,87.646175,8.771975,12.519725
20.271475,13.663125,87.816975,8.775475,12.561175
20.297175,13.701525,87.936925,8.80575,12.598
20.44045,13.75975,88.01265,8.83605,12.624425
20.54035,13.7852,88.0249,8.8546,12.64895
20.578075,13.8408,88.14445,8.857875,12.68505
20.681,13.87835,88.303175,8.8644,12.732325
20.732175,13.932125,88.4504,8.885675,12.775125
20.74175,13.96345,88.567,8.9154,12.813625
20.966225,13.982575,88.98775,8.940575,12.841125
21.004575,13.996625,89.678925,8.94655,12.899275
21.143025,14.064825,89.80035,8.971325,12.9277
21.20055,14.119325,90.466475,8.98025,12.954325
21.2077,14.14195,90.54345,8.99315,12.993175
21.246525,14.171925,90.60965,9.027925,13.044
21.2817,14.198675,90.649825,9.049925,13.06825
21.360025,14.269575,91.186475,9.066575,13.0997
21.372,14.296825,91.345825,9.1242,13.133375
21.424375,14.3195,91.3942,9.158775,13.1606
21.439425,14.33565,91.5362,9.184025,13.18025
21.481375,14.370525,91.5644,9.25025,13.261475
21.5122,14.419425,91.8616,9.254025,13.29415
21.5804,14.47475,92.7126,9.284625,13.3285
21.609,14.50585,92.7804,9.2903,13.381825
21.69925,14.52475,93.110925,9.34415,13.415475
21.79555,14.603925,93.4519,9.486925,13.432475
21.811,14.63295,93.563775,9.49045,13.4839
21.887275,14.765975,93.748025,9.537975,13.521375
21.918275,14.7789,93.923625,9.56315,13.5439
21.99735,14.796725,93.925825,9.5901,13.571075
22.083875,14.845925,93.94075,9.606125,13.6119
22.114,14.884625,94.02845,9.628625,13.6298
22.18445,14.9489,94.112375,9.6363,13.6572
22.35895,15.00025,94.902375,9.6749,13.6924
22.39675,15.00365,95.424925,9.7163,13.72985
22.453825,15.03815,95.523325,9.82765,13.7819
22.74085,15.055,95.596175,9.916475,13.80655
22.8262,15.073775,95.68175,9.99755,13.83365
22.9623,15.111225,95.703575,10.02165,13.884425
23.04725,15.117275,95.8256,10.061575,13.9155
23.0583,15.1366,96.2459,10.06715,13.9328
23.1906,15.218675,96.482675,10.155625,13.95935
23.20045,15.230925,96.5442,10.159875,14.022425
23.21115,15.24035,97.3351,10.194625,14.09365
23.236475,15.28515,97.40715,10.20125,14.17315
23.2698,15.2984,98.122625,10.25155,14.2013
23.2862,15.304575,98.74535,10.28125,14.2531
23.3759,15.316375,98.77995,10.28895,14.288925
23.440375,15.3646,98.919675,10.300825,14.363825
23.514425,15.4029,99.242025,10.3069,14.418975
23.588075,15.45895,99.284025,10.332175,14.4394
23.743425,15.523975,99.6021,10.34015,14.506025
23.764375,15.576725,99.6883,10.354,14.521925
23.80145,15.626675,99.794525,10.372225,14.533075
23.940575,15.637475,99.827775,10.394375,14.55725
24.03565,15.71775,99.8864,10.40175,14.6951
24.085,15.7269,100.07615,10.4284,14.747425
24.12675,15.80875,100.621,10.44295,14.785325
24.1649,15.834725,100.7964,10.469375,14.817375
24.195375,15.879325,101.0115,10.485225,14.823675
24.37345,15.90725,101.126825,10.507175,14.87495
24.3914,15.962925,101.514975,10.52745,14.91965
24.43345,15.98565,101.5417,10.534625,14.9436
24.47355,15.99265,101.7351,10.598375,15.02425
24.5218,16.03175,101.788475,10.616875,15.05345
