SPK_SPKC12a,SPK_SPKC12b
92.282975,4.0906
92.54105,4.10565
93.2902,4.117875
93.750625,4.16775
93.8524,4.193025
93.900675,4.224625
94.282425,4.312375
94.341875,4.35655
95.42405,4.4342
95.954525,4.45285
96.18195,4.4606
96.51235,4.468575
96.83355,4.47825
97.095,4.493075
97.113025,4.50125
97.5997,4.506975
97.616525,4.516975
98.6827,4.5449
100.40485,4.555325
100.612975,4.570425
100.631,4.583375
100.656375,4.59845
100.685075,4.6153
101.645475,4.626975
102.121925,4.646725
102.580875,4.668725
103.097025,4.68955
103.198625,4.7285
105.10835,4.75845
105.73335,4.791275
105.8531,4.8074
106.4896,4.8208
106.913675,4.8449
107.107625,4.863375
107.273975,4.8877
109.5549,4.903325
110.073525,4.928425
110.278075,4.9884
110.57925,5.051875
110.76395,5.184775
110.8056,5.217525
111.0409,5.236575
111.5837,5.252125
111.640475,5.27515
111.654475,5.29045
111.6676,5.306775
111.722525,5.317775
111.760575,5.336975
111.800025,5.35105
111.816075,5.38155
111.82775,5.39325
111.8612,5.414
111.966375,5.43225
112.363275,5.4495
113.43445,5.486125
113.753,5.51955
113.95605,5.542375
114.08595,5.58705
114.811775,5.60415
114.89225,5.615925
115.57205,5.636725
115.81595,5.647175
116.02015,5.65505
116.459675,5.66835
116.5848,5.672975
116.7417,5.691475
117.043075,5.705425
117.38325,5.715675
117.38465,5.72705
119.581975,5.7524
119.726225,5.76765
119.9978,5.779475
120.36865,5.793975
120.7964,5.808775
121.362375,5.820175
121.467975,5.832825
121.850425,5.847575
122.00445,5.857125
125.3526,5.86805
126.007325,5.887975
126.02915,5.89915
126.15955,5.9137
127.836375,5.932525
127.889825,5.9497
128.51135,5.971875
128.518675,5.98525
129.58355,6.00525
130.02155,6.096575
130.040775,6.155875
130.091925,6.224275
130.1109,6.290975
130.189925,6.334875
130.75855,6.35965
131.5826,6.377325
132.44315,6.38585
133.689575,6.40365
133.76455,6.412975
133.929925,6.42455
133.9761,6.434275
135.01685,6.440825
135.11285,6.462175
135.194275,6.469725
136.038775,6.475725
136.7289,6.480275
136.7941,6.4874
137.22435,6.519125
138.07945,6.530175
138.27155,6.541025
138.419975,6.58375
138.709675,6.61535
138.920875,6.631775
138.986,6.647075
139.456475,6.6593
140.033525,6.671825
140.142725,6.68625
140.1464,6.7022
140.739825,6.722925
140.85315,6.747
140.860575,6.7773
141.051725,6.8273
141.3506,6.900425
142.084075,6.952475
142.165325,6.978525
142.186375,7.0231
142.555675,7.042825
