SPK_SPKC01a (inhibited),SPK_SPKC05a (inhibited),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC14a (inhibited),SPK_SPKC16a (inhibited)
5.4116,49.89035,7.58915,13.4489,71.9041,27.5718,83.14965
5.452975,49.919325,7.6088,13.472925,71.92665,27.603775,83.22595
5.4813,49.945175,7.628125,13.542475,71.97415,27.85595,83.294675
5.512275,50.4857,7.656475,13.55705,72.096775,28.367625,83.342825
5.54275,50.495675,7.679225,13.5795,72.578925,28.516375,83.383425
5.566425,50.5327,7.7155,13.606275,72.7832,28.648775,83.637075
5.5853,50.568275,7.73805,13.657125,72.962475,28.9371,83.7092
5.61005,50.66665,7.8182,13.69045,73.1461,29.09805,83.9225
5.630575,50.981475,7.84195,13.788075,73.342025,29.260075,84.014025
5.6543,51.544525,7.86985,14.0005,73.432125,29.2709,84.4004
5.693125,51.775,7.89895,14.109675,73.59145,29.424675,84.6562
5.736375,52.877,7.93535,14.156475,73.933525,29.88615,84.6989
5.76505,53.323775,7.9627,14.175375,73.938925,30.00405,84.720225
5.81375,54.1523,7.989275,14.41545,73.97795,30.22485,84.982775
5.829225,54.25915,8.002375,14.751675,74.270025,30.255475,85.0365
5.8477,54.6025,8.024425,14.804025,74.45165,30.2626,85.065225
5.902925,54.693575,8.04775,14.840775,74.52925,30.3122,85.161325
5.923225,55.211525,8.075625,14.9849,74.5747,30.370225,85.1698
5.9561,55.78095,8.095725,15.2067,74.625025,30.3727,85.186425
5.980325,55.816925,8.120575,15.471425,74.73445,30.385225,85.213825
6.0032,55.9017,8.1684,15.5125,74.8266,30.657875,85.439425
6.0362,57.2265,8.242675,15.57505,74.904725,30.665725,85.452025
6.0649,57.4696,8.289075,15.67275,74.935475,30.895775,85.492725
6.10815,57.66335,8.3139,15.9162,75.058575,30.974475,85.632275
6.133625,58.05155,8.384125,15.9465,75.09065,31.534925,85.90155
6.18635,58.0631,8.4195,16.07025,75.45455,31.557325,85.90355
6.22845,58.09665,8.4573,16.233675,75.9501,31.58795,86.034625
6.244375,58.911025,8.489625,16.315675,76.1093,31.6606,86.05005
6.274175,59.003275,8.521025,16.350475,76.323,31.73525,86.12585
6.292,59.322875,8.58325,16.473675,76.542975,32.359175,86.1436
6.31365,59.5492,8.60825,16.58965,76.577,32.448975,86.177525
6.32875,62.448875,8.646175,16.788625,76.6295,32.50425,86.247525
6.354875,62.95885,8.6777,17.16115,76.7304,32.5677,86.3216
6.364575,63.569025,8.693675,17.194275,76.807175,32.886775,86.45265
6.387,64.242275,8.72235,17.23685,76.8513,33.176075,86.629225
6.41125,64.252225,8.739225,17.271575,76.917625,33.241225,86.646425
6.41625,64.621825,8.758625,17.298475,76.98855,33.455025,86.9213
6.4479,65.378975,8.825,17.397875,77.01565,33.511525,86.9426
6.467475,65.838725,8.844025,17.51195,77.30655,33.800175,87.05775
6.494425,66.2051,8.864375,17.614225,77.453,33.808875,87.071475
6.535025,67.06625,8.875275,17.706,77.6265,33.99295,87.24295
6.57585,67.59375,8.88585,17.75325,77.75205,34.0029,87.399
6.595225,67.802925,8.908175,17.77625,77.785975,34.355025,87.482975
6.6087,67.9262,8.943225,17.86435,78.149275,34.379125,87.608
6.6251,68.04125,8.95195,17.917125,78.181775,34.448075,87.711725
6.655875,68.12325,8.995675,17.953425,78.353,34.488625,87.81365
6.687425,68.1877,9.022075,17.9991,78.362325,34.797,87.8419
6.72355,68.560775,9.063575,18.031475,78.5445,35.008625,87.84825
6.73125,68.566,9.092875,18.081675,78.7766,35.19555,87.91545
6.74255,68.851975,9.1188,18.11535,78.926,35.30265,87.932625
6.78015,69.0948,9.13925,18.119275,79.0115,35.980675,87.999725
6.841625,69.104375,9.1547,18.174525,79.026125,36.02145,88.02525
6.891375,69.1354,9.181275,18.215525,79.081075,36.2049,88.1332
6.9451,69.605775,9.207975,18.239625,79.1991,36.21245,88.155775
6.9633,69.708675,9.250175,18.279475,79.38815,36.24755,88.198025
6.97295,69.81865,9.263075,18.29095,79.499375,36.284775,88.30545
7.00155,69.97375,9.297625,18.381275,79.6728,36.3503,88.345675
7.015125,69.99,9.328475,18.38775,79.91315,36.367225,88.5365
