SPK_SPKC01a (NA),SPK_SPKC04a (NA),SPK_SPKC11a (excited)
19.906575,167.511775,18.240725
20.039675,168.01745,18.275525
20.21675,168.236025,18.317275
20.372475,169.138725,18.388975
20.409075,170.457675,18.45725
20.437975,170.460875,18.5143
20.457,170.523875,18.56995
20.55235,171.140825,18.619825
20.622125,171.58425,18.673725
20.66325,171.607475,18.748825
20.6655,172.395275,18.78095
20.7001,174.109,18.8147
20.756025,174.1579,18.848925
20.773875,174.619125,18.90305
20.808325,174.92655,18.9614
20.849275,175.4893,19.048975
20.85495,175.898825,19.12385
20.891325,176.453875,19.20885
20.9125,176.781325,19.227925
20.9198,176.787575,19.24155
21.019425,176.850575,19.266125
21.10225,176.98075,19.282475
21.129375,177.193725,19.301625
21.20005,178.158575,19.331275
21.2176,178.5583,19.358775
21.235375,178.828325,19.412075
21.23725,179.654075,19.46085
21.28725,181.89215,19.534075
21.329125,182.527775,19.615925
21.3517,182.76355,19.679
21.456725,182.8046,19.68555
21.489375,183.049825,19.696575
21.5508,184.308775,19.7104
21.567575,184.955875,19.73185
21.578675,185.02585,19.79075
21.602675,185.154475,19.843425
21.632525,185.204075,20.01295
21.641725,185.600275,20.103075
21.669925,186.297025,20.13835
21.713875,187.505825,20.1726
21.80535,188.11985,20.200825
21.813025,188.74625,20.234375
21.82335,189.167975,20.3123
21.853775,189.4533,20.355075
21.86135,190.40995,20.41305
21.91085,190.71735,20.489725
21.928625,190.898075,20.56015
21.97105,192.014875,20.68925
22.0018,193.305375,20.76265
22.18735,194.120975,20.8419
22.2804,194.519775,20.89835
22.370975,194.645025,20.92565
22.428375,195.17255,20.985075
22.46435,195.863375,21.031975
22.55735,195.9,21.07825
22.5635,196.20175,21.1343
22.5693,196.25465,21.232775
22.58285,196.40715,21.2663
22.600125,196.447675,21.293825
22.61485,196.53395,21.344425
22.621075,196.62195,21.40785
22.656475,196.63775,21.4586
22.693675,196.709875,21.520825
22.70605,196.75135,21.579125
22.72,196.764075,21.621575
22.7542,197.005525,21.67555
22.8376,197.117925,21.7
22.908625,197.45465,21.724925
22.915225,197.497775,21.74565
23.00725,197.8462,21.763675
23.077325,197.879975,21.7873
23.09315,197.956825,21.8179
23.126775,198.0567,21.86835
23.190925,198.0652,21.91
23.2243,198.072,21.947725
23.230625,198.3666,21.9939
23.2432,198.442725,22.03015
23.278475,198.604875,22.044925
23.2899,199.134025,22.071075
23.310325,199.26405,22.098275
23.32695,200.0553,22.1263
23.3594,200.14725,22.17345
23.37755,200.23055,22.209275
23.464325,200.669325,22.246325
23.478525,201.727575,22.287725
23.499325,202.1614,22.399775
23.534,202.3039,22.454175
23.545475,203.752125,22.51135
23.6464,204.104875,22.56195
23.665875,204.2718,22.585175
23.727825,204.835025,22.61055
23.73715,205.3923,22.669225
23.8647,206.507875,22.70005
23.915825,208.946425,22.783
23.979675,208.976075,22.816
23.9842,209.000175,22.854725
24.0233,210.5641,22.89845
24.06275,216.51325,22.936275
24.0812,218.157,22.9854
24.10965,218.73715,23.01025
24.318,219.346825,23.08905
24.5245,220.5864,23.13785
24.592275,221.72035,23.23445
24.627575,222.122625,23.26615
24.636875,223.213875,23.311875
24.67695,223.62615,23.359475
24.69975,223.959375,23.4198
24.768525,224.857675,23.466125
24.82415,225.373275,23.52625
24.85715,225.475625,23.575525
24.8878,226.023,23.694925
24.95895,226.4581,23.769575
24.975475,226.56835,23.810325
25.006825,226.88455,23.8465
25.0729,227.0678,23.89245
25.09555,227.23955,23.929475
25.105175,227.2781,23.955525
25.126,227.539125,24.004075
25.20455,228.43155,24.02985
25.209325,228.99955,24.059
25.24525,229.339975,24.172175
25.350775,231.1216,24.236025
25.4308,231.64475,24.299025
25.4478,232.48345,24.352575
25.49235,232.645725,24.387475
25.685125,232.793125,24.409475
25.816425,232.8174,24.447425
25.853875,232.972475,24.484875
25.87695,233.77455,24.52565
25.91085,234.47225,24.547975
26.0469,236.72495,24.561
26.075975,237.087875,24.56975
26.1175,239.3124,24.5836
26.12955,239.606575,24.598575
26.148425,240.8468,24.619175
26.178225,240.933525,24.633075
26.1951,241.46325,24.6556
26.242875,242.141125,24.7175
26.253375,242.678875,24.761625
26.27375,244.476125,24.8091
26.297075,244.60555,24.883425
26.423025,244.779075,24.924475
26.444425,246.11495,24.98685
26.536575,246.185225,25.055225
26.6281,246.453675,25.07125
26.640975,247.22745,25.080125
26.67115,248.32795,25.086075
26.7432,249.8409,25.09535
26.79925,250.553475,25.1206
26.8066,251.211875,25.1465
26.84665,251.567875,25.177875
26.8624,251.643425,25.2002
26.89845,252.0551,25.238275
27.147275,252.0844,25.28925
27.1854,252.36905,25.326075
27.482675,252.5509,25.35585
27.680725,253.6284,25.414525
27.70275,254.8245,25.491975
27.778875,258.2454,25.514025
27.7979,258.291825,25.5331
27.84485,258.9255,25.55555
27.854725,259.4145,25.57925
27.87095,260.653175,25.606725
27.91805,261.337875,25.648025
27.945175,262.20135,25.71065
28.027175,262.842,25.7785
28.18635,263.437025,25.836625
28.22275,264.292025,25.882675
28.2298,264.731425,25.892525
28.28405,264.99565,25.90305
28.291625,265.782825,25.93355
28.321625,266.1658,25.968325
28.367075,266.5084,26.1082
28.437175,267.0741,26.170675
28.484275,267.20195,26.2327
28.496175,268.246,26.283025
28.5146,269.0895,26.325375
28.531125,270.0733,26.348125
28.551975,270.126475,26.3698
28.5654,270.502825,26.406675
28.604675,271.0436,26.4404
