SPK_SPKC07a (inh/exc),SPK_SPKC09b (no resonse),SPK_SPKC10a (exc),SPK_SPKC13a (inh)
15.9233,7.275625,6.5953,6.195125
15.93905,7.324525,6.6047,6.2012
15.953925,7.337125,6.61385,6.208125
15.984025,7.344725,6.64015,6.2292
16.06885,7.379125,6.64875,6.2339
16.12625,7.395825,6.649925,6.24165
16.18135,7.4703,6.693575,6.2473
16.212425,7.48985,6.710825,6.253475
16.417925,7.4991,6.727,6.259
16.454125,7.5094,6.7631,6.2671
16.48545,7.5408,6.778575,6.2772
16.62825,7.56055,6.792375,6.2826
16.76415,7.582825,6.800975,6.2874
16.8064,7.649625,6.81395,6.30605
16.980025,7.681375,6.82985,6.3138
17.064025,7.701,6.8488,6.3357
17.088925,7.71335,6.8603,6.342725
17.1733,7.7179,6.867375,6.360825
17.212875,7.72295,6.877975,6.36605
17.273775,7.76555,6.8846,6.371875
17.34445,7.77625,6.892825,6.37745
17.4583,7.8402,6.907225,6.4504
17.4964,7.84165,6.9162,6.46005
17.581375,7.858675,6.93595,6.5003
17.601575,7.891975,6.9844,6.5223
17.697475,7.904425,7.097225,6.533075
17.803125,7.92005,7.107625,6.5533
17.850925,7.92665,7.136275,6.5699
17.972825,7.9348,7.1454,6.58165
17.994525,7.94155,7.1561,6.5903
18.17425,7.96315,7.1767,6.613875
18.258625,7.971625,7.252975,6.629375
18.363725,7.9827,7.267375,6.63965
18.371425,7.98965,7.272725,6.653725
18.39875,7.99975,7.329825,6.6679
18.43095,8.01435,7.337125,6.676725
18.455475,8.0201,7.355775,6.687775
18.5352,8.058275,7.364625,6.696875
18.55245,8.080425,7.434375,6.737525
18.5741,8.08465,7.46575,6.765725
18.672175,8.105175,7.488375,6.772875
18.8623,8.116925,7.504775,6.808425
18.935775,8.208425,7.54075,6.814875
19.0156,8.24975,7.54805,6.824975
19.059975,8.40235,7.6098,6.840775
19.136575,8.40895,7.617475,6.848
19.184475,8.548625,7.686075,6.859825
19.222275,8.5977,7.7957,6.87165
19.283725,8.678525,7.8288,6.879775
19.3514,8.70795,7.83025,6.8874
19.414775,8.729875,7.87645,6.893425
19.452675,8.745425,7.890225,6.917475
19.5447,8.768575,8.143575,6.92125
19.6684,8.8029,8.14985,6.9255
19.73775,8.81495,8.20845,6.929075
19.81285,8.821025,8.266675,6.9375
19.851825,8.951725,8.60475,6.944875
19.88705,9.068525,8.8564,6.9492
19.913325,9.1137,9.066325,6.953575
19.972225,9.18,9.083325,6.975825
20.0235,9.184325,9.084325,6.991275
20.0497,9.275225,9.121575,7.001375
20.1223,9.34185,9.163675,7.018225
20.17135,9.363925,9.269325,7.02345
20.193175,9.5606,9.279925,7.03645
20.266,9.57595,9.34505,7.04145
20.406125,9.583425,9.407,7.04875
20.467075,9.58635,9.48265,7.0617
20.48385,9.639575,9.517575,7.06815
20.549825,9.6456,9.5977,7.075175
20.714675,9.779025,9.6667,7.08515
20.77745,9.81325,9.713575,7.088475
20.804725,9.821,9.72205,7.1018
20.88945,9.82285,9.755275,7.106
20.932425,9.84775,9.77065,7.11985
21.0339,9.8659,9.7975,7.143525
21.183175,9.87055,9.86425,7.1559
21.261975,9.899475,9.868925,7.169275
21.3656,9.937075,9.873975,7.1748
21.410625,9.95445,9.90975,7.181875
21.492125,10.002075,9.9442,7.1973
21.578525,10.0337,9.9835,7.204825
21.6054,10.0496,10.02865,7.213875
21.60995,10.077475,10.057825,7.2201
21.641325,10.121575,10.148775,7.229625
21.8065,10.17525,10.1667,7.246425
21.885475,10.18995,10.17935,7.263725
21.92195,10.2007,10.20175,7.285325
22.0834,10.27935,10.23235,7.30405
22.1303,10.281425,10.244,7.393
22.25345,10.351575,10.29035,7.401175
22.33435,10.3965,10.35515,7.40955
22.502375,10.413575,10.412425,7.530975
22.538425,10.42555,10.450325,7.5575
22.58975,10.4585,10.550875,7.5768
22.635275,10.4941,10.56195,7.5838
22.67015,10.597775,10.573125,7.59505
22.7134,10.6024,10.6049,7.6198
22.82805,10.629,10.666075,7.633125
22.9203,10.6593,10.764525,7.65035
22.995975,10.705175,10.799075,7.672625
23.049725,10.72065,10.830975,7.6817
23.133,10.731075,10.877325,7.706625
23.208975,10.7661,11.01215,7.7131
23.246425,10.8086,11.026575,7.7248
23.2615,10.81,11.053,7.7331
23.284325,10.82265,11.068125,7.741575
23.6866,10.860575,11.101125,7.7516
23.736925,11.0209,11.122125,7.78555
23.77275,11.033675,11.16455,7.79275
23.9528,11.14915,11.1932,7.8183
23.994275,11.17135,11.23135,7.84795
24.0325,11.18095,11.25165,7.856925
24.066175,11.217925,11.268925,7.882775
24.107825,11.2469,11.284975,7.89295
24.1587,11.27815,11.327225,7.91995
24.415675,11.3075,11.375375,7.950875
24.6802,11.308675,11.38155,7.962775
24.73915,11.358075,11.408,7.98465
24.782625,11.365725,11.47525,7.996425
24.79145,11.3759,11.5258,8.019
24.894275,11.381525,11.570375,8.035075
24.9088,11.38385,11.58905,8.0408
24.91955,11.39605,11.657375,8.065925
24.94665,11.402025,11.699075,8.082525
25.07485,11.411475,11.710625,8.095575
25.12725,11.417375,11.718975,8.10025
25.1918,11.444175,11.75265,8.10515
25.223525,11.540075,11.77015,8.114975
25.2991,11.5717,11.839225,8.1396
25.332525,11.694675,11.872475,8.150675
25.375675,11.736875,11.908775,8.162025
25.4196,11.752525,11.936675,8.18105
25.51275,11.7998,11.99555,8.205925
25.58485,11.899475,12.028375,8.227475
25.64515,11.945275,12.03675,8.245025
25.69725,11.98035,12.0527,8.249275
25.753,12.0183,12.0616,8.259225
25.792725,12.0201,12.06885,8.2968
25.832325,12.03,12.080475,8.3283
25.882075,12.084425,12.10535,8.342775
25.9651,12.096075,12.191475,8.3625
25.99665,12.14235,12.222525,8.37135
26.001375,12.278525,12.250275,8.3799
26.03265,12.361625,12.272325,8.433925
26.0704,12.40285,12.30005,8.44155
26.10325,12.431975,12.32995,8.45395
26.161125,12.446975,12.369475,8.459925
26.2078,12.4798,12.39755,8.479125
26.25985,12.523575,12.404375,8.512625
26.356925,12.567,12.409675,8.55665
26.3701,12.606375,12.416325,8.575
26.4884,12.67195,12.4218,8.586025
26.617075,12.722175,12.50535,8.60545
26.660925,12.731,12.539175,8.657525
26.705675,12.741675,12.57985,8.691575
26.7667,12.765275,12.6033,8.697475
26.846075,12.783925,12.63305,8.7077
26.92525,12.787425,12.658975,8.738925
27.071725,12.794825,12.706175,8.77615
27.15035,12.804025,12.764525,8.7812
27.1889,12.81475,12.782275,8.7872
27.242525,12.909225,12.799325,8.794875
27.4052,12.956775,12.8249,8.801375
27.4461,13.0032,12.847675,8.811225
27.49865,13.043,12.872325,8.8228
27.52655,13.100675,12.896925,8.8373
27.548675,13.126075,12.916475,8.839175
27.599925,13.18905,12.94305,8.8425
27.84765,13.21065,12.990925,8.8518
27.885325,13.22215,13.016975,8.91325
27.925,13.3064,13.063,8.9646
28.15125,13.390275,13.090725,8.973725
28.200775,13.585475,13.11715,8.979625
28.242775,13.623125,13.147,8.9975
28.37355,13.698175,13.157775,9.0154
28.424625,13.72545,13.190825,9.0252
28.4389,13.770175,13.242525,9.040425
28.463275,13.833175,13.270775,9.06485
28.572875,13.915275,13.318475,9.072975
28.664325,13.9885,13.351125,9.081975
28.948675,14.074875,13.386975,9.095525
28.96515,14.111175,13.41945,9.153125
28.990725,14.2104,13.4518,9.189475
29.0351,14.3027,13.469375,9.216725
29.1565,14.31195,13.47875,9.242725
29.1715,14.324025,13.501525,9.25665
29.20505,14.3502,13.513575,9.26675
29.250325,14.367625,13.52665,9.289925
29.395625,14.383975,13.5475,9.298675
29.449975,14.419,13.56565,9.329175
29.49375,14.428475,13.58575,9.339675
29.532675,14.440325,13.60045,9.350175
29.755375,14.483425,13.617425,9.361325
29.7848,14.56975,13.672375,9.373025
29.93635,14.605,13.707125,9.3886
29.974025,14.655475,13.72525,9.40085
30.012425,14.74645,13.76375,9.41415
30.052925,14.7726,13.825975,9.44725
30.1206,14.822575,13.8427,9.485425
30.197625,14.915275,13.87125,9.52515
30.2872,14.94525,13.90935,9.557625
30.359075,15.011025,13.9378,9.56735
30.387175,15.066025,13.96765,9.5725
30.41015,15.09375,13.991125,9.578875
30.503825,15.106125,14.0264,9.590175
30.5415,15.1118,14.058075,9.59355
30.5798,15.14375,14.112975,9.5975
30.603425,15.164775,14.1371,9.598625
30.6053,15.1696,14.2037,9.630925
30.638925,15.1785,14.2537,9.648625
30.713075,15.217325,14.28115,9.673325
30.9238,15.2277,14.296075,9.681775
30.95685,15.249025,14.3105,9.692625
30.961225,15.265875,14.320175,9.703725
30.984575,15.33865,14.328325,9.71235
31.010875,15.408,14.356225,9.7287
31.062925,15.478,14.3623,9.76075
31.1867,15.50525,14.370125,9.771225
31.22885,15.51755,14.3789,9.810575
31.282375,15.711625,14.391725,9.851425
31.284025,15.75715,14.402925,9.865225
31.325175,15.793275,14.423875,9.88855
31.3602,15.830625,14.44535,9.896625
31.4266,15.852775,14.4554,9.9109
31.443875,15.8577,14.50365,9.944775
31.463775,15.86055,14.5211,9.964425
31.558425,15.8751,14.544575,9.98815
31.63285,15.886875,14.56395,10.011075
31.71075,16.09875,14.584625,10.021975
31.75435,16.144025,14.61745,10.04645
31.8017,16.22125,14.653025,10.0906
31.835225,16.24905,14.688425,10.1458
31.878675,16.3472,14.71085,10.1581
31.921375,16.5229,14.76505,10.20905
32.01135,16.5483,14.798,10.2196
32.066,16.557125,14.8171,10.23365
32.096125,16.59095,14.85245,10.2398
32.166,16.6049,14.880175,10.25105
32.205525,16.612025,14.921,10.272075
32.339825,16.6193,14.9419,10.284925
32.495575,16.640875,14.967325,10.2906
32.52475,16.649625,14.9808,10.296475
32.557575,16.653825,15.001525,10.3207
32.62655,16.675,15.0276,10.33475
32.6876,16.7078,15.0538,10.353625
32.6988,16.724275,15.084375,10.3872
32.73915,16.804325,15.10325,10.40195
32.88995,16.830025,15.120575,10.413525
32.97125,16.836675,15.133725,10.422275
33.0365,16.874175,15.1446,10.446125
33.049675,16.892575,15.1553,10.455225
33.1018,16.94025,15.1683,10.584575
33.1305,16.942625,15.180225,10.612975
33.15165,16.970525,15.202475,10.6354
33.275125,17.03465,15.225025,10.648275
33.3102,17.04325,15.23685,10.682575
33.3468,17.052025,15.2541,10.719125
33.471775,17.085875,15.2725,10.75255
33.49535,17.109075,15.3108,10.7625
33.6832,17.141,15.35455,10.7718
33.708925,17.1477,15.392525,10.787925
33.7311,17.149525,15.4161,10.7932
33.7491,17.156625,15.469225,10.80175
33.803825,17.196675,15.49725,10.826525
33.85875,17.243125,15.52595,10.836575
34.0288,17.248875,15.5482,10.845
34.0478,17.317125,15.57675,10.869275
34.1309,17.333025,15.605575,10.87825
34.179325,17.348775,15.6416,10.88485
34.237275,17.409325,15.67425,10.89675
34.267,17.56315,15.7122,10.912075
34.366425,17.613025,15.738525,10.919425
34.381675,17.6945,15.76875,10.925975
34.539175,17.756225,15.794325,10.944675
34.571875,17.8238,15.810775,10.9535
34.598375,17.85355,15.8161,10.988425
34.710725,17.89445,15.81955,10.99585
34.8048,17.92755,15.836775,11.01475
34.834475,17.970575,15.859275,11.0247
34.860875,18.005775,15.87025,11.0415
34.93625,18.112575,15.90785,11.052575
34.943175,18.33875,15.9271,11.10795
35.146625,18.3602,15.938675,11.129875
35.191125,18.377275,15.9692,11.143225
35.27795,18.4362,15.9884,11.154975
35.324125,18.4478,16.044,11.17915
35.3527,18.464325,16.078675,11.23515
35.388925,18.479775,16.108375,11.2632
35.420175,18.49115,16.134075,11.29535
35.476575,18.524925,16.1546,11.31525
35.61545,18.527175,16.20965,11.335075
35.9077,18.5344,16.241325,11.35755
35.966225,18.5715,16.274325,11.3803
35.995575,18.595925,16.326925,11.392325
36.1244,18.627025,16.364225,11.3973
36.148025,18.63805,16.3958,11.40815
36.17455,18.7419,16.442875,11.413675
36.2911,18.818025,16.475625,11.541425
36.375925,18.83065,16.5134,11.559725
36.406775,18.875825,16.530575,11.599
36.431,18.9123,16.5633,11.671975
36.448075,18.944525,16.5801,11.698975
36.542525,18.9789,16.60565,11.72245
36.604175,19.047725,16.617075,11.726875
36.845025,19.18315,16.63025,11.740675
36.9723,19.209275,16.641075,11.74785
37.1424,19.26655,16.651225,11.754375
37.192475,19.323625,16.671875,11.760325
37.247775,19.377075,16.68285,11.770525
37.358625,19.399225,16.70355,11.81685
37.46635,19.41895,16.7202,11.866475
37.508375,19.442,16.740825,11.90075
37.57295,19.4523,16.770125,11.92915
37.61035,19.463275,16.791675,11.95685
37.708875,19.474925,16.844225,11.987725
37.88495,19.48985,16.88235,12.03815
37.9096,19.517525,16.926425,12.042275
37.933875,19.525675,16.986925,12.046
37.96515,19.5311,17.011875,12.05415
38.000925,19.612575,17.0432,12.0578
38.030175,19.6471,17.072525,12.062
38.056375,19.694775,17.09965,12.0843
38.15035,19.7161,17.12175,12.091525
38.223875,19.7806,17.1533,12.10645
38.2732,19.812225,17.160575,12.18695
38.5217,19.84625,17.1879,12.2641
38.60485,19.87,17.209625,12.308775
38.6106,19.8797,17.216825,12.3466
38.69015,19.89835,17.23465,12.367075
38.7376,19.911675,17.243725,12.387825
38.763,19.9377,17.2518,12.392975
38.86,19.940875,17.2625,12.3951
38.91195,19.94405,17.269375,12.3966
38.962425,19.973425,17.2939,12.400725
39.028975,20.047825,17.303925,12.403725
39.069325,20.053225,17.37675,12.4394
39.160075,20.12455,17.38895,12.483875
39.20915,20.14415,17.414425,12.55515
39.233975,20.164125,17.4314,12.590425
39.237775,20.188675,17.450475,12.6479
39.338975,20.21795,17.479475,12.673525
39.4031,20.42115,17.508025,12.70115
39.430225,20.45185,17.533725,12.723
39.562475,20.495375,17.5575,12.74145
39.622625,20.52115,17.587025,12.75465
39.651325,20.53155,17.615525,12.769
39.679625,20.5819,17.638675,12.775
39.707775,20.616275,17.661725,12.781775
39.831825,20.656325,17.694375,12.787675
39.8839,20.699825,17.72175,12.7969
39.9692,20.739675,17.7349,12.81235
40.0258,20.84035,17.76125,12.82485
40.061525,20.886525,17.79175,12.8382
40.204225,20.977425,17.824225,12.8649
40.206375,21.095975,17.872925,12.894475
40.2425,21.172,17.916975,12.953475
40.27135,21.20285,17.94425,12.977825
40.370975,21.21145,17.9746,13.006625
40.410225,21.2176,18.0184,13.038325
40.45595,21.221475,18.055875,13.070175
40.504825,21.232,18.10105,13.09845
40.57295,21.249575,18.14025,13.118275
40.725175,21.263075,18.173725,13.145525
40.752475,21.268775,18.20705,13.18245
40.94205,21.279725,18.233825,13.192
40.995975,21.28695,18.28295,13.23095
41.119275,21.309275,18.30325,13.24835
41.163575,21.33,18.3318,13.2702
41.19245,21.33785,18.3436,13.293975
41.310775,21.34435,18.364375,13.329375
41.381825,21.348825,18.375625,13.3591
41.471775,21.3709,18.41175,13.401125
41.504375,21.412325,18.421125,13.43605
41.5562,21.4673,18.433025,13.44475
41.58945,21.5584,18.43525,13.45655
41.655925,21.600525,18.44615,13.47765
41.760675,21.6336,18.488325,13.479775
41.791625,21.84465,18.50115,13.522025
41.85005,21.88995,18.511175,13.559675
41.898375,21.916875,18.520525,13.5909
41.9756,21.98025,18.547625,13.654075
41.982775,22.009025,18.582375,13.67715
42.149475,22.0405,18.61955,13.755625
42.1793,22.1071,18.640975,13.832525
42.268225,22.190925,18.692025,13.86485
42.4003,22.298775,18.727325,13.902425
42.5295,22.33185,18.74505,13.928075
42.5841,22.3713,18.764775,13.9632
42.617075,22.37995,18.841125,13.971725
42.63045,22.381725,18.89445,14.05935
42.7149,22.384025,18.92045,14.097075
42.764925,22.388425,18.948325,14.133075
42.945325,22.407425,18.997825,14.260425
42.979225,22.422525,19.025475,14.2959
43.079775,22.427775,19.0833,14.320975
43.098125,22.4372,19.124925,14.332625
43.15025,22.4451,19.1665,14.338975
43.25675,22.456,19.199725,14.355575
43.512525,22.464225,19.226525,14.362275
43.598325,22.490025,19.2494,14.36905
43.631675,22.49975,19.2765,14.384325
43.65575,22.50975,19.309175,14.4236
43.66425,22.519825,19.3472,14.435375
43.70505,22.5764,19.385625,14.4597
43.74135,22.585925,19.4217,14.4798
43.774425,22.5976,19.451925,14.495675
43.90025,22.607625,19.47315,14.555975
43.915725,22.616225,19.506275,14.585725
43.929325,22.6429,19.532725,14.61965
43.960125,22.6899,19.5542,14.655225
44.021975,22.727175,19.615325,14.66405
44.049,22.78665,19.661975,14.818275
44.089725,22.8731,19.681575,14.8543
44.144525,22.91815,19.716075,14.884275
44.1677,23.0164,19.742,14.9179
44.231175,23.029825,19.769925,14.95245
44.336025,23.0379,19.8045,14.97385
44.500325,23.0682,19.830175,15.0077
44.549175,23.1166,19.8503,15.025
44.576175,23.12525,19.867475,15.0941
44.5829,23.150475,19.87685,15.10945
44.765775,23.166825,19.887325,15.1179
44.7974,23.176375,19.896525,15.1281
44.877875,23.226,19.924375,15.1369
45.0032,23.2335,19.932275,15.144475
45.08885,23.242425,19.938375,15.1647
45.1436,23.25095,19.9492,15.178375
45.18125,23.327675,19.962225,15.1867
45.209625,23.344975,20.00865,15.19435
45.233225,23.393475,20.028325,15.204675
45.41595,23.425125,20.035825,15.21525
45.446975,23.459725,20.046975,15.227425
45.521025,23.49265,20.079975,15.2573
45.537875,23.5286,20.09575,15.278875
45.637975,23.561475,20.111025,15.298975
45.748275,23.59675,20.132,15.3335
45.821,23.63205,20.172175,15.3598
45.88025,23.680925,20.274075,15.427075
45.96115,23.707125,20.301375,15.487025
46.032275,23.7455,20.3233,15.513875
46.134425,23.812975,20.362375,15.548225
46.295625,23.836225,20.393075,15.583125
46.5104,23.864225,20.420975,15.63105
46.579625,23.929125,20.447275,15.7062
46.605525,23.959375,20.464375,15.747125
46.6483,24.0022,20.526975,15.797825
46.685525,24.008825,20.59085,15.819875
46.79985,24.014825,20.61485,15.8262
46.87465,24.029325,20.6767,15.8329
46.9832,24.037175,20.70715,15.867575
