SPK_SPKC10a (excited),SPK_SPKC15a (inhibited),SPK_SPKC15b (inhibited),SPK_SPKC15c (inhibited)
142.083675,11.110075,53.865325,21.391375
142.80255,11.118325,53.89255,21.408725
143.321025,11.1304,53.984275,21.49555
143.342725,11.13785,54.234075,21.555975
143.42595,11.14495,54.27275,21.58475
143.466725,11.171175,54.3076,21.613725
143.57795,11.1892,54.412825,21.641575
143.727175,11.2025,54.4589,21.675725
143.783525,11.219675,54.552425,21.718575
143.87715,11.2321,54.8612,21.741825
144.18295,11.246875,54.8879,21.776875
144.384025,11.26485,55.314025,21.7904
144.39935,11.28035,55.37095,21.91395
144.95665,11.3406,55.37805,21.93275
145.011325,11.358025,55.388875,22.065675
145.454575,11.3789,55.685025,22.10515
145.469675,11.40245,55.74745,22.145475
145.7126,11.42385,55.9647,22.194675
145.80475,11.4458,56.17585,22.2431
145.959375,11.481425,56.447475,22.251275
146.157375,11.512325,56.598075,22.415825
146.3766,11.539625,56.761925,22.4677
146.406075,11.56815,56.843225,22.50245
146.463825,11.60845,56.878075,22.53595
146.6761,11.637225,56.93675,22.5949
146.830125,11.647875,56.95095,22.622425
147.231575,11.656325,57.23705,22.6527
147.2558,11.667325,57.368225,22.67675
147.341775,11.6768,57.744925,22.7245
147.375125,11.688375,57.7597,22.793975
147.4895,11.70055,57.814775,22.814225
147.728325,11.71225,57.91455,22.842225
147.92275,11.7256,57.96165,22.927575
148.182275,11.73575,58.143025,22.99655
148.386775,11.749825,58.1857,23.06425
148.83255,11.779675,58.21165,23.0975
149.143125,11.79455,58.220175,23.13505
150.18985,11.8163,58.267375,23.1695
150.752125,11.834325,58.370325,23.198825
150.788675,11.891575,58.4652,23.23495
150.951075,11.9139,58.634975,23.281275
151.01595,11.943075,58.956425,23.30555
151.107275,11.974375,58.992175,23.333375
151.387325,12.03095,59.058775,23.385875
151.453725,12.057375,59.105,23.4255
151.5357,12.059675,59.133925,23.448875
151.676025,12.08845,59.196825,23.492625
151.857425,12.1088,59.260875,23.509425
152.209225,12.1305,59.35035,23.5546
152.989925,12.14205,59.426275,23.614625
153.11735,12.155425,59.4622,23.68505
153.984125,12.16745,59.5019,23.771575
154.29425,12.177075,59.631775,23.791075
154.31995,12.187525,60.01305,23.815875
154.336575,12.20015,60.2538,23.857625
154.81745,12.22485,60.592825,23.89075
154.85945,12.23935,60.713225,23.94415
154.94225,12.272875,61.00295,23.9989
155.077125,12.28585,61.307475,24.099375
156.29265,12.307025,61.5478,24.117375
156.30845,12.327225,61.72995,24.173175
156.576375,12.356725,61.9157,24.2564
156.6249,12.38095,61.981325,24.29655
156.91375,12.414925,62.243275,24.360525
156.9788,12.4621,62.760025,24.388925
157.148975,12.5055,62.779375,24.466
157.401,12.553125,62.8242,24.4932
157.60305,12.5864,62.866725,24.5145
157.83795,12.59415,62.9415,24.5426
158.010325,12.6521,63.170275,24.551975
158.5941,12.6728,63.228625,24.573275
158.79965,12.688575,63.8839,24.5969
159.055925,12.701675,64.24525,24.662675
159.132625,12.711625,64.338625,24.68905
159.586025,12.720975,64.625,24.7119
159.63195,12.731625,64.74985,24.729625
160.22965,12.738175,64.87455,24.7714
160.349,12.76405,64.971175,24.819225
160.398275,12.7741,64.9779,24.859125
160.7272,12.788825,65.159625,24.9334
160.804275,12.82525,65.24745,25.000725
