SPK_SPKC01a (no effect),SPK_SPKC09a (weak excitation),SPK_SPKC15a (no effect)
60.484475,24.15985,9.743825
60.52655,24.2128,9.760375
60.724,24.29165,9.790475
60.95525,24.4704,9.82
61.072675,24.526625,9.855225
61.1123,24.6077,9.882375
61.167775,24.64205,9.911825
61.294925,24.689325,9.95055
61.434975,24.7201,9.954375
61.50845,24.753875,9.9609
61.7009,24.9233,9.989325
61.893525,25.01415,10.02895
61.960375,25.0632,10.04115
62.25955,25.136125,10.06735
62.42135,25.168925,10.0959
62.4939,25.4221,10.12785
63.073975,25.455175,10.166825
63.22155,25.5201,10.176975
63.289575,25.5524,10.22455
63.39905,25.68225,10.2278
63.5867,25.766375,10.28155
63.6378,25.810875,10.302775
63.671075,25.95185,10.3338
63.780525,25.9903,10.3799
64.9066,26.0522,10.407675
64.964625,26.103825,10.4112
65.0556,26.218575,10.434175
65.342825,26.2502,10.46875
65.38135,26.285725,10.4984
65.604725,26.34825,10.545525
65.7157,26.47595,10.61395
66.2355,26.5793,10.65145
67.012025,26.704425,10.678125
67.177325,26.7325,10.6974
67.2063,26.76045,10.7342
67.3137,26.9043,10.74785
67.808775,27.064475,10.758475
67.98185,27.2698,10.7919
68.149575,27.30265,10.8107
68.24125,27.339825,10.842975
68.343775,27.442325,10.875525
68.547025,27.47365,10.90745
68.660125,27.68125,10.953
68.750975,27.713525,10.973675
68.8335,27.7622,11.03105
68.9777,27.8599,11.04895
69.2236,27.9554,11.11415
69.912625,27.98525,11.17275
70.213675,28.160525,11.209575
71.67515,28.191125,11.271
71.8942,28.2349,11.2864
71.9793,28.25655,11.31875
72.2241,28.28765,11.357675
80.50715,28.34235,11.36095
80.6176,28.3792,11.4058
81.0644,28.425925,11.41955
81.178525,28.483075,11.45125
81.2666,28.52435,11.47385
83.3666,28.630475,11.488875
85.014375,28.66915,11.519475
85.167725,28.77365,11.5704
85.264625,28.793225,11.626525
85.3379,28.871725,11.660675
85.706175,28.9998,11.6886
85.8774,29.170725,11.725175
86.425175,29.2048,11.75085
86.47155,29.2401,11.769725
86.5317,29.313375,11.783825
86.584975,29.381225,11.817525
86.630825,29.48895,11.840175
86.783675,29.60515,11.850475
87.0056,29.64655,11.858275
88.071525,29.656,11.891625
88.469725,29.783475,11.9154
88.603925,29.862525,11.95725
88.639175,29.88805,11.9651
88.988275,30.137075,11.9707
89.134775,30.159425,12.012325
89.7462,30.191225,12.057975
89.8324,30.217425,12.12695
90.0019,30.308225,12.145975
90.05025,30.427475,12.175725
90.167125,30.544225,12.17985
90.199775,30.622075,12.2215
90.22485,30.702375,12.243425
90.27435,30.7798,12.248175
90.32145,30.85795,12.27745
90.371025,30.968675,12.2923
90.421675,30.999325,12.343275
90.5011,31.063875,12.386375
90.534275,31.092825,12.418325
90.632,31.190875,12.46015
90.639725,31.370725,12.4851
90.6964,31.415925,12.4979
90.759125,31.44385,12.53135
90.820875,31.50085,12.573425
90.86355,31.562725,12.5965
90.938975,31.688875,12.658725
90.978,31.77755,12.6986
91.037325,31.816325,12.7493
91.061125,31.860775,12.803925
91.276675,31.894175,12.837475
91.339475,31.954,12.845925
91.3856,32.0195,12.899175
91.437375,32.089325,12.918675
91.55005,32.116275,12.979625
91.6055,32.173875,13.000325
91.64645,32.20195,13.033975
91.699875,32.264425,13.0684
91.78315,32.442075,13.08805
91.84295,32.524025,13.119775
91.898675,32.624525,13.133375
91.93815,32.660925,13.169025
91.987525,32.77635,13.209475
92.067325,32.967575,13.24415
92.12065,33.033975,13.27045
92.1913,33.1361,13.280175
92.238325,33.3453,13.3161
92.540475,33.37755,13.326875
92.738025,33.4028,13.351775
92.795775,33.47565,13.41095
92.848725,33.5726,13.441825
92.89835,33.84385,13.4775
92.979725,33.9673,13.50755
93.212475,34.0821,13.533125
93.260675,34.15315,13.56765
93.4378,34.201075,13.5927
93.777175,34.270325,13.61895
93.854475,34.302775,13.64315
93.875375,34.74805,13.66525
93.971225,34.775475,13.6738
94.17355,34.8021,13.74865
94.349275,34.82565,13.7515
94.404075,34.965425,13.794025
94.464925,35.009075,13.83795
94.571825,35.0389,13.9109
94.64435,35.137775,13.959525
94.80115,35.395775,13.9935
94.849475,35.48965,14.01315
95.0108,35.53195,14.0326
95.0685,35.628625,14.075225
95.318275,35.707575,14.088925
95.3841,35.792625,14.102475
95.440425,35.815975,14.1369
95.51845,35.8874,14.171325
95.584075,36.19235,14.194325
95.6514,36.270925,14.230375
95.70995,36.306675,14.264725
95.827125,36.3261,14.2809
95.907325,36.473775,14.30165
95.974475,36.5261,14.331875
96.119625,36.54925,14.3695
96.18385,36.601025,14.40805
96.368825,36.684725,14.4417
96.423525,36.75445,14.4536
96.927225,36.808375,14.4904
97.275125,36.868725,14.51275
97.48935,36.93095,14.54615
102.270725,37.0794,14.582275
102.572725,37.148725,14.63835
102.66785,37.191225,14.67735
102.721725,37.251225,14.6969
102.97235,37.476875,14.721275
103.1007,37.49595,14.74365
107.202825,37.5979,14.7784
107.819775,37.690575,14.8247
107.844425,37.739475,14.864175
107.931775,37.771125,14.8796
108.5223,37.8271,14.900925
108.54355,37.927275,14.904325
108.5968,37.97315,14.9137
108.6592,38.09355,14.9435
108.750075,38.303675,14.9599
108.798,38.346825,15.01505
108.967175,38.43815,15.046375
108.9934,38.482275,15.08095
109.837325,38.51025,15.11
109.9208,38.5556,15.18295
118.113375,38.6177,15.209
118.183075,38.6451,15.251475
123.28685,39.01595,15.30895
123.39995,39.240275,15.34725
124.4228,39.355875,15.45095
128.464375,39.398,15.475625
128.5751,39.5032,15.529
128.9774,39.537,15.552025
129.167375,39.5695,15.581725
129.28345,39.623925,15.60885
129.323925,39.86215,15.65295
129.35065,39.89085,15.697075
129.41745,40.0421,15.75025
129.451525,40.0729,15.759
129.5075,40.100425,15.79475
129.537575,40.132975,15.832425
130.5115,40.175175,15.851075
130.53635,40.4605,15.87445
130.59845,40.599475,15.937125
130.66455,40.63565,15.95165
130.717825,40.73995,16.03915
130.901425,40.818625,16.063825
131.864025,40.84605,16.0906
131.98985,40.90465,16.136675
132.27945,40.925525,16.162575
132.60385,40.9675,16.199075
133.11235,41.050775,16.2017
134.532625,41.15085,16.24515
134.6135,41.2033,16.24835
134.674775,41.234925,16.301675
134.71665,41.307925,16.3409
134.8097,41.378925,16.37675
134.839875,41.400825,16.429825
134.898425,41.480575,16.46185
134.9571,41.555825,16.477375
134.9892,41.657725,16.48435
135.0407,41.692675,16.509725
135.073,41.864025,16.56625
135.106875,41.8854,16.5703
135.177025,41.9046,16.605375
135.248125,41.95225,16.6788
135.324125,42.107275,16.7043
135.383875,42.287175,16.71125
135.4574,42.413275,16.744125
135.51425,42.557675,16.791925
135.571975,42.815,16.7999
135.6106,42.850475,16.833325
135.685425,42.949525,16.881375
135.763675,42.968575,16.9254
135.7972,43.006975,16.94395
135.887325,43.02755,16.98165
135.98735,43.052525,17.010275
136.0157,43.183725,17.030075
136.055425,43.24085,17.066875
136.107175,43.34065,17.081425
136.1472,43.40285,17.091175
136.2221,43.474375,17.1323
136.2984,43.583325,17.1538
136.36495,43.61565,17.2024
136.433775,43.66335,17.24415
136.472825,43.700975,17.283625
136.527725,43.995075,17.317625
136.64015,44.066825,17.3338
136.762575,44.11485,17.3589
136.807775,44.201425,17.394225
136.865425,44.2276,17.427875
136.957575,44.269975,17.431675
137.08485,44.4461,17.443025
137.19585,44.51605,17.4901
137.304025,44.645475,17.520425
137.570475,44.666975,17.5637
137.625475,44.759425,17.588725
137.7021,44.7928,17.631075
137.7619,44.81905,17.66475
137.894725,44.863175,17.681925
138.47965,45.1336,17.70165
138.515325,45.291525,17.70945
138.5565,45.326425,17.7243
138.624575,45.35285,17.7368
138.668125,45.381725,17.752425
138.873025,45.414525,17.7713
138.918475,45.5224,17.7894
139.035675,45.645075,17.8096
139.146025,45.701675,17.8268
139.2436,45.750925,17.834325
139.5681,45.84835,17.885425
139.95175,46.124675,17.900775
140.285625,46.1848,17.9298
140.3275,46.21995,17.982375
140.405525,46.2892,18.02635
140.5224,46.3256,18.053975
140.655725,46.400975,18.070825
140.724875,46.468675,18.0741
140.758975,46.496925,18.113675
141.6886,46.642025,18.194825
141.94265,46.735025,18.200225
144.30255,46.899375,18.219375
146.625325,46.927275,18.238
146.790675,47.13445,18.26325
149.603025,47.199475,18.266075
149.73405,47.306975,18.28495
149.9074,47.361725,18.307925
155.536675,47.3865,18.33055
155.70785,47.516925,18.3526
155.921125,47.545325,18.3813
156.3986,47.5947,18.4198
156.4777,47.701225,18.445825
156.61465,47.779625,18.499525
156.659025,47.810425,18.530525
157.2319,47.85965,18.534525
157.337025,47.911175,18.5714
157.433425,48.0336,18.617675
157.622325,48.10295,18.6413
157.696225,48.143125,18.653125
157.76545,48.44625,18.67445
157.81275,48.5731,18.702025
157.882375,48.631375,18.70645
157.94815,48.71925,18.741525
157.98375,48.76055,18.75585
158.0416,48.81875,18.779975
158.080625,48.8609,18.806075
158.16715,48.89195,18.83465
158.2056,48.99835,18.91715
158.2962,49.07245,18.956125
158.38685,49.1309,18.972525
158.667975,49.1667,19.0097
158.732175,49.1994,19.022625
158.906075,49.23355,19.066675
159.033275,49.31235,19.085975
159.075025,49.37895,19.0897
159.21875,49.4159,19.117825
159.3463,49.462125,19.144175
159.394325,49.515475,19.17635
159.4338,49.6345,19.20175
159.577175,49.667325,19.2282
159.75525,49.7754,19.2537
159.858275,49.82825,19.299075
159.891725,49.906175,19.33155
160.116625,49.9727,19.346225
160.17465,50.001925,19.37175
160.219875,50.030525,19.3909
160.265275,50.067975,19.412825
160.436875,50.198075,19.420925
160.53825,50.34935,19.4335
160.631075,50.435575,19.46415
160.71905,50.459375,19.4802
160.776025,50.486825,19.505875
160.808375,50.57205,19.5394
160.8968,50.60575,19.567825
160.93725,50.66705,19.5976
161.067225,50.697675,19.631525
161.362775,50.7327,19.6563
161.424675,50.75325,19.690175
165.88675,50.8326,19.7175
169.010775,50.869825,19.750675
169.143,50.90215,19.7721
169.2203,50.95325,19.81445
169.447675,50.984025,19.820025
169.708325,51.056325,19.851675
173.0822,51.10805,19.865575
173.168225,51.254125,19.893475
173.312575,51.27745,19.91465
173.828,51.31305,19.9515
175.735175,51.344075,20.00055
179.5415,51.369225,20.029675
179.7462,51.426675,20.054375
180.697525,51.690225,20.0906
180.8571,51.8058,20.0947
181.22485,51.837075,20.15445
181.613925,51.8715,20.184475
181.79685,51.97345,20.226775
183.142975,52.03405,20.2551
183.317525,52.06955,20.2978
183.437775,52.142,20.370775
183.622425,52.2414,20.383675
184.147425,52.28085,20.43305
184.605575,52.323075,20.4459
186.3245,52.58405,20.4838
186.407,52.828825,20.541025
186.801625,52.917275,20.556975
187.10615,52.989425,20.590225
187.165975,53.01195,20.6437
187.221125,53.122675,20.65195
187.27585,53.156975,20.70095
187.30715,53.187375,20.73085
187.37195,53.242525,20.753125
187.4347,53.660925,20.76715
187.525775,53.743675,20.7824
187.769175,53.824975,20.817525
188.020525,53.946675,20.84645
188.636025,54.0685,20.857725
190.26295,54.27315,20.8878
190.37105,54.300575,20.906275
190.48675,54.339725,20.93195
190.695125,54.377025,20.9796
191.2667,54.52315,21.015025
191.351875,54.562975,21.0465
191.42285,54.6052,21.0924
191.552,54.721725,21.14665
191.64965,54.762625,21.17755
192.1696,54.788175,21.213575
193.44895,54.829025,21.231425
194.792075,54.944375,21.249975
194.91925,55.0042,21.310525
195.16855,55.0817,21.335975
196.069425,55.12305,21.3615
196.112825,55.174825,21.40105
196.184475,55.330725,21.43085
196.272175,55.415925,21.464575
196.85925,55.4643,21.4896
197.016625,55.557075,21.55815
197.29165,55.619575,21.6081
197.4014,55.673275,21.632825
197.419375,55.7137,21.672675
197.482175,55.75145,21.704975
197.54955,55.78125,21.744725
197.5884,55.95615,21.7943
197.62415,55.985475,21.8114
197.6726,56.095525,21.843175
198.021,56.1285,21.885525
198.390275,56.152775,21.8987
198.437325,56.178275,21.9153
198.54515,56.2161,21.93575
198.574675,56.2594,21.99025
198.625675,56.377675,22.01425
198.699575,56.549,22.060325
198.766275,56.5803,22.06325
198.819325,56.683925,22.1053
198.8824,56.729575,22.159
198.976125,56.7884,22.195525
199.093575,56.8635,22.23585
199.24405,56.9625,22.275475
199.2924,57.02755,22.2804
199.376425,57.07445,22.318975
199.4443,57.108425,22.337025
199.67825,57.2752,22.359175
199.76635,57.4882,22.37535
199.996325,57.51965,22.409425
200.06445,57.5493,22.436675
200.197625,57.6184,22.4745
200.3317,57.686525,22.5039
200.369225,57.7572,22.539625
200.412575,57.78925,22.5757
200.4277,57.825475,22.585
200.48425,57.948375,22.592775
200.574925,57.9994,22.65
200.65875,58.029975,22.6598
200.77915,58.107175,22.706475
200.96885,58.16875,22.744975
201.072225,58.264575,22.787175
201.40845,58.330675,22.823025
202.3535,58.396975,22.84315
202.763425,58.535225,22.8724
202.83565,58.6111,22.9265
202.8953,58.660625,22.94195
202.9595,58.756075,22.9765
203.146225,58.872375,23.014675
203.284075,58.91395,23.0285
203.33275,58.988275,23.050375
203.4412,59.068775,23.0652
203.550375,59.140975,23.1038
203.644125,59.229325,23.120175
203.8169,59.29155,23.18
203.988675,59.324525,23.236575
204.048275,59.36385,23.27055
207.6134,59.507725,23.291575
207.7781,59.6268,23.3182
208.449875,59.67265,23.3531
208.50385,59.71395,23.3604
208.556325,59.8128,23.4344
208.610425,59.8443,23.449275
208.7869,59.883075,23.457375
208.802025,59.9379,23.48675
208.8619,59.998325,23.502525
209.094825,60.022525,23.5532
209.10905,60.109875,23.617375
209.16575,60.2705,23.6403
209.25515,60.30245,23.690575
209.36425,60.33325,23.722575
209.412425,60.653425,23.762075
209.503475,60.7005,23.8095
209.537825,60.8937,23.8397
209.57475,61.133375,23.86985
209.7299,61.177225,23.875475
209.77355,61.19795,23.90195
209.82845,61.237,23.9299
209.886275,61.337525,23.9513
209.999025,61.3777,23.9725
210.036475,61.4986,23.978275
210.18575,61.58015,23.996475
210.311325,61.63205,24.029125
210.36575,61.661025,24.054175
210.503525,61.682325,24.0835
210.560225,61.720925,24.10535
210.6199,61.74495,24.12685
210.64465,61.778225,24.157125
210.75985,61.860275,24.180375
210.910125,61.998975,24.20605
211.051175,62.131675,24.23135
211.13685,62.19045,24.265325
211.177375,62.223825,24.29765
211.385425,62.294075,24.31595
211.879325,62.42645,24.36055
212.160375,62.450375,24.39255
212.313125,62.50265,24.440775
212.54625,62.537075,24.4655
213.13235,62.5814,24.47955
213.164475,62.609575,24.4883
213.27885,62.703625,24.52805
213.322825,62.845925,24.550775
213.3726,62.87985,24.5714
213.43875,62.905325,24.605225
213.628675,62.9377,24.624625
213.733275,62.964825,24.661025
213.78725,62.992875,24.713775
213.85185,63.148725,24.724975
213.879125,63.297325,24.730875
213.9526,63.331625,24.78645
214.04775,63.356975,24.80365
214.17435,63.420775,24.8767
214.242575,63.46885,24.887225
214.661575,63.5367,24.916275
214.7037,63.6068,24.94005
214.824425,63.6358,24.9722
214.859875,63.74165,25.05275
214.957075,63.799,25.08645
215.147925,63.91565,25.1176
215.4234,63.94695,25.13935
216.013175,64.062025,25.169325
216.063975,64.137375,25.19
216.624675,64.163625,25.232275
216.75755,64.337,25.250225
216.823175,64.433175,25.270475
216.956325,64.49205,25.286175
217.197175,64.520425,25.30675
217.749575,64.548175,25.3362
219.53925,64.58445,25.37425
220.375375,64.698925,25.42195
225.009,64.78615,25.477375
225.035725,64.840475,25.507975
225.168875,65.0042,25.541825
225.31605,65.041325,25.5974
225.37975,65.083025,25.605325
225.459475,65.15895,25.637175
225.525375,65.2263,25.678925
225.578825,65.2742,25.703
225.618575,65.30965,25.741825
225.698475,65.3587,25.77565
225.823425,65.38815,25.815525
225.92605,65.418975,25.8804
226.073475,65.5926,25.916625
226.22775,65.636425,25.925025
226.34785,65.67595,25.979
226.43585,65.8154,26.008025
226.7054,65.8468,26.048125
226.7979,65.9292,26.062775
226.983875,65.96195,26.09105
227.055175,66.048925,26.11125
227.159225,66.0789,26.1386
227.2256,66.1105,26.1776
227.3166,66.1504,26.228125
227.384725,66.33175,26.2806
227.432225,66.455625,26.3137
227.437425,66.524575,26.337525
227.5827,66.564525,26.354
227.6158,66.628475,26.385675
227.68805,66.68295,26.404675
227.79945,66.7182,26.425625
228.023275,66.7924,26.4404
228.0653,66.876475,26.477125
228.141425,66.940825,26.503075
228.249075,66.976825,26.524775
228.291025,67.14665,26.55
228.3468,67.2038,26.59195
228.411775,67.2616,26.62355
228.4476,67.287075,26.649625
228.4847,67.39395,26.706575
228.700975,67.435325,26.7345
228.810725,67.514275,26.761175
229.316575,67.624175,26.81715
229.378825,67.7118,26.835325
229.60275,67.7449,26.87285
229.6629,67.812275,26.9048
229.776975,67.847025,26.915275
