SPK_SPKC04a (inh/exc),SPK_SPKC06a (inhi),SPK_SPKC09a (inhi)
304.963325,314.047375,308.2579
304.978875,314.0609,308.28065
304.985775,314.08255,308.292475
304.996975,314.098,308.30645
305.0065,314.472825,308.320425
305.01405,314.945775,308.35105
305.021225,314.987075,308.392425
305.0261,315.051875,308.4501
305.033325,315.05795,308.473
305.044075,315.069575,308.64845
305.051325,315.0764,308.6732
305.05915,315.123175,308.691925
305.074625,315.219025,308.710775
305.0881,315.27125,308.723075
305.0947,315.324225,308.732775
305.103225,315.342625,308.753275
305.15925,315.3621,308.81285
305.163275,315.38345,308.83895
305.245975,315.392625,308.878975
305.2583,315.40915,309.092025
305.302275,315.465925,309.121675
305.3184,315.49735,309.174875
305.332625,315.511925,309.1912
305.35245,315.51685,309.214675
305.36245,315.527325,309.24955
305.384675,315.569225,309.27555
305.3994,315.9183,309.296325
305.412425,315.940975,309.3048
305.428925,315.958325,309.30815
305.4355,316.02215,309.3228
305.446425,316.027875,309.34335
305.454775,316.05545,309.34705
305.460475,316.06805,309.375625
305.48035,316.169025,309.394025
305.484125,316.31845,309.399975
305.4868,316.3667,309.40975
305.490125,316.445575,309.448325
305.496075,316.496025,309.457025
305.508225,316.50875,309.479775
305.5298,316.5498,309.5086
305.542525,316.569825,309.52
305.569675,316.61845,309.5288
305.578125,316.794175,309.541925
305.592625,316.81985,309.597425
305.601775,316.839325,309.654525
305.61485,316.883375,309.6674
305.6212,316.900325,309.677875
305.632675,316.928925,309.690475
305.640675,316.9347,309.70485
305.6678,316.947525,309.761375
305.6803,316.97235,309.77995
305.69255,317.01825,309.7947
305.703675,317.088075,309.8112
305.71595,317.134775,309.82905
305.724475,317.1485,309.97375
305.7288,317.21775,309.99165
305.730875,317.2352,310.001775
305.7367,317.2399,310.010525
305.739225,317.30535,310.0208
305.7589,317.34405,310.0323
305.76445,317.361375,310.042
305.788875,317.377975,310.049675
305.80345,317.3841,310.05825
305.82045,317.438125,310.073425
305.838125,317.4937,310.08615
305.8862,317.512825,310.12775
305.896075,317.533675,310.173125
305.9078,317.567225,310.181875
305.923875,317.57515,310.192525
305.936425,317.5966,310.20595
305.9449,317.77065,310.22795
305.956075,317.88205,310.2926
305.961775,317.887675,310.309775
305.985725,317.936575,310.323675
306.0045,317.958775,310.36475
306.03795,318.0184,310.39585
306.053225,318.07715,310.39725
306.064175,318.13475,310.414475
306.072775,318.1377,310.422425
306.082775,318.156725,310.4431
306.094375,318.192875,310.459425
306.102425,318.2193,310.4801
306.105775,318.221,310.487425
306.109575,318.250425,310.496775
306.113025,318.25765,310.50225
306.128525,318.308075,310.5236
306.144075,318.32265,310.78075
306.161925,318.469575,310.80525
306.1687,318.520725,310.8248
306.1808,318.57925,310.845675
306.195875,318.5865,310.855625
306.20335,318.6397,310.8683
306.2081,318.91435,310.878975
306.223125,318.99005,310.892225
306.23255,319.03065,310.9299
306.238675,319.0386,310.961125
306.251125,319.099675,310.975375
306.258375,319.32185,310.98555
306.2629,319.4025,311.0051
306.267625,319.48275,311.03475
306.27195,319.5934,311.05545
306.2919,319.605875,311.08315
306.298725,319.6302,311.096275
306.31735,319.67165,311.114125
306.335375,319.68495,311.1899
306.341625,319.7957,311.223325
306.345775,319.957725,311.25115
306.35245,319.98695,311.31495
306.425425,320.107,311.514025
306.440875,320.153125,311.551625
306.445175,320.45265,311.57745
306.466675,320.504675,311.6119
306.472725,320.5856,311.6527
306.500225,320.60215,311.693025
306.523225,320.6071,311.7276
306.534425,320.673975,311.750225
306.5544,320.692525,311.775275
306.576375,320.70635,311.787725
306.5945,320.712775,312.046
306.618475,320.761875,312.057875
306.650375,320.816275,312.07515
306.661675,320.8227,312.09065
306.675025,320.850275,312.115075
306.67915,320.855225,312.137975
306.718425,320.894825,312.1592
306.7274,320.91445,312.16085
306.73515,320.918325,312.18525
306.739625,320.983025,312.1867
306.75385,320.9924,312.2295
306.7684,321.011325,312.248625
306.799375,321.01585,312.264975
306.80455,321.048375,312.271125
306.813975,321.081125,312.311925
306.819225,321.095725,312.329375
306.834475,321.1218,312.35735
306.837175,321.198675,312.3888
306.85625,321.215175,312.43295
306.86485,321.291975,312.451625
306.8697,321.3897,312.4818
306.87605,321.622025,312.542225
306.884825,321.6427,312.6341
306.911575,321.64905,312.667
306.9349,321.701675,312.6933
306.952375,321.734475,312.709625
306.962675,321.7864,312.72295
306.98375,321.798,312.7389
306.99855,321.8191,312.7696
307.01585,321.829225,312.788375
307.0352,321.845875,312.818575
307.0704,321.867775,312.885175
307.09045,322.057175,312.907025
307.1186,322.0964,312.934975
307.130775,322.105675,313.003975
307.1465,322.132975,313.02125
307.1714,322.143125,313.04885
307.214425,322.18365,313.28215
307.232675,322.194575,313.30905
307.2517,322.199875,313.34125
307.271825,322.244625,313.41165
307.293925,322.267425,313.44395
307.30685,322.3351,313.460825
307.323275,322.34845,313.4795
307.3499,322.355225,313.50505
307.364975,322.48535,313.538475
307.381825,322.559875,313.5607
307.39135,322.583675,313.586925
307.415325,322.60135,313.603075
307.420875,322.63805,313.614775
307.428125,322.6812,313.617375
307.43515,322.745225,313.628525
307.4476,322.984275,313.63695
307.459725,323.019525,313.7287
307.4723,323.038825,313.7641
307.479425,323.07355,313.778275
307.485925,323.1677,313.7955
307.49725,323.1926,313.827325
307.504125,323.2015,313.869075
307.5169,323.23045,313.883125
307.53145,323.3865,313.9024
307.536875,323.84935,313.9362
307.54705,323.898525,313.966775
307.5521,323.92225,314.0222
307.560625,323.997075,314.040525
307.569425,324.02095,314.05915
307.6133,324.05165,314.09335
307.63935,324.126275,314.112575
307.6601,324.142325,314.12975
307.686925,324.15485,314.1476
307.738525,324.16755,314.175475
307.766275,324.1862,314.249075
307.776475,324.20425,314.2778
307.790975,324.23685,314.297075
307.82465,324.247075,314.31275
307.82945,324.257775,314.3297
307.83775,324.2714,314.345825
307.8464,324.35195,314.38485
307.866675,324.360975,314.405875
307.880525,324.38375,314.429325
307.889475,324.425125,314.44785
307.9056,324.466275,314.448975
307.91215,324.49875,314.4531
307.92765,324.58615,314.47255
307.959225,324.93535,314.485925
307.9741,324.968175,314.4998
307.975525,325.00565,314.511725
307.99755,325.405575,314.52535
308.01705,325.56185,314.53415
308.027325,325.717075,314.544925
308.047075,325.819375,314.559175
308.06695,325.8426,314.5834
308.071,325.848275,314.6193
308.110625,325.858225,314.646075
308.1406,325.86965,314.9543
308.15415,325.88235,314.998675
308.171,325.8953,315.05405
308.272425,325.901175,315.0943
308.280875,325.92655,315.124275
308.288775,325.928975,315.162
308.29515,325.933075,315.2024
308.302775,325.97525,315.222775
308.317025,325.987775,315.2382
308.3281,325.99305,315.25145
308.338525,326.0416,315.309375
308.34735,326.236425,315.3205
308.3625,326.2554,315.324075
308.3936,326.26955,315.3367
308.4042,326.29745,315.351425
308.4315,326.35435,315.36095
308.483725,326.359475,315.390225
308.502875,326.371125,315.403525
308.53905,326.5496,315.41865
308.552975,326.556075,315.43105
308.568125,326.57325,315.50915
308.571775,326.713125,315.531025
308.579575,326.7231,315.55425
308.58655,326.78,315.57615
308.589975,326.79755,315.5921
308.600575,326.810625,315.6087
308.613025,326.8269,315.651125
308.626325,327.156825,315.900525
308.6283,327.301725,315.9177
308.64025,327.311425,315.9265
308.655225,327.366875,315.94835
308.671475,327.383275,315.973
308.680975,327.449375,315.983275
308.69895,327.51595,316.004575
308.71435,327.846375,316.005625
308.8629,328.04615,316.021925
308.87855,328.437775,316.030925
308.9004,328.47945,316.045875
308.908925,328.5128,316.07505
308.918625,328.58775,316.096725
308.924725,328.596075,316.122125
308.953925,328.61275,316.1434
308.96445,328.70435,316.1649
308.98345,330.070475,316.179025
309.00535,331.3686,316.201375
309.029225,331.93655,316.3059
309.0781,332.036375,316.3216
309.1081,332.278,316.33895
309.1662,332.334225,316.36455
309.179575,333.467975,316.3777
309.217325,333.667425,316.389125
309.2702,333.6855,316.403625
309.296525,333.7025,316.44805
309.312025,333.7849,316.466925
309.328725,333.8106,316.4878
309.339425,333.867825,316.504625
309.346425,333.95175,316.5489
309.35655,333.99295,316.631525
309.36035,334.03345,316.699725
309.36755,334.069075,316.72175
309.372525,334.110325,316.76765
309.38145,334.2508,316.805675
309.390075,334.409475,316.82935
309.39585,334.725575,316.841475
309.409625,334.78395,316.8503
309.422875,334.816675,316.85635
309.435625,334.85065,316.9051
309.444675,334.876175,316.922725
309.45515,335.30885,316.94025
309.4673,335.333775,316.96415
309.493875,335.37695,316.98365
309.51115,335.41595,317.02505
309.5424,335.50995,317.0451
309.565275,336.0098,317.076275
309.57535,336.016625,317.097575
309.59665,336.049825,317.1142
309.631625,336.2005,317.131175
309.702225,336.210275,317.148275
309.7109,336.349625,317.1781
309.80055,336.383825,317.197475
309.85965,336.549625,317.21935
309.863175,336.66715,317.25155
309.885675,336.760025,317.275375
309.919175,336.866925,317.299875
309.92785,336.93305,317.334025
309.954975,337.0578,317.350425
309.967625,337.092275,317.367775
309.972375,337.459975,317.37395
309.999525,337.516625,317.38925
310.02595,337.8167,317.3972
310.0566,337.83435,317.412675
310.079375,338.28315,317.4297
310.111725,338.342725,317.448975
310.131325,338.5761,317.46425
310.147,338.616325,317.467075
310.154625,338.834425,317.50225
310.1627,339.268075,317.513
310.17095,340.31515,317.523925
310.172725,340.366825,317.5391
310.1797,340.749875,317.54835
310.18975,340.982925,317.559675
310.200225,341.2001,317.59355
310.20895,341.21655,317.6257
310.215225,341.649025,317.737875
310.221725,341.69935,317.785075
310.22865,341.749025,317.882325
310.2535,342.3923,317.8882
310.27295,342.482875,317.8899
310.287525,342.69205,317.9114
310.307425,343.0342,317.9281
310.3397,343.41535,317.938875
310.3537,343.89765,317.952525
310.372075,344.1306,317.96265
310.405225,344.78965,317.975725
310.412325,344.7979,317.991575
310.415625,344.8423,318.017975
310.434225,344.856225,318.04125
310.462575,344.87195,318.043975
310.479125,344.874375,318.065725
310.4971,344.890625,318.07485
310.50935,344.9747,318.08705
310.517525,344.991025,318.0984
310.540425,345.00735,318.128325
310.62175,345.032125,318.154725
310.630125,345.0403,318.158625
310.6607,345.2752,318.181025
310.687225,345.3078,318.19555
310.716925,345.324575,318.240425
310.7736,345.362425,318.259675
310.7941,345.72475,318.280675
310.812875,345.795975,318.287975
310.8324,346.092,318.309425
310.84965,346.162075,318.3265
310.8755,346.1864,318.3364
310.88285,346.19675,318.350625
310.89545,346.2361,318.357175
310.916325,346.2438,318.37125
310.932675,346.255325,318.3895
310.94665,346.279275,318.4071
310.96895,346.287575,318.48315
310.9906,346.3918,318.5707
311.0203,346.423925,318.591375
311.02825,346.5941,318.60325
311.056475,346.6955,318.613675
311.0819,346.782525,318.663125
311.09355,346.78915,318.676325
311.11175,346.796475,318.691225
311.1512,346.803975,318.7135
311.165775,346.865175,318.7295
311.224575,346.94955,318.74495
311.228225,347.16935,318.761225
311.249925,347.203275,318.772975
311.27945,347.214175,318.785
311.31055,347.222425,318.788775
311.326975,347.231075,318.806825
311.329675,347.236425,318.86485
311.340975,347.253425,318.881275
311.394975,347.263275,318.899475
311.4237,347.26705,318.914925
311.45535,347.31005,318.9287
311.483875,347.369625,318.934725
311.4991,347.615925,318.9615
311.524525,347.672325,318.983025
311.528075,347.68235,319.03485
311.534975,347.69745,319.053875
311.596225,347.704325,319.12235
311.6276,347.715625,319.13685
311.64025,347.737875,319.162775
311.657525,347.7661,319.370375
311.68295,347.8163,319.39565
311.71365,347.858175,319.4204
311.7255,347.865275,319.4645
311.734125,347.89955,319.49755
311.74015,347.909775,319.530375
311.7563,347.930425,319.551575
311.7579,348.004575,319.597125
311.783425,348.04795,319.61915
311.7921,348.068725,319.634075
311.80255,348.117575,319.6509
311.829725,348.1417,319.6742
311.857475,348.1979,319.6862
311.86895,348.216925,319.70385
311.88005,348.224075,319.8328
311.895275,348.232025,319.90075
311.93395,348.268975,319.930375
311.955175,348.276575,319.95185
311.97115,348.284675,319.97075
311.983075,348.289525,320.000675
312.0506,348.331275,320.037725
312.055,348.3358,320.0684
312.077475,348.35545,320.112325
312.09275,348.36365,320.134075
312.10765,348.390275,320.182575
312.153,348.4628,320.264175
312.17665,348.470275,320.3592
312.17985,348.580675,320.519525
312.188175,348.73545,320.5484
312.204675,348.744775,320.56625
312.212175,348.780775,320.620575
312.2158,348.87315,320.67415
312.230475,348.98165,320.694825
312.244175,349.004275,320.72085
312.27835,349.0084,320.7231
312.317275,349.022775,320.7734
312.33325,349.028075,320.79505
312.370725,349.035575,320.82555
312.3728,349.05165,320.853875
312.400575,349.0592,320.874875
312.418975,349.06465,320.904925
312.45625,349.080425,320.907125
312.480975,349.0836,320.93055
312.511525,349.10215,320.95395
312.539,349.112225,320.970225
312.54075,349.12415,320.99345
312.554275,349.1544,321.01195
312.573825,349.159175,321.0259
312.605025,349.218075,321.0503
312.6315,349.2782,321.09145
312.666275,349.329775,321.1261
312.733475,349.342175,321.176275
312.756625,349.371825,321.193275
312.786425,349.3786,321.206075
312.82255,349.4359,321.227775
312.87405,349.4425,321.270525
312.920475,349.457125,321.300575
312.96865,349.475775,321.31055
312.976675,349.482325,321.32815
313.026275,349.5426,321.3503
313.069025,349.5588,321.37295
313.128425,349.6001,321.38035
313.153225,349.61245,321.602
313.2037,349.6249,321.625375
313.220525,349.65325,321.6582
