SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
63.493675,43.90635,39.850375,55.927525
63.7332,43.939175,39.857625,56.1612
64.144,44.236775,40.137325,56.455375
64.2326,44.376425,40.2015,56.56065
64.326925,44.94235,40.33505,56.771725
64.4872,45.043425,40.3946,56.919525
64.569525,45.261875,40.437525,57.186425
64.61785,45.81025,40.55565,57.31795
64.9149,46.483975,40.6173,57.428125
64.95145,46.68745,40.686525,57.604425
65.104475,46.8145,40.762825,57.742725
65.399025,46.9279,40.8464,58.127625
65.71545,47.182225,41.317575,58.210975
65.991725,47.323775,41.39065,58.323675
66.2691,47.453875,41.474325,58.424275
66.45965,47.547825,41.57725,58.566825
66.619525,47.8323,41.764075,58.670025
66.8026,47.953075,41.9799,58.9085
66.9681,48.060525,42.104225,58.921725
67.13205,48.2728,42.144275,59.06715
67.46135,48.3764,42.3863,59.2333
67.938725,48.514425,42.6411,59.33235
67.993,48.60035,42.715825,59.4691
68.19095,48.73865,42.766575,59.5631
68.4732,48.82195,42.865125,59.80395
68.8567,48.90045,42.896775,59.80885
69.025375,49.002425,42.9645,60.104125
69.078325,49.09685,43.00515,60.26665
69.2399,49.1498,43.1182,60.4562
69.60875,49.322825,43.22775,60.5519
70.11495,49.40635,43.368775,60.68335
70.396425,49.51425,43.63115,60.95735
70.522575,49.66195,43.769175,61.042225
71.06805,49.8683,43.828175,61.21845
71.2692,49.9981,43.89765,61.4445
71.395,50.12865,44.048575,61.551075
71.490225,50.415925,44.19125,61.769825
71.62115,50.691775,44.194325,61.9159
71.72295,50.79115,44.24925,62.11055
71.985175,51.17455,44.471925,62.112375
72.069225,51.84875,44.673625,62.224075
72.141825,52.10005,44.9939,62.33145
72.4106,52.414,45.5124,62.825075
72.687525,52.764875,45.824525,63.14535
73.00765,52.851875,45.888175,63.346475
73.009,53.107975,46.0743,63.47785
73.362,53.369725,46.212925,63.5687
73.8701,53.808125,46.264825,63.707425
74.501425,54.136175,46.494225,63.882575
74.736825,55.4454,46.58235,63.999975
74.9976,55.85505,46.660225,64.144825
75.067575,56.204675,46.86885,64.258525
75.441975,56.804625,46.876475,64.788325
75.62305,57.1457,46.901675,65.1109
76.037725,57.626075,46.9206,65.273775
76.219175,58.3609,46.949775,65.836925
76.421575,58.40675,46.978675,66.01025
76.564775,58.49665,47.062275,66.16305
76.9836,58.758175,47.125675,66.2665
77.11345,59.064725,47.198775,66.374775
77.15,59.145225,47.229675,66.4885
77.49705,59.382675,47.26405,66.6274
77.50805,59.434425,47.373525,66.991175
77.932125,59.579625,47.404075,67.150225
77.957825,59.682675,47.445375,67.286325
78.29355,59.802175,47.44905,67.407025
78.566325,59.88515,47.508275,67.458
78.670925,60.0923,47.532275,67.525925
78.847975,60.23475,47.652975,67.6623
79.169,60.35255,47.66515,67.7723
79.3728,60.528725,47.78505,67.931975
79.654325,60.722975,47.918975,68.005675
79.755475,61.3419,47.973375,68.1546
80.06355,61.4419,48.0416,68.272525
80.099975,61.62965,48.07305,68.415475
80.953725,63.05135,48.148725,68.543075
81.257925,63.6965,48.2308,68.675575
81.419275,64.6964,48.308775,68.846175
81.577375,64.883925,48.37305,69.0069
81.868925,65.709225,48.52915,69.077875
81.9621,66.3175,48.6586,69.13755
82.489475,66.48565,48.71595,69.31775
83.105825,66.9172,48.79185,69.476875
83.14635,67.255325,48.793975,69.579075
83.347725,67.729475,48.8359,69.81795
83.372725,68.013475,48.993075,69.953225
83.70765,68.070525,49.07735,70.08805
83.885725,68.25885,49.096325,70.200025
83.9732,68.888675,49.129225,70.322625
84.108925,68.914025,49.1397,70.494725
84.690425,69.158425,49.21395,70.541375
85.327,69.246275,49.29605,70.613425
85.492675,69.349025,49.35735,70.77715
85.685375,69.461425,49.439575,70.81125
86.176375,69.618925,49.4415,70.963075
86.211725,70.066,49.596725,71.2305
86.317775,70.2066,49.64935,71.3868
86.421475,70.705225,49.68785,71.4995
86.458775,70.76695,49.7087,71.58775
86.604475,71.3318,49.737725,71.711775
86.6595,71.89265,49.773325,71.8998
87.012575,72.1104,49.923,72.012975
87.01765,72.49455,50.00475,72.103425
87.1231,72.623175,50.0953,72.2899
87.5776,72.86865,50.16765,72.418125
87.976,73.5051,50.523275,72.574575
88.137775,75.05905,50.524275,72.740925
88.222625,75.160025,50.8118,72.911875
88.5307,76.4373,51.18445,73.19525
88.79355,76.458225,51.402525,73.281675
88.84855,76.72745,51.476825,73.481625
89.163775,76.8538,51.48865,73.584425
89.24045,77.050825,51.6148,73.643575
89.601775,77.116275,51.67555,73.984125
89.66345,77.1743,51.708025,74.15625
89.779325,77.38315,51.727975,74.276175
89.906975,77.601975,51.8953,74.409125
