SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
153.7747,175.726,154.549025,215.019275,159.039525
153.778025,175.774125,154.564475,215.456375,159.062225
153.786675,175.82985,154.580025,215.464525,159.0789
153.80265,176.128075,154.595575,215.488475,159.120225
153.808825,176.14955,154.6128,215.499,159.141025
153.8149,176.202225,154.65615,215.5109,159.1589
153.829675,176.412075,154.6979,215.523325,159.16685
153.832775,176.51555,154.718875,215.53885,159.176625
153.849775,176.638925,154.74145,215.764225,159.19605
153.8683,177.102475,154.76995,215.785625,159.304225
153.892825,177.151175,154.84275,215.80555,159.3209
153.915925,177.71415,154.85425,215.824275,159.33585
153.9699,177.81855,154.856775,215.855175,159.34835
154.000025,177.9143,154.8691,215.869725,159.3691
154.023075,178.129725,154.88215,215.89045,159.412275
154.06195,178.138175,154.8916,216.157225,159.426225
154.10055,178.282825,154.9025,216.17875,159.456125
154.111125,178.40685,154.911025,216.189875,159.4636
154.13105,178.445525,154.921375,216.205875,159.496775
154.1355,178.479,154.93705,216.219725,159.503825
154.139175,178.519425,154.9479,216.234,159.5138
154.143675,178.569325,154.96445,216.543225,159.52985
154.148575,178.618125,154.99305,216.551325,159.5458
154.1629,179.238475,155.00565,216.562625,159.5567
154.182725,179.44365,155.0249,216.581875,159.589
154.192725,179.548825,155.05575,216.5946,159.60225
154.200325,179.926675,155.088875,216.62465,159.6143
154.214275,179.97205,155.1005,216.699675,159.62885
154.22465,179.99415,155.1349,216.7226,159.713475
154.24085,180.27,155.145075,216.777025,159.7295
154.254325,180.327175,155.154725,216.7998,159.743075
154.27345,180.52045,155.168625,217.076425,159.7528
154.2975,180.61605,155.1973,217.450075,159.769725
154.323225,180.76915,155.21065,217.483275,159.7815
154.35165,180.791025,155.254225,218.191125,159.887
154.3836,180.816675,155.2942,218.219925,159.897975
154.4102,180.935475,155.319525,218.264775,159.925975
154.46655,180.962475,155.3515,218.321925,159.943775
154.474825,181.0315,155.370575,218.7381,159.96235
154.482375,181.100925,155.405325,218.755325,159.976875
154.4838,181.14235,155.40695,218.8121,159.99225
154.4889,181.161475,155.4203,220.27485,160.065475
154.4922,181.314325,155.44865,220.89015,160.075475
154.498075,181.63645,155.4635,220.951125,160.087275
154.5011,181.642525,155.47765,221.33525,160.1851
154.506275,181.71695,155.4965,223.0216,160.2154
154.509425,181.96535,155.5248,223.05,160.25125
154.513075,181.9701,155.537125,223.658125,160.261175
154.5165,181.9979,155.54615,223.684675,160.312575
154.5223,182.08085,155.5576,224.39075,160.34945
154.527375,182.240875,155.569825,224.424325,160.3939
154.53255,182.38755,155.5799,224.471275,160.425025
154.543225,182.453175,155.58765,225.61935,160.509875
154.566125,182.46085,155.62345,225.966125,160.54805
