SPK_SPKC01a (inhibited),SPK_SPKC02a (excited),SPK_SPKC04a (NA)
21.180775,20.6062,
21.189425,20.619775,
21.232325,20.6452,
21.2578,20.673775,
21.273975,20.714725,
21.294775,20.737075,
21.31835,20.76,
21.338375,20.7885,
21.350625,20.81005,
21.368775,20.834425,
21.3805,20.8532,
21.40555,20.8691,
21.435575,20.8834,
21.4471,20.899175,
21.45945,20.942875,
21.48635,20.9749,
21.5077,20.998375,
21.5508,21.0213,
21.5638,21.04155,
21.579575,21.061225,
21.5925,21.105625,
21.601925,21.15545,
21.61835,21.202975,
21.634275,21.229075,
21.647475,21.25485,
21.66,21.28115,
21.67205,21.32725,
21.6829,21.35755,
21.690625,21.387175,
21.7164,21.436925,
21.728325,21.4616,
21.78235,21.4847,
21.82085,21.524575,
21.87915,21.5494,
21.90445,21.60465,
21.92325,21.629975,
21.938775,21.666225,
21.951275,21.705,
21.9622,21.729875,
21.966,21.7548,
21.97085,21.80155,
21.98055,21.83315,
21.988475,21.8527,
22.005075,21.876625,
22.020125,21.892825,
22.044325,21.9269,
22.057075,21.979125,
22.0665,21.9965,
22.0731,22.03475,
22.081325,22.0613,
22.088775,22.0864,
22.0973,22.11395,
22.10645,22.200125,
22.120425,22.266975,
22.126775,22.2915,
22.14385,22.310175,
22.1547,22.344225,
22.198625,22.383225,
22.242825,22.42105,
22.306475,22.446975,
22.329325,22.477675,
22.352575,22.5219,
22.380025,22.558625,
22.3974,22.5989,
22.4152,22.645725,
22.42835,22.692625,
22.44095,22.713225,
22.453375,22.7325,
22.47345,22.76855,
22.486275,22.814275,
22.4945,22.843525,
22.500525,22.869,
22.518275,22.891925,
22.527875,22.9366,
22.54115,22.993175,
22.553575,23.017775,
22.568,23.036575,
22.583725,23.0617,
22.61215,23.0964,
22.6384,23.121625,
22.649825,23.141925,
22.660075,23.16795,
22.689025,23.184675,
22.72815,23.2296,
22.738825,23.249725,
22.7813,23.27695,
22.7895,23.321775,
22.8405,23.34295,
22.866575,23.37415,
22.88365,23.401325,
22.8999,23.428075,
22.91605,23.5189,
22.926,23.543425,
22.944975,23.581925,
22.95565,23.649225,
22.97705,23.7027,
22.9908,23.7316,
23.004225,23.77425,
23.0285,23.786775,
23.07425,23.826475,
23.1454,23.850625,
23.193125,23.86985,
23.21775,23.878625,
23.244275,23.9055,
23.25475,23.919975,
23.270525,23.9408,
23.2879,23.9495,
23.311875,23.980875,
23.325375,24.00125,
23.33445,24.043625,
23.355375,24.080775,
23.369575,24.1161,
23.376675,24.160175,
23.3858,24.184675,
23.39315,24.20395,
23.40255,24.23505,
23.599825,24.2979,
23.61595,24.3163,
23.617875,24.335875,
23.6685,24.355025,
23.694325,24.37375,
23.716575,24.421975,
23.741075,24.441875,
23.759125,24.465225,
23.76825,24.5046,
23.77335,24.541525,
23.789925,24.564225,
23.809325,24.58605,
23.82045,24.60785,
23.841925,24.636,
23.883175,24.66345,
23.89955,24.68985,
23.9185,24.715525,
23.944575,24.7534,
23.958425,24.7859,
23.976975,24.8058,
23.997375,24.843525,
24.017275,24.868375,
24.035725,24.899625,
24.048075,24.938075,
24.068575,24.98245,
24.12215,25.00445,
24.14355,25.032575,
24.1508,25.05675,
24.17025,25.080025,
24.180525,25.11305,
24.192625,25.142225,
24.202675,25.180925,
24.2115,25.2023,
24.225575,25.230175,
24.238875,25.25795,
24.253175,25.29065,
24.264825,25.30815,
24.277075,25.330625,
24.289025,25.403575,
24.3114,25.42755,
24.43695,25.4468,
24.454825,25.4619,
24.47445,25.4957,
24.49695,25.51635,
24.5113,25.537425,
24.5302,25.575375,
24.544,25.62645,
24.561475,25.65025,
24.572775,25.6725,
24.584125,25.6968,
24.60285,25.723925,
24.612975,25.7458,
24.61855,25.776675,
24.631025,25.8106,
24.65065,25.833625,
24.657325,25.849575,
24.682575,25.8588,
24.736275,25.9072,
24.859775,25.921925,
24.8809,25.94875,
24.887825,25.970575,
24.911775,25.99075,
24.92365,26.012,
24.9434,26.039025,
25.1284,26.05165,
25.1569,26.0939,
25.172375,26.118025,
25.190775,26.14365,
25.207875,26.200925,
25.22425,26.2337,
25.239475,26.249675,
25.256675,26.317725,
25.26865,26.34895,
25.284,26.369925,
25.2978,26.3919,
25.3258,26.4133,
25.4659,26.44765,
25.48535,26.470525,
25.5081,26.53615,
25.527975,26.56085,
25.549125,26.584525,
25.559025,26.6143,
25.56815,26.67125,
25.647675,26.694475,
25.663675,26.7141,
25.680125,26.7386,
25.7029,26.764375,
25.72625,26.79385,
25.73785,26.8255,
25.751875,26.86125,
25.77665,26.913775,
25.7923,26.940375,
25.838725,26.95845,
25.85295,26.985675,
25.891725,27.046525,
25.909825,27.100275,
25.937375,27.1349,
25.9474,27.1542,
25.96425,27.182875,
25.98285,27.2134,
25.9998,27.214925,
26.013975,27.2635,
26.0228,27.31765,
26.036775,27.34015,
26.0838,27.37175,
26.107225,27.38715,
26.118,27.41245,
26.124725,27.45615,
26.1425,27.48895,
26.1648,27.510025,
26.16645,27.5557,
26.171525,27.617875,
26.196325,27.6553,
26.2154,27.66745,
26.24445,27.685575,
26.310725,27.7029,
26.40345,27.721975,
26.425125,27.7265,
26.438075,27.761775,
26.459975,27.7919,
26.479,27.832875,
26.4896,27.90585,
26.502375,27.929225,
26.5169,27.9467,
26.5308,27.955775,
26.543325,27.981975,
26.56085,28.004175,
26.5697,28.03075,
26.5828,28.0414,
26.603275,28.073425,
26.6252,28.0984,
26.6436,28.127075,
26.656075,28.1331,
26.70235,28.14105,
26.7183,28.1744,
26.766575,28.2249,
26.81885,28.248775,
26.827475,28.285825,
26.849925,28.306475,
26.877825,28.334325,
26.894775,28.360025,
26.91165,28.39715,
26.932525,28.44125,
26.943575,28.49875,
26.97205,28.5349,
26.986675,28.57585,
27.0028,28.599825,
27.029675,28.63015,
27.30835,28.65835,
27.357175,28.68065,
27.3894,28.741325,
27.39785,28.782,
27.4289,28.814775,
27.4381,28.83885,
27.452475,28.867325,
27.47065,28.90515,
27.493425,28.92735,
27.50165,28.949925,
27.520275,28.99745,
27.6426,29.012025,
27.672275,29.037475,
27.6979,29.065275,
27.725075,29.09225,
27.74345,29.111725,
27.759025,29.138825,
27.776525,29.14065,
27.79525,29.209325,
27.83085,29.24795,
27.849975,29.289675,
27.861225,29.30915,
27.933125,29.39575,
28.01835,29.411,
28.029075,29.4122,
28.047475,29.439625,
28.065025,29.4921,
28.076275,29.5191,
28.082225,29.61785,
28.10245,29.636975,
28.115375,29.649575,
28.12855,29.671775,
28.156775,29.7007,
28.20685,29.7322,
28.2249,29.77605,
28.2837,29.798,
28.329975,29.859825,
28.355075,29.882325,
28.3759,29.908075,
28.413,29.92455,
28.41935,29.956325,
28.425075,29.985425,
28.607925,30.045975,
28.62435,30.08765,
28.6468,30.1237,
28.67125,30.154875,
28.695825,30.1671,
28.704625,30.196225,
28.7175,30.241825,
28.73075,30.261825,
28.736525,30.33215,
28.766025,30.35955,
28.78995,30.3892,
28.804225,30.407075,
28.81835,30.455325,
28.82415,30.492175,
28.83435,30.52405,
28.851375,30.52805,
28.8611,30.5653,
28.879375,30.575,
28.896,30.60265,
28.91375,30.6076,
28.92265,30.629875,
29.07615,30.6465,
29.0944,30.664225,
29.128525,30.683175,
29.1369,30.72005,
29.1654,30.748925,
29.169775,30.7793,
29.175025,30.816925,
29.179625,30.843575,
29.194775,30.869375,
29.212725,30.901925,
29.21665,30.928975,
29.295775,30.948825,
29.366375,30.972975,
29.378075,30.994525,
29.397925,31.035575,
29.41355,31.062125,
29.534875,31.10125,
29.7968,31.1287,
30.03575,31.156475,
30.353875,31.21135,
30.515925,31.244975,
30.517375,31.272975,
30.5598,31.290675,
30.579175,31.3166,
30.595325,31.3481,
30.634275,31.3845,
30.71605,31.430175,
30.80175,31.453975,
30.8141,31.49045,
30.85975,31.5037,
30.8854,31.554225,
30.91505,31.581675,
30.937825,31.621725,
30.947675,31.654975,
30.983275,31.6812,
31.016575,31.7208,
31.0556,31.7785,
31.075075,31.8006,
31.084075,31.845575,
31.1131,31.8743,
31.126825,31.91355,
31.14315,31.9416,
31.16135,31.95935,
31.183825,31.991875,
31.268775,32.009825,
31.283875,32.036925,
31.312725,32.081925,
31.339975,32.1424,
31.377825,32.212925,
31.397075,32.241675,
31.398575,32.27005,
31.5212,32.295075,
31.53065,32.333525,
31.541625,32.366075,
31.567925,32.394325,
31.591325,32.425475,
31.6179,32.45225,
