SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC12c,SPK_SPKC14a
109.8769,162.1472,107.74935,106.05365,118.8864
109.885025,162.48315,107.8207,106.08695,118.916925
109.9203,162.65805,107.8257,106.118675,118.9468
109.931775,162.6667,107.837525,106.13545,118.999425
110.019075,162.8823,107.860175,106.17865,119.015075
110.03475,162.901775,107.904975,106.195525,119.053875
110.0535,163.04675,107.927225,106.265,119.1738
110.112775,163.1167,107.98245,106.2787,119.217975
110.187825,163.2993,108.00235,106.296125,119.238625
110.271625,163.528475,108.031625,106.306575,119.25235
110.281775,163.99075,108.074,106.32025,119.256175
110.362325,164.202025,108.08455,106.335075,119.41975
110.372825,164.311475,108.11535,106.34935,119.4607
110.39,164.4462,108.139825,106.383775,119.5287
110.39995,164.4796,108.18575,106.394325,119.54935
110.41765,164.5375,108.1983,106.401725,119.6312
110.46545,164.745925,108.20915,106.447625,119.6442
110.47345,164.785775,108.2236,106.473525,119.6501
110.511075,165.0391,108.26555,106.498775,119.73225
110.519875,165.153475,108.3204,106.586225,119.74015
110.5696,165.2444,108.3363,106.601825,119.78015
110.59135,165.358175,108.346,106.6196,119.793375
110.64975,165.373275,108.387075,106.633225,120.02555
110.695875,165.54055,108.4674,106.654075,120.0482
110.712825,165.804725,108.48745,106.667575,120.052675
110.72065,166.084625,108.509575,106.6862,120.079875
110.754575,166.11295,108.546125,106.701025,120.10965
110.785125,166.7509,108.5576,106.7183,120.17345
110.8323,166.9164,108.5918,106.74425,120.189775
110.902825,167.18745,108.6006,106.792475,120.408925
110.91185,167.257525,108.65615,106.8252,120.432575
110.9203,167.43225,108.669925,106.848325,120.5551
110.9861,167.688625,108.679625,106.8716,120.56595
111.03805,167.97605,108.745125,106.8904,120.833975
111.0969,168.363525,108.76245,106.90605,120.920075
111.1208,168.3773,108.77245,106.92085,120.929475
111.131625,168.452875,108.79565,106.942275,121.031975
111.18245,168.56265,108.8023,106.95055,121.171725
111.193675,169.124575,108.8173,106.965075,121.2741
111.21565,169.138,108.849225,106.9788,121.302225
111.228625,169.152475,108.8594,107.0089,121.401225
111.238675,169.348225,108.8764,107.019875,121.424125
111.2489,169.474,108.904775,107.030225,121.454725
111.2592,169.755475,108.9224,107.041425,121.5238
111.268625,169.9785,108.932325,107.066025,121.7024
111.27775,170.08915,108.958175,107.09045,121.7237
111.3148,170.109975,108.967725,107.11525,121.788475
111.322425,170.32145,109.0082,107.1461,121.848925
111.336675,170.340375,109.031775,107.14825,121.915
111.364575,170.506875,109.051525,107.183,121.93545
111.382175,170.53935,109.06795,107.20025,121.96705
111.438025,170.723925,109.080375,107.21685,121.9855
111.54895,171.096575,109.09175,107.23325,122.01815
111.63295,171.2767,109.117675,107.23855,122.099675
111.70235,171.363375,109.1416,107.255225,122.173825
111.73505,171.487975,109.1491,107.2689,122.2028
111.7461,171.5861,109.1725,107.296425,122.2386
111.77485,171.6399,109.211725,107.31,122.310425
111.78345,171.84685,109.212775,107.314725,122.398325
111.7909,172.097075,109.23135,107.33455,122.502575
111.797775,172.65755,109.2599,107.35445,122.5767
111.828775,172.67625,109.27485,107.44485,122.616975
111.841175,173.151575,109.304675,107.462875,122.69145
111.850475,173.23435,109.3171,107.468075,122.70995
111.89135,173.471425,109.328875,107.4969,122.7537
111.93205,173.56635,109.342175,107.544975,122.775325
111.97105,173.5717,109.35785,107.5694,122.828625
112.007725,173.699575,109.409025,107.58775,122.839275
112.142,174.1072,109.444975,107.60215,122.892375
112.161575,174.38855,109.45625,107.611625,122.898825
112.2111,174.447875,109.47025,107.614075,122.97865
112.234025,174.99505,109.49575,107.618825,122.993775
112.267775,175.20885,109.50565,107.629825,123.012025
112.37425,175.44315,109.523375,107.63955,123.019025
112.387325,175.635875,109.525825,107.6445,123.026425
112.3936,175.6748,109.569675,107.658175,123.04545
112.52945,176.3834,109.578825,107.6603,123.06125
112.53665,176.404225,109.599925,107.68655,123.276775
112.604475,176.4224,109.634675,107.69715,123.297475
112.68675,176.606375,109.66115,107.706275,123.324025
112.69635,176.80265,109.70685,107.764025,123.361675
112.7653,176.859625,109.735325,107.773175,123.3833
112.799975,177.10305,109.753725,107.785475,123.419925
112.854975,177.33105,109.799375,107.7875,123.437475
112.867175,177.580425,109.831725,107.793875,123.45505
112.8798,177.814575,109.84505,107.801875,123.464375
112.90445,178.23945,109.856375,107.808225,123.5031
112.950025,178.647875,109.866925,107.822575,123.61975
112.996125,179.112325,109.889975,107.832025,123.669325
113.0073,179.2203,109.908825,107.848875,123.693
113.01495,179.647525,109.92285,107.86225,123.71585
113.051125,179.796225,109.931425,107.874075,123.7346
113.059575,180.233375,109.958125,107.88585,123.766375
113.108825,180.264225,109.979425,107.918425,123.82
113.11565,180.316975,109.98785,107.932425,123.832275
113.344825,181.030275,110.045925,107.94635,123.876625
113.374875,181.086125,110.082475,107.969,123.90025
113.414425,181.19425,110.094675,107.9836,123.9055
113.45945,181.32455,110.12945,108.009375,123.950175
113.494075,181.393425,110.20325,108.030025,124.0086
113.578025,181.534025,110.21765,108.03735,124.029125
113.65535,181.727525,110.226225,108.05345,124.107375
113.69215,181.740225,110.2921,108.08595,124.146025
113.761275,181.7888,110.32325,108.1141,124.1582
