SPK_SPKC03a (excited),SPK_SPKC06a (inhibited),SPK_SPKC08a (weak inhibition),SPK_SPKC09a (inhibited)
90.90375,29.855575,78.840025,5.747225
90.949625,29.90035,79.674,5.75695
91.614575,29.9975,79.709875,5.768225
91.720175,30.126175,79.789875,5.782875
92.3628,30.1511,80.04025,5.818125
92.505,30.177625,80.256575,5.847275
92.696075,30.35785,80.489675,5.8736
92.829,30.5038,80.536625,5.89445
92.98625,30.63475,80.793075,5.90565
93.127225,30.66345,80.912525,5.92745
93.50205,30.6754,81.1236,5.938725
93.62235,30.852375,82.32135,5.992325
94.019925,30.927675,82.475475,6.00365
94.27365,30.939375,82.69535,6.0173
94.46365,31.01545,82.713775,6.027425
94.569975,31.21215,83.15605,6.0515
94.625175,31.3764,83.29075,6.090325
94.913875,31.525625,83.311325,6.117875
95.035325,31.9097,83.388975,6.1566
96.051925,31.933125,83.412725,6.193075
96.45625,32.08805,83.992825,6.229325
96.80865,32.339525,84.06165,6.26655
97.0218,32.34955,84.547725,6.298975
97.20755,32.54585,84.663725,6.3328
98.1613,32.8987,84.690275,6.339125
98.1781,32.994575,85.147025,6.3441
98.2747,33.15565,85.1618,6.351925
98.76235,33.373,85.189525,6.35725
99.042375,33.613725,85.243675,6.36485
99.78715,33.6673,85.249525,6.39385
99.943175,33.695075,85.4103,6.40135
99.97745,33.729775,85.62105,6.430875
100.55995,33.748625,85.631775,6.4321
101.94485,33.77775,85.656475,6.53295
102.289925,33.8111,86.25015,6.563825
102.3016,33.897875,86.5603,6.588775
102.8288,34.01985,87.232575,6.6078
103.1024,34.114375,87.31285,6.634775
103.309775,34.25065,87.393675,6.6482
103.660975,34.45785,87.417325,6.692775
103.7678,34.46945,87.514625,6.707975
103.815725,34.4902,87.591625,6.730375
103.93825,34.503625,87.758925,6.7637
104.74475,34.5997,88.053825,6.7796
105.131975,34.745575,88.339425,6.792325
105.19645,34.769525,88.424225,6.853175
105.498825,34.8806,88.70445,6.8676
106.902975,34.9198,89.2248,6.911275
107.020275,35.241175,89.452875,6.92065
107.24635,35.342625,89.70205,6.933275
107.74105,35.40095,89.92905,6.94235
109.0244,35.404975,90.06265,6.970125
109.37325,35.41265,90.1152,7.00215
109.91525,35.460975,90.18795,7.022225
111.07405,35.649775,90.24005,7.141175
111.64775,35.84705,90.265975,7.318825
112.5994,35.931325,90.4326,7.336275
113.800475,35.9475,90.495625,7.4105
113.853575,35.990475,90.69225,7.442325
113.909625,36.004075,91.554275,7.4691
113.95245,36.0954,91.90635,7.49165
114.162125,36.5145,92.180375,7.514575
114.195375,37.266025,92.34485,7.533275
114.33075,37.40775,93.455375,7.552275
114.775975,37.905125,93.540325,7.57165
114.81025,37.97695,93.6644,7.57935
117.171625,38.02355,94.01385,7.5931
117.1967,38.039825,94.073275,7.645575
117.62575,38.2806,94.100325,7.68125
117.9921,38.39695,94.111,7.70565
118.2139,38.454775,94.35425,7.716725
118.25385,38.4765,94.408575,7.737525
118.348875,38.695875,94.876375,7.746825
118.59975,38.855675,95.32805,7.74975
118.667425,38.928775,95.545925,7.755125
119.013825,38.979375,95.78285,7.7927
119.031,39.099425,95.859425,7.8084
119.16705,39.8057,95.88665,7.840525
119.3976,39.86175,95.914825,7.877975
119.759125,40.027525,95.957725,7.9117
119.823875,40.04235,96.478225,8
120.219025,40.097475,96.745875,8.0237
120.58645,40.21745,97.145275,8.0343
120.6723,40.359225,97.27215,8.05295
120.6909,40.481525,97.391775,8.0697
120.7661,40.592425,97.6613,8.0802
120.89145,40.680475,97.704925,8.098575
121.158,40.92165,97.73345,8.1047
121.44985,40.9332,97.78365,8.126475
122.5832,41.0777,97.9303,8.136075
122.66235,41.15955,97.977225,8.155425
122.72595,41.482675,98.046775,8.162425
122.803675,41.534675,98.3424,8.177675
123.4122,41.547525,98.748775,8.181675
123.662125,41.654175,98.855025,8.1839
124.058975,41.764875,99.25475,8.232025
124.840875,41.8998,99.271225,8.2442
125.3925,41.935925,99.316925,8.25645
126.19815,42.18035,99.68015,8.301675
126.49755,42.515625,99.70935,8.313975
127.179625,42.5497,99.928125,8.345475
127.394525,43.006225,100.034525,8.353625
127.62755,43.1008,100.201625,8.381775
127.971775,43.151475,101.064325,8.417925
128.0035,43.360975,101.20525,8.455025
128.662,43.36495,101.2068,8.473675
128.663675,43.522625,101.599225,8.486375
129.17365,43.538,101.67195,8.51335
129.55755,43.634925,102.08045,8.56185
129.676125,43.711275,102.218725,8.63125
130.066475,43.817475,102.374325,8.6584
130.296025,43.838925,102.6543,8.6824
130.402675,44.08775,103.11535,8.7115
130.488625,44.1905,103.441775,8.731775
130.535025,44.19235,103.567075,8.755525
130.7969,44.341625,103.669175,8.784625
131.335625,44.63,103.810925,8.79895
131.952325,44.851275,104.16655,8.80645
132.111975,45.018625,104.575825,8.814075
132.42835,45.235375,105.00915,8.83185
132.4418,45.41135,105.192025,8.848225
132.502125,45.47255,105.22455,8.855175
132.573925,45.474375,105.2648,8.8628
132.628625,45.5581,105.280925,8.873225
132.894275,45.596025,105.40065,8.8805
133.148775,45.8209,105.5587,8.8874
133.42335,45.90345,105.791075,8.9012
133.435775,46.1041,105.8411,8.92675
133.778,46.404325,105.9948,8.933825
133.81115,46.48305,106.307225,8.9682
134.0316,46.76795,106.332775,8.998475
134.458975,46.938525,106.391125,9.0137
134.6062,47.1823,106.596475,9.0221
134.884525,47.236675,106.6503,9.061275
134.995125,47.69155,106.774675,9.0736
135.658075,47.78,106.81245,9.091525
136.0145,47.9309,106.92445,9.1415
136.061975,48.32885,107.30635,9.1573
136.21435,48.33845,107.5205,9.189525
136.2201,48.3753,107.7085,9.203925
136.2682,48.478225,107.848725,9.215125
136.304525,48.583525,108.7881,9.2244
136.96685,49.093925,108.84605,9.23605
137.0182,49.2625,108.88605,9.24405
137.836875,49.57685,108.94745,9.25155
138.0033,49.81045,109.2639,9.37215
138.2474,50.069625,109.3364,9.395575
138.912,50.410625,109.356725,9.4346
139.09855,50.57525,109.43215,9.4477
139.164325,50.817775,109.537975,9.50015
139.91585,51.163675,110.1494,9.533525
141.632025,51.377275,110.348825,9.5524
141.67055,51.47935,110.495125,9.5685
142.06595,51.9347,110.604225,9.584475
142.4068,51.93975,110.952225,9.603225
143.1413,51.946075,111.198225,9.613475
144.173925,52.185825,111.307225,9.62215
145.12625,52.308775,111.7119,9.631875
145.463825,52.3364,112.193375,9.64
145.527525,52.37285,112.4919,9.6481
146.152475,53.08275,112.5282,9.6585
146.16785,53.109625,112.6178,9.69095
146.2126,53.123675,112.71705,9.708575
146.326025,53.134925,112.75255,9.75175
146.91905,53.246775,113.115725,9.768575
146.9868,53.3012,113.5504,9.78475
147.189475,53.363825,113.656925,9.80375
147.333775,53.435975,113.77075,9.822875
147.635975,53.50215,115.25875,9.855325
148.327925,53.5992,115.3625,9.90545
148.9936,53.609775,115.784175,9.9236
149.361925,53.638525,115.983525,9.94655
149.7901,53.646475,116.031275,9.9575
151.125775,53.981125,116.082425,9.975925
151.2018,53.991625,116.098675,9.981275
151.269775,54.112775,116.357475,9.9914
151.4638,54.14815,116.397475,10.004225
151.54265,54.193325,116.42995,10.010425
151.821325,54.33515,116.526075,10.01525
152.11295,54.867375,116.6734,10.034675
152.1239,55.451925,116.883,10.0678
152.13925,55.532425,117.1696,10.08775
152.26705,55.620675,117.205275,10.143125
153.16085,55.658525,117.225925,10.158375
153.610675,55.9218,117.652725,10.1855
154.055725,55.9535,117.744175,10.2062
154.083725,56.22595,118.003775,10.225825
154.232525,56.26705,118.311525,10.2712
154.559275,56.59915,118.32645,10.296025
154.60525,56.867725,118.379025,10.365325
155.18685,57.01415,118.57425,10.37515
156.01005,57.121275,118.701825,10.3856
156.8141,57.25395,118.766025,10.39555
157.0919,57.30365,118.820075,10.419
157.1651,57.4687,118.895775,10.445075
157.2119,57.6232,118.934325,10.45205
157.373275,57.675,119.10055,10.458525
157.7421,57.681725,119.13965,10.46755
157.922075,57.777775,119.27465,10.48645
158.2187,57.896725,119.443425,10.4948
158.468575,57.997175,119.571725,10.518925
158.633225,58.00485,119.6027,10.538775
158.92135,58.038125,119.621875,10.55
158.928625,58.4985,119.99675,10.56525
159.092825,58.75995,120.4712,10.579125
159.277025,58.810875,120.58185,10.601125
159.688275,59.125075,120.583425,10.639775
159.74975,59.156375,120.622675,10.65425
160.2644,59.213225,120.6562,10.699425
160.351675,59.26795,120.78165,10.8002
160.4729,59.289025,120.83595,10.831675
160.941,59.4166,121.1243,10.846025
160.986825,59.59055,121.47025,10.869225
161.572625,59.61615,121.61685,10.914325
161.6061,60.040475,121.62525,10.92435
161.680875,60.293525,121.69915,10.9333
161.84595,60.47085,121.832075,10.974525
162.1019,60.5955,122.02045,11.002075
162.58885,60.643075,123.319,11.01605
162.837025,60.768,123.33915,11.046925
162.915425,61.0071,123.427625,11.082325
163.168625,61.15945,123.502975,11.11745
163.754625,61.47645,123.600675,11.13555
163.812575,62.006475,123.872025,11.16115
164.030975,62.030675,123.897925,11.194925
164.071925,62.19025,123.904775,11.2209
164.235575,62.243125,124.055125,11.2518
164.2578,62.5323,124.481875,11.3032
164.568225,62.56775,124.50425,11.316375
164.646775,62.57655,124.626975,11.330775
164.757275,63.08105,124.766025,11.3433
165.411075,63.120925,125.273975,11.349475
165.6465,63.242325,125.4406,11.355425
165.75955,63.4136,125.64635,11.36835
166.103825,63.805875,125.666025,11.3786
166.44465,63.8767,125.987675,11.388875
166.8942,64.552075,126.236075,11.397125
167.3069,64.923175,126.29905,11.4073
