SPK_SPKC01a (inhi),SPK_SPKC04a (inhi),"SPK_SPKC05a (sharp exc, maybe artef)",SPK_SPKC10a (inhi)
11.253925,39.326,10.047125,50.149675
11.27665,39.3846,10.093575,50.4839
11.3061,39.404375,10.167825,50.50875
11.397025,40.15045,10.28715,50.58505
11.51375,40.158525,10.433625,50.919225
11.543875,40.191975,10.456825,51.80625
11.78225,40.2324,10.482775,52.0764
11.824825,40.25205,10.50145,52.17615
11.828525,40.2836,10.524025,52.28865
11.848425,40.3226,10.8814,52.304
11.88145,40.360275,10.98235,52.589725
12.0081,40.630125,11.140025,52.912675
12.067,40.65155,11.298825,52.944075
12.0847,40.908575,11.339825,53.04485
12.231725,40.925225,11.363,53.21175
12.373125,41.274725,11.508725,53.324275
12.460225,41.29885,11.52065,53.442325
12.4917,41.557375,11.56225,53.55315
12.5095,41.586725,11.80115,53.756625
12.527575,41.811525,11.838775,53.7695
12.554775,41.826575,12.0001,54.033275
12.610875,41.83525,12.018725,54.0694
12.77715,41.8476,12.03845,54.200075
12.7943,41.8636,12.059075,54.221725
12.828575,41.876725,12.080225,54.4439
12.877575,41.886975,12.24685,54.4822
12.9433,41.896475,12.311525,54.523325
12.963575,41.91405,12.52275,54.5581
13.14295,43.106675,12.539,54.68195
13.2613,43.13775,12.554375,54.71905
13.2725,43.34855,12.566575,54.81665
13.2878,43.361225,12.768375,55.02475
13.305825,43.42165,12.80445,55.153075
13.332625,43.427625,12.815175,55.357075
13.372475,43.45445,12.8245,55.5073
13.377025,43.4692,12.875975,55.622575
13.6771,43.47415,13.253,55.709675
13.706675,43.50065,13.275375,55.7503
13.7347,43.55715,13.318325,55.8898
13.7471,43.59445,13.329775,55.941175
13.748575,43.659475,13.339875,55.972775
13.858575,44.082025,13.34905,56.38455
13.8885,44.094175,13.3598,56.596
14.0463,44.125025,13.372625,56.779675
14.0657,44.470025,13.394425,57.019825
14.088275,44.480875,13.4353,57.094575
14.1555,44.49765,13.49495,57.139575
14.197425,44.531725,13.52765,57.626525
14.312675,44.64085,13.758575,57.787575
14.35545,44.67645,13.7698,58.0694
14.404675,44.791375,13.7918,58.085375
14.4543,44.8208,13.79915,58.126775
14.468375,44.8373,13.8076,58.3194
14.48715,45.038275,13.82855,58.6175
14.5194,45.065975,13.871325,58.8891
14.529975,45.541525,14.1372,58.9149
14.558425,46.285175,14.1512,59.30365
14.672825,46.30685,14.16735,59.374475
14.7166,46.321075,14.183325,59.624675
14.728875,46.349075,14.7941,59.680525
14.76455,46.366825,14.81305,59.750675
14.8036,46.39005,14.82165,59.906575
14.848925,46.848675,14.8304,60.141175
14.916325,46.854825,14.84575,60.2351
14.973725,46.875025,14.859425,60.286775
15.0077,46.920725,14.881125,60.56885
15.1089,47.429325,14.9047,60.83205
15.27435,47.44705,14.93205,60.869775
15.34295,47.451775,14.98525,60.905175
15.4581,47.513075,15.015625,61.2519
15.509475,47.521525,15.03335,61.323175
15.60345,47.86285,15.0558,61.54695
15.689675,47.901,15.0865,61.717725
15.90585,47.922325,15.303575,61.847
15.9271,47.93905,15.34145,62.02615
15.9538,48.017275,15.582925,62.1019
15.97045,48.21825,15.9456,62.515725
16.020425,48.681575,15.959625,62.623025
16.051025,48.728825,15.972175,62.73695
16.075225,48.7972,15.983025,62.752725
16.112775,48.8884,15.996025,62.809225
16.144725,48.93255,16.00475,63.0662
