SPK_SPKC01a (no effect),SPK_SPKC09a (inhibited)
24.798725,107.701225
24.817,107.739
24.841875,107.753875
24.885775,107.811625
24.926525,107.838175
24.94325,107.86595
24.9877,107.965975
25.0263,107.999175
25.050975,108.04255
25.070275,108.065825
25.118225,108.118675
25.160075,108.198875
25.182325,108.2496
25.22795,108.293075
25.233525,108.3246
25.2622,108.431925
25.282525,108.449375
25.300275,108.486175
25.316375,108.503825
25.32805,108.52955
25.3568,108.535325
25.383775,108.576275
25.401725,108.62675
25.442875,108.6806
25.464325,108.7533
25.486475,108.79065
25.514575,108.9192
25.541,108.942475
25.5752,108.981775
25.620675,109.0433
25.6735,109.08205
25.6973,109.2805
25.716225,109.3076
25.759175,109.397875
25.7854,109.42195
25.814775,109.49355
25.831175,109.6722
25.8627,109.699375
25.87535,109.721975
25.890875,109.77635
25.9252,109.7971
25.950975,109.881875
25.992075,109.930025
26.0199,109.953075
26.0515,109.994375
26.09115,110.03285
26.12825,110.234825
26.147175,110.269125
26.16045,110.31045
26.198525,110.36775
26.237675,110.487175
26.27795,110.53225
26.2921,110.572175
26.34485,110.64555
26.3922,110.65135
26.432875,110.69075
26.49615,110.762125
26.546275,110.80605
26.57765,110.8429
26.623475,110.880025
26.683025,110.906425
26.7045,111.16685
26.742125,111.175075
26.78665,111.186775
26.82155,111.207725
26.837325,111.2205
26.8605,111.2417
26.903125,111.2563
26.941,111.27315
26.966625,111.33235
26.9987,111.35895
27.02025,111.396025
27.041075,111.45985
27.076,111.4923
27.094725,111.5164
27.120175,111.5469
27.1472,111.736925
27.187,111.91885
27.221875,111.950075
27.25425,111.9734
27.28015,112.00235
27.3132,112.05475
27.350425,112.091175
27.3716,112.139975
27.39545,112.237475
27.418425,112.293425
27.451475,112.34205
27.485525,112.346525
27.504425,112.3982
27.548825,112.433425
27.610775,112.460525
27.648475,112.631875
27.6758,112.663425
27.7181,112.681075
27.764275,112.700675
27.798025,112.709475
27.872,112.7221
27.904675,112.731325
27.91855,112.7519
27.97065,112.7833
27.9896,112.857
28.038025,112.9192
28.0617,112.93715
28.0866,112.9547
28.121175,112.9841
28.154975,113.0438
28.170875,113.0993
28.19945,113.1142
28.24455,113.13795
28.2783,113.1871
28.316425,113.227925
28.36205,113.3039
28.4049,113.3253
28.443325,113.3538
28.47695,113.378175
28.491025,113.39415
28.5201,113.421725
28.549525,113.441175
28.57285,113.48895
28.6062,113.515975
28.627475,113.555975
28.672025,113.5841
28.697675,113.75825
28.739425,113.796
28.767,113.85665
28.791125,113.87575
28.822025,113.9297
28.85125,113.996675
28.880325,114.0315
28.888225,114.0664
28.91475,114.0901
28.935525,114.110075
28.969575,114.1871
29.000025,114.211525
29.03075,114.233025
29.0613,114.256375
29.088425,114.314125
29.12905,114.434825
29.151075,114.45665
29.19255,114.537025
29.208875,114.583075
29.234975,114.6479
