SPK_SPKC05a (inhibited),SPK_SPKC08a (excited),SPK_SPKC10a (no effect),SPK_SPKC12a (excitation + inhibition),SPK_SPKC12b (inhibited),SPK_SPKC14a (excited)
3.99725,6.213125,34.70215,10.2729,3.342125,12.3715
4.0366,6.263725,35.866875,10.305575,3.3747,12.474275
4.046825,6.3237,36.0847,10.335375,3.402275,12.47595
4.05925,6.35155,36.2378,10.449825,3.41545,12.526775
4.073375,6.43945,36.2722,10.477175,3.48815,12.591225
4.097025,6.596175,36.292475,10.489825,3.52755,12.606925
4.118075,6.65355,36.356275,10.51105,3.545175,12.618875
4.14245,6.678275,36.40575,10.548125,3.559525,12.63205
4.15665,6.70845,36.4388,10.6051,3.56045,12.648975
4.1765,6.772925,36.47585,10.645475,3.587775,12.66655
4.206625,6.8084,36.519275,10.68135,3.602775,12.713675
4.228925,6.922425,36.637975,10.73325,3.61935,12.728325
4.234475,6.9346,36.702025,10.79565,3.64485,12.746475
4.25,6.96765,36.948725,10.8349,3.66295,12.79615
4.280575,7.03285,37.083475,10.8938,3.687275,12.9466
4.3195,7.088275,37.14985,10.944125,3.71085,13.236175
4.382675,7.20325,37.1736,11.05095,3.71565,13.264525
4.40955,7.346125,37.2511,11.081525,3.7304,13.486725
4.45835,7.370725,37.318925,11.149975,3.767625,13.518275
4.465825,7.401,37.520325,11.16885,3.81065,13.55905
4.540325,7.431425,37.6156,11.1953,3.827425,13.673175
4.586,7.482675,37.830975,11.2749,3.838825,13.9062
4.699475,7.49345,37.875725,11.30045,3.866225,13.922325
4.7287,7.509575,38.205825,11.314225,3.88445,13.9359
4.747725,7.53735,38.3259,11.357575,3.8998,13.945725
4.77155,7.581525,38.373375,11.434175,3.913925,13.9557
4.78995,7.615075,38.522025,11.46065,3.944425,14.0204
4.82475,7.662825,38.620975,11.479575,3.974175,14.046225
4.83785,7.69355,38.652425,11.51405,3.9917,14.065175
4.858825,7.83115,38.798225,11.517125,4.013125,14.087925
4.896725,7.84695,38.88805,11.542925,4.0298,14.1436
4.913875,7.908975,38.95875,11.576,4.055725,14.400825
4.932425,7.9506,39.029525,11.627725,4.091325,14.446075
4.94985,7.9683,39.097275,11.694675,4.13345,14.470925
4.9664,8.002375,39.148475,11.730575,4.208875,14.476275
5.0102,8.079225,39.22915,11.7907,4.234025,14.52185
5.030775,8.117875,39.333075,11.84615,4.2456,14.8249
5.053025,8.129575,39.43455,11.926375,4.308525,15.00735
5.0734,8.153025,39.45955,11.963975,4.3243,15.07395
5.0861,8.18215,39.542675,11.994375,4.3447,15.101575
5.110825,8.189225,39.65805,12.027425,4.365975,15.526525
5.1317,8.211,39.721425,12.0825,4.3918,15.7083
5.1577,8.239,39.924925,12.147625,4.423525,15.7538
5.17155,8.265,40.045225,12.185025,4.437175,16.567
5.20835,8.282775,40.0587,12.2504,4.4868,16.633075
5.221475,8.3309,40.1023,12.27935,4.522575,16.6611
5.2391,8.36695,40.180225,12.3,4.56975,16.682825
5.310125,8.4253,40.219475,12.389425,4.594325,16.703875
5.35795,8.463425,40.35295,12.46995,4.61895,16.7211
5.4077,8.4888,40.3854,12.49225,4.639875,16.733475
5.431525,8.53895,40.412375,12.51255,4.656675,16.753325
5.4412,8.556575,40.4443,12.583575,4.674125,16.773375
5.460475,8.59635,40.483825,12.59645,4.6871,16.80045
5.522825,8.674825,40.599975,12.620175,4.7112,16.90535
5.5344,8.723825,40.755375,12.63945,4.74235,16.9328
5.553475,8.797125,40.776,12.7354,4.758175,16.935675
5.570875,8.815125,40.95665,12.805825,4.7754,17.021425
5.592275,8.8895,40.992325,12.8466,4.7906,17.156075
5.61355,8.967475,41.034425,12.90735,4.80235,17.234575
5.640575,9.0034,41.050575,13.030325,4.83815,17.2616
5.708425,9.05635,41.1112,13.074525,4.8642,17.2975
5.725275,9.12085,41.153175,13.10915,4.891575,17.322525
5.73145,9.1317,41.17345,13.14575,4.905825,17.569175
5.74125,9.15665,41.1934,13.20085,4.922025,17.6942
5.7588,9.1847,41.2146,13.34945,4.93885,18.1082
5.772775,9.2065,41.315575,13.385025,4.9666,18.368875
5.793525,9.207825,41.4341,13.46985,4.982175,18.384375
5.804375,9.2198,41.463625,13.526975,4.996325,18.405525
5.818425,9.24245,41.5971,13.585575,5.038875,18.511675
5.8272,9.288425,41.7648,13.671575,5.061625,18.916075
5.842425,9.3224,41.887775,13.7162,5.0848,19.23275
5.847925,9.3745,41.95995,13.765825,5.105025,19.2581
5.85785,9.423125,41.994375,13.791525,5.118375,19.28165
5.86875,9.451525,42.01565,13.834075,5.136925,19.298325
5.87805,9.465275,42.125075,13.8548,5.15475,19.313875
5.8999,9.5034,42.171975,13.8716,5.17105,19.329
5.91025,9.590725,42.193225,13.88425,5.188375,19.41435
5.923225,9.6725,42.224525,13.904825,5.205925,19.442725
5.943375,9.7111,42.2462,13.930325,5.2193,19.463425
5.9527,9.7642,42.270825,13.95845,5.243175,19.466975
5.9641,9.791125,42.30375,14.113425,5.2473,19.5194
5.96645,9.830225,42.318425,14.159725,5.26105,19.633075
5.97385,9.862675,42.423825,14.344775,5.28115,19.698575
5.986725,9.928425,42.470575,14.376975,5.30465,19.7646
6.00025,9.968275,42.504225,14.416575,5.321525,19.84255
6.0139,10.038,42.51775,14.482125,5.3477,19.962725
6.021525,10.084325,42.54225,14.539025,5.36475,20.24795
6.025075,10.129125,42.5785,14.627225,5.3711,20.27055
6.034025,10.177475,42.701675,14.683975,5.381975,20.333975
6.052725,10.198275,42.863125,14.7298,5.393925,20.50065
6.063525,10.22155,43.0549,14.796575,5.4075,20.554225
6.07565,10.248175,43.154025,14.8508,5.42065,20.593475
6.09205,10.27785,43.182475,14.89745,5.50985,20.794875
6.109025,10.32285,43.258375,14.899175,5.52645,21.40415
6.117025,10.389775,43.449,14.96545,5.540775,21.961675
6.1393,10.415275,43.59905,15.00855,5.555475,22.013125
6.155525,10.4477,43.696625,15.05255,5.577975,22.2959
6.181575,10.484,43.72115,15.08825,5.6002,22.337475
6.191825,10.53165,43.81235,15.17705,5.6277,22.339075
6.2187,10.655675,43.932175,15.209,5.6393,22.365
6.230475,10.682775,44.021525,15.304375,5.6589,22.39315
6.249425,10.703475,44.041975,15.363775,5.67475,22.43125
6.262375,10.726525,44.0756,15.398725,5.690375,22.45845
6.2743,10.8049,44.12425,15.42735,5.724725,22.503875
6.30555,10.9253,44.162075,15.4587,5.735925,22.633925
6.334175,10.945525,44.192025,15.53375,5.75355,22.672675
6.345825,10.970125,44.2177,15.586775,5.771225,23.046775
6.367325,10.99165,44.753175,15.654925,5.77755,23.566075
6.392525,11.024375,44.828775,15.71745,5.789525,23.5758
6.4169,11.0457,44.859275,15.76175,5.8167,23.67895
6.435275,11.08275,44.8665,15.856925,5.8282,23.80805
6.476475,11.106125,44.93155,15.907,5.83975,24.322225
6.512025,11.14345,44.986625,15.9568,5.850975,24.384925
6.528925,11.27385,45.037975,16.079175,5.8633,24.5551
6.5502,11.310675,45.078825,16.1047,5.879175,24.693
6.5682,11.33395,45.487225,16.13265,5.8942,24.7237
6.5878,11.351625,45.5688,16.253075,5.904825,24.8367
6.596025,11.383425,45.6378,16.39115,5.915325,24.9071
6.63315,11.4064,45.698,16.445475,5.959575,24.975525
6.655925,11.4194,45.792275,16.473875,5.9737,25.01945
6.664,11.42425,45.885875,16.543525,5.993275,25.0583
6.694875,11.429575,45.904925,16.6041,6.004525,25.13395
6.72695,11.4341,46.0155,16.635525,6.0205,25.176375
6.79645,11.441,46.141675,16.73985,6.036925,25.187125
6.842125,11.443925,46.27165,16.7912,6.063125,25.20805
6.871775,11.457025,46.4215,16.87695,6.077675,25.3835
