SPK_SPKC09a (exc),SPK_SPKC14a (no opto-tagging)
230.1055,196.45515
230.216225,196.53085
230.285625,196.59915
230.3413,197.05185
230.405225,197.162675
230.48645,197.261425
230.54515,197.356325
230.599375,197.44515
230.70875,197.5238
230.775425,197.585975
230.828225,197.6677
230.908375,197.752525
230.949075,197.8471
231.009975,197.92715
231.07635,198.00425
231.1415,198.0962
231.195175,198.201875
231.245125,198.369825
231.296275,198.4511
231.3642,198.547275
231.44485,198.63605
231.5699,198.7339
231.6605,198.9478
231.7518,199.061425
231.807875,199.1484
231.97695,199.2167
232.0428,199.407475
232.0952,199.5005
232.14045,199.6005
232.452425,199.70035
232.530275,199.797325
232.837175,199.9046
232.894225,200.029375
232.979225,200.117775
233.084875,200.2361
233.1501,200.3495
233.2825,200.5103
233.381825,200.60935
233.452325,200.724175
233.496875,200.817625
233.561825,200.9538
233.633175,201.050325
233.71545,201.1549
233.7837,201.24145
233.8768,201.317675
234.034,201.393525
234.086025,201.495675
234.16205,201.569225
234.37475,201.653275
234.432925,201.76585
234.585475,201.846875
234.654775,201.925
234.727175,202.013725
234.8196,202.10965
234.91025,202.200575
234.981775,202.30835
235.058675,202.408725
235.128125,202.56775
235.16915,202.6413
235.429725,202.70505
235.5047,202.811125
235.554025,202.8992
235.61655,203.152075
235.720125,203.23955
235.844425,203.337025
235.921275,203.41595
235.979125,203.516625
236.037475,203.643275
236.100775,203.7274
236.178175,203.889175
236.28615,203.99755
236.340475,204.0861
236.411375,204.19215
236.5191,204.371725
236.599625,204.46915
236.755475,204.5539
236.865,204.986825
236.947175,205.053375
237.063625,205.138325
237.139025,205.2104
237.212075,205.276175
237.360675,205.354025
237.43405,205.420325
237.4881,205.50875
237.57575,205.601
237.660225,205.6949
237.728275,205.924175
237.80885,205.9828
237.897025,206.0653
237.961025,206.1489
238.0433,206.3065
238.2145,206.423225
238.321475,206.516625
238.401075,206.62615
238.472825,206.72855
238.581325,206.8833
238.725575,206.95975
238.78155,207.05785
238.96285,207.114725
239.00025,207.203425
239.061625,207.451
239.131675,207.63975
239.24825,207.733675
239.4713,207.8522
239.55835,207.95435
239.664425,208.085625
239.7201,208.185875
239.88255,208.316475
240.0053,208.4844
240.0516,208.631625
240.1411,208.796275
240.1927,208.84875
240.262025,208.956825
240.3341,209.0599
240.464275,209.166175
240.578475,209.276
240.6446,209.3068
240.7546,209.4421
240.842425,209.56335
240.904675,209.66365
241.098375,209.769875
241.143175,209.86065
241.29005,210.095825
241.356025,210.197875
241.52325,210.3209
241.67605,210.414175
241.738625,210.516175
241.83275,210.820925
241.9435,210.9289
242.0293,211.0622
242.0654,211.182175
242.134675,211.308325
242.36375,211.392625
242.47055,211.467975
242.535625,211.5709
242.6071,211.665275
242.87165,211.77835
242.980275,211.856325
243.0497,212.06845
243.13625,212.212075
243.22735,212.394925
243.30825,212.582625
243.3833,212.67925
243.4409,212.767175
243.513825,212.975675
243.612225,213.29545
243.670925,213.407425
243.7426,213.560775
243.8171,213.675875
243.872625,213.8434
244.012925,213.943625
244.062675,214.278475
244.104875,214.398625
244.199775,214.530625
244.286625,214.626975
244.46105,214.729125
244.535975,214.848225
244.7386,215.023125
244.87225,215.17015
244.984525,215.286875
245.079675,215.44105
245.22275,215.5713
245.3505,215.663375
245.532975,215.762825
245.643275,216.070375
245.74475,216.189775
245.86365,216.4345
246.035125,216.565125
246.1303,216.837075
246.319675,216.9039
246.446,217.001325
246.52925,217.09155
246.7714,217.2341
246.85,217.44075
246.974775,217.57265
247.06135,217.728275
247.161125,217.8111
247.259775,217.911925
247.356425,217.998875
247.52445,218.1063
247.582975,218.230025
247.673575,218.38725
247.7448,218.4861
247.849525,218.575875
247.94325,218.6852
248.014675,218.83435
248.1553,218.961875
248.284475,219.075475
248.363,219.20165
248.453425,219.37165
248.637625,219.469375
248.693325,219.57885
248.750925,219.707425
248.7863,219.965575
249.094375,220.074475
249.1802,220.238825
249.2274,220.344475
249.290025,220.439425
249.3404,220.529425
249.466975,220.684175
249.667325,220.847475
249.728075,220.95585
249.8226,221.0885
249.873625,221.167625
249.923475,221.276925
250.073575,221.3906
250.152725,221.514525
250.246375,221.59845
250.3078,221.73935
250.4015,221.877125
250.491975,222.040775
250.56905,222.1503
250.681625,222.28305
250.81905,222.5795
250.866125,222.6804
250.935175,222.812825
251.0227,222.90975
251.073225,222.984925
251.1653,223.1539
251.4441,223.288525
251.50015,223.391875
251.65775,223.49385
251.763275,223.701525
251.88005,223.8331
251.9753,223.9122
252.30195,224.054425
252.410525,224.141125
252.46955,224.2345
252.52235,224.343675
252.634625,224.445525
252.72815,224.567725
252.84475,224.712475
252.915425,224.8052
253.022125,224.9135
253.186625,225.003625
253.25235,225.09675
253.361575,225.28155
253.45645,225.380875
253.5747,225.463975
253.696275,225.592425
253.771725,225.696
253.8417,225.82275
253.953,225.92925
254.021175,226.0369
254.087925,226.1298
254.149075,226.26605
254.2119,226.352225
254.27035,226.4575
254.4363,226.5351
254.605625,226.723
254.668675,226.800525
254.72745,227.126725
255.015275,227.23635
255.08945,227.363725
255.245175,227.429025
255.327025,227.5488
255.402175,227.6529
255.47985,227.756475
255.560225,227.8394
255.745575,227.9593
255.967525,228.2954
256.135525,228.432025
256.212025,228.559825
256.3371,228.6529
256.397225,228.731075
256.48905,228.8815
256.57445,228.97185
256.6287,229.10325
256.687725,229.215375
256.757275,229.4308
256.84285,229.523325
257.02165,229.63215
257.175325,229.856925
257.26575,230.204025
257.499775,230.311025
257.60075,230.432525
257.742975,230.549325
257.857,230.681225
257.9554,230.819075
258.0737,230.925625
258.1484,231.027275
258.3659,231.1604
258.45965,231.2389
258.511425,231.36675
258.593325,231.540025
258.66665,231.659025
258.75055,231.8522
258.804825,231.9222
258.912,232.01815
259.0096,232.11485
259.109375,232.286
259.387575,232.374625
259.68655,232.470825
259.764475,232.582
259.856675,232.696875
259.91005,232.989875
259.96,233.09555
260.0304,233.364875
260.155375,233.55115
260.194675,233.78735
260.377325,233.89845
260.6637,234.1519
260.815125,234.2582
260.8697,234.372925
260.92495,234.47155
260.971575,234.581075
261.086,234.68925
261.163625,234.9532
261.209125,235.078625
261.261925,235.16865
261.31925,235.333375
261.3965,235.4585
261.5073,235.571925
261.640775,235.763575
261.69435,235.86575
261.72175,235.915375
261.812275,236.01975
261.853325,236.239825
261.8915,236.398775
261.944425,236.487
262.072725,236.601975
262.14385,236.708075
262.184925,236.784825
262.224175,236.852625
262.2741,237.003725
262.302475,237.072025
262.40745,237.34255
262.4867,237.42285
262.516175,237.474775
262.650775,237.59715
262.688625,237.673525
262.73195,237.8675
262.766875,237.943925
262.83375,238.034275
262.86125,238.199625
262.89125,238.333925
262.93615,238.420175
262.9793,238.501825
263.0759,238.58915
263.1119,238.734675
263.135425,238.839925
263.155775,238.919725
263.1817,239.116925
263.283875,239.322525
263.32895,239.43055
263.3625,239.613175
263.38885,239.7299
263.41935,239.8266
263.479825,239.919075
263.529,240.022975
263.8385,240.22905
263.876525,240.31325
263.96585,240.399375
264.012,240.5966
264.04795,240.807725
264.2106,240.8807
264.270575,240.926125
264.2993,240.9953
264.319275,241.08815
264.435475,241.4771
264.51525,241.585175
264.537625,241.739725
264.6411,241.837825
264.67955,241.9537
264.74405,242.137275
264.945175,242.47755
265.009325,242.5569
265.052675,242.6491
265.1648,242.752075
265.22715,242.8225
265.32655,242.96355
265.354525,243.0719
265.415575,243.183925
265.540025,243.24435
265.57215,243.350375
265.60655,243.42575
265.647525,243.62755
265.683875,243.81525
265.764,243.920475
265.822425,244.17645
265.8539,244.332275
265.88695,244.418425
266.036,244.550075
266.078375,244.637575
266.125725,244.733325
266.16165,244.92085
266.2604,245.031425
266.294125,245.112175
266.358625,245.238875
266.516375,245.34895
266.568975,245.45175
266.664925,245.5267
266.736425,245.66615
266.7986,245.745525
266.847275,245.91785
266.906825,246.001725
266.968625,246.093025
267.0848,246.208825
267.15395,246.34595
267.219575,246.474575
267.26775,246.559375
267.39045,246.64815
267.443675,246.812
267.498225,247.039375
267.563075,247.175025
267.58525,247.3071
267.853525,247.448725
267.921525,247.592675
267.98265,247.884175
268.1383,247.997575
268.18175,248.10605
268.282375,248.20365
268.328425,248.336725
268.471775,248.5233
268.5322,248.66355
268.6091,248.7231
268.655625,248.80495
268.756875,248.8385
268.770875,249.004775
268.856475,249.16385
268.8903,249.383025
268.928775,249.485525
269.0284,249.757125
269.079025,249.860025
269.13205,250.080075
269.17445,250.316675
269.34515,250.51445
269.4314,250.628775
269.44185,250.73055
269.519,250.82205
269.540275,250.94095
269.722725,251.07415
269.81585,251.172175
269.8831,251.24125
269.912,251.320275
269.9894,251.62155
270.065125,251.740975
270.17245,251.82195
270.251125,251.954975
270.379275,252.0279
270.43385,252.248775
270.49245,252.370425
270.52525,252.54935
270.595375,252.633025
270.637825,252.81415
270.652425,252.957775
270.69235,253.07125
270.72095,253.205175
270.7715,253.316775
270.9045,253.4487
270.965975,253.53625
271.0502,253.62315
271.091925,253.8103
271.145675,253.884925
271.245075,253.987075
271.331125,254.07975
271.395375,254.2083
271.43475,254.307825
271.5556,254.398025
