SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC07d,SPK_SPKC08a,SPK_SPKC11a,SPK_SPKC14a
103.765525,104.9022,156.93385,150.381975,112.21415,111.181175,109.024275,159.7215
103.775475,104.91985,157.3271,150.427275,112.245225,111.29575,109.03845,160.172875
103.78345,104.950775,157.81765,150.48825,112.28525,111.330425,109.17595,160.29215
103.80205,104.969525,158.08115,150.960975,112.3012,111.424225,109.211175,160.392575
103.806775,104.99335,158.4183,151.119175,112.342675,111.4797,109.2354,160.575825
103.82215,105.049975,158.646975,151.163975,112.392225,111.584775,109.306575,160.851075
103.830825,105.086525,159.08055,151.272425,112.466575,111.598375,109.33475,160.948675
103.86415,105.186375,159.30385,151.3214,112.498775,111.614975,109.401375,161.532475
103.87215,105.20795,159.908375,151.4213,112.68705,111.6587,109.4093,161.541475
103.892025,105.228275,160.2912,151.4429,112.71785,111.77795,109.4242,161.801
103.914475,105.258825,160.3418,151.523,112.777275,111.78555,109.44025,162.042325
103.922825,105.3023,160.8359,151.589125,112.803575,111.8051,109.48085,162.243675
103.947925,105.322825,160.9329,151.666725,112.81825,111.851525,109.490775,162.3249
103.962,105.342225,161.2932,151.772275,112.835525,111.86435,109.576075,162.56465
103.972275,105.3708,161.5361,151.89825,112.877375,111.8815,109.5965,163.4736
103.981025,105.38415,161.9092,151.923525,112.90585,111.951325,109.6501,163.778775
103.996225,105.39605,161.99595,151.9783,112.958625,111.96485,109.651125,163.89375
104.002875,105.406125,162.0986,152.12335,113.012075,112.015525,109.65715,164.191175
104.025375,105.418825,162.189325,152.2173,113.039,112.0318,109.661675,164.90395
104.03225,105.428375,162.829725,152.276375,113.47085,112.101225,109.70975,164.952025
104.0406,105.43755,162.90845,152.306225,113.594175,112.1229,109.758,165.021075
104.044325,105.45335,163.268825,152.326375,113.676175,112.136675,109.766975,165.12715
104.04805,105.459,163.27585,152.61765,113.68805,112.16085,109.7779,165.226425
104.08405,105.467625,163.510075,152.638125,113.703225,112.18895,109.78265,165.4278
104.11845,105.4753,163.54365,152.67985,113.716125,112.217975,109.7891,165.650025
104.132225,105.4908,164.999775,152.77035,113.745075,112.283175,109.9563,165.6842
104.147775,105.50035,165.14835,152.892075,113.81075,112.29955,109.97335,166.199525
104.17585,105.5245,165.28015,152.90275,113.846875,112.3689,109.9977,166.4388
104.181675,105.538575,165.5189,152.9169,113.922825,112.404775,110.067725,166.962675
104.21585,105.55675,166.094875,153.076825,113.940925,112.425,110.07635,167.185025
104.223375,105.574275,166.288025,153.123425,113.950575,112.53365,110.08895,167.38145
104.253675,105.5882,166.58535,153.552425,113.9719,112.611825,110.134225,167.40645
104.2562,105.60235,166.724375,153.580625,114.005,112.736425,110.196525,167.57295
104.264925,105.617175,166.993975,153.827975,114.0462,112.7533,110.21565,167.783925
104.287225,105.624875,167.287325,153.89415,114.109775,112.772675,110.245225,167.808275
104.3143,105.63455,167.76165,153.906425,114.239,112.85845,110.251625,168.06475
104.328175,105.6429,167.77705,154.0403,114.4267,112.95295,110.3182,168.113875
104.33405,105.652975,169.21065,154.128975,114.46025,113.004825,110.42795,168.1823
104.350625,105.66715,169.382325,154.170975,114.4965,113.017925,110.46205,168.3256
104.358075,105.68225,169.51375,154.24585,114.51275,113.04275,110.5187,168.371475
104.394675,105.70715,169.5208,154.300175,114.57685,113.07,110.534975,168.67075
104.443625,105.73515,169.662925,154.324825,114.64565,113.08255,110.601475,168.888775
104.467925,105.7569,170.276875,154.3797,114.68835,113.097675,110.60755,169.105775
104.48245,105.771825,170.417875,154.4882,114.733675,113.1516,110.66605,169.1824
104.516375,105.7806,170.4954,154.518725,114.778225,113.191625,110.6903,169.306175
104.523075,105.790775,170.698875,154.553975,114.954425,113.198,110.699975,169.57305
104.53965,105.802675,170.89395,154.640075,115.024225,113.2576,110.7176,169.939125
104.5567,105.8104,171.193125,154.6779,115.050325,113.2798,110.744475,170.045
104.56585,105.822,171.4935,154.6945,115.13955,113.30875,110.7608,170.31055
