SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC07b,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC12a,SPK_SPKC14a
252.93635,255.910675,277.366775,279.02115,271.7779,254.813975,361.6008,271.460125,256.9189
252.9957,256.02705,277.403475,280.585775,271.79235,254.84395,361.643525,271.669725,256.93945
253.004175,256.032525,277.508325,281.51105,271.83275,254.8508,361.6507,271.853475,256.9566
253.057375,256.186725,277.599725,281.871375,271.875375,254.89085,361.792175,271.979375,256.97625
253.07185,256.200575,277.83685,283.052775,272.051225,254.909225,362.07715,272.16345,257.0036
253.08365,256.216675,278.007025,283.215,272.088725,254.9828,362.0939,272.227775,257.01885
253.085775,256.2579,278.149625,283.756375,272.11525,255.0202,362.1966,272.28305,257.035925
253.096175,256.268225,278.336675,283.9981,272.130475,255.0657,362.217075,272.31975,257.071875
253.106,256.38195,278.352825,284.485075,272.141675,255.07585,362.593225,273.057525,257.210925
253.112475,256.47995,278.391175,285.186975,272.146825,255.10165,362.628925,273.298325,257.2377
253.121825,256.534925,278.833025,285.28345,272.16525,255.15255,362.6433,273.464725,257.256475
253.12945,256.6086,279.148725,286.08695,272.221325,255.1707,362.7681,273.5925,257.27535
253.1605,256.649675,279.27895,286.43345,272.30755,255.19485,363.218725,273.708225,257.2861
253.175825,256.75635,279.3603,286.615475,272.51395,255.216175,363.583,273.88305,257.300175
253.196825,256.791975,279.4189,287.06255,272.550375,255.253825,363.59825,273.944475,257.31745
253.2045,256.845725,279.4543,287.22835,272.648625,255.29445,364.222875,273.978425,257.3355
253.208625,256.9925,279.53535,287.776975,272.878275,255.320975,364.292125,274.085625,257.356875
253.302275,257.0202,279.83325,287.791875,272.93695,255.357,366.970625,274.3552,257.37265
253.308675,257.0722,279.95285,288.86225,272.99325,255.363525,366.9812,274.413625,257.384725
253.3249,257.15115,279.9539,289.152175,273.1085,255.420225,366.98435,274.677525,257.4259
253.3676,257.183325,279.956325,289.82845,273.13145,255.446325,367.026,275.19275,257.455225
253.378375,257.298,279.972825,289.870725,273.171975,255.4745,367.215425,275.459875,257.684725
253.48445,257.313775,280.12415,290.39055,273.23985,255.5168,369.224325,276.04565,257.71315
253.489775,257.3304,280.2194,290.99065,273.291325,255.541725,369.234125,276.130125,257.741475
253.51625,257.636275,280.27005,291.342875,273.44825,255.642175,369.249275,276.54565,257.7557
253.604525,257.753575,280.309175,292.0331,273.602325,255.654775,391.645825,276.892975,257.77455
253.612,257.83715,280.522725,293.541375,273.800275,255.6813,393.458925,277.0429,257.790825
253.641575,257.84965,280.545475,293.658875,273.87695,255.719575,393.647225,277.1862,257.810825
253.70265,257.935525,280.554825,294.3471,274.260925,255.72885,394.104325,277.357275,257.832175
253.811625,257.94895,280.720675,295.637975,276.492625,255.752325,395.2014,277.51535,257.8499
253.881275,258.07725,280.72925,295.791075,277.053225,255.805675,395.83055,278.157225,257.86335
253.900975,258.199275,280.850175,295.8029,277.0686,255.84585,396.111525,278.3286,257.887675
253.9547,258.31605,281.105775,296.368575,277.087525,255.872325,396.321775,279.353975,257.903075
254.09235,258.351,281.35025,297.18135,277.128725,255.9302,396.340425,279.664725,257.92555
254.130975,258.399175,281.5198,297.35585,277.14905,256.003275,396.350725,279.8936,257.94075
254.165875,258.4138,281.6143,297.950525,277.19635,256.032175,396.3621,280.3266,257.97375
254.2197,258.4462,281.930775,298.4224,277.270975,256.0626,396.4864,280.5286,258.141975
254.284175,258.619325,282.104375,298.748,277.34075,256.136575,396.687225,280.82255,258.15925
254.3438,258.6476,282.229575,299.23195,277.364375,256.16055,396.786175,280.889425,258.183125
254.3845,258.825475,282.30655,299.732025,277.40205,256.27095,397.33415,280.95825,258.20985
254.39595,258.90675,282.3869,300.22035,277.55325,256.339025,397.406675,281.03675,258.224825
254.42855,259.143525,282.85825,300.3185,277.554875,256.36365,404.29915,281.041525,258.241075
254.44685,259.1888,282.9539,300.34105,277.56995,256.46975,406.362625,281.2248,258.26335
254.484625,259.238475,284.12325,300.467575,277.591425,256.51795,406.3951,281.473525,258.28345
254.487275,259.54115,284.243825,300.7434,277.606375,256.59565,406.48565,281.958675,258.403925
254.496325,259.614,284.50195,300.8256,277.60875,256.71175,407.6617,282.339475,258.4173
254.598625,259.681175,284.51815,300.94985,277.640325,256.760625,407.695025,282.633475,258.462575
254.627725,259.691,284.52855,301.08195,277.66365,256.945175,407.7961,282.718125,258.4905
254.645025,259.70525,284.592075,301.18745,277.8362,257.046875,408.633475,283.15425,258.514725
254.651575,259.73095,284.9805,302.33985,277.8396,257.1292,408.855825,283.6345,258.53915
254.669825,259.758825,285.544825,302.554675,277.858275,257.286625,409.09135,283.7251,258.5636
254.6807,259.871725,286.0611,302.633,277.898125,257.4069,410.167425,283.8515,258.59775
