SPK_SPKC02a (inhibited),SPK_SPKC02b (excited),SPK_SPKC06a (no effect),SPK_SPKC15a (NA)
9.2276,6.79345,4.4394,2.99465
9.23575,6.8405,4.471575,3.018025
9.254525,6.87725,4.5063,3.03545
9.35115,6.9159,4.5313,3.073275
9.425075,6.957775,4.5616,3.09605
9.452225,7.00705,4.574875,3.174425
9.465325,7.04905,4.63605,3.2085
9.469375,7.07625,4.677975,3.230275
9.495275,7.099625,4.69205,3.237075
9.523325,7.14715,4.7231,3.247125
9.552475,7.184,4.7665,3.265575
9.601125,7.22555,4.793625,3.3197
9.656075,7.270975,4.81085,3.374
9.736,7.32925,4.817625,3.402725
9.79165,7.382,4.819675,3.4196
9.814075,7.42695,4.8302,3.437075
9.876725,7.445875,4.838275,3.493825
9.928475,7.4745,4.851,3.529625
10.029175,7.495625,4.85595,3.564975
10.1455,7.523625,4.862075,3.576975
10.2085,7.53765,4.870425,3.611675
10.2894,7.591125,4.876975,3.660025
10.35995,7.61945,4.894,3.6946
10.409125,7.680425,4.912075,3.728875
10.450925,7.7079,4.9258,3.769025
10.479,7.77665,4.939225,3.85305
10.686825,7.8134,4.943125,3.93585
10.735525,7.84065,4.967625,3.955725
10.90125,7.90925,5.00005,3.975
10.921475,7.93585,5.015325,3.9938
10.982825,7.955525,5.02495,4.00255
11.007675,7.98265,5.0433,4.027275
11.023325,8.060175,5.088575,4.03835
11.122925,8.111,5.1005,4.04865
11.2868,8.153725,5.112725,4.060275
11.3338,8.18045,5.122325,4.0674
11.406325,8.191325,5.1351,4.0845
11.439625,8.211425,5.146,4.10875
11.539325,8.23825,5.1539,4.142925
11.588175,8.254825,5.1628,4.17465
11.6318,8.2638,5.1727,4.19465
11.7062,8.276625,5.1797,4.23815
11.7213,8.303675,5.194775,4.290675
11.75365,8.35335,5.206425,4.32915
11.771325,8.3836,5.2091,4.36615
11.777425,8.405825,5.215075,4.41765
11.811725,8.448025,5.22795,4.4917
11.9074,8.47805,5.238825,4.5037
11.97775,8.51845,5.2544,4.53775
11.994075,8.55055,5.274725,4.577725
12.010425,8.581,5.29915,4.626225
12.09075,8.60525,5.341825,4.6635
12.11865,8.62715,5.375,4.77305
12.189125,8.64655,5.417525,4.801375
12.2872,8.666025,5.4642,4.820875
12.4347,8.6884,5.49695,4.82615
12.4883,8.73815,5.529675,4.8393
12.525575,8.74585,5.5745,4.8441
12.54895,8.760875,5.61585,4.846675
12.56165,8.7948,5.642125,4.8478
12.563175,8.8365,5.747275,4.85555
12.580475,8.85505,5.776025,4.856575
12.6361,8.87805,5.7922,4.86325
12.653875,8.9204,5.817725,4.867575
12.710275,8.9462,5.844325,4.87165
12.743675,8.954,5.875875,4.876475
12.807825,8.977725,5.939825,4.882375
12.85165,9.016225,5.966075,4.8886
13.039625,9.073475,5.9846,4.895175
13.114125,9.109,6.0004,4.9015
13.157025,9.130525,6.018525,4.906925
13.19155,9.1655,6.040125,4.914275
13.3176,9.178025,6.0811,4.924425
13.374225,9.191175,6.12155,4.931425
13.44435,9.2817,6.132675,4.93895
13.510175,9.3145,6.142625,4.955475
13.546825,9.35895,6.15265,4.96435
13.571575,9.387425,6.172475,4.976075
13.6161,9.4062,6.181925,4.979025
13.6936,9.439,6.19305,4.989125
13.72435,9.447325,6.21615,4.992
13.8011,9.48515,6.230175,5.01015
13.846825,9.5142,6.239725,5.0237
13.8858,9.55495,6.25935,5.0378
13.910775,9.581975,6.283775,5.05325
13.956375,9.616975,6.325825,5.07195
13.978925,9.6585,6.352025,5.08445
14.060875,9.68455,6.383575,5.11735
14.097825,9.706075,6.40885,5.1292
14.124825,9.728825,6.44435,5.1415
14.1909,9.7586,6.480525,5.155175
14.243,9.7939,6.488325,5.16535
14.332,9.88345,6.498575,5.1777
14.355075,9.91545,6.509225,5.1959
14.429225,9.9614,6.524475,5.210775
14.48605,10.00895,6.541875,5.22165
14.56095,10.04545,6.56865,5.2323
14.6104,10.080975,6.59,5.24945
14.6453,10.12175,6.6376,5.308725
14.6785,10.151525,6.6634,5.38215
14.931925,10.179875,6.69315,5.416325
14.998,10.20965,6.726125,5.4401
15.09625,10.2278,6.75905,5.504925
15.336325,10.246875,6.798525,5.541075
15.5206,10.31155,6.848725,5.613075
15.542875,10.3393,6.92315,5.639675
15.571075,10.366925,6.9626,5.673925
15.604475,10.401325,6.989825,5.7636
15.6245,10.499025,7.03455,5.943075
15.684125,10.532525,7.0814,6.023825
15.80065,10.556625,7.10225,6.111075
15.880025,10.589675,7.161375,6.123225
15.90015,10.631125,7.18645,6.13705
15.935925,10.642675,7.21735,6.142875
15.973675,10.679125,7.243925,6.150775
16.035425,10.719775,7.27535,6.157075
16.103975,10.753975,7.3026,6.16155
16.17815,10.7602,7.32575,6.1692
16.270275,10.7817,7.356375,6.17675
16.272175,10.789525,7.380975,6.18495
16.345825,10.8064,7.392025,6.190125
16.374725,10.825825,7.443975,6.196325
16.455375,10.86475,7.46025,6.206475
16.507275,10.904775,7.51505,6.213175
16.52015,10.94665,7.545775,6.222225
16.717575,11.00615,7.578125,6.22975
16.775425,11.044375,7.63045,6.246325
16.809425,11.0781,7.673025,6.26085
16.836475,11.088425,7.69475,6.274625
16.878925,11.1133,7.746875,6.314725
16.910075,11.1471,7.778575,6.334775
16.965425,11.174225,7.8012,6.391375
17.011625,11.208425,7.8248,6.4317
17.12395,11.210075,7.85435,6.461725
17.269375,11.2667,7.9073,6.4747
17.3387,11.292025,7.95,6.482625
17.34075,11.4687,7.9525,6.489425
17.3946,11.5057,7.973125,6.493625
17.420125,11.5381,8.0071,6.4996
17.4749,11.58295,8.048925,6.5036
17.494625,11.6082,8.08025,6.5118
17.54525,11.702675,8.11275,6.527375
17.578675,11.749075,8.1523,6.539525
17.62925,11.79885,8.160725,6.57145
17.7541,11.82555,8.179725,6.593825
17.77745,11.8616,8.2076,6.6605
17.80675,11.9191,8.227575,6.6926
17.82615,11.970475,8.260025,6.794075
17.863125,12.02075,8.2623,6.83195
17.89595,12.0641,8.276775,6.94245
17.928025,12.107575,8.301325,7.037675
18.0255,12.15875,8.36725,7.060275
18.047225,12.1874,8.399675,7.107575
18.071575,12.225225,8.44675,7.161625
18.1569,12.26435,8.4774,7.1911
18.183325,12.307525,8.502725,7.229425
18.264225,12.346725,8.5209,7.436525
18.293125,12.364225,8.55695,7.60675
18.3295,12.38545,8.5809,7.672675
18.36725,12.411475,8.60465,7.7391
18.3877,12.442875,8.6118,7.7891
18.391425,12.4701,8.65245,7.9657
18.4443,12.4944,8.669125,8.148375
18.480025,12.5604,8.6737,8.177825
18.5682,12.57915,8.679875,8.192275
18.598825,12.622925,8.6843,8.261975
18.633225,12.655525,8.687975,8.278225
18.72685,12.68165,8.695525,8.32925
19.064475,12.71945,8.699125,8.367725
19.159025,12.796275,8.7129,8.391725
19.215825,12.875875,8.71625,8.48535
19.549875,12.912325,8.721875,8.53345
19.556625,12.96805,8.740625,8.630975
19.62535,12.9746,8.7512,8.66425
19.689125,13.003875,8.7725,8.685775
19.7508,13.0426,8.8111,8.70065
19.884125,13.083475,8.84565,8.70755
19.967875,13.16355,8.886425,8.7151
20.02515,13.2061,8.916625,8.72015
20.0595,13.21035,8.96,8.72845
20.09865,13.263925,8.9645,8.732875
20.130275,13.311575,8.977625,8.73675
20.18915,13.364175,8.994725,8.74035
20.370125,13.410275,9.00495,8.74465
20.402925,13.449225,9.017875,8.751075
20.465975,13.50575,9.02875,8.754575
20.503275,13.54415,9.042625,8.759775
20.55495,13.611925,9.05865,8.763375
20.560025,13.678225,9.071325,8.76855
20.6078,13.717275,9.10565,8.779775
20.649575,13.75825,9.1298,8.787775
20.675375,13.76595,9.14465,8.796625
20.7291,13.809025,9.1772,8.8193
20.762925,13.8409,9.203375,8.83335
20.81935,13.878825,9.2301,8.849275
20.9651,13.914925,9.2569,8.865525
20.984,13.944125,9.30305,8.8851
21.110125,13.999375,9.35965,8.91835
21.152325,14.0033,9.3893,8.937475
21.19725,14.038775,9.429575,8.947375
21.253075,14.089525,9.4677,8.9643
21.320475,14.1469,9.4853,8.97455
21.36745,14.165625,9.502975,8.9848
21.403425,14.2184,9.51625,8.992925
21.4184,14.232575,9.535725,8.999925
21.4863,14.26015,9.5766,9.007025
21.529125,14.271425,9.595575,9.020825
21.57985,14.29245,9.6269,9.03285
21.734475,14.306025,9.6484,9.0601
21.766975,14.3239,9.662225,9.0775
21.80565,14.34805,9.68145,9.100725
21.8215,14.379,9.707875,9.1236
21.83665,14.419825,9.729325,9.150325
21.85295,14.460075,9.74535,9.184825
21.8764,14.495975,9.760225,9.22195
21.91155,14.50795,9.776775,9.252025
21.938225,14.533775,9.788675,9.29255
21.977075,14.58665,9.8066,9.336825
22.02975,14.639925,9.82555,9.364725
22.071525,14.68075,9.84565,9.4247
22.272475,14.728275,9.87125,9.467875
22.307875,14.75385,9.933175,9.4793
22.3449,14.79465,9.966,9.4813
22.390825,14.828175,10.031525,9.49455
22.438675,14.86575,10.066875,9.507275
22.510225,14.89915,10.112575,9.5167
22.55875,14.926725,10.141075,9.5254
22.588375,14.963775,10.145025,9.5446
22.60415,14.9877,10.170325,9.555325
22.642475,15.002375,10.277225,9.57725
22.65925,15.02,10.30595,9.590925
22.697125,15.030125,10.341775,9.61295
22.7355,15.04525,10.373875,9.64655
22.768375,15.063875,10.428925,9.675175
22.88495,15.09935,10.46405,9.71945
22.93915,15.1289,10.484,9.75515
23.024225,15.17195,10.504575,9.76655
23.054575,15.2108,10.54115,9.78775
23.1137,15.2731,10.630075,9.8105
23.225725,15.317725,10.676175,9.828225
23.248,15.38385,10.692725,9.844775
23.250375,15.397525,10.7078,9.88615
23.3046,15.43055,10.721375,9.9062
23.330575,15.458475,10.75765,9.93575
23.376925,15.45985,10.777,9.973275
23.44645,15.483425,10.784725,10.013275
23.4738,15.509925,10.797975,10.044025
23.5011,15.526675,10.812525,10.101525
23.533575,15.565625,10.85065,10.1806
23.571825,15.58705,10.86895,10.261025
23.6445,15.606175,10.928575,10.3271
23.76865,15.65165,10.9517,10.454425
23.872075,15.68135,10.96885,10.533275
23.962725,15.719275,11.019725,10.575125
24.120225,15.753025,11.0619,10.6325
24.18255,15.802675,11.100425,10.6557
24.197075,15.854975,11.1596,10.68755
24.24525,15.877725,11.224325,10.704225
24.2738,15.9128,11.22945,10.7191
24.31485,15.9561,11.2636,10.72725
24.42195,15.996925,11.29585,10.740025
24.46625,16.04155,11.365475,10.745075
24.53925,16.069075,11.390925,10.750575
24.565575,16.09245,11.41035,10.755775
24.69545,16.12705,11.4309,10.76035
24.775975,16.19395,11.454625,10.768325
24.86905,16.214725,11.489025,10.78285
24.925125,16.235225,11.541275,10.78895
24.989275,16.246975,11.570725,10.793275
25.0219,16.26195,11.624925,10.7993
25.158775,16.2806,11.640325,10.8058
25.268375,16.2944,11.66195,10.815325
25.2946,16.308025,11.690575,10.82855
25.319325,16.3179,11.706275,10.8494
25.34475,16.328025,11.72415,10.861275
25.3467,16.3404,11.7303,10.87895
25.4722,16.354475,11.74645,10.93815
25.547625,16.36685,11.768025,10.9783
25.6371,16.376825,11.779275,11.037475
25.6741,16.388025,11.799,11.0643
25.757425,16.40765,11.83525,11.110475
25.82775,16.445775,11.852625,11.1602
25.859,16.474725,11.872275,11.2166
25.877975,16.482075,11.894975,11.29195
25.910975,16.528325,11.906575,11.32695
25.951725,16.5465,11.921925,11.406325
25.994875,16.54935,11.944725,11.4983
26.064175,16.574025,11.966025,11.57615
26.129625,16.65855,11.995375,11.630275
26.1838,16.660775,12.01435,11.659975
26.347125,16.72785,12.0471,11.688625
26.4109,16.739675,12.067875,11.7033
26.453575,16.7489,12.111725,11.714875
26.59205,16.77155,12.138525,11.720525
26.645275,16.8057,12.16135,11.7261
26.695275,16.8496,12.174775,11.7441
26.7008,16.901775,12.195575,11.749375
26.757925,16.969875,12.217625,11.75055
26.84425,17.00645,12.23755,11.758975
26.892675,17.031075,12.269975,11.772525
26.9214,17.0455,12.294275,11.7809
26.96435,17.06185,12.320775,11.792525
26.9945,17.07405,12.35625,11.82515
27.020675,17.0807,12.368875,11.8521
27.06335,17.093875,12.4586,11.87935
27.1486,17.10725,12.548325,11.911125
27.170225,17.13085,12.572375,11.966375
27.230475,17.164,12.57645,11.998875
27.3186,17.194475,12.581025,12.0413
27.350025,17.198025,12.58335,12.092925
27.40245,17.231075,12.59165,12.135625
27.493125,17.23995,12.59535,12.163425
27.55385,17.281225,12.605175,12.2112
27.5918,17.33625,12.6215,12.23565
27.62525,17.356625,12.641375,12.25525
27.66325,17.379975,12.704875,12.305
27.682475,17.405225,12.718975,12.325025
27.6884,17.4179,12.72895,12.433775
27.72085,17.441275,12.741,12.463625
27.74875,17.456525,12.768675,12.4962
27.826825,17.49195,12.800275,12.559375
27.879625,17.5143,12.833825,12.57835
27.9175,17.52215,12.876025,12.5888
27.94255,17.55905,12.967525,12.598025
27.9736,17.591525,13.008275,12.605225
27.989275,17.6036,13.037675,12.608375
27.9984,17.6116,13.06425,12.620975
28.030475,17.63195,13.11115,12.626425
28.04565,17.653475,13.1368,12.63335
28.08685,17.688475,13.1527,12.639725
28.106025,17.714475,13.180225,12.6484
28.161725,17.7416,13.218525,12.65575
28.275975,17.771025,13.2948,12.6623
28.36035,17.7928,13.3209,12.677625
28.389225,17.84935,13.33975,12.68765
28.4633,17.885125,13.35265,12.7162
28.55155,17.90275,13.367475,12.72815
28.567125,17.926575,13.381125,12.748975
28.587075,17.941225,13.416575,12.752125
28.60965,17.973275,13.45085,12.7643
28.62255,17.9977,13.4799,12.779575
28.6448,18.017,13.50735,12.804425
28.648725,18.04065,13.55285,12.81895
28.673225,18.069225,13.57045,12.843
28.69005,18.110775,13.59445,12.8714
28.725375,18.143325,13.622475,12.92405
28.736325,18.177425,13.661575,12.971275
28.745175,18.196225,13.68845,13.002325
28.7619,18.227925,13.72545,13.03915
28.7737,18.244,13.75675,13.093225
28.792625,18.281725,13.77335,13.142925
28.833525,18.30315,13.807025,13.214725
28.90155,18.321975,13.82625,13.2719
28.918025,18.3577,13.8418,13.328175
28.960075,18.37985,13.8546,13.435275
28.98955,18.398025,13.869575,13.4675
29.020825,18.4184,13.883475,13.5133
29.044275,18.4462,13.89615,13.555275
29.087125,18.484625,13.913275,13.587
29.154175,18.511475,13.92975,13.621225
29.196275,18.544675,13.95895,13.648425
29.36945,18.58535,13.98065,13.685875
29.4661,18.631625,14.0005,13.749375
29.494525,18.67975,14.034925,13.774825
29.542825,18.7334,14.13045,13.80185
29.60165,18.7666,14.171375,13.82525
29.63135,18.806575,14.20545,13.8384
29.66075,18.82965,14.2453,13.847625
29.7949,18.844775,14.26055,13.858525
29.816075,18.86855,14.272625,13.867
29.8476,18.9351,14.282575,13.8768
29.938525,18.944975,14.293825,13.88795
30.36225,18.979175,14.308775,13.89885
30.384575,19.028075,14.324475,13.91865
30.437575,19.0551,14.3425,13.932925
30.4604,19.1062,14.355875,13.948075
30.4917,19.113325,14.358625,13.972225
30.6728,19.148475,14.366125,13.997975
30.723275,19.223075,14.375875,14.02965
30.764,19.25885,14.385525,14.051125
30.81095,19.301725,14.41515,14.076375
30.855825,19.3559,14.437025,14.1358
30.865525,19.4214,14.440025,14.201075
30.918,19.45195,14.478775,14.25645
30.976725,19.4792,14.500975,14.299975
30.9825,19.488875,14.517075,14.33995
31.022,19.52705,14.53705,14.376825
31.0524,19.60395,14.560475,14.396225
31.06095,19.628225,14.5954,14.438675
31.07415,19.66295,14.60095,14.4622
31.10565,19.695975,14.628,14.479375
31.17445,19.7438,14.643575,14.4926
31.197675,19.846975,14.659525,14.501775
31.21945,19.87115,14.698825,14.51245
31.24755,19.898775,14.7306,14.55285
31.258425,19.951875,14.7653,14.5825
31.3254,19.997175,14.795575,14.60255
31.347275,20.0418,14.8217,14.61605
31.39765,20.0918,14.884775,14.6396
31.426075,20.11525,14.94295,14.6673
31.4598,20.16825,14.993325,14.685725
31.478275,20.232725,15.057275,14.708175
31.480025,20.255625,15.07465,14.771975
31.522125,20.270775,15.0994,14.81125
31.54935,20.33675,15.161625,14.85065
31.561,20.3729,15.198725,14.885925
31.5735,20.4139,15.2287,14.9169
31.5902,20.431,15.246025,14.950325
31.608025,20.439675,15.26335,14.975975
31.6391,20.570225,15.304375,15.005625
31.742025,20.587275,15.35445,15.0338
31.809375,20.6048,15.399075,15.051375
31.900225,20.630575,15.4523,15.068325
32.0084,20.6582,15.521025,15.09335
32.179025,20.6949,15.541925,15.11205
32.235325,20.72375,15.544275,15.1257
32.2893,20.765225,15.56235,15.161925
32.3013,20.811975,15.590775,15.175325
32.3758,20.848075,15.597775,15.217175
32.4405,20.870125,15.600675,15.245475
32.443575,20.8837,15.60355,15.38025
32.4851,20.953825,15.616325,15.3935
32.57325,21.027575,15.66885,15.426175
32.63855,21.0773,15.680925,15.460075
32.6725,21.115625,15.68865,15.465825
32.794975,21.174125,15.744025,15.492925
32.84755,21.2307,15.790175,15.50555
32.920625,21.29455,15.83405,15.51485
32.979125,21.3344,15.8708,15.5248
33.01175,21.3604,15.902375,15.529875
33.0421,21.396125,15.905075,15.535375
33.095925,21.422,15.931,15.53965
33.16775,21.459275,15.964575,15.54505
33.184775,21.475275,16.01535,15.55
33.1964,21.522375,16.06265,15.554225
33.2086,21.5597,16.11635,15.558475
33.221325,21.601925,16.14795,15.5618
33.312475,21.606525,16.2099,15.56905
33.363375,21.658725,16.241275,15.57565
33.438125,21.6646,16.289075,15.581225
33.5151,21.706,16.3055,15.58785
33.539925,21.738725,16.3841,15.592025
33.54275,21.776575,16.411375,15.59685
33.575775,21.8256,16.441325,15.60475
33.59235,21.887925,16.460825,15.60895
33.638775,21.9251,16.500775,15.613075
33.67915,21.952975,16.51235,15.618975
33.782875,21.9755,16.548075,15.635025
33.796725,22.02095,16.5692,15.648175
33.846325,22.06535,16.61565,15.65555
33.8733,22.0961,16.636525,15.665625
33.906075,22.132325,16.6528,15.6771
33.943975,22.177475,16.71,15.68455
33.970125,22.202175,16.717225,15.70315
34.00915,22.22985,16.7354,15.73055
34.0564,22.266125,16.74625,15.776675
34.073975,22.337675,16.75945,15.801025
34.0988,22.358875,16.77325,15.843675
34.123775,22.394475,16.798,15.9127
34.208,22.440875,16.8075,15.947975
34.272175,22.489775,16.840425,15.9948
34.30015,22.5288,16.856525,16.0343
34.330575,22.5819,16.8935,16.093125
34.354675,22.618325,16.9192,16.114275
34.4384,22.630575,16.94475,16.1555
34.53725,22.6451,16.97245,16.19325
34.826275,22.704475,17.009175,16.247775
34.864525,22.837875,17.04085,16.291125
34.926125,22.903775,17.047225,16.343825
34.967625,22.942625,17.07135,16.39125
34.989875,23.007525,17.0908,16.455625
35.02805,23.122675,17.100925,16.492
35.1885,23.19185,17.1306,16.5492
35.208825,23.224275,17.1599,16.5785
35.260775,23.28535,17.179075,16.610825
