SPK_SPKC01a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10b (NA),SPK_SPKC14a (NA)
10.0017,7.9807,11.009575,86.2384
10.02005,8.02215,11.0256,86.263875
10.035525,8.049725,11.0462,86.29225
10.048225,8.074525,11.0704,86.344875
10.0591,8.102825,11.0908,86.354875
10.07255,8.139175,11.13775,87.383375
10.084575,8.162575,11.149275,87.424
10.096125,8.216925,11.166575,87.901725
10.102025,8.227575,11.182675,88.094375
10.113225,8.25405,11.201,88.281975
10.125625,8.2653,11.222475,88.3716
10.1453,8.27465,11.248925,88.411
10.15465,8.27675,11.2748,88.53495
10.172025,8.305675,11.294725,88.625975
10.182125,8.317975,11.320325,88.778625
10.1877,8.348475,11.418775,88.8557
10.20305,8.373275,11.457025,89.019225
10.21365,8.3914,11.5209,89.10015
10.231075,8.4279,11.554175,89.18075
10.27605,8.492625,11.6208,89.328575
10.3043,8.5164,11.677225,89.63665
10.32735,8.561675,11.682575,89.93805
10.351225,8.582625,11.717875,89.9795
10.375275,8.60275,11.72435,90.217575
10.4167,8.6461,11.739675,90.6612
10.43075,8.675325,11.771475,90.8449
10.447175,8.700425,11.8088,91.077875
10.466725,8.73845,11.834225,91.19765
10.486575,8.778275,11.859575,91.47835
10.503575,8.8354,11.8894,91.509125
10.5223,8.9055,11.93275,91.552325
10.540875,8.93725,11.9364,91.5776
10.559975,8.9764,11.99805,91.63435
10.602175,9.0024,12.018375,91.65505
10.619675,9.0323,12.0516,91.68995
10.64395,9.095875,12.110375,91.800375
10.651225,9.101025,12.2459,91.934975
10.65835,9.1123,12.279575,91.9527
10.6801,9.137725,12.3101,92.109425
10.73175,9.17185,12.33605,92.17415
10.747375,9.2092,12.35855,92.183025
10.7664,9.362475,12.40985,92.327425
10.7887,9.385,12.46085,92.4603
10.8069,9.41415,12.4773,92.5623
10.826275,9.4568,12.535175,92.93365
10.8494,9.46905,12.611325,93.4039
10.869175,9.487825,12.64435,93.476475
10.8906,9.50065,12.680875,93.51785
10.905725,9.509025,12.6993,93.695425
10.9248,9.51815,12.72725,93.757075
10.9442,9.532575,12.81275,93.779025
10.982275,9.54375,12.8889,93.7952
10.993025,9.55345,12.935625,94.084925
11.005025,9.56485,12.976025,94.30375
11.022775,9.58925,13.0245,94.3464
11.036475,9.602325,13.0589,94.471275
11.057125,9.609275,13.1303,94.6432
11.07055,9.617825,13.160625,94.7557
11.090175,9.62505,13.188575,94.8073
11.109675,9.6453,13.235025,95.1647
11.1516,9.65135,13.2527,95.516925
11.168575,9.66575,13.2756,95.589125
11.182375,9.6738,13.2919,95.899125
11.200575,9.683475,13.307875,96.0307
11.2113,9.690175,13.330225,96.094175
11.24145,9.69625,13.37155,96.128
11.249325,9.7379,13.4086,96.1813
11.259825,9.75215,13.4485,96.24155
11.267875,9.773675,13.484525,96.387575
11.28865,9.780625,13.491275,96.4129
11.305025,9.796825,13.5068,96.529725
11.317,9.81805,13.535075,96.582525
11.336575,9.825275,13.56215,96.607
11.348175,9.839,13.574075,96.985525
11.371975,9.8562,13.6029,97.0523
11.386675,9.866075,13.6201,97.35015
11.421275,9.8744,13.65825,98.373575
11.4405,9.902625,13.682325,98.3957
11.45485,9.9187,13.7187,98.4914
11.47105,9.9244,13.746175,98.541125
11.49055,9.9383,13.7851,98.667625
11.51035,9.95875,13.81235,98.87065
11.52785,9.970825,13.849875,99.0479
11.549475,9.980175,13.896925,99.23405
11.569,10.031975,13.95085,99.292375
11.590725,10.0423,13.99675,99.30515
11.623025,10.0504,14.035175,99.599175
11.636525,10.069075,14.0685,99.702125
11.6493,10.09215,14.08885,99.757875
11.662175,10.1057,14.094575,99.803225
11.67405,10.12765,14.130675,99.89155
11.692775,10.136575,14.172025,99.9121
11.7078,10.140375,14.2256,100.0632
11.735275,10.1499,14.2544,100.21715
11.739625,10.15905,14.27595,100.325925
11.765175,10.169375,14.30095,100.858525
11.782375,10.174375,14.332625,101.6395
11.809675,10.1953,14.3437,101.67485
11.821675,10.205025,14.3645,102.058625
11.83465,10.21675,14.393975,102.261975
11.84525,10.22575,14.42235,102.3693
11.8561,10.24065,14.45905,102.474775
11.87515,10.2459,14.537325,102.526975
11.88495,10.263775,14.57855,102.785725
11.893575,10.278375,14.608675,102.818675
11.9013,10.287875,14.64025,102.83855
11.926325,10.29855,14.655275,103.39815
11.940025,10.31105,14.665275,103.554825
11.95435,10.31555,14.688575,103.6762
11.96725,10.323625,14.7087,103.731025
11.9811,10.334975,14.7293,103.745175
11.994675,10.343875,14.75165,104.2535
12.007425,10.365275,14.807675,104.3411
12.0252,10.378975,14.83165,104.470675
12.033875,10.389175,14.855825,105.074375
12.04075,10.438,14.895675,105.300275
12.099875,10.4576,14.9262,105.339825
12.109675,10.49615,14.94825,105.35675
12.1226,10.50545,14.9651,105.716825
12.1534,10.519175,14.98805,105.78365
12.170275,10.524975,15.011125,105.817925
12.182975,10.53275,15.027575,106.4636
12.201925,10.546525,15.057825,106.5261
12.23145,10.562125,15.0804,106.5931
12.24105,10.57505,15.1125,106.684075
12.262875,10.590475,15.145225,106.75865
12.272925,10.598975,15.171525,106.851775
12.29095,10.61455,15.187375,106.916425
12.299275,10.6296,15.219325,106.9623
12.30825,10.652675,15.264125,107.116925
12.328275,10.686975,15.333875,107.18095
12.3386,10.7062,15.431025,107.190475
12.34775,10.712725,15.4646,107.495325
12.360675,10.721075,15.56435,107.53445
12.38455,10.7273,15.595,107.7244
12.4094,10.735825,15.63895,107.7971
12.428275,10.744875,15.66965,107.8698
12.455225,10.753675,15.67705,108.00975
12.4663,10.762625,15.69775,108.136
12.47465,10.80225,15.80495,108.25575
12.48855,10.817275,15.853525,108.276825
12.5107,10.824,15.889675,108.3457
12.5253,10.83285,15.9742,108.47945
12.536075,10.84425,15.97655,108.49675
12.560625,10.869075,16.029,108.607525
12.5799,10.880875,16.05725,108.7497
12.5894,10.900425,16.0777,108.784325
12.621275,10.90735,16.130825,108.880375
12.637675,10.920975,16.187425,108.95875
12.65585,10.9272,16.234625,108.97165
12.671975,10.940725,16.273975,109.0259
12.698475,10.94435,16.2824,109.2003
12.712375,10.971175,16.28905,109.210425
12.715925,10.98995,16.29895,109.2925
12.72805,11.00055,16.33855,109.340225
12.751325,11.0391,16.359325,109.461675
12.7802,11.068775,16.363925,109.5349
12.822125,11.092075,16.374875,109.5551
12.83365,11.10865,16.39535,109.637225
12.848575,11.122,16.409525,109.689225
12.87555,11.13635,16.41475,109.818725
12.8913,11.145525,16.4273,109.86655
12.9058,11.157375,16.433325,109.97735
12.92245,11.17485,16.51315,109.987025
12.95215,11.2043,16.533125,110.0197
12.96835,11.238075,16.561,110.0319
13.033775,11.282575,16.584875,110.12805
13.04265,11.3271,16.614375,110.78395
13.0537,11.34525,16.63545,111.02705
13.0884,11.353275,16.6471,111.05195
13.1009,11.378775,16.657575,111.148075
13.13465,11.39045,16.6866,111.3387
13.15495,11.4126,16.701825,111.37955
13.170975,11.421925,16.724375,111.6551
13.184475,11.448625,16.7335,111.8324
13.19995,11.4635,16.74055,111.86085
13.21645,11.492425,16.754825,112.1984
13.233175,11.503275,16.77135,112.447325
13.2598,11.515125,16.784975,112.497325
13.279075,11.5423,16.812925,112.6707
13.300725,11.5594,16.8322,112.869175
13.32065,11.579725,16.84855,112.90935
13.338475,11.59575,16.873025,113.121125
13.35095,11.602025,16.892325,113.176
13.3677,11.624425,16.899575,113.362425
13.407475,11.638875,16.9197,113.44585
13.42445,11.66665,16.935025,113.501625
13.437425,11.6801,16.948475,113.5132
13.4547,11.692075,16.9604,113.638675
13.467625,11.712175,16.988925,114.009675
13.5193,11.758825,17.0206,114.047625
13.5359,11.78115,17.05215,114.06265
13.5514,11.8048,17.073525,114.17245
13.568525,11.8169,17.1131,114.200475
13.605575,11.83545,17.140025,114.27505
13.6215,11.8694,17.1668,114.296975
13.63525,11.916725,17.209725,114.3541
13.65185,11.9632,17.22975,114.6319
13.6638,11.9814,17.258325,114.712725
13.675,12.03265,17.29035,114.823425
13.6821,12.06785,17.3111,115.0643
13.6925,12.089475,17.34165,115.080725
13.721,12.10775,17.36055,115.175625
13.73315,12.117325,17.3916,115.196625
13.745825,12.1361,17.4225,115.3194
13.7604,12.144975,17.4562,115.354825
13.772075,12.15095,17.479975,115.429875
13.7867,12.1601,17.503775,115.4469
13.797425,12.1734,17.540275,115.7929
13.82945,12.1808,17.569675,115.842425
13.84605,12.20035,17.601175,115.858575
13.901625,12.22585,17.612525,115.89205
13.918175,12.23815,17.628625,116.002525
13.943275,12.25085,17.6544,116.0342
13.957025,12.270325,17.673275,116.214725
13.98075,12.29015,17.709325,116.3952
14.008025,12.307025,17.726425,116.4179
14.038375,12.323125,17.735575,116.52685
14.063175,12.3399,17.7886,116.61005
14.06615,12.36745,17.846925,116.783975
14.089725,12.3881,17.878775,116.8343
14.11485,12.4009,17.934275,116.955975
14.1362,12.414375,17.98615,117.034025
14.157475,12.436125,18.02845,117.056325
14.178375,12.471625,18.05905,117.0942
14.19655,12.5189,18.082025,117.116425
14.21655,12.54985,18.12345,117.19055
14.237175,12.573425,18.1655,117.21705
14.264325,12.62475,18.198175,117.2599
14.282025,12.659975,18.25345,117.29065
14.37995,12.7083,18.2936,117.33265
14.403,12.729375,18.32455,117.412925
14.419475,12.74785,18.354,117.452
14.4504,12.7726,18.384775,117.62765
14.4741,12.787175,18.43195,118.006225
14.483125,12.8193,18.4713,118.0829
14.501775,12.8584,18.50595,118.16045
14.554175,12.8816,18.545375,118.268925
14.574775,12.91085,18.5937,118.29315
14.59735,12.9465,18.62005,118.344375
14.61855,13.006475,18.65895,118.377575
14.6412,13.047,18.67685,118.388925
14.695975,13.08395,18.6911,118.5393
14.7132,13.090325,18.703675,118.5562
14.736075,13.115225,18.730425,118.567475
14.758425,13.137625,18.769175,118.7659
14.78605,13.169525,18.813525,118.83525
14.81315,13.184825,18.902475,118.9933
14.8317,13.2123,18.962575,119.22665
14.8534,13.241125,18.9929,119.358775
14.871775,13.26705,19.027075,119.643425
14.89395,13.2948,19.056575,119.80595
14.90215,13.313975,19.071525,119.9483
14.9166,13.36245,19.0914,120.145575
14.934525,13.39305,19.128375,120.227475
14.96325,13.4226,19.2021,120.4267
14.986125,13.425825,19.241525,120.7782
15.0096,13.44105,19.2606,121.009875
15.05,13.471475,19.28635,121.240275
15.05845,13.513975,19.321075,121.2796
15.083425,13.53835,19.366725,121.37835
15.106925,13.582825,19.412325,121.4775
15.12465,13.67445,19.43825,121.571375
15.147625,13.72445,19.451875,121.655825
15.1658,13.759075,19.46835,121.769425
15.183225,13.804325,19.51415,121.890125
15.206825,13.84115,19.552075,121.92495
15.23975,13.86965,19.55445,121.990525
15.259475,13.892725,19.59315,122.005225
15.280825,13.9117,19.619775,122.028725
15.33915,13.936275,19.629975,122.1276
15.360575,13.94465,19.654075,122.1495
15.39295,13.961825,19.679325,122.170175
15.4188,13.972175,19.70515,122.332425
15.4558,13.989625,19.7576,122.4494
15.481625,14.0046,19.8175,122.50285
15.501675,14.023825,19.843175,122.66185
15.524,14.0331,19.86495,122.67815
15.54275,14.0835,19.889225,122.770375
15.564925,14.1004,19.9204,122.7817
15.59155,14.114525,19.956525,122.84705
15.619925,14.12365,19.999675,123.04505
15.65005,14.1269,20.03945,123.094475
15.676275,14.13785,20.0781,123.146575
15.69745,14.149425,20.098375,123.158525
15.71545,14.1585,20.14725,123.166975
15.734375,14.1672,20.1685,123.175
15.77395,14.187425,20.1987,123.378875
15.799525,14.19455,20.21715,123.437575
15.823775,14.20485,20.2523,123.5977
15.850625,14.214325,20.2781,123.61605
15.897525,14.2241,20.309525,123.773325
15.9228,14.23425,20.3401,123.880325
15.97915,14.240575,20.40975,123.983625
16.00295,14.251675,20.432425,124.030475
16.022875,14.2624,20.470025,124.066175
16.0385,14.2697,20.493325,124.10325
16.0628,14.280875,20.52545,124.42715
16.082375,14.3141,20.551575,124.729525
16.099825,14.330575,20.57765,124.857675
16.132725,14.352725,20.6192,124.952675
16.181525,14.3611,20.6436,125.008275
16.21545,14.37505,20.657975,125.117425
