SPK_SPKC01a (no clear),SPK_SPKC02b (exc),SPK_SPKC07a (exc),SPK_SPKC09c (inhi),SPK_SPKC12b (exc),SPK_SPKC14a (exc),SPK_SPKC15a (inhi/exc),SPK_SPKC16a (inhi/exc?)
354.7327,366.490875,362.031875,353.4666,363.87235,354.506,361.3835,363.755175
354.7729,366.623775,362.0633,353.486925,363.92,354.525875,361.4826,363.776425
354.84265,366.68285,362.09095,353.51795,364.094125,354.560425,361.559325,363.8004
354.863825,366.939075,362.1144,353.5659,364.299925,354.603925,361.621,363.82555
354.877725,367.1635,362.149025,353.591975,364.427075,354.62895,361.694725,363.85085
354.951375,367.641875,362.213025,353.613625,364.4791,354.65405,361.757,363.9329
354.986,368.006175,362.248875,353.61635,364.585925,354.704675,361.83165,364.042675
355.00755,368.104875,362.2568,353.6358,364.673325,354.724275,361.8914,364.09185
355.03165,368.17305,362.323625,353.669275,364.722025,354.739975,361.963925,364.226425
355.062275,368.2384,362.632925,353.703625,364.828175,354.750925,362.105125,364.249975
355.0838,368.7008,362.8177,353.72675,364.86585,354.771125,362.176,364.34625
355.093625,368.949875,362.865625,353.748375,365.381,354.816425,362.25015,364.505175
355.137075,369.07675,362.8915,353.7863,365.42315,354.84475,362.3231,364.546725
355.163575,369.226675,362.903725,353.812025,365.640275,354.87375,362.39255,364.553375
355.166675,369.30645,362.9553,353.833075,365.774575,354.9107,362.4576,364.634175
355.186275,369.5731,362.973025,353.8611,365.782175,354.943175,362.531425,364.692275
355.195375,369.656925,363.145925,353.88405,365.828575,355.0039,362.60425,364.77265
355.226725,369.6852,363.271475,353.911225,365.908925,355.098475,362.673825,364.831925
355.2668,369.724825,363.697,353.935525,365.94545,355.1188,362.74815,364.869
355.31775,369.80465,363.7049,353.95785,366.0045,355.139925,362.829925,365.130525
355.37045,369.84675,363.7364,353.98635,366.033,355.170425,362.89655,365.19835
355.42525,369.866875,363.740725,354.0178,366.14385,355.181125,362.96475,365.25535
355.463975,369.87655,363.771675,354.0224,366.199575,355.236275,363.032075,365.4736
355.500975,369.879575,363.775425,354.035475,366.3901,355.274975,363.09495,365.509025
355.53935,369.9116,363.829425,354.053375,366.561875,355.2951,363.1764,365.61325
355.5493,369.941525,363.864875,354.097775,366.6756,355.32595,363.242825,365.817275
355.587875,370.03625,363.905775,354.115825,366.8395,355.418825,363.310175,366.0319
355.64615,370.8706,363.90945,354.141325,367.0083,355.424675,363.39275,366.061675
355.702225,370.974,364.11865,354.153175,367.3706,355.44075,363.515025,366.307525
355.78085,371.127425,364.129175,354.164925,367.4187,355.475075,363.57355,366.33815
355.8504,371.14535,364.209175,354.2016,367.534425,355.492075,363.638675,366.444075
355.906125,371.1894,364.232625,354.21615,367.70835,355.5037,363.702875,366.46845
355.9766,371.225125,364.3258,354.2274,367.728825,355.5258,363.736375,366.558325
356.030725,371.29495,364.5094,354.234125,367.772275,355.5649,363.841925,366.597375
356.07195,371.381075,364.56255,354.250775,367.799975,355.5967,363.917925,366.60335
356.09545,371.571975,364.606675,354.313525,368.0688,355.6247,364.05055,366.6908
356.132675,371.811775,364.62215,354.33465,368.10375,355.67685,364.184825,366.69625
356.16465,371.846525,364.64755,354.344775,368.114525,355.725575,364.336925,366.71245
356.22115,371.86575,364.717575,354.3684,368.22465,355.748275,364.40735,366.944525
356.29775,371.94055,364.911925,354.37925,368.341225,355.766275,364.4817,367.035175
356.373375,372.13805,364.941725,354.3845,368.3818,355.827575,364.62585,367.08605
356.4076,372.8217,365.28805,354.39945,368.432675,355.93465,364.6919,367.126125
356.505175,373.275325,365.3064,354.4175,368.670825,355.977775,364.753525,367.2015
356.55065,373.41065,365.450125,354.4385,368.695725,356.02875,364.816175,367.3177
356.572625,373.487575,365.5714,354.4545,368.8376,356.10505,364.8728,367.332575
356.58005,373.54985,365.862,354.48085,368.913425,356.132525,364.928325,367.724275
356.631625,373.5885,366.2087,354.5012,368.987275,356.168675,365.00625,367.787925
356.664975,373.7545,366.33885,354.5393,369.071225,356.194725,365.073025,368.038725
356.69795,373.771325,366.3656,354.5638,369.13945,356.2208,365.13695,368.067275
356.731275,373.97665,366.482125,354.596375,369.1591,356.2428,365.20065,368.098775
356.7806,374.0582,366.5127,354.6355,369.334875,356.269325,365.2673,368.138725
356.81235,374.1978,366.55995,354.726575,369.368675,356.3219,365.3338,368.427475
356.8509,374.279125,366.634325,354.753725,369.41775,356.360475,365.392675,368.471975
356.8779,374.31305,366.8957,354.771375,369.43505,356.415975,365.537325,368.48885
356.941175,374.333875,366.916575,354.801425,369.477425,356.4305,365.683425,368.61995
356.972,374.457075,367.223375,354.822675,369.536975,356.45595,365.75395,368.751425
