SPK_SPKC02a (inhibited),SPK_SPKC04a (inhibited)
39.328975,22.9379
39.36005,22.95785
39.384175,22.97645
39.458625,23.0032
39.513225,23.0101
39.551875,23.025725
39.5793,23.04025
39.6113,23.06345
39.71425,23.086375
39.765625,23.1135
39.808025,23.139475
39.90195,23.156425
39.936775,23.1753
39.9652,23.19495
40.0323,23.211225
40.10015,23.231325
40.130475,23.2472
40.166325,23.2625
40.198375,23.337325
40.2159,23.3562
40.223875,23.36835
40.247325,23.380225
40.275,23.422375
40.289725,23.447925
40.303725,23.476475
40.361575,23.494125
40.396,23.50035
40.4197,23.520325
40.477175,23.552225
40.49845,23.587625
40.5299,23.605225
40.569825,23.644775
40.58795,23.702275
40.638525,23.719825
40.661725,23.7438
40.688275,23.7915
40.71245,23.833425
40.756575,23.856825
40.79215,23.868275
40.82765,23.925625
40.851375,23.9576
40.8831,23.989075
40.914625,24.0099
40.950775,24.056675
40.954875,24.067425
40.981025,24.108325
41.0033,24.14245
41.043975,24.1766
41.0681,24.206075
41.108025,24.222425
41.164625,24.23605
41.1773,24.2428
41.19715,24.25645
41.225,24.27035
41.24865,24.2869
41.2785,24.30745
41.3167,24.32725
41.3396,24.387675
41.357975,24.466975
41.377325,24.483175
41.420625,24.491475
41.45055,24.4967
41.489525,24.545325
41.5094,24.567925
41.532875,24.591875
41.548625,24.641675
41.5737,24.660575
41.5889,24.66635
41.590575,24.67345
41.62495,24.68485
41.646625,24.704
41.654775,24.716775
41.698375,24.728775
41.7638,24.73865
41.776325,24.74845
41.815125,24.7904
41.837075,24.808975
41.88515,24.902525
41.913325,24.917675
41.953675,24.937925
41.96985,24.9518
41.987325,24.96145
42.018325,24.972875
42.037125,24.983975
42.08715,24.997025
42.098775,25.121875
42.22275,25.138075
42.246425,25.150325
42.2644,25.160575
42.28595,25.17215
42.30005,25.17755
42.33325,25.183325
42.378525,25.20025
42.439175,25.20765
42.479475,25.250325
42.490275,25.270025
42.5137,25.28325
42.58055,25.30575
42.597375,25.32265
42.622075,25.34395
42.63795,25.36275
42.65275,25.3831
42.667625,25.4014
42.692725,25.415875
42.732925,25.43235
42.743275,25.445
42.7784,25.467325
42.83885,25.516125
42.87065,25.534225
42.918525,25.55315
42.9276,25.568425
42.96665,25.619675
42.980125,25.626525
43.00695,25.65
43.071775,25.683425
43.12595,25.7417
43.154925,25.77185
43.178675,25.798275
43.2017,25.818725
43.22125,25.820675
43.234375,25.8555
43.27445,25.915825
43.337125,25.94355
43.340275,25.96185
43.3618,25.98445
43.409225,26.0356
43.4228,26.071175
43.438075,26.088925
43.5195,26.114275
43.561725,26.14345
43.606725,26.179725
43.624025,26.1908
43.6537,26.2102
43.665575,26.238825
43.7302,26.2513
43.80915,26.28645
43.81765,26.305925
43.8449,26.430275
43.85925,26.45955
43.934825,26.479975
43.952175,26.4906
43.99845,26.51385
44.00505,26.534625
44.040775,26.5662
44.1009,26.596425
44.1494,26.67035
44.177925,26.716975
44.218275,26.73605
44.240525,26.758675
44.2797,26.781525
44.30665,26.810475
44.3392,26.8314
44.367225,26.8547
44.476425,26.886525
44.505075,26.898975
44.52295,26.9087
44.55255,26.930475
44.576875,26.953525
44.6132,26.967775
44.6463,26.978625
44.650425,26.995225
44.6579,27.018575
44.6838,27.030425
44.72355,27.047975
44.752975,27.08345
44.7583,27.09675
44.7878,27.12935
44.80725,27.14625
44.83755,27.185975
44.86225,27.2041
44.8795,27.2229
44.904575,27.229425
44.9383,27.2508
44.956925,27.287075
44.994475,27.30465
45.01565,27.32465
45.0613,27.3453
45.079575,27.361525
45.09665,27.384025
45.11225,27.4019
45.12845,27.425525
45.1549,27.438675
45.20045,27.55425
45.225875,27.59245
45.248175,27.68555
45.265175,27.716175
45.28875,27.73875
45.29155,27.7652
45.298325,27.7879
45.30615,27.933625
45.341425,28.0369
45.380725,28.058925
45.40475,28.071
45.4251,28.0877
45.457325,28.117375
45.478025,28.145725
45.48245,28.166125
45.511475,28.1954
45.531925,28.2237
45.54855,28.265975
45.588375,28.292875
45.6146,28.29455
45.63385,28.342425
45.71105,28.3716
45.7451,28.4155
45.76935,28.44025
45.79405,28.469075
45.84925,28.50335
45.868225,28.522325
45.91505,28.5265
45.94695,28.568475
45.98005,28.602375
46.076,28.638
46.1084,28.6732
46.12405,28.6979
46.1297,28.75525
46.165525,28.796375
46.2196,28.8416
46.23395,28.865425
46.23905,28.922925
46.278225,28.947025
46.3108,28.974
46.3341,28.99835
46.411425,29.010625
46.41805,29.030225
46.486225,29.057275
46.517875,29.130025
46.53505,29.165525
46.568125,29.18775
46.627975,29.202
46.680475,29.2231
46.697675,29.250025
46.721925,29.270625
46.737925,29.2873
46.770025,29.31715
46.8221,29.344925
46.87695,29.363625
46.93035,29.3656
46.94845,29.4071
46.992825,29.446325
47.01485,29.5073
47.0679,29.529425
47.0986,29.55015
47.1485,29.592
47.18915,29.610625
47.224725,29.63085
47.26735,29.65025
47.289,29.6735
47.341225,29.7114
47.35125,29.732675
47.366675,29.784075
47.382775,29.7986
47.38895,29.8237
47.4986,29.853825
47.51215,29.878575
47.529525,29.89555
47.555875,29.90275
47.5992,29.91985
47.6184,29.924725
47.622275,29.959175
47.64145,29.98025
47.662075,30.004875
47.681625,30.0245
47.713325,30.05395
47.74385,30.082875
47.769175,30.10425
47.798075,30.15345
47.816825,30.175425
47.8375,30.2029
47.88245,30.228975
47.88925,30.282875
47.967825,30.298575
47.99215,30.33155
48.046675,30.360375
48.068625,30.38225
48.1045,30.403625
48.126425,30.448025
48.21365,30.50185
48.230825,30.524275
48.248875,30.539775
48.27165,30.556025
48.30825,30.557075
48.32705,30.5755
48.346425,30.592575
48.39095,30.605725
48.41815,30.6168
48.434125,30.622325
48.462925,30.64865
48.4783,30.655175
48.5139,30.670775
48.5333,30.690425
48.546825,30.723525
48.554425,30.732375
48.623725,30.749225
48.626275,30.774125
48.647625,30.796375
48.683525,30.837775
48.694975,30.856875
48.719175,30.875975
48.739075,30.891825
48.751725,30.901575
48.768625,30.917675
48.77385,30.937775
48.7974,30.959925
48.8398,30.993725
48.927925,31.0127
48.9474,31.02545
48.966425,31.049675
48.977125,31.071275
49.077475,31.0949
49.154575,31.113675
49.1787,31.18445
49.203975,31.205775
49.236825,31.22
49.3068,31.223775
49.31105,31.27035
49.341475,31.28345
49.361825,31.302975
49.38845,31.34075
49.4734,31.3658
49.50455,31.381325
49.520425,31.407
49.572225,31.428525
49.587675,31.45305
49.6344,31.463675
49.660125,31.496975
49.67675,31.5173
49.7377,31.546375
49.766175,31.569825
49.79235,31.5849
49.82045,31.595175
49.8396,31.616675
49.85065,31.643275
49.881725,31.666075
49.92265,31.69245
49.944725,31.708425
49.97255,31.736225
50.024725,31.752125
50.040025,31.768325
50.05775,31.782025
50.0888,31.80345
50.130025,31.8178
50.1773,31.839975
50.203575,31.87895
50.236625,31.9085
50.263775,31.923175
50.301075,31.952225
50.325425,31.9836
50.3555,31.998675
50.38335,32.01345
50.40705,32.050475
50.4386,32.06795
50.455625,32.080825
50.491975,32.125425
50.53715,32.18645
50.557675,32.2149
50.5762,32.246025
50.6548,32.29055
50.678875,32.32045
50.71445,32.3362
50.717275,32.350275
50.73265,32.368425
50.763725,32.39535
50.789425,32.4266
50.79225,32.4466
50.805225,32.471375
50.813975,32.49765
50.832225,32.502075
50.8594,32.523125
50.89705,32.543
50.9061,32.641
50.939175,32.6694
50.946325,32.69155
50.959325,32.705675
50.975825,32.731675
50.989,32.752325
51.029375,32.77355
51.046825,32.7952
51.09215,32.818875
51.12615,32.850075
51.144575,32.893025
51.216575,33.025075
51.2235,33.0434
51.255375,33.0592
51.323925,33.07525
51.3732,33.109075
51.427075,33.14995
51.450425,33.1859
51.474675,33.2401
51.539475,33.273025
51.55715,33.319775
51.564525,33.35165
51.586125,33.40045
51.61265,33.411675
51.649925,33.42515
51.66945,33.43515
51.69785,33.453625
51.74225,33.48585
51.8105,33.5141
51.860475,33.530425
51.87695,33.558675
51.890925,33.586475
51.9056,33.6115
51.950825,33.653625
51.9669,33.70185
52.0417,33.7295
52.065875,33.752875
52.153975,33.78125
52.1787,33.815025
52.18365,33.8508
52.23255,33.884575
52.259275,33.917025
52.278125,33.9215
52.298525,33.972975
52.32515,34.0017
52.353825,34.0462
52.391725,34.07715
52.416,34.093325
52.4389,34.1105
52.45575,34.123525
52.489525,34.1438
52.542975,34.155175
52.55845,34.1671
52.57645,34.180225
52.603075,34.206325
52.625875,34.2413
52.6553,34.267675
52.675825,34.31865
52.7078,34.346025
52.737775,34.366725
52.762575,34.3795
52.7989,34.3924
52.8156,34.422575
52.822625,34.440075
52.84145,34.4741
52.8702,34.4891
52.889975,34.5071
52.9157,34.52985
53.008675,34.55785
53.043175,34.571475
53.08575,34.643875
53.1261,34.6886
53.17135,34.715325
53.187775,34.754125
53.243375,34.774175
53.262525,34.81445
53.3036,34.856025
53.35135,34.859025
53.377,34.8746
53.388475,34.895475
53.42005,34.93745
53.439525,34.957525
53.453925,34.99825
53.4879,35.1098
53.498225,35.18075
53.51285,35.2109
53.534075,35.2248
53.5593,35.254975
53.574675,35.30125
53.577475,35.324625
53.604725,35.3737
53.67,35.39325
53.706775,35.426275
53.726425,35.43415
53.737225,35.445625
53.768,35.463975
53.78465,35.484125
53.80875,35.5017
53.82975,35.529775
53.8875,35.55705
53.9492,35.575175
54.002725,35.634175
54.035475,35.653775
54.054225,35.670925
54.0899,35.718875
54.13315,35.761525
54.143725,35.7777
54.181825,35.8017
54.241475,35.822675
54.2467,35.8485
54.26915,35.87495
54.2984,35.888075
54.3658,35.91135
54.41095,35.9528
54.47045,35.971725
54.49965,35.979625
54.5281,36.051775
54.5499,36.097025
54.57645,36.1475
54.58635,36.173675
54.617175,36.18935
54.6314,36.21255
54.6452,36.2398
54.66135,36.2597
54.6961,36.295925
54.706425,36.34165
54.7299,36.382775
54.76425,36.398425
54.777725,36.422525
54.79945,36.478475
54.80205,36.4823
54.820825,36.489975
54.838125,36.503825
54.8867,36.53295
54.91835,36.560425
54.93825,36.580825
54.9581,36.602925
54.977775,36.61965
54.992,36.6725
55.002,36.7008
55.045975,36.723775
55.06975,36.740875
55.0941,36.76375
55.14745,36.788225
55.1692,36.803875
55.182275,36.821675
55.229875,36.84825
55.257225,36.866125
55.2852,36.895
55.317175,36.90045
55.3293,36.9192
55.334825,36.926275
55.3753,36.940675
55.390725,36.94835
55.435325,36.956875
55.477125,36.9789
55.51355,36.99035
55.538575,37.00955
55.6123,37.026525
55.681325,37.0379
55.706925,37.046125
55.722,37.06495
55.736075,37.07965
55.764225,37.09505
55.86895,37.1479
55.879275,37.158325
