SPK_SPKC08a (no response),SPK_SPKC09a (no response)
230.131025,247.5186
230.1715,247.520725
230.24745,247.605425
230.271375,247.66505
230.303875,247.6733
230.319275,247.717825
230.35655,247.865
230.39135,247.908425
230.412275,247.964275
230.483475,248.121825
230.5232,248.2885
230.551125,248.5121
230.575775,248.61145
230.615575,248.6257
230.66165,248.73475
230.69425,248.894025
230.74525,248.92055
230.75165,248.926025
230.7567,248.9515
230.75875,248.9775
230.7703,248.986125
230.78735,249.022325
230.840475,249.105475
230.8542,249.153375
230.875925,249.636225
230.957275,249.68835
230.992625,249.713925
231.046925,249.73815
231.111575,249.877275
231.126775,249.992425
231.161925,249.996425
231.18665,250.010325
231.20725,250.063475
231.22755,250.077725
231.27145,250.105875
231.3024,250.117125
231.3133,250.1436
231.322625,250.15695
231.337,250.2622
231.35315,250.4462
231.373825,250.48675
231.424675,250.542725
231.4322,250.556325
231.485275,250.677875
231.540025,250.798475
231.580825,250.8179
231.596775,250.82935
231.602525,250.89915
231.609925,250.970375
231.6223,250.9848
231.740925,251.090525
231.774,251.122075
231.82225,251.13265
231.896975,251.399925
231.9628,251.459675
231.970975,251.474175
232.000325,251.70545
232.01605,251.793925
232.037975,251.842825
232.092375,251.9464
232.132475,251.961425
232.154125,251.97925
232.2023,252.01445
232.24565,252.083125
232.27765,252.2005
232.3636,252.595225
232.43895,252.615825
232.4427,252.68895
232.48565,252.742725
232.53855,252.7858
232.6182,252.794625
232.7115,252.8191
232.727125,252.842775
232.7698,252.8531
232.7766,252.893175
232.7833,252.909875
232.7859,252.945325
232.7912,252.9524
232.8008,252.965775
232.806875,253.2217
232.850525,253.388475
232.940325,253.407275
232.98425,253.4283
233.0612,253.512025
233.0741,253.52945
233.079525,253.5531
233.108825,253.87135
233.194075,254.0271
233.207225,254.073775
233.2956,254.195775
233.308525,254.294875
233.3108,254.30845
233.437575,254.3538
233.5056,254.373
233.5609,254.392475
233.5939,254.406775
233.59985,254.455975
233.60665,254.518825
233.627075,254.5782
233.632925,254.629925
233.69835,254.670225
233.7133,254.762475
233.791075,254.905725
233.883825,254.9585
233.989175,254.991025
234.03245,255.0077
234.08465,255.020475
234.1273,255.0536
234.16705,255.20155
234.219475,255.249625
234.2422,255.2725
234.281475,255.2978
234.31715,255.3228
234.325675,255.3641
234.349975,255.367825
234.433975,255.4616
234.489025,255.49085
234.600925,255.558025
234.630075,255.622175
