SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC04c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC12c
203.339825,216.83065,205.90465,215.99445,212.3221,212.964225,205.409075
203.35795,216.907025,205.938775,216.061875,212.373475,213.1362,205.45755
203.370225,217.1766,205.95945,216.107975,212.541075,213.2053,205.481575
203.3977,217.29345,206.00735,216.110675,212.56855,213.23785,205.511125
203.433875,217.386175,206.03065,216.252625,212.585975,213.29075,205.5401
203.4434,217.481775,206.0533,216.41855,212.6499,213.32185,205.564475
203.45725,217.676675,206.0886,216.483175,212.8662,213.370125,205.591525
203.4871,217.736575,206.128875,216.539825,212.88625,213.531475,205.65045
203.5081,217.895125,206.16045,216.7369,212.905675,213.56655,205.692025
203.5344,218.84055,206.1925,216.8388,212.90865,213.62895,205.725225
203.568325,219.213325,206.21255,216.884775,212.997075,213.65895,205.7572
203.583225,219.98965,206.261875,216.935075,213.189875,213.7067,205.7942
203.607625,219.996925,206.305,217.0631,213.196375,213.767375,205.815875
203.6138,220.156875,206.378425,217.18235,213.239375,213.817825,205.844675
203.643025,220.199775,206.38295,217.342075,213.26835,213.949225,205.87445
203.646875,220.237,206.400325,217.3804,213.275975,213.978025,205.89415
203.6637,220.420075,206.429625,217.4562,213.30215,214.0394,205.92155
203.685275,220.459525,206.4813,217.68135,213.3712,214.06,205.9513
203.698175,220.5146,206.50395,217.7058,213.674825,214.115725,205.970925
203.7133,220.7066,206.525475,217.7531,213.698,214.160775,205.992775
203.7356,220.73225,206.5627,217.805175,213.705475,214.316275,206.042975
203.7456,220.803825,206.57305,217.8563,213.796975,214.383675,206.06945
203.7797,220.949425,206.596675,217.906275,213.817875,214.418025,206.0952
203.792075,220.990375,206.607,218.30495,213.927475,214.5261,206.112425
203.8078,221.0407,206.6121,218.3583,214.002925,214.572225,206.1568
203.82865,221.107475,206.6382,218.46895,214.035975,214.604275,206.1939
203.843625,221.1591,206.678425,218.6505,214.08835,214.65365,206.21365
203.860925,221.204225,206.69875,218.74545,214.131225,214.6983,206.2437
203.874225,221.28975,206.708775,218.8093,214.161775,214.853175,206.273975
203.889775,221.33375,206.746825,218.8642,214.3584,214.95975,206.29375
203.90255,221.38605,206.777225,219.1339,214.37825,214.997275,206.32235
203.91095,221.41915,206.836075,219.180475,214.387875,215.07515,206.341975
203.93205,221.4903,206.86675,219.2256,214.545525,215.13955,206.368325
203.95495,221.53215,206.884125,219.277425,214.7344,215.263225,206.391275
203.97175,221.6747,206.90915,219.50555,214.95475,215.3063,206.413525
203.991175,221.711875,206.9416,219.650675,214.986475,215.342875,206.43935
204.0235,221.775775,206.987075,219.696375,214.995275,215.4676,206.461525
204.03615,221.8214,207.019475,219.742275,215.001375,215.51785,206.528875
204.050125,221.866175,207.054325,219.99005,215.031725,215.545225,206.567575
204.087125,221.89505,207.12835,220.12025,215.095,215.5926,206.607
204.11715,221.911625,207.137275,220.1712,215.28225,215.6454,206.646725
204.144625,221.947125,207.152325,220.239825,215.352175,215.706125,206.681275
204.1837,222.0586,207.213425,220.298525,215.50795,215.864075,206.72195
204.197625,222.109625,207.2371,220.377275,215.564125,215.96295,206.752525
204.22325,222.149175,207.263575,220.433825,215.6706,216.001325,206.7751
204.23445,222.27205,207.3881,220.497475,215.829625,216.043075,206.800325
204.2484,222.359425,207.429575,220.5955,216.0103,216.094325,206.82395
204.261225,222.421275,207.50185,220.6985,216.03185,216.244475,206.8489
204.2821,222.4513,207.532725,220.786075,216.096375,216.294725,206.879575
204.2966,222.4963,207.549025,220.8647,216.1227,216.369475,206.897625
204.3038,222.527475,207.602875,220.919525,216.244525,216.42905,206.956325
204.313825,222.722025,207.68265,220.97075,216.3015,216.479,206.9811
204.3293,222.7869,207.720725,221.0693,216.36515,216.52115,207.01455
204.342725,222.860975,207.764975,221.1498,216.36865,216.720625,207.03735
204.377675,222.917825,207.79745,221.1869,216.3945,216.809975,207.069
204.39795,223.01385,207.849725,221.2479,216.457725,216.841475,207.08735
204.42765,223.0595,207.89335,221.38675,216.4673,216.8923,207.1176
204.45395,223.136975,207.920275,221.487525,216.511525,216.946225,207.14455
204.487325,223.181325,207.965225,221.546025,216.709225,217.16735,207.16165
204.5366,223.2964,207.988575,221.70505,216.8191,217.253325,207.22075
204.566625,223.323325,208.057775,221.826275,216.86415,217.30465,207.270475
