SPK_SPKC07b,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC09b
60.5725,28.218575,52.60195,101.5229
60.742775,28.4549,52.645425,101.686325
60.826625,28.506325,52.846275,101.700875
60.906325,28.58425,52.924125,101.7641
60.928525,28.701725,53.2148,102.035975
61.79,28.81795,53.37035,102.1686
61.929675,28.9113,53.40845,102.499325
61.951125,29.0332,53.6505,103.018575
62.174125,29.132175,54.16745,103.4244
62.27645,29.211725,54.560825,103.66175
62.493325,29.29855,54.77365,103.70455
62.570275,29.337575,55.764925,103.866925
62.87435,29.49075,55.882425,103.969925
62.92955,29.5729,55.96995,104.02515
63.11205,29.8184,56.115575,104.33475
63.1677,30.15515,56.1944,104.9472
63.29955,30.2534,56.234375,105.8931
63.44455,30.346675,56.316075,106.058725
63.627625,30.40705,56.354975,106.102525
63.6543,30.513025,56.400975,106.192475
63.691725,30.598375,56.438775,106.373075
63.83795,30.6611,56.509775,106.405775
64.23905,30.7136,56.5835,106.494675
64.337475,30.824325,56.7329,106.618625
64.37835,30.8697,56.86275,107.024525
64.67,30.90775,56.9338,107.32015
64.7072,30.981425,57.139175,107.452375
64.7839,31.0294,57.6845,107.6876
64.8504,31.07535,58.15035,107.743575
64.90925,31.267525,58.251325,107.9393
65.040825,31.333,58.4791,108.35215
65.104625,31.379975,58.5953,108.59785
65.369025,31.6816,58.738575,108.91995
65.473775,31.784175,59.0409,109.005325
65.522025,31.890025,59.311925,109.180175
65.576325,31.967575,59.42265,109.2366
65.5947,32.0101,59.601775,109.51985
65.61445,32.0937,59.7027,109.637525
65.82055,32.20145,60.061275,109.988675
65.87935,32.276,60.258825,110.180325
65.9482,32.39315,60.81735,110.681225
66.088975,32.468625,61.384075,111.0229
66.34085,32.578775,61.592025,111.02705
66.376875,32.780625,62.123825,111.2938
66.47205,33.02315,62.2348,111.44815
66.627325,33.0885,62.62715,111.870675
66.760325,33.20165,63.08905,112.100525
66.9356,33.27185,63.35255,112.3583
67.140325,33.418025,63.507925,112.681125
67.203,33.5597,63.649425,112.6943
67.29995,33.598775,63.849125,112.9255
67.331225,33.764725,63.95725,112.970325
67.416675,33.9516,64.00515,113.4032
67.79415,34.000775,64.055425,113.494
67.965525,34.071725,64.12165,115.223375
68.02455,34.119875,64.323275,115.32815
68.082525,34.2087,64.3929,115.3642
68.10625,34.299425,64.502425,115.4622
68.62375,34.4489,64.66755,115.5586
68.704825,34.531925,64.87175,116.14595
68.843075,34.600125,65.15685,116.277475
68.869325,34.670875,65.2308,116.39385
68.951325,34.9381,65.30965,116.911475
69.0452,35.03795,65.369275,117.14875
