SPK_SPKC11a,SPK_SPKC15a,SPK_SPKC15b
163.069925,22.620975,39.349075
163.431675,22.645175,39.431
163.82645,22.65525,39.469525
163.849,22.66615,39.606325
163.87195,22.723425,39.625675
164.16575,22.728875,39.6338
164.6621,22.7723,39.714975
164.943425,22.79955,39.765675
164.966025,22.81215,39.83135
165.5238,22.8579,39.86155
165.551425,22.87935,39.8799
165.80255,22.90115,39.92095
165.90025,22.9201,39.94855
166.089925,22.9335,39.9801
166.224875,22.95635,40.0604
166.597375,23.05155,40.123425
166.6157,23.0777,40.142825
166.8251,23.101025,40.18465
166.942575,23.118275,40.240875
167.14235,23.14785,40.3039
167.6896,23.175875,40.4511
167.72175,23.224975,40.476125
167.82405,23.248175,40.509525
168.135525,23.288975,40.54475
168.291775,23.31975,40.661975
168.459625,23.3495,40.770975
168.66785,23.37955,40.81235
169.092225,23.4198,40.8513
169.241675,23.504025,40.878125
169.3029,23.564625,40.941875
169.51415,23.579275,40.974625
169.740125,23.6303,41.011225
169.964925,23.670925,41.077025
170.071975,23.74375,41.104925
170.127275,23.75665,41.351075
170.287525,23.89655,41.377575
170.5641,24.00805,41.4117
170.675825,24.030975,41.445975
171.03205,24.08265,41.465975
171.3143,24.092325,41.6206
171.48845,24.218375,41.6745
172.215325,24.281,41.767175
172.37975,24.35845,41.83065
172.571175,24.386925,41.85725
172.8,24.5101,41.922325
172.874025,24.512175,42.0125
172.93755,24.6813,42.041525
172.960725,24.74655,42.110225
173.361675,24.813275,42.138
173.470825,24.8716,42.2049
173.77225,24.8728,42.272875
173.98175,24.891425,42.3049
174.23905,24.909625,42.347725
174.688575,24.9202,42.38425
174.788625,25.044325,42.425175
174.84655,25.05275,42.442475
174.8896,25.1289,42.527025
175.4353,25.158975,42.552225
175.502825,25.174775,42.67055
175.865075,25.1794,42.78805
175.979475,25.27625,42.8864
176.0684,25.34475,42.929525
176.0907,25.35745,42.998425
176.224075,25.5201,43.023325
176.368875,25.5506,43.104475
176.902775,25.592525,43.144575
177.86165,25.61545,43.20405
177.937875,25.631825,43.24625
178.208825,25.700875,43.328875
178.30545,25.708575,43.374875
178.616825,25.769825,43.470725
179.303525,25.915525,43.5728
179.432575,25.93605,43.584475
179.512075,25.983075,43.63135
179.73495,26.053575,43.7766
179.742325,26.09625,43.819325
179.757275,26.1233,43.841275
180.3449,26.198275,43.922
180.96555,26.2225,43.94175
181.0353,26.234875,43.982625
181.16025,26.263925,44.017075
181.34235,26.341525,44.083925
181.4196,26.498525,44.104925
181.6768,26.5175,44.1456
182.0739,26.590475,44.193075
182.1202,26.671525,44.25935
182.187725,26.6931,44.407
182.225475,26.725,44.461525
182.417225,26.76425,44.551725
182.65305,26.7785,44.5779
182.695025,26.800275,44.59665
182.889375,26.828775,44.631625
183.4306,26.870275,44.652
184.054275,26.891075,44.679875
184.168975,26.923825,44.73285
184.6809,26.932925,44.836275
184.698375,26.974075,44.88095
184.964425,26.985925,44.9402
185.0991,27.004875,44.9609
185.313425,27.011325,45.01115
185.391025,27.025725,45.1227
185.412725,27.06135,45.14435
185.7506,27.0964,45.230775
186.238425,27.1055,45.252375
186.2928,27.203575,45.304075
186.6007,27.270925,45.31635
186.6348,27.4106,45.336525
187.165925,27.476,45.358325
187.17285,27.5785,45.375675
187.18175,27.606075,45.3957
187.406775,27.615525,45.498325
187.831525,27.7025,45.56025
187.8495,27.704525,45.5954
187.985475,27.791925,45.7889
188.106225,27.796725,45.912375
188.1738,27.80365,46.0445
188.53305,27.827775,46.097625
188.8818,27.853125,46.16305
188.900125,27.85855,46.193025
188.927125,27.92755,46.27055
188.99805,27.95135,46.318425
189.261625,28.0657,46.366
189.264,28.351725,46.39395
189.294525,28.391525,46.4437
189.4963,28.53405,46.5009
189.687875,28.544225,46.5389
189.92765,28.572,46.576
189.9634,28.6759,46.658675
189.9791,28.688375,46.783775
190.373725,28.819275,46.8232
190.5871,28.99825,46.870025
191.10445,29.0423,46.904825
191.281325,29.089675,46.94525
191.381375,29.1051,47.000525
191.6151,29.109025,47.031825
191.7463,29.11625,47.067675
192.161525,29.1245,47.1229
192.18795,29.143775,47.18205
192.225175,29.163875,47.21945
192.403125,29.188625,47.24745
192.603825,29.2048,47.36075
192.931125,29.231825,47.3651
193.487075,29.240775,47.38535
193.98955,29.266725,47.47845
194.963125,29.33705,47.492925
194.970775,29.362125,47.701725
194.98365,29.36985,47.74935
195.1103,29.40755,47.8765
195.135575,29.42305,47.921125
196.1204,29.51425,47.96365
196.419525,29.527775,48.005725
196.942925,29.53585,48.01795
197.23935,29.550375,48.143525
197.69755,29.55725,48.26635
197.705875,29.5894,48.3087
197.738425,29.60815,48.3588
197.9399,29.622425,48.393675
197.974775,29.67375,48.432475
198.061225,29.691775,48.459675
198.336575,29.72365,48.50595
198.6336,29.7415,48.50725
198.65865,29.815275,48.54285
198.76125,29.87405,48.581775
199.248575,29.91065,48.617275
200.285025,29.965325,48.68825
200.35745,30.028575,48.72435
200.385975,30.056125,48.946025
201.014525,30.0577,48.99885
201.4684,30.135725,49.09755
201.95775,30.154825,49.253225
202.3015,30.264225,49.28905
202.37935,30.43505,49.47325
202.737825,30.461625,49.489475
202.98925,30.4734,49.515225
203.408925,30.4862,49.5339
203.553925,30.93485,49.555375
203.5849,30.938175,49.574875
204.177425,30.958375,49.622925
204.206375,30.99645,49.7496
204.240075,31.189775,50.082
204.253675,31.194125,50.15285
204.31565,31.203525,50.192675
204.550325,31.209825,50.22615
204.613,31.234975,50.291425
204.78765,31.31665,50.323725
205.2409,31.33315,50.3563
205.423425,31.3705,50.394
206.148925,31.40005,50.4204
206.5566,31.410025,50.446875
206.851975,31.42165,50.49545
206.87515,31.471625,50.5782
206.905275,31.48,50.6472
206.9266,31.492525,50.72005
206.994825,31.513025,50.7521
207.121575,31.521025,50.827825
207.50685,31.533275,50.861925
207.54425,31.571025,50.9159
207.5873,31.579525,50.937
207.60985,31.58845,50.999675
208.160275,31.596725,51.13445
208.215525,31.612475,51.162225
208.259275,31.61405,51.191175
208.842125,31.6297,51.26335
208.853225,31.639525,51.3139
208.923275,31.6781,51.340725
208.98895,31.72025,51.370525
209.164625,31.726575,51.3928
209.4477,31.768975,51.4458
209.562625,31.77985,51.476275
209.751525,31.7991,51.518225
209.852425,31.81585,51.571025
210.08965,31.87195,51.5989
210.3291,31.8927,51.622925
210.371375,31.945925,51.6422
210.8296,31.9645,51.776
210.8591,32.008025,51.97145
211.022975,32.065375,52.005225
211.135575,32.08715,52.0589
211.872525,32.11365,52.376225
212.01315,32.12985,52.458725
212.1928,32.1603,52.488475
212.4251,32.20295,52.56625
212.748525,32.342325,52.590575
212.963225,32.372225,52.7186
213.122625,32.388875,52.74835
213.2454,32.415375,52.850225
213.317825,32.432225,52.903025
213.374575,32.496775,52.935625
213.45575,32.59725,53.03525
214.53055,32.70595,53.05155
214.922,32.7793,53.069575
215.027275,32.83355,53.12545
215.234675,32.845025,53.151425
215.59925,32.8633,53.186375
215.653275,32.879,53.2017
215.80185,32.89645,53.229725
215.902825,32.91375,53.35145
216.06965,32.963125,53.370275
216.86355,33.0049,53.408575
217.162125,33.05565,53.448775
217.328175,33.0936,53.59685
217.360125,33.109125,53.626925
217.412475,33.113525,53.643675
218.719775,33.1685,53.665625
219.1828,33.2071,53.69755
219.4607,33.2506,53.74615
220.140225,33.325325,53.756675
220.533225,33.32845,53.77065
221.275575,33.35545,53.791675
221.3102,33.3844,53.96225
221.366575,33.4235,53.96615
221.427575,33.44125,54.003725
221.45165,33.561875,54.042025
221.529,33.617175,54.085025
221.85165,33.646275,54.1095
222.480275,33.693725,54.138475
222.621775,33.77135,54.19035
222.730975,33.78965,54.25995
222.83845,33.866625,54.300825
223.5204,34.0097,54.31715
223.98125,34.027725,54.35835
224.49325,34.036,54.43355
224.5342,34.123075,54.447175
224.879525,34.1305,54.4674
225.12315,34.169225,54.570325
225.67245,34.18145,54.59625
225.716975,34.4662,54.6507
226.02625,34.471325,54.709975
226.06295,34.48315,54.746675
226.192775,34.485,54.809725
226.271675,34.523125,54.8228
226.4029,34.54085,55.0132
227.54495,34.57015,55.04485
228.4994,34.602,55.066325
228.59805,34.647575,55.2092
228.684675,34.712875,55.28785
228.73715,34.731175,55.336825
228.883975,34.785425,55.349225
228.9192,34.802325,55.363
229.04275,34.818175,55.4857
229.0725,34.84975,55.512475
229.44325,34.85375,55.75115
229.826575,34.889075,55.88685
230.01985,34.9022,55.92195
230.10035,34.906925,55.9364
230.325575,34.92505,55.96555
230.50275,34.944325,55.9849
230.652075,35.022925,55.988725
230.6988,35.0324,56.010575
231.1472,35.072475,56.038725
231.34715,35.082675,56.054675
231.56465,35.1021,56.0661
231.645325,35.1337,56.318275
231.738275,35.1426,56.3445
231.809375,35.25465,56.385075
232.258675,35.309425,56.415125
232.279175,35.318,56.521425
232.53125,35.335325,56.70115
232.672375,35.341175,56.761825
232.9819,35.351725,56.79905
233.0062,35.36325,56.873725
233.76765,35.366325,56.895775
234.4207,35.4101,56.909125
235.573025,35.481875,56.92225
235.639275,35.51525,56.93855
235.8,35.537725,56.951525
235.8603,35.5634,56.9973
236.059225,35.596425,57.02265
236.093,35.62525,57.137625
236.207975,35.7885,57.150775
236.449775,35.8405,57.1643
236.740875,35.85895,57.184275
236.8843,35.8737,57.275825
236.967025,35.888,57.493375
237.2457,35.9179,57.506925
237.460725,35.939475,57.595025
237.9464,35.97645,57.609675
238.17915,35.984425,57.66905
238.25995,36.04455,57.69175
238.36675,36.113075,57.699025
238.38455,36.199625,57.72835
238.4737,36.276025,57.73515
238.5722,36.28115,57.7459
238.616425,36.312925,57.777325
238.910475,36.3173,57.816275
239.177225,36.3372,57.85745
239.6282,36.38075,57.8888
240.016375,36.442375,57.8911
240.212275,36.4516,57.910875
240.49525,36.470075,58.0063
240.984725,36.513025,58.03505
241.079625,36.5148,58.12155
241.1608,36.569225,58.18185
241.53595,36.5856,58.275175
241.78735,36.59645,58.300225
241.78865,36.751275,58.39675
242.187875,36.7647,58.4946
242.405525,36.8791,58.535275
242.4199,36.912575,58.592275
242.539,37.00785,58.610375
242.658575,37.073375,58.6372
242.7842,37.105075,58.7025
243.276625,37.144425,58.7211
243.67445,37.2218,58.7368
243.8745,37.259625,58.7499
243.910725,37.2869,58.825575
244.057725,37.318725,58.837825
244.342275,37.333225,58.843825
244.393875,37.38795,58.85415
244.445925,37.405225,58.895975
244.71715,37.429125,58.928975
244.975725,37.472475,58.988325
245.0654,37.486625,59.0276
245.16785,37.510175,59.081175
245.276975,37.623775,59.120675
245.36515,37.66865,59.174125
245.720275,37.671475,59.28565
245.8982,37.686075,59.30275
246.171675,37.6942,59.418125
246.3133,37.695775,59.464075
246.74715,37.72095,59.489075
246.9928,37.75205,59.52205
247.15805,37.763,59.537525
247.393075,37.7697,59.609375
247.54245,37.7899,59.71335
247.5817,37.810925,59.9066
247.780275,37.819,60.0057
247.827825,37.836625,60.0761
248.76845,37.851525,60.164525
248.80465,37.8848,60.305075
248.900325,37.95325,60.344425
249.333075,37.968125,60.50755
249.577275,38.022375,60.5474
250.099225,38.1112,60.580275
250.202475,38.21795,60.608725
251.224375,38.259025,60.92995
251.59915,38.325625,61.013625
251.79305,38.38955,61.065675
251.960125,38.48955,61.109275
251.978075,38.507525,61.12545
252.524675,38.556225,61.1423
252.6364,38.681625,61.1955
252.7415,38.8349,61.218475
252.92255,38.8505,61.2447
253.242975,38.856325,61.289025
253.809125,38.875675,61.348575
254.0259,38.9016,61.3667
254.505125,38.9612,61.40825
255.025575,39.041425,61.433075
255.2939,39.152175,61.457525
255.322425,39.167525,61.5053
255.34105,39.356775,61.525475
255.41535,39.368875,61.670825
255.784175,39.38455,61.74185
255.89325,39.40155,61.8113
256.0874,39.4267,61.832625
256.098875,39.4485,61.872525
256.39355,39.585475,61.939175
256.4394,39.685175,61.985425
256.4915,39.693125,62.0297
257.087925,39.7205,62.0509
257.149675,39.796825,62.0757
257.690225,39.7989,62.1397
257.722225,39.822725,62.1743
258.23535,39.910025,62.202325
258.254575,39.917725,62.229925
258.49765,39.93465,62.254725
258.6092,39.9585,62.28205
258.762175,39.9911,62.32445
258.882375,40.005675,62.36045
259.212,40.016975,62.3905
259.373575,40.0427,62.448025
259.383925,40.0942,62.69275
259.468925,40.115475,62.730175
259.48545,40.129,62.7583
259.80675,40.136975,62.8771
259.877975,40.180125,62.921475
260.04295,40.2309,62.9466
260.5865,40.322225,63.146775
260.61445,40.3379,63.160975
260.925075,40.372075,63.181825
260.927425,40.59495,63.24185
261.18485,40.619925,63.270925
261.313275,40.63415,63.30865
261.624375,40.715175,63.33955
261.657425,40.797175,63.372
261.778525,40.928825,63.434
261.784025,40.9792,63.470875
262.3809,41.052075,63.5032
262.403425,41.07145,63.514525
262.64235,41.107,63.5294
