SPK_SPKC01a (NA),SPK_SPKC01b (weak inhibition),SPK_SPKC03a (no effect),SPK_SPKC07a (excited),SPK_SPKC09a (excited),SPK_SPKC12a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC16a (inhibited)
5.566875,18.551225,50.833725,4.92565,5.3511,21.7542,2.7065,19.9579
5.589425,18.670025,50.958375,4.99505,5.38575,21.85055,2.716025,20.186325
5.613425,18.7149,51.28335,5.03015,5.420775,21.894125,2.721,20.243525
5.6573,19.102225,51.53785,5.085725,5.44295,22.154925,2.736075,20.393175
5.700475,19.189875,52.106675,5.11675,5.4624,22.21405,2.74365,20.70165
5.726825,19.315675,52.247925,5.1496,5.479075,22.47365,2.751825,20.808425
5.7942,19.5488,52.9559,5.175225,5.510875,22.8505,2.7711,20.87425
5.8587,20.00745,53.212175,5.276925,5.56975,23.17865,2.7754,20.9474
5.879775,20.772475,53.50715,5.3629,5.581375,23.34735,2.810275,21.00335
5.9349,20.81375,54.043075,5.422625,5.671075,23.395475,2.82625,21.057525
5.964675,21.205475,54.17775,5.46245,5.72225,23.63405,2.845275,21.52235
5.9862,21.32965,54.2817,5.5152,5.7489,23.7882,2.857475,21.755025
6.0145,21.444875,54.49695,5.5507,5.784075,23.89335,2.8737,21.78145
6.03265,21.5124,54.868375,5.579175,5.845975,24.065475,2.9054,21.813025
6.063475,21.6796,55.345875,5.736625,5.871375,24.118375,2.94985,21.861925
6.083725,21.9311,55.4088,5.8172,5.8913,24.564075,3.0056,21.94845
6.1,22.175725,55.540475,5.864725,5.9503,24.951425,3.042975,22.018225
6.112575,22.60875,55.5807,5.912325,5.98785,25.105875,3.04585,22.1223
6.13345,22.6765,55.762525,5.9503,6.0134,25.351275,3.06045,22.229175
6.249725,22.754225,55.811275,5.987875,6.017975,25.388175,3.071475,22.25995
6.30685,22.7874,56.132775,6.013475,6.1067,25.426325,3.091375,22.27825
6.34855,23.483475,56.270675,6.03625,6.120025,25.710625,3.10855,22.39085
6.419275,23.646675,57.064425,6.088675,6.13325,25.895075,3.120675,22.559525
6.53045,24.091925,57.175025,6.135075,6.20055,26.16745,3.126475,22.576775
6.57095,24.31345,57.221125,6.23055,6.257825,26.18075,3.147025,22.871875
6.609475,24.487,57.55865,6.3547,6.2649,26.293625,3.156225,23.042825
6.6453,24.532075,57.9973,6.4407,6.289625,26.346125,3.1739,23.28935
6.678525,24.623625,58.040175,6.536475,6.313775,26.5267,3.18585,23.353675
6.70365,24.75785,58.090275,6.611575,6.33115,26.682,3.1931,23.458775
6.776475,25.02485,58.122675,6.657375,6.363275,27.040425,3.21785,23.57815
6.808125,25.06275,58.827075,6.710775,6.400275,27.06055,3.2373,23.7954
