SPK_SPKC01a (NA),SPK_SPKC05a (excited),SPK_SPKC05b (no effect),SPK_SPKC05c (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (excited)
13.963025,86.7451,13.735125,6.77325,8.2214,4.1753
13.976775,86.978325,13.845175,6.798475,8.42315,4.185925
14.0338,87.07385,13.945975,6.82025,8.4507,4.19355
14.0412,88.695575,13.9915,6.83135,8.534875,4.238925
14.139325,89.4339,14.204425,6.86995,8.597775,4.25045
14.147175,89.790425,14.338875,6.931925,8.671125,4.26185
14.283125,91.639275,14.554025,6.9416,8.6883,4.273175
14.3662,92.049625,14.56025,6.9735,8.7182,4.27595
14.37775,92.0833,15.37135,6.99195,8.765625,4.28585
14.3935,92.29085,15.44915,7.01145,8.8785,4.300625
14.466325,92.3821,15.4958,7.049775,8.89145,4.313075
14.49635,93.277725,15.6349,7.075425,8.912525,4.3331
14.506525,93.897175,15.726875,7.116975,8.928125,4.344875
14.528525,93.914075,15.8807,7.158825,9.02835,4.374525
14.550675,94.594825,15.91,7.257575,9.089775,4.3834
14.5762,94.85795,15.9533,7.458525,9.165875,4.3941
14.686125,95.438,16.0406,7.4788,9.2194,4.409525
14.707275,95.8341,16.117975,7.50145,9.2383,4.42695
14.731875,95.8763,16.1952,7.519675,9.294025,4.4443
14.79285,95.91115,16.213975,7.58285,9.438125,4.462725
14.9355,95.990375,16.29225,7.658025,9.4674,4.4944
15.0411,96.583025,16.4156,7.702,9.480025,4.49755
15.0863,96.600975,16.486625,7.71495,9.56045,4.53815
15.120775,96.680125,16.510275,7.791825,9.584275,4.545875
15.31635,97.1935,16.5265,7.808,9.6228,4.558425
15.453875,97.85985,16.56485,7.811,9.643925,4.579225
15.487575,97.9163,16.573475,7.83245,9.658725,4.591625
15.527175,99.755625,16.611725,7.900275,9.683825,4.633275
15.578725,100.83225,16.650525,7.96505,9.69775,4.65165
15.689225,101.8332,16.678525,7.996975,9.73045,4.669425
15.709875,102.402275,16.779525,8.0173,9.758075,4.67885
15.74765,103.05845,16.817025,8.0509,9.8225,4.692075
15.772925,103.5009,16.89825,8.079925,9.85935,4.70885
15.933875,104.2694,17.072425,8.145225,9.874625,4.73835
16.007625,105.126725,17.11045,8.16805,9.8866,4.75885
16.064625,105.292575,17.21755,8.187575,9.953325,4.7606
16.097475,105.91575,17.3806,8.278225,10.018225,4.771925
16.3413,108.503025,17.44795,8.29215,10.146275,4.784025
16.5282,109.037175,17.735475,8.34625,10.162675,4.794
16.53105,110.13735,17.857925,8.414525,10.193625,4.8069
16.56125,110.18515,17.9806,8.526025,10.303225,4.81905
16.56715,110.356075,18.05715,8.537375,10.40085,4.8261
16.61905,110.393825,18.274825,8.6315,10.415725,4.84065
16.68935,110.585275,18.3759,8.662625,10.4521,4.858275
16.9304,110.757125,18.458975,8.6938,10.51,4.87045
16.9512,110.95975,18.576725,8.7926,10.530775,4.87655
17.01445,111.056725,18.89915,8.872325,10.550375,4.881325
17.0604,111.235475,18.982275,8.894625,10.57915,4.906375
17.0866,111.431925,19.049425,9.018,10.58095,4.92215
17.10265,111.532425,19.05445,9.04125,10.622525,4.938225
17.167275,111.539925,19.135525,9.056875,10.651225,4.953325
17.239375,112.516125,19.20335,9.0684,10.653325,4.9862
17.2897,113.494725,19.539925,9.09205,10.696775,4.992875
