SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC13a,SPK_SPKC15a
108.179475,103.3269,109.134975,105.1205,103.9984,126.7798,103.63125,107.08145
108.199925,103.364025,109.1849,105.139125,104.023825,127.08975,103.638825,107.134475
108.20745,103.37155,109.2494,105.17905,104.039275,127.098075,103.673975,107.1705
108.225575,103.382825,109.29125,105.22235,104.068125,127.199825,103.713075,107.22205
108.375025,103.388125,109.296475,105.2641,104.084875,127.24065,103.7352,107.2554
108.380775,103.4068,109.33365,105.2944,104.112875,127.294825,103.75955,107.31075
108.413575,103.41995,109.387275,105.30805,104.1544,127.510925,103.80895,107.36955
108.42295,103.422525,109.492725,105.333275,104.16845,127.776175,103.841575,107.41335
108.516425,103.43065,109.533425,105.373725,104.18885,127.7954,103.86155,107.455275
108.646625,103.450525,109.5725,105.402825,104.214625,127.869025,103.88015,107.5948
108.6804,103.4637,109.66245,105.4177,104.2349,127.9311,103.899925,107.70145
108.68695,103.475725,109.71515,105.425875,104.255675,128.109375,103.92245,107.7401
108.7445,103.484075,109.7762,105.441,104.271875,128.136025,103.942875,107.789375
108.75315,103.531525,109.823225,105.4653,104.296225,128.18815,103.972075,107.900425
108.837575,103.562225,109.8929,105.513675,104.307875,128.258325,104.0029,107.9316
108.866325,103.568825,109.943875,105.545925,104.341525,128.38295,104.0221,107.986975
108.8782,103.61465,109.9908,105.580075,104.355425,128.608925,104.04015,107.991275
108.88595,103.6374,110.05405,105.6057,104.37715,128.6923,104.0677,107.9991
108.94605,103.655425,110.10155,105.609525,104.405225,128.81,104.07315,108.031575
109.025,103.68195,110.17,105.63645,104.420125,128.8444,104.096925,108.071375
109.139275,103.690075,110.22725,105.686575,104.440825,128.896025,104.112575,108.118825
109.1709,103.70585,110.309725,105.7069,104.469425,129.00305,104.12285,108.14405
109.226825,103.707125,110.359175,105.7331,104.493175,129.012625,104.141675,108.177825
109.251175,103.720175,110.410875,105.787575,104.51185,129.11715,104.16555,108.191125
109.2727,103.7276,110.47155,105.827225,104.521525,129.184125,104.1901,108.22755
109.38295,103.73835,110.532525,105.869825,104.58165,129.24895,104.211775,108.262575
109.415375,103.75455,110.605,105.871775,104.6091,129.265175,104.2327,108.29045
109.501175,103.76605,110.676825,105.88935,104.623775,129.3051,104.2604,108.3188
109.509675,103.787525,110.732,105.92355,104.660625,129.65645,104.28985,108.346
109.52075,103.7966,110.795975,105.9505,104.6872,129.669475,104.3186,108.355325
109.5278,103.80705,110.8733,105.984675,104.699725,129.686375,104.340325,108.377775
109.547725,103.835675,110.9156,106.00805,104.71695,129.975725,104.3533,108.408475
109.572325,103.844375,110.9654,106.0178,104.738925,130.006725,104.372175,108.4257
109.70815,103.85355,111.007925,106.049525,104.768875,130.0756,104.3945,108.461625
109.7202,103.8701,111.0414,106.06695,104.7714,130.099025,104.4151,108.52765
109.74595,103.88,111.0826,106.08755,104.78915,130.145125,104.436025,108.561125
109.7728,103.890275,111.1479,106.1019,104.818275,130.437725,104.448975,108.58855
109.808675,103.913475,111.21705,106.1508,104.841325,130.473975,104.470925,108.625875
109.8318,103.963375,111.268775,106.1549,104.868525,130.57415,104.49595,108.653375
109.844125,103.974075,111.316275,106.192825,104.897625,130.6726,104.521225,108.67585
109.846175,103.985125,111.334875,106.21725,104.910025,130.779775,104.54515,108.701275
109.923175,103.9927,111.36465,106.235125,104.9328,130.794125,104.547625,108.735975
109.946725,104.016075,111.409125,106.2577,104.955075,130.87255,104.572075,108.755425
109.9561,104.0258,111.433725,106.301875,104.971525,130.94785,104.5908,108.792125
110.0383,104.05795,111.467675,106.314425,104.982425,131.034,104.6396,108.815675
110.07695,104.06245,111.49855,106.35455,105.0005,131.135425,104.681375,108.8558
110.086625,104.0693,111.594575,106.37545,105.016875,131.13805,104.705025,108.893925
110.1011,104.078875,111.65755,106.411425,105.0404,131.1487,104.72985,108.94255
110.132325,104.1035,111.708525,106.416275,105.0632,131.323775,104.753425,108.9806
110.22125,104.1351,111.761525,106.423825,105.097525,131.3559,104.76945,109.0179
110.24775,104.167925,111.92455,106.44325,105.118025,131.783425,104.7835,109.089775
110.34095,104.1692,111.97525,106.462775,105.137325,131.948425,104.7886,109.134675
110.3933,104.191775,112.0113,106.494075,105.186625,132.047575,104.8148,109.165425
110.40605,104.2021,112.0434,106.528875,105.22965,132.08275,104.8722,109.2058
