SPK_SPKC04b (inhib),SPK_SPKC07a (inhi),SPK_SPKC12a (inh),SPK_SPKC15b (inh)
84.233925,140.412575,87.4668,48.390525
84.2643,140.592375,87.9122,48.412825
84.302375,140.6955,88.4852,48.43115
84.35815,140.87645,88.57185,48.4877
84.630575,141.06855,88.6636,48.553025
84.714625,141.521575,88.815,48.820525
84.805975,142.313475,89.057,49.006925
85.494825,142.79135,89.09405,49.0577
85.8428,142.874125,89.121675,49.123675
86.23975,142.975275,89.152025,49.16935
87.332675,143.08905,89.303825,49.207325
87.4668,143.608775,89.3318,49.2825
87.9122,144.0791,89.64915,49.32325
88.4852,144.41515,89.70005,49.39995
88.57185,144.439875,89.751725,49.469225
88.6636,144.475925,89.83845,49.597075
88.815,144.898725,89.85715,49.645
89.056975,145.347325,89.884125,49.728025
89.094025,145.91595,89.965425,49.791025
89.121675,146.43,89.9853,49.885475
89.15205,146.54915,90.020625,49.916675
89.303825,146.76155,90.0927,49.97135
89.3318,147.0052,90.176575,50.0285
89.70005,147.054975,90.423075,50.0583
89.751725,148.1383,90.496925,50.11625
89.83845,148.4416,90.899525,50.1795
89.85715,148.483575,91.2814,50.30095
89.88415,148.63115,91.552325,50.352525
89.965425,149.053925,91.606975,50.4882
89.985325,149.357475,91.644475,50.540325
90.176575,149.8089,92.4268,50.6168
90.4231,149.8318,92.88475,50.7099
90.496925,149.894675,93.024775,50.7432
90.89955,149.92965,93.3594,50.8086
91.2814,149.95065,93.407275,50.837325
91.552325,150.0948,93.5071,50.873775
91.607,150.379525,93.831475,50.914725
91.6445,150.85635,93.8512,50.96235
92.426825,151.539675,93.882975,51.1917
93.024775,151.562425,93.929825,51.22755
93.3594,151.6244,94.293225,51.24875
93.407275,151.66865,94.604975,51.279175
93.5071,152.842325,94.6618,51.34755
93.831475,152.913475,94.7403,51.509075
93.882975,153.291575,95.179575,51.759125
93.929825,153.350525,95.525775,51.84145
94.293225,153.406275,95.92725,51.88185
94.604975,153.7651,95.998925,51.895525
94.740325,155.01445,96.253775,51.953025
95.17955,155.280375,96.3414,51.95815
95.5258,155.731625,96.984275,52.04515
95.99895,155.817125,97.13205,52.270575
96.253775,156.39645,97.801825,54.138475
96.3414,156.8024,98.371,56.362825
96.984275,156.835675,98.685025,60.362475
97.13205,157.53515,98.71995,61.87065
97.801825,157.961975,99.077225,62.451575
98.371,157.9839,100.1108,62.4842
98.68505,158.0109,100.862775,62.73335
98.71995,158.110675,100.89725,62.770125
99.077225,158.138225,100.927425,63.07235
100.1108,158.765675,100.96025,63.1143
100.8628,158.7868,100.99535,63.253575
100.9274,158.801925,101.0452,63.324275
100.96025,158.821575,101.2028,63.3622
100.99535,161.2663,101.36745,63.440675
101.0452,161.52235,101.397775,63.657375
101.2028,161.917375,101.42885,63.692625
101.36745,161.9403,102.0357,64.3538
101.397775,161.98805,102.691425,64.4429
101.42885,162.2391,102.734625,64.6654
102.035725,162.728075,102.767275,64.80915
102.129075,162.780925,102.808275,64.864225
102.691425,163.41675,102.89515,65.004125
102.734625,163.440075,103.15855,65.140825
102.767325,163.496775,103.24255,65.200875
102.808275,163.552675,104.59665,65.237075
102.895175,163.8691,106.31365,65.3127
103.15855,164.31135,106.48085,65.354625
103.24255,164.85665,106.5907,65.666075
104.59665,164.899625,106.7107,65.723325
106.313675,164.928475,106.7449,65.854675
106.48085,166.430075,106.7813,65.9558
106.5907,166.51625,106.87055,66.037125
106.7107,166.974575,107.058025,66.095825
106.744925,167.0765,107.10015,66.215325
106.7813,167.507,107.134475,66.27225
106.870575,168.128825,107.199825,66.3125
107.05805,168.182725,107.751825,66.4099
107.10015,168.726675,107.885525,66.471
107.1345,168.74975,107.96135,66.5978
107.199825,169.194975,108.334775,66.6243
107.75185,169.693325,108.4344,66.667
107.885525,169.743125,108.66185,66.743125
107.96135,169.761975,109.161,66.807325
108.3348,169.790575,109.64865,67.1079
108.4344,169.869575,110.59355,67.187975
108.661875,170.3211,110.651075,67.237675
109.161,170.35305,110.8674,67.335675
109.64865,170.8208,111.14295,67.37435
110.59355,170.8723,111.161275,67.5732
110.6511,172.535,111.2311,67.606275
110.867375,172.57955,112.50085,67.63675
111.161275,172.620175,112.620775,67.66305
111.2311,172.6291,112.6456,67.834375
112.50085,172.6572,113.247025,68.199975
112.620775,173.132875,113.77815,68.4581
112.645625,174.3356,114.39805,68.5119
113.247025,174.703025,114.461275,68.554175
113.77815,174.778525,114.4897,68.598875
114.39805,174.874675,114.537825,68.704275
114.461275,175.25405,114.55875,68.813525
114.489725,175.274275,114.6078,68.95125
114.55875,175.330025,115.845425,69.0011
114.607775,175.700375,116.098875,69.011275
115.84545,176.15155,116.14265,69.02585
116.0989,176.525975,116.193975,69.0469
116.14265,176.5682,116.2536,69.070475
116.253625,176.9565,116.295,69.115925
116.295,177.774525,116.3983,69.1657
117.210925,178.11725,117.2109,69.193475
117.935075,178.1827,117.935075,69.248375
118.4687,178.27145,118.468675,69.77275
119.02105,178.730975,119.02105,70.06075
119.040475,179.2327,119.040475,70.19445
119.236275,179.521275,119.236275,70.2763
119.485175,179.556475,119.485175,70.28935
119.55665,179.596475,119.55665,70.3482
120.0964,179.70065,120.096375,70.4889
120.11825,180.07475,120.11825,70.674475
120.158175,181.75315,120.15815,70.723075
120.244975,182.371575,120.244975,70.7685
120.28485,182.435175,120.28485,70.864975
120.416225,182.637325,120.416225,70.942075
120.55205,182.66125,120.55205,70.97805
121.10325,183.26635,121.10325,71.51955
121.169325,183.894675,121.169325,71.5602
122.603525,184.25305,122.30785,71.6958
122.66845,184.316,122.603525,71.74995
123.37205,184.36675,122.66845,71.96835
123.421475,184.3762,123.37205,71.98515
123.4518,184.403675,123.42145,72.009125
123.5668,184.488825,123.451775,72.04065
123.8289,185.395775,123.5668,72.1458
123.879325,185.838325,123.8289,72.21585
123.913175,187.58705,123.879325,72.40465
123.943675,188.37985,123.913175,72.5199
124.003025,188.45385,123.94365,72.604025
124.301825,188.556575,124.003025,72.67475
124.3756,188.682025,124.301825,72.702
125.029,189.547775,124.352975,72.722375
125.138175,189.831875,124.375575,72.852375
125.78685,189.993925,125.028975,72.939625
126.10175,190.039925,125.13815,73.028175
126.14825,190.047775,125.78685,73.106775
126.542575,190.06405,126.10175,73.223025
126.605075,190.0758,126.14825,73.23865
126.631225,190.1163,126.54255,73.337725
126.6973,190.15015,126.60505,73.38715
127.067975,190.169725,126.631225,73.432175
127.1294,190.25175,126.6973,73.79395
127.154175,190.2843,126.7757,73.891675
127.218525,190.305775,127.067975,73.95415
127.2862,190.737525,127.1294,74.05065
128.25715,190.861425,127.154175,74.1013
129.8463,190.93065,127.218525,74.174
129.9215,190.968775,127.2862,74.229425
129.937925,191.0264,128.257125,74.315425
129.95565,191.097525,128.7358,74.418525
129.982825,191.1341,129.608925,74.4537
130.03015,191.1552,129.846275,74.5131
130.116425,191.20135,129.9215,74.5436
130.3465,191.4049,129.937925,74.59165
130.3759,191.553025,129.955625,74.623025
130.3951,191.585725,129.982825,74.684675
130.438,191.651125,130.030125,74.730025
130.51895,191.672275,130.116425,75.177975
130.618025,191.716,130.346475,75.2427
130.795825,191.7587,130.375875,75.30605
131.1703,191.800075,130.395075,75.403775
131.6415,191.860525,130.437975,75.483
131.723,191.925,130.518925,75.54095
