SPK_SPKC05a,SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC11b
37.908175,86.382425,84.279175,8.949475
37.93155,86.50215,84.33235,8.954725
37.952025,86.527275,84.37545,8.963875
38.0765,86.55335,84.41675,8.9741
38.15715,86.629075,84.44125,8.981525
38.209825,86.755275,84.499525,8.99195
38.2329,87.066325,84.539675,8.999
38.418725,87.1053,84.5901,9.003575
38.444975,87.170425,84.6163,9.0158
38.826775,87.2778,84.63365,9.02345
38.93685,87.446725,84.646325,9.0328
38.98235,87.5044,84.662725,9.040325
39.106,87.57895,84.671325,9.0498
39.213775,87.606875,84.683025,9.055675
39.342825,87.697925,84.76075,9.06305
39.393,87.9539,84.770825,9.071
39.458025,87.97695,84.8638,9.077225
39.520175,88.2842,84.960175,9.085675
39.64895,88.30905,84.989475,9.0904
39.799175,88.321975,85.0491,9.097725
39.803225,88.79285,85.072575,9.103975
39.838425,88.803775,85.095175,9.1143
40.10435,88.868975,85.12735,9.13115
40.221,89.21125,85.142875,9.141
40.2351,89.2845,85.172425,9.146975
40.272875,89.298175,85.2437,9.153525
40.2838,89.3717,85.2737,9.161975
40.31045,89.6219,85.3874,9.1689
40.55005,89.8303,85.416775,9.173425
40.699975,89.84365,85.459025,9.1974
40.87415,89.85935,85.4768,9.20555
40.919275,89.898025,85.533575,9.2122
41.0455,89.975675,85.58605,9.222075
41.054675,90.0032,85.620525,9.232675
41.065375,90.0585,85.63435,9.2421
41.106025,90.404475,85.643875,9.248525
41.42085,90.41695,85.67995,9.2585
41.47335,90.43335,85.69225,9.266175
41.516675,90.46285,85.71065,9.27535
41.570925,90.554225,85.75885,9.28655
41.71765,90.89575,85.79675,9.291675
41.918025,91.015,85.84615,9.297025
41.95555,91.2749,85.869675,9.3119
41.995575,91.391225,85.924575,9.324275
42.0363,91.411075,86.012275,9.3301
42.047275,91.5039,86.0457,9.338625
42.05155,91.9743,86.0558,9.3463
42.06865,91.996325,86.164825,9.356875
42.117625,92.015725,86.1796,9.377725
42.324575,92.025025,86.210125,9.390325
42.34735,92.036675,86.2389,9.395275
42.422275,92.071025,86.251075,9.418875
42.505825,92.2767,86.289625,9.434
42.57845,92.300775,86.364775,9.443675
42.5846,92.382525,86.4389,9.451025
42.845075,92.5694,86.522375,9.4599
42.906975,92.6944,86.54575,9.488925
42.983425,92.741575,86.60995,9.495875
43.015025,92.7655,86.618925,9.50195
43.1068,92.8564,86.666375,9.5076
43.151275,93.162725,86.713025,9.51645
43.333025,93.20045,86.78965,9.52415
43.379425,93.21485,86.8595,9.529525
43.52225,93.2447,86.923025,9.569375
43.591325,93.30705,86.950675,9.578375
43.6594,93.678675,87.084575,9.594575
43.673975,93.8001,87.16265,9.602775
43.769025,94.07865,87.1702,9.612825
43.813725,94.092225,87.182975,9.624425
43.836425,94.113325,87.1911,9.63985
43.84205,94.138875,87.26105,9.647125
43.906,94.155975,87.35885,9.65885
44.021225,94.210925,87.428525,9.674075
44.21475,94.419725,87.459125,9.68495
44.317575,94.66315,87.592875,9.696525
44.588575,94.779975,87.603,9.707975
44.817025,94.818425,87.61465,9.72565
44.8622,94.9007,87.673575,9.73595
44.904525,95.153925,87.7061,9.758875
44.95005,95.18025,87.77795,9.76675
44.9784,95.284075,87.828325,9.77455
45.030325,95.39355,87.8579,9.7819
45.0772,95.7851,87.92215,9.791775
45.0995,96.172425,87.9542,9.7997
45.1914,96.191975,87.98,9.818275
45.2527,96.57415,88.0223,9.830825
45.333225,96.6908,88.058175,9.837325
45.404175,96.8783,88.130425,9.858275
45.5598,96.97025,88.1557,9.874675
45.70565,97.0024,88.187975,9.892625
45.89645,97.020925,88.215925,9.9024
45.968,97.336925,88.322925,9.923075
45.9926,97.3756,88.34895,9.93225
46.025325,97.397425,88.361725,9.9407
46.114225,97.5281,88.37335,9.9494
46.137775,97.755325,88.409875,9.964175
