SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC14a,SPK_SPKC16a
23.174125,13.065225,94.97235,120.503275,101.735475,19.4194,15.94075
23.46895,13.101675,95.14875,120.688075,102.0008,19.7661,15.96685
23.560875,13.132175,95.3799,121.0306,102.638525,19.859475,16.133325
23.680875,13.23825,96.173725,121.66025,103.30655,19.90595,16.6137
23.884225,13.4515,97.377375,121.7452,103.70575,19.955075,16.654675
24.017325,13.5512,97.46495,122.048025,103.978275,19.998825,16.86075
24.2175,13.645825,97.81955,122.2057,105.12615,20.028425,16.99775
24.455325,13.724625,97.872125,122.300225,105.37295,20.19235,17.066225
24.574075,13.8134,97.998075,122.6256,105.875775,20.2457,17.417325
24.7514,13.895225,103.1618,122.643875,105.901125,20.363025,17.497825
24.84535,14.170825,104.645275,122.84985,106.639275,20.5359,17.700725
25.204825,14.266325,104.8762,123.01625,106.669275,21.064675,17.747225
25.4222,14.346725,105.526975,123.8337,106.9503,21.2177,17.83915
25.6102,14.38375,105.7189,124.09725,107.117575,21.236475,18.126525
25.909475,14.4333,108.945325,124.178025,108.927475,21.4831,18.18295
26.04125,14.543025,110.773675,124.260525,109.8263,21.585125,18.25805
26.567925,14.5658,110.852575,124.665875,109.8454,21.73335,18.45025
26.808175,14.702375,113.0677,124.684625,110.112725,21.97475,18.474225
27.15605,14.793,114.066225,124.832625,110.1895,22.037775,18.579125
27.440875,14.87545,117.1392,124.866325,110.358975,22.20735,18.84825
27.77365,14.916,117.717775,125.277225,111.1531,22.370225,18.856425
27.956925,15.066225,118.181125,125.551225,111.21215,22.391725,19.146325
28.2253,15.140525,118.41665,125.73605,111.34915,22.427775,19.41375
28.406875,15.214475,118.475175,126.524,111.484125,22.65445,19.566825
29.043925,15.311575,120.614425,126.9472,111.56205,22.7197,19.593925
29.139375,15.35555,120.80895,127.795825,112.34765,22.790575,19.732425
29.282425,15.508875,121.4558,127.844225,112.675,22.8108,19.796
29.35925,15.64825,122.142125,127.882525,112.76805,22.93375,19.8595
29.561025,15.804975,122.627225,127.98635,113.03745,22.998725,19.86505
29.8096,15.8437,122.867025,128.15625,113.4149,23.108225,19.8815
29.9013,15.867125,122.95625,129.027075,113.675425,23.1245,19.89025
30.00925,15.896625,124.4001,129.076875,113.6951,23.143825,19.931775
30.47495,15.922025,124.795775,129.740925,114.9969,23.1722,19.955125
30.539025,16.053725,126.759825,130.276425,115.8007,23.24825,20.264725
30.69025,16.141425,128.288675,130.312475,117.573075,23.312125,20.3237
30.749525,16.261675,128.501675,130.757925,118.353025,23.63345,20.369
31.11375,16.377175,129.685875,130.799225,118.390525,23.78825,20.66095
31.269425,16.413525,130.02085,130.86705,118.4498,24.01475,20.821
31.431175,16.4669,133.208475,131.410375,118.899,24.06735,21.00755
32.062125,16.4884,134.06105,131.82815,119.08285,24.18595,21.080925
32.1506,16.521475,134.14645,133.104025,120.166575,24.685725,21.249925
32.43605,16.683475,134.206,133.125825,120.17175,24.718925,21.348225
32.625375,16.895825,134.470775,133.39615,120.18505,24.846375,21.445125
32.665675,17.009025,135.41105,133.785,120.636325,24.879325,21.785075
32.84205,17.05755,135.46535,133.8668,120.7977,24.97945,21.953075
32.924825,17.110575,135.63075,134.03365,121.935825,25.189325,22.0109
33.04475,17.16995,135.8215,134.05815,122.069075,25.244975,22.12135
33.0973,17.240125,136.179225,134.095075,123.54835,25.2709,22.3271
33.35,17.298175,137.623475,134.33585,123.693075,25.294475,22.5631
33.39635,17.363625,138.240375,134.80655,123.78925,25.681875,22.80345
33.558,17.5713,138.4596,134.9213,124.2765,25.73905,22.84485
33.68065,17.620875,139.350825,135.01425,124.838925,25.82485,23.0337
34.03085,17.8637,139.97225,135.0464,127.351525,26.04195,23.113525
34.213475,18.1207,140.124725,135.2257,128.24665,26.353975,23.1738
34.2569,18.241325,141.4548,136.059625,128.55645,26.401425,23.349225
34.68195,18.326925,141.57085,136.392925,128.63205,26.90625,23.3703
35.210675,18.425875,141.87565,137.42305,129.680475,27.029775,23.3948
35.340875,18.49715,142.12245,137.73115,129.826,27.089275,23.748425
35.493775,18.611425,142.426325,138.286,130.032075,27.335725,23.8233
35.638725,18.65245,143.14375,139.397425,130.043675,27.661225,23.87345
35.84425,18.812875,144.16115,139.70955,130.306975,27.70495,23.9512
35.89675,18.82255,146.075825,139.877,130.340825,27.721375,24.0385
