SPK_SPKC09c (exc),SPK_SPKC11a (exc),SPK_SPKC13a (exc),SPK_SPKC13b (inhib)
810.023025,803.253825,801.497075,803.369125
810.088,803.2877,801.502625,803.387025
810.233425,803.332725,801.513675,803.407675
810.339975,803.399925,801.547425,803.447125
810.577675,803.4482,801.597825,803.465725
810.733875,803.478275,801.6435,803.5318
811.156825,803.49565,801.655625,803.54815
811.323775,803.51575,801.65765,803.652925
811.36395,803.549275,801.715225,803.686425
811.769525,803.578,801.800975,803.709575
811.9498,803.626925,801.821475,803.732375
812.123125,803.708175,801.859825,803.7565
812.192525,803.808225,801.9071,803.790825
812.2182,803.876575,801.913625,803.8102
812.274425,804.0947,801.930675,803.856
812.319975,804.1485,801.973875,803.8982
812.424525,804.214875,801.982625,803.920475
812.4926,804.2428,801.99095,803.951775
812.5811,804.275,802.02225,804.04845
812.582125,804.325225,802.1354,804.08805
812.678825,804.346525,802.1545,804.116425
812.8619,804.420175,802.1787,804.17345
812.946775,804.615825,802.2331,804.19275
812.9923,804.637625,802.269225,804.21725
813.29765,804.659175,802.28835,804.238925
813.472,804.6925,802.29745,804.26245
813.5779,804.71965,802.32655,804.299725
813.875675,804.746825,802.361125,804.314025
814.137925,804.7684,802.407825,804.332925
814.2934,804.819075,802.475775,804.3491
814.3592,804.8607,802.517975,804.3679
814.491125,805.05425,802.531025,804.39125
814.722675,805.1445,802.571675,804.430575
814.730775,805.208175,802.5805,804.463575
815.102,805.31295,802.719175,804.496925
815.36615,805.329375,802.83845,804.5251
815.368775,805.3453,802.8411,804.541675
815.52605,805.35785,802.877775,804.580775
815.663425,805.367725,802.9447,804.60435
815.78935,805.389225,802.960475,804.646775
815.8925,805.42705,802.990725,804.69815
815.98755,805.454975,803.0756,804.70935
816.087775,805.513125,803.095125,804.81065
816.207175,805.588775,803.127375,804.82635
816.2629,805.6239,803.16795,804.853325
816.282,805.6462,803.181075,804.885125
816.413125,805.669525,803.2145,804.9116
816.53015,805.700725,803.216975,804.9506
816.54,805.7211,803.2414,804.990225
817.220775,805.73775,803.268325,805.017725
817.484825,805.751325,803.3036,805.04235
817.560175,805.781775,803.329575,805.1043
817.7368,805.790275,803.356225,805.123425
817.8942,805.80935,803.378525,805.146875
818.029925,805.836825,803.41775,805.1849
818.25325,805.859575,803.474375,805.2024
818.540125,805.8859,803.482025,805.24055
819.142725,805.91485,803.48515,805.269675
819.3813,805.965525,803.533825,805.287725
819.40385,806.00485,803.57475,805.312575
819.8053,806.064675,803.5831,805.323775
819.905125,806.11675,803.6303,805.4106
820.1324,806.18145,803.6753,805.452725
820.330025,806.281125,803.691975,805.4755
820.512075,806.33365,803.74455,805.4885
820.9249,806.448025,803.769,805.520525
820.9344,806.5122,803.800475,805.539925
821.064375,806.578075,803.832225,805.5507
821.229975,806.599975,803.85745,805.56605
821.249725,806.62835,803.87415,805.5819
821.287175,806.657825,803.973375,805.6074
821.320225,806.6849,804.013575,805.656675
821.371825,806.70975,804.069675,805.67875
821.437125,806.7379,804.08655,805.692875
821.548275,806.7724,804.11115,805.7984
821.705725,806.7989,804.13755,805.871225
821.869025,806.817,804.186725,805.91785
822.021725,806.83425,804.24035,805.935175
822.050975,806.85185,804.261125,805.95735
822.1043,806.9089,804.291175,805.9735
822.127125,806.93605,804.310075,805.993575
822.14145,806.964975,804.342725,806.029975
822.25055,807.0053,804.37625,806.053875
822.529975,807.0758,804.48995,806.069675
822.57515,807.1601,804.50015,806.09575
822.659125,807.209775,804.54705,806.11695
822.7675,807.3433,804.56965,806.14175
822.777875,807.4495,804.624175,806.162775
823.01045,807.560125,804.690525,806.182675
823.226375,807.580525,804.69935,806.223
823.28125,807.62445,804.727975,806.26915
823.330875,807.729875,804.766925,806.339725
823.699975,807.77445,804.778575,806.3626
823.751675,807.7964,804.78465,806.39925
823.7789,807.8273,804.83945,806.412925
823.8837,807.8718,804.91475,806.423075
824.1015,807.934625,804.93795,806.4401
