SPK_SPKC02b,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC13a
3227.3411,3213.389675,3207.1261,3203.002,3214.856625
3227.476975,3213.5273,3207.290425,3203.019,3215.159575
3227.550575,3213.61805,3207.3468,3203.043325,3215.370575
3227.7634,3213.722725,3207.3917,3203.163225,3215.443225
3227.775075,3213.9409,3207.3937,3203.24745,3215.567625
3228.256925,3214.013275,3207.4322,3203.276975,3215.760625
3228.264975,3214.0645,3207.57685,3203.3026,3215.803825
3228.287475,3214.2003,3207.673525,3203.32105,3215.882975
3228.404,3214.329775,3207.737925,3203.3326,3215.914425
3228.60795,3214.3473,3207.795425,3203.339175,3216.001875
3228.66395,3214.651375,3207.802675,3203.3444,3216.05615
3228.666425,3214.8984,3207.829675,3203.358425,3216.1528
3228.71295,3214.910825,3207.909025,3203.378225,3216.366
3228.714325,3215.28815,3207.938575,3203.3823,3216.461875
3229.205875,3215.310225,3207.988675,3203.385825,3216.669775
3229.241,3215.518725,3208.006925,3203.425225,3216.87425
3229.2698,3215.553075,3208.018675,3203.4564,3216.934425
3229.27155,3215.587975,3208.068275,3203.480225,3217.114525
3229.505875,3215.66325,3208.201475,3203.508025,3217.16215
3229.65775,3216.46865,3208.297475,3203.515375,3217.3627
3229.6699,3216.487875,3208.3477,3203.546,3217.67485
3229.685725,3216.602975,3208.361425,3203.55265,3217.79055
3229.7741,3216.625475,3208.37015,3203.59495,3217.906075
3229.90685,3216.74075,3208.4166,3203.61945,3217.9865
3229.9216,3216.988175,3208.545975,3203.643375,3218.097825
3230.0094,3216.98955,3208.61135,3203.7685,3218.372525
3230.11655,3217.050725,3208.618575,3203.803375,3218.65805
3230.220925,3217.056375,3208.637525,3203.8202,3218.8548
3230.3043,3217.1001,3208.6685,3203.851075,3218.8661
3230.47065,3217.104375,3208.786025,3203.864525,3219.2117
3230.54925,3217.168775,3208.876975,3203.890275,3219.2623
3230.5672,3217.35945,3208.904,3203.906675,3219.284875
3230.75645,3217.42015,3208.9159,3204.072225,3219.462875
3230.878925,3217.521875,3208.9267,3204.07845,3219.505875
3231.00755,3217.74415,3208.958575,3204.095325,3219.569025
3231.08065,3217.79055,3208.964725,3204.114275,3219.57795
3231.42095,3217.9816,3209.04195,3204.1472,3219.774025
3231.444,3218.05295,3209.05965,3204.160275,3219.828525
3231.604525,3218.09785,3209.06645,3204.20425,3219.999775
3231.669475,3218.191075,3209.070425,3204.21855,3220.135625
3231.981125,3218.367275,3209.07775,3204.2277,3220.238075
3232.829825,3218.82475,3209.085925,3204.2432,3220.418925
3232.89405,3219.142775,3209.09485,3204.2624,3220.465425
3232.932075,3219.20625,3209.11915,3204.345025,3220.6517
3233.354025,3219.232575,3209.1832,3204.37285,3220.667325
3233.407175,3219.471075,3209.191875,3204.376675,3220.7384
3233.487625,3219.4952,3209.353675,3204.385225,3220.785725
3233.84055,3219.5265,3209.4582,3204.47665,3220.838325
3233.87075,3219.57795,3209.48155,3204.522875,3220.888375
3234.198675,3219.5873,3209.598275,3204.538925,3221.12485
3234.329925,3219.608275,3209.64045,3204.555825,3221.251875
3234.5972,3219.72585,3209.667825,3204.57655,3221.2807
3234.762825,3219.728325,3209.692375,3204.645025,3221.350725
3234.83645,3219.8865,3209.7195,3204.6814,3221.585775
3234.852525,3219.999875,3209.77795,3204.726625,3221.6607
3235.08685,3220.36945,3209.7862,3204.76915,3222.00365
3235.1096,3220.525475,3209.80195,3204.779325,3222.1239
3235.228225,3220.992625,3209.8419,3204.81895,3222.229025
3235.9712,3221.0782,3209.93705,3204.85275,3222.291575
3236.016975,3221.172725,3209.944675,3204.894975,3222.326625
3236.1121,3221.261775,3209.970375,3204.9173,3222.410275
3236.1209,3221.350725,3210.028875,3204.945925,3222.62645
3236.4477,3221.491825,3210.03565,3204.96345,3222.82515
3236.67875,3221.60105,3210.112125,3204.976,3222.82845
3236.78365,3221.6023,3210.1504,3204.989775,3222.862525
3236.8812,3221.6413,3210.192775,3204.992975,3222.97555
3237.311425,3221.675325,3210.228825,3204.996875,3222.97725
3237.49505,3221.796875,3210.26245,3205.0382,3223.010725
3237.555625,3221.8237,3210.27395,3205.04395,3223.076
3237.615575,3222.318875,3210.325825,3205.063325,3223.0978
3237.63385,3222.37525,3210.494275,3205.06995,3223.278475
3237.704275,3222.4127,3210.5368,3205.084875,3223.323975
3238.105675,3222.44465,3210.55595,3205.1147,3223.456675
3238.445425,3222.6025,3210.5698,3205.1561,3223.70675
3238.474675,3222.905625,3210.579325,3205.17245,3223.748925
3238.522875,3222.9459,3210.59355,3205.182375,3223.840775
3238.62805,3223.026675,3210.60395,3205.189325,3223.976425
3238.956775,3223.068325,3210.613225,3205.1993,3224.176625
3238.9619,3223.429125,3210.655025,3205.24075,3224.483825
3239.006125,3223.4575,3210.684125,3205.267625,3224.566425
3239.0986,3223.469725,3210.7019,3205.2977,3224.60085
3239.145225,3223.504125,3210.738775,3205.3257,3224.675975
3239.30465,3223.5727,3210.835925,3205.44305,3224.8327
3239.32945,3223.579425,3210.8452,3205.501475,3225.311975
3239.485825,3223.618225,3210.9066,3205.546,3225.3443
3239.512825,3223.63105,3210.9343,3205.64905,3225.386675
3239.53775,3223.8736,3211.01615,3205.7008,3225.581725
3239.596225,3223.8853,3211.12365,3205.7663,3225.916175
3239.689225,3223.899475,3211.13405,3205.7826,3225.961325
3239.9835,3223.9031,3211.18145,3205.8364,3225.97595
3240.0859,3223.928425,3211.2589,3205.865125,3226.440925
3240.6343,3223.9463,3211.378325,3205.9124,3226.44815
3240.876175,3223.97825,3211.420175,3205.935025,3226.511375
3241.003275,3224.301475,3211.4462,3205.944775,3226.947375
3241.091175,3224.44335,3211.449975,3205.9907,3227.0366
3241.186925,3224.473225,3211.500975,3206.02325,3227.14535
3241.3396,3224.6009,3211.529475,3206.0282,3227.274225
3241.41385,3224.83275,3211.681,3206.03975,3227.55735
3241.4634,3224.993575,3211.697475,3206.043875,3228.40295
3241.7891,3225.121125,3211.70745,3206.063425,3228.4158
3241.83035,3225.2928,3211.74105,3206.085975,3228.45885
3241.8621,3225.979175,3211.75375,3206.103975,3228.6152
3241.92515,3225.98365,3211.779525,3206.11125,3228.653
3241.985925,3226.01135,3211.857025,3206.126225,3229.165425
3242.1914,3226.240425,3211.9489,3206.17255,3229.412175
3242.21645,3226.394225,3211.95725,3206.205825,3229.947
3242.258125,3226.443,3211.985925,3206.238075,3230.04925
3242.349825,3226.8044,3211.99315,3206.2527,3230.076625
3242.369225,3226.83195,3211.99805,3206.267225,3230.16455
3242.419475,3226.9171,3212.0883,3206.328675,3230.2175
3242.5756,3227.0798,3212.109375,3206.3484,3230.232875
3243.280125,3227.13665,3212.15715,3206.36445,3230.2995
3243.329675,3227.550575,3212.197225,3206.381075,3230.5567
3243.42605,3227.650775,3212.21975,3206.391075,3230.57715
3243.533975,3227.8259,3212.239875,3206.4149,3230.6347
3243.59245,3227.95755,3212.28455,3206.447375,3230.830425
3243.84365,3228.04425,3212.397025,3206.4633,3230.945875
3244.046175,3228.168,3212.458875,3206.479675,3231.031375
3244.145025,3228.1944,3212.495,3206.556875,3231.050375
3244.1659,3228.202625,3212.522275,3206.5861,3231.095275
3244.42575,3228.22385,3212.569,3206.61055,3231.1249
3244.431725,3228.2405,3212.6116,3206.640925,3231.68875
3244.4632,3228.258975,3212.6259,3206.6496,3231.75975
3244.5011,3228.329625,3212.66755,3206.67255,3231.7843
3244.51425,3228.330975,3212.675375,3206.716425,3231.787475
3244.618575,3228.337275,3212.703625,3206.743425,3231.853375
3244.628475,3228.40395,3212.77815,3206.7641,3231.9235
3244.6698,3228.51645,3212.7956,3206.814925,3232.262225
3244.740175,3228.54605,3212.9282,3206.824225,3232.2869
3245.2923,3228.57815,3212.93565,3206.838975,3232.5003
3245.46245,3228.592525,3212.945475,3206.93585,3232.54145
3245.468025,3228.764825,3212.95665,3206.9641,3232.65955
3245.480025,3228.7871,3212.96945,3206.96945,3232.797
3245.898475,3229.013775,3212.983025,3206.978675,3232.8186
3246.292775,3229.04285,3213.020575,3206.99735,3232.84715
3246.37195,3229.059525,3213.031925,3207.012675,3232.9267
3246.688525,3229.1378,3213.0622,3207.037625,3233.177
3246.6898,3229.302375,3213.14835,3207.047125,3233.4338
3246.77555,3229.481175,3213.179,3207.118325,3233.5232
3246.80205,3229.529375,3213.19045,3207.242075,3233.536875
3247.169975,3229.554325,3213.209325,3207.27845,3233.578325
3247.21025,3229.865125,3213.2191,3207.2883,3233.628025
3247.241125,3229.9551,3213.2289,3207.31685,3233.68425
