SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
503.682225,511.214225,527.271925
503.71215,511.279125,527.647775
503.72625,511.280125,528.115475
503.7428,511.307725,528.28465
503.769425,511.336175,528.475075
503.79395,511.447275,528.90945
503.8166,511.50285,529.044725
503.826925,511.6192,529.176775
503.849,511.676575,529.2428
503.866425,511.726575,529.37475
503.881025,511.91195,529.66455
503.899125,512.012875,529.8643
503.9152,512.142325,529.939275
503.9418,512.18735,530.131775
503.9524,512.197025,531.1311
503.96895,512.227225,531.34925
503.98195,512.33805,531.420025
503.9976,512.45085,531.940275
504.046675,512.4693,532.447975
504.065325,512.65425,532.96005
504.078575,512.668925,533.257925
504.09105,512.6758,533.371725
504.107125,512.785475,533.752775
504.12325,512.8504,534.42355
504.140475,512.910125,535.20765
504.15995,512.9886,535.32685
504.17425,513.0594,535.789
504.185375,513.1327,536.301725
504.206925,513.23365,536.397725
504.2246,513.36575,536.60115
504.2479,513.393275,536.745325
504.301625,513.4616,536.94185
504.318,513.5304,537.382475
504.3417,513.66375,537.615625
504.37015,513.72855,537.682025
504.41305,513.7497,537.956
504.436325,513.78805,538.223175
504.45695,513.825925,538.368875
504.473025,514.245,538.43085
504.496075,514.338875,539.35095
504.510275,514.347725,539.915875
504.523425,514.431975,540.460725
504.552825,514.545225,540.684425
504.5832,514.563625,540.792425
504.636125,514.57575,541.215175
504.91505,514.7785,541.267425
504.94985,514.84595,541.978875
504.961825,514.85315,542.075975
504.97605,515.065525,542.228375
505.004675,515.11345,542.310225
505.02125,515.218775,542.411025
505.042025,515.266975,542.746925
505.061225,515.393975,542.772075
505.090925,515.82315,542.82165
505.11575,516.0433,542.845975
505.15115,516.197825,542.964275
505.173,516.208125,543.125325
505.306625,516.292725,543.164425
505.559325,516.311775,543.2204
505.577575,516.327425,544.82315
505.589175,516.59185,545.1036
505.61735,516.629225,545.224025
505.648525,516.673875,545.239425
505.670725,516.724875,545.342125
505.7163,516.759975,545.35925
505.727675,516.867775,545.9356
505.7504,516.9552,545.962375
506.11965,517.0073,546.082525
506.1382,517.04905,546.1362
506.1662,517.151825,546.232325
506.18755,517.190575,546.3563
506.2009,517.324375,546.793725
506.214975,517.3659,546.831675
506.236975,517.418325,547.749025
506.249225,517.57285,547.9755
506.63735,517.752225,548.78
506.647325,517.9192,549.36505
506.6533,518.04695,549.685325
506.6648,518.1704,550.6691
506.68035,518.676825,550.795075
506.69545,518.752975,551.030375
506.707775,518.850125,551.2475
506.7217,519.065275,551.569925
506.73855,519.07475,551.734975
506.75905,519.15215,551.819
506.797875,519.275675,552.4094
506.835775,519.776475,552.83595
