SPK_SPKC04a (inhibited),SPK_SPKC09b (inhibited),"SPK_SPKC11a (NA, artefact)",SPK_SPKC12a (excited)
18.210775,211.545975,34.6531,181.8919
18.2463,211.881675,34.89165,181.9188
18.32305,212.02255,34.96815,182.159275
18.44895,212.76485,35.905825,183.096025
18.520025,212.84575,35.948925,183.567125
18.572975,213.994925,36.018375,184.30165
18.662375,214.077325,36.067,184.6249
18.753275,214.20005,36.182625,184.952075
18.919325,214.251975,36.25595,185.448925
18.953725,214.538625,36.42315,185.453575
18.97715,215.267975,36.93415,187.13545
19.03135,215.28935,37.3671,187.3442
19.207375,215.332975,37.432175,187.669725
19.296275,215.533875,37.458025,187.70955
19.35225,216.21155,37.6818,188.22295
19.394075,216.270775,37.7049,188.2958
19.42605,216.4313,37.760175,188.5692
19.66935,216.474675,37.86925,189.239
19.74695,217.792875,37.910175,189.267775
19.781225,218.331625,38.055,189.385875
19.83705,218.3668,38.176275,189.428975
19.909575,218.392075,38.236975,189.859125
20.02095,218.456925,38.689625,190.288025
20.04915,218.535975,38.849825,190.34825
20.1538,218.571775,38.971925,191.571375
20.485975,218.91355,39.257225,192.02105
20.559325,218.9454,39.278075,192.0378
20.66645,219.500225,39.344675,192.350375
20.688725,220.1204,39.380975,192.361075
20.88215,220.7559,39.4092,192.6369
21.048575,220.892375,39.563725,192.785475
21.10265,221.401675,39.5984,192.87325
21.20065,221.5963,39.6774,192.911325
21.2437,221.844075,39.69815,192.94625
21.444325,222.224,39.74145,193.03495
21.4889,222.701,40.053875,193.11235
21.57055,223.408125,40.092575,193.177525
21.719425,224.1543,40.093725,193.250975
22.10875,224.566175,40.332225,193.311725
22.268525,224.605575,40.428175,193.368975
22.3708,225.156625,40.97005,193.4179
22.4141,226.04955,41.29995,193.682625
22.68565,226.1996,41.350075,193.7689
22.85695,226.45695,41.72355,194.007275
22.9116,226.696225,41.99905,194.149675
22.930975,226.816175,42.052725,194.206675
22.93485,227.56335,42.134125,194.308325
22.96505,227.637025,42.149575,194.39735
23.0225,228.779475,42.39585,194.734125
23.279,229.668625,42.671525,194.8461
23.63955,230.7447,42.72445,194.919625
23.69715,232.255475,43.01915,194.98865
23.724925,232.619075,43.227125,195.17335
23.90435,232.837925,43.322625,195.1864
24.026675,233.340775,43.479425,195.497125
24.052675,234.580225,43.99945,195.514275
24.0662,234.7579,44.080125,195.532975
24.158075,234.80035,44.172275,195.5381
24.21425,235.020175,44.4099,195.600225
24.265825,235.270325,45.144475,196.42935
24.32135,235.953825,45.857025,196.7749
24.415275,235.995675,46.33985,196.7912
24.448025,236.404475,46.935325,197.2714
24.483175,236.551825,47.380375,197.279625
24.4975,237.118675,47.521025,197.286125
24.51885,237.567875,47.8305,197.464175
24.68455,237.623225,47.9224,197.855075
24.8496,238.002225,48.34245,197.932225
24.86245,238.418875,48.348425,198.299775
24.9359,238.552775,48.5357,198.31425
24.943875,238.66815,48.734975,199.020775
25.105175,238.852225,48.898725,199.41065
25.154475,239.76815,48.996125,199.505525
25.1899,239.962175,49.482925,199.57205
25.196225,240.234525,50.049125,199.7926
25.316725,240.249,50.066175,200.0481
25.4402,240.340125,50.4736,200.575325
25.53815,240.708475,50.776075,200.721225
25.6981,240.8595,51.950725,200.8358
25.71175,241.050875,52.4748,201.0191
25.7319,241.07995,52.63035,201.26145
25.791775,241.2612,53.01345,201.5574
25.79305,241.35185,53.0975,201.627525
25.804625,241.46295,53.217225,201.693725
25.817675,241.74135,53.855525,202.072925
25.845225,242.236975,53.9903,202.23655
26.0474,242.4169,54.35955,202.636475
26.1119,242.577275,54.83295,202.83405
26.1176,242.753,54.869,202.93805
26.13405,242.782375,54.887,204.0011
26.151875,242.860075,56.23665,204.901675
26.259675,242.944275,56.3212,205.221525
26.369725,242.969075,57.289475,205.237
26.39085,243.140475,57.348475,205.4938
26.732975,243.229825,57.39095,206.036375
26.744475,243.4728,57.50975,206.376025
26.77825,243.9026,58.153475,206.560125
26.788075,244.1364,58.5628,206.7741
26.843075,244.275775,58.611925,207.208075
