SPK_SPKC06a (excited),SPK_SPKC12a (no effect),SPK_SPKC12b (NA),SPK_SPKC16a (no effect),SPK_SPKC16b (short inhibition)
16.792075,27.22235,11.321925,183.40965,107.61105
16.84185,27.47995,11.392425,183.736275,107.83315
16.84815,27.5819,11.438225,183.930675,108.150925
16.862425,27.697825,11.447225,184.2295,108.2687
16.878,27.8979,11.458125,184.44875,108.3678
16.922475,28.1707,11.466625,185.006675,108.52265
16.937975,28.1724,11.474975,185.059875,108.7238
16.9637,28.1806,11.487825,185.06105,108.957075
16.9992,28.191625,11.500725,185.329725,109.077875
17.0114,28.206725,11.53605,185.6599,109.205475
17.020525,28.30385,11.551475,186.131475,109.44225
17.0367,28.328775,11.568125,186.152925,109.463475
17.052275,28.337975,11.6345,186.2577,109.549325
17.122325,28.36315,11.6544,186.3129,109.636875
17.150225,28.4081,11.7034,186.391275,109.649075
17.4276,28.419875,11.73735,186.536775,109.78145
17.434875,28.4266,11.74885,186.783225,109.825625
17.44655,28.468675,11.76035,186.800675,109.875275
17.46415,28.612425,11.788725,186.936175,109.90465
17.73245,28.659275,11.800425,187.1972,109.9439
17.740625,28.922475,11.812575,187.4983,109.992325
17.76825,29.0977,11.825425,187.518725,110.43615
17.8788,29.12125,11.8474,187.624725,110.538825
17.953225,29.156425,11.881075,187.6398,110.596075
18.0464,29.314725,11.920675,187.659225,110.7174
18.1237,29.410275,11.94925,188.281325,110.8287
18.206875,29.57515,11.97205,188.6299,110.9947
18.212425,29.6316,11.98865,189.52375,111.012125
18.24235,29.698,12.016975,189.5807,111.12125
18.2485,29.776825,12.04035,189.616525,111.187675
18.2861,29.9856,12.05835,189.703025,111.22205
18.332475,30.086575,12.08465,190.20145,111.265
18.488825,30.09125,12.160425,190.395775,111.39485
18.526375,30.101925,12.192875,191.76745,111.406825
18.568325,30.159375,12.242375,194.704575,111.489325
18.655875,30.309675,12.268975,194.75015,111.616425
18.67825,30.778375,12.2896,194.788875,111.644425
18.78635,30.86505,12.2981,195.057775,111.6629
18.8364,30.9866,12.303425,195.083,111.6678
18.9447,31.122425,12.318675,195.338925,111.949025
19.011,31.340025,12.3326,195.692625,112.047975
19.033625,31.3921,12.3483,195.75,112.09145
19.074625,31.40245,12.40415,195.850325,112.116375
19.2455,31.404075,12.435275,196.0075,112.2735
19.30795,31.415775,12.461025,196.29985,112.402
19.3411,31.4359,12.48735,196.3966,112.45995
19.4292,31.49925,12.54125,196.480325,112.77175
19.447,31.616825,12.56615,197.79805,113.113125
19.4662,31.64805,12.59135,198.2081,113.3796
19.489475,31.6649,12.611825,198.254325,113.5811
19.49185,31.692125,12.62845,198.2634,113.87985
19.49665,31.722375,12.644875,198.454725,113.985675
19.58125,31.726175,12.6622,198.534875,114.002525
19.6152,31.811625,12.687725,198.7922,114.357225
19.621025,31.85865,12.75435,198.97445,114.54395
19.63335,31.8773,12.84805,199.308475,114.5763
19.699,31.884275,12.8947,199.397875,114.640875
19.710775,31.918625,12.91385,199.642475,114.677725
19.73755,31.93055,12.959575,200.4949,114.749775
19.79095,31.966825,12.99705,200.503175,114.819575
19.813175,32.0128,13.058425,200.624025,114.871675
19.9059,32.062825,13.1154,201.046425,114.878075
19.939475,32.089775,13.1833,202.1037,114.939225
19.9668,32.10255,13.269225,202.179825,115.048725
20.0091,32.1354,13.276225,202.22175,115.06305
20.027725,32.149075,13.3321,202.409775,115.133225
20.08085,32.1595,13.395575,203.2657,115.63255
20.092175,32.271525,13.4509,203.297725,115.77335
20.103325,32.374125,13.4738,203.458125,115.8643
20.106725,32.387075,13.4897,203.5088,116.035775
20.1165,32.423875,13.501375,203.6398,116.2665
20.133275,32.71435,13.530775,204.073025,116.297925
20.1763,32.88025,13.563225,204.399775,116.422125
20.183925,33.209025,13.604175,204.46885,116.701475
20.193675,33.298625,13.624675,204.67975,116.942
20.21895,33.4462,13.667075,205.40035,116.968625
20.2412,33.641775,13.684825,205.42465,117.08345
20.285525,33.7198,13.703575,205.931725,117.087775
20.318,33.75755,13.725375,206.0798,117.416575
20.3433,34.01605,13.751475,206.137675,117.51695
20.3513,34.0539,13.800625,206.32365,117.68825
20.3869,34.080275,13.907925,206.382925,118.030675
20.508425,34.1,13.9346,206.687125,118.09135
20.544075,34.2474,13.98325,206.6957,118.163575
